🏻	кожа от тип 1 – 2, светла кожа, цвят на кожата
🏼	кожа от тип 3, средно светла кожа, цвят на кожата
🏽	кожа от тип 4, средна на цвят кожа, цвят на кожата
🏾	кожа от тип 5, средно тъмна кожа, цвят на кожата
🏿	кожа от тип 6, тъмна кожа, цвят на кожата
😀	Широко усмихнато лице, лице, ухилване, широка усмивка
😁	Сияещо лице с усмихващи се очи, лице, око, усмивка, ухилване
😂	Лице със сълзи от радост, лице, радост, смях, сълза
🤣	Заливащо се от смях лице, заливане, лице, смях
😃	Широко усмихнато лице с големи очи, лице, отворен, усмивка, уста
😄	Широко усмихнато лице с усмихнати очи, лице, отворен, усмивка, уста
😅	Широко усмихнато лице с пот на челото, лице, отворен, пот, усмивка
😆	Широко усмихнато лице със стиснати очи, лице, смях, усмивка, уста
😉	Намигащо лице, лице, намигване
😊	Усмихнато лице с усмихнати очи, изчервяване, лице, око, усмивка
😋	Лице, наслаждаващо се на вкусна храна, вкусен, лице, наслаждавам се, усмивка
😎	Усмихнато лице със слънчеви очила, лице, слънце, слънчеви очила, усмивка
😍	Усмихнато лице с очи във форма на сърце, лице, око, сърце, усмивка
😘	Лице, пращащо въздушна целувка, лице, сърце, целувка
🥰	влюбен, любов, обожание, усмихнато лице със сърца
😗	Целуващо лице, лице, целувка
😙	Целуващо лице с усмихнати очи, лице, око, усмивка, целувка
😚	Целуващо лице със затворени очи, затворен, лице, око, целувка
🙂	Леко усмихнато лице, лице, усмивка
🤗	Прегръщащо лице, лице, прегръдка, прегръщам
🤩	дълбоко запленен, звезда, лице, очи, широко усмихнат
🤔	Замислено лице, замислен, лице
🤨	Лице с повдигната вежда, недоверие, скептично
😑	Безизразно лице, безизразен, лице
😶	Лице без уста, лице, тих, уста
🙄	Лице с извъртени нагоре очи, извъртам, лице, очи
😏	Подсмихващо се лице, лице, подсмихване
😣	Упорито лице, лице, упорит
😥	Лице с разочарование и облекчение, лице, облекчен, разочарован
😮	Лице с отворена уста, лице, отворен, съчувствие, уста
🤐	Лице с уста с цип, лице, уста, цип
😯	Изненадано лице, впечатлен, изненадан, лице
😪	Сънено лице, лице, сън
😫	Уморено лице, лице, уморен
😴	Спящо лице, лице, сън
😌	Облекчено лице, лице, облекчен
😛	Плезещо се лице, език, лице
😜	Намигащо и плезещо се лице, език, лице, намигване, шега
😝	Лице с изплезен език и стиснати очи, вкус, език, лице, ужасен
🤤	лице, лице с капеща слюнка, слюнка
😒	Недоволно лице, лице, недоволен, нещастен
😓	Лице със студена пот, лице, пот, студен
😔	Угрижено лице, лице, обезсърчен, угрижен
😕	Объркано лице, лице, объркан
🙃	Обърнато наобратно лице, лице, наобратно
🤑	Лице с пари в устата, лице, пари, уста
😲	Учудено лице, изумен, лице, учуден, шокиран
🙁	Леко намръщено лице, гримаса, лице
😖	Смутено лице, лице, смутен
😞	Разочаровано лице, лице, разочарован
😟	Разтревожено лице, лице, разтревожен
😤	Лице с излизаща от носа пара, лице, победа, триумф
😢	Разплакано лице, лице, плач, сълза, тъжен
😭	Силно плачещо лице, лице, плач, сълза, тъжен
😦	Намръщено лице с отворена уста, гримаса, лице, отворен, уста
😧	Изстрадало лице, изстрадал, лице
😨	Изплашено лице, изплашен, лице, страх
😩	Изтощено лице, изтощен, лице, уморен
🤯	Експлодираща глава, шокиран
😬	Лице с гримаса, гримаса, лице
😰	Лице с отворена уста и студена пот, лице, пот, син, студен
😱	Лице, крещящо от страх, вик, изплашен, лице, страх
🥵	горещина, зачервено лице, зачервяване, температура, топлинен удар
🥶	замръзнало лице, лед, посинял, студ, хапещ студ
😳	Изчервено лице, изчервен, лице
🤪	Налудничаво лице, големи, малки, око
😵	Замаяно лице, замаян, лице
😡	Нацупено лице, гневен, лице, сърдит, червен, ярост
😠	Ядосано лице, гневен, лице, сърдит
🤬	Лице със символи върху устата, ругатни
😷	Лице с медицинска маска, болен, лекар, лице, маска
🤒	Лице с термометър, болен, лице, термометър
🤕	Лице с превръзка на главата, лице, нараняване, превръзка, рана
🤢	лице, лице пред повръщане, отвратено, повръщане
🤮	Повръщащо лице, болен, повръщане
🤧	кихане, кихащо лице, лице, наздраве
😇	Усмихнато лице с ореол, ангел, лице, невинен, ореол
