–	barrennig verr
—	barrennig hir
,	skej
;	pik-skej
:	daoubik
!	pik-estlamm
…	trifik
'	socʼh
“	daouask digeriñ
”	daouask serriñ
«	daouank digeriñ
»	daouank serriñ
)	krommell serriñ
[	sonnell digeriñ
]	sonnell serriñ
{	briataenn digeriñ
}	briataenn serriñ
〈	konkell digeriñ
〉	konkell serriñ
《	divgonkell digeriñ
》	divgonkell serriñ
「	kammell digeriñ
」	gingammell serriñ
§	arouez, rannbenn, rannbennad, rannskrid
*️	steredennig
/	beskell
\	kilveskell
%	dregant
‰	drevil
†	kleze
‡	daougleze
′	kent
″	eil
‴	trede
`	bout, tired, tired bout
´	lemm, tired, tired lemm
^	kognek, tired, tired kognek
¨	daouboent
°	derez, eur, prouenn
∇	nabla, tricʼhorn
+	arouez mui
÷	arouezenn rannañ
×	arouezenn liesaat
√	gwrizienn garrez
∞	arouezenn anfin
◊	diamant, romb
○	kelcʼh, kelcʼh goullo
●	kelcʼh, kelcʼh leun
◯	kelcʼh, kelcʼh ledan goullo
💀	euzhvil, klopenn, marv
💩	bern kaocʼh, kaocʼh
🤡	furlukin, penn, penn furlukin
👹	euzhvil, roñfl
👺	euzhvil, gobilin
👻	euzhvil, tasmant
👽️	euzhvil, ezdouarad
👾	euzhvil, euzhvil an egor
🤖	euzhvil, robot
💕	div galon, kalon, karantez
💔	kalon, kalon rannet
❤️	kalon ruz, ruz
🧡	kalon orañjez, orañjez
💛	kalon velen, melen
💚	gwer, kalon wer
💙	glas, kalon cʼhlas
💜	kalon limestra, limestra
🤎	gell, kalon cʼhell
🖤	du, kalon zu
🤍	gwenn, kalon wenn
💯	100, kant, kant poent
💥	tarzhadenn, tresadenn
🕳️	toull
💤	kousket, zzz
🤳	emboltred
💪	kigenn, kigenn daoubennek, kigenn daoubennek argrezet
🦾	brecʼh, brecʼh mekanikel
🦿	gar, gar mekanikel
🦵	gar
🦶	troad
👂️	skouarn
👃	fri
🧠	empenn
🫀	kalon
🫁	skevent
🦷	dant
🦴	askorn
👀	daoulagad
👁️	lagad
👅	teod
👶	babig, yaouank
🧒	bugel, yaouank
👦	paotr, yaouank
👧	placʼh, yaouank
🧑	den deuet
👱	den, den melegan, melegan
🧑‍🦰	blev ruz, den deuet, den deuet : blev ruz
🧑‍🦱	blev rodellek, den deuet, den deuet : blev rodellek
🧑‍🦳	blev gwenn, den deuet, den deuet : blev gwenn
🧑‍🦲	den deuet, den deuet : moal, moal
👨	deuet, gwaz
👱‍♂	gwaz, melegan
👨‍🦰	blev ruz, deuet, gwaz, gwaz : blev ruz
👨‍🦱	blev rodellek, deuet, gwaz, gwaz : blev rodellek
👨‍🦳	blev gwenn, deuet, gwaz, gwaz : blev gwenn
👨‍🦲	deuet, gwaz, gwaz : moal, moal
👩	deuet, maouez
👱‍♀	maouez, meleganez
👩‍🦰	blev ruz, deuet, maouez, maouez : blev ruz
👩‍🦱	blev rodellek, deuet, maouez, maouez : blev rodellek
👩‍🦳	blev gwenn, deuet, maouez, maouez : blev gwenn
👩‍🦲	deuet, maouez, maouez : moal, moal
🧓	den, den kozh, kozh
👴	gwaz, gwaz kozh, kozh
👵	kozh, maouez, maouez kozh
👨‍🎓	studier
👩‍🎓	studierez
👨‍🏫	kelenner
👩‍🏫	kelennerez
👨‍⚖	barner
👩‍⚖	barnerez
👨‍🌾	labourer-douar
👩‍🌾	labourerez-douar
👨‍🍳	keginer
👩‍🍳	keginerez
👨‍🏭	micherour
👩‍🏭	micherourez
👨‍💼	implijad
👩‍💼	implijadez
👨‍🔬	skiantour
👩‍🔬	skiantourez
👨‍💻	stlennegour
👩‍💻	stlennegourez
🧑‍🎤	den a gan
👨‍🎤	kaner
👩‍🎤	kanerez
👨‍🎨	arzour
👩‍🎨	arzourez
👨‍✈	levier
👩‍✈	levierez
👨‍🚀	astraer
👩‍🚀	astraerez
👨‍🚒	pomper
👩‍🚒	pomperez
👮	polis
👮‍♂	poliser
👮‍♀	poliserez
🕵️	enklasker, igoun, spier
🕵‍♂	igounier
🕵‍♀	igounierez
💂	gward
🥷	brezelour, kuzh, ninja
🤴	priñs
👸	priñsez
👼	ael, babig, babig ael
🎅	Nedeleg, Tad Nedeleg, fest, gouel, lid, tad
🤶	Mamm Nedeleg, Nedeleg, fest, gouel, lid, mamm
🦸	gourharoz, haroz
🧙	maj, sorser
🧙‍♂	hudour
🧙‍♀	hudourez
🧚	Titania, boudig
🧛	Dracula, suner-gwad, suner/ez-gwad
🧛‍♂	Dracula, suner-gwad
🧛‍♀	sunerez-gwad
🧜‍♂	morgan
🧜‍♀	morganez
🧝‍♂	elf
🧝‍♀	elfez
🧟‍♂	zombi
🧟‍♀	zombiez
👪️	bugel, familh, mamm, tad
👨‍👩‍👦	bugel, familh, familh : gwaz, maouez, paotr, gwaz, mamm, maouez, paotr, tad
👨‍👩‍👧	bugel, familh, familh : gwaz, maouez, placʼh, gwaz, mamm, maouez, placʼh, tad
👨‍👩‍👧‍👦	bugel, familh, familh : gwaz, maouez, placʼh, paotr, gwaz, mamm, maouez, paotr, placʼh, tad
👨‍👩‍👦‍👦	bugel, familh, familh : gwaz, maouez, paotr, paotr, gwaz, mamm, maouez, paotr, tad
👨‍👩‍👧‍👧	bugel, familh, familh : gwaz, maouez, placʼh, placʼh, gwaz, mamm, maouez, placʼh, tad
👨‍👨‍👦	bugel, familh, familh : gwaz, gwaz, paotr, gwaz, mamm, paotr, tad
