🏻	ᎢᏳᏍᏗ 1–2, ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ
🏼	ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎢᏳᏍᏗ 3, ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏽	ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎢᏳᏍᏗ 4, ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏾	ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎢᏳᏍᏗ 5, ᎣᏁᎦᎸ ᏄᏍᏛᎢ
🏿	ᎢᏳᏍᏗ 6, ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ
😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
😁	ᎠᎦᏘ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏓᎧᏅᎢ, ᎤᏰᏍᎩ
😂	ᎤᎧᏛ, ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᏚᎦᎳᏁᏒ Ꮎ ᎤᎵᎮᎵᏍᏗ, ᎤᎵᎮᎵᏨ, ᎤᏩᏍᏉᎸ, ᎤᏰᏍᎩ
🤣	ᎣᏐᏫᎵᏙᎲ, ᎣᏐᏫᎵᏙᎲ ᎥᎿ ᏯᏖᏃ ᎣᏬᎵᏓᏁᎲᎢ, ᎤᎧᏛ, ᎤᏰᏍᎩ, ᏯᏖᏃ
😃	ᎠᎰᎵ, ᎠᏍᎢᏓ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏔᎾ ᏗᎦᏙᎵ
😄	ᎠᎦᏘ, ᎠᎰᎵ, ᎠᏍᏚᎢᏓ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎾᏍᎩ ᎤᏤᏣᏍᏗ ᏗᎦᏙᎵ
😅	ᎠᎵ, ᎠᏍᏚᎢᏓ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ ᎠᎵ, ᎤᏴᏝ
😆	ᎠᎰᎵ, ᎤᎧᏛ, ᎤᎵᎮᎵᏨᎢ, ᎤᏤᏣᏍᏗ, ᎤᏤᏣᏍᏗ ᏍᏈᏘ ᎤᎧᏛ, ᎤᏰᏍᎩ
😉	ᎠᎦᏔᎾᏫᏍᎦ, ᎠᏓᎦᏔᏁ ᎠᎦᏙᎵ, ᎤᎧᏛ
😊	ᎠᎦᏘ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏰᏗᏍᎩ ᎤᎧᏔ Ꮎ ᏧᏰᏗᏍᎩ ᏗᎦᏙᎵ, ᎩᎦᎨ ᏂᎦᎵᏍᏗᎲᎢ
😋	ᎣᏍᏓ ᎠᎩᏍᏗ, ᎣᏍᏓᎥᏰᎸᏍᎬᎢ, ᎤᎧᏛ, ᎤᎧᏛᎢ ᎠᏓᏍᏓᏴᎲᏍᎬ ᎤᎦᎾᏍᏛ ᎠᎵᏍᏓᏴᏗ, ᎤᏤᏣᏍᏗ, ᏴᎻ
😎	ᎠᎦᎵ, ᎤᎧᏛ, ᎤᏁᏏᏴᏞ, ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᏅᏓ ᏗᎦᏛᏅᏙᏗ ᏗᎦᏛᏅᏗᏍᏗ, ᏅᏓ, ᏅᏓ ᏗᎦᏛᏅᏙᏗ
😍	ᎠᎦᏘ, ᎠᏓᎨᏳᏗ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ, ᎤᏰᏗᏍᎩ ᎤᎧᏔ ᎤᎵᎪ ᎤᏓᏅᏙ-ᏗᎦᏙᎵ
😘	ᎠᏓᏔᏪᏙᏗ, ᎤᎧᏛ, ᎤᎧᏛᎢ ᎠᏦᏔᏍᎬ ᎠᏓᏔᏪᏙᏗ
🥰	ᎠᏓᎨᏳᎭ, ᎠᏓᎬᏍᎩ, ᎦᎸᏉᏗ, ᎭᏰᏍᎩ ᎤᎧᏛ ᎭᏠᏯᏍᏗ 3 ᏗᏓᏅᏙ
😗	ᎠᏓᏔᏪᏙᏍᎩ ᎤᎧᏛ, ᎠᏓᏔᏪᏙᏗ, ᎤᎧᏛ
😙	ᎠᎦᏘ, ᎠᏓᏔᏪᏙᏍᎩ ᎤᎧᏛ ᎤᏤᏣᏍᏗ ᏗᎧᏂ, ᎠᏓᏔᏪᏙᏗ, ᎤᎧᏛ, ᎤᏤᏣᏍᏗ
😚	ᎠᏓᏔᏪᏙᏍᎩ ᎤᎧᏛ ᏚᎦᏔᏍᏛᎢ, ᎠᏔᏪᏙᏅᎢ, ᎤᎧᏛ, ᏓᏍᏚᎭ, ᏗᎦᏔ
🙂	ᎤᎧᏛ, ᎤᏰᏥᏍᎦ, ᏍᏗᎩᏓ ᎤᏰᏓᏍᎬ ᎤᎧᏛ
🤗	ᎠᏄᎩᏟᏗ, ᎠᏄᎩᏢᏍᎩ ᎤᎧᏛ, ᎠᏓᏄᎩᏢᏍᎩ, ᎤᎧᏛ
🤩	ᎤᎧᏛ, ᎤᏰᏣᏍᎩ, ᏃᏈᏏ, ᏃᏈᏏ-ᎤᏮᏂᎸᎢ, ᏗᎦᏔ
🤔	ᎠᎧᏛ, ᎠᏓᎾᏖᏍᎩ, ᎠᏓᎾᏖᏍᎩ ᎤᎧᏛ
🤨	ᎠᎪᎯᏳᎯ ᏂᎨᏒᎾ, ᎤᎧᏛ ᎤᎵᏌᎳᏗ ᎤᎦᏖᏌᎾᎸᎢ, ᎤᏜᏏᏘᏍᎩ
😑	ᎤᎧᏛ, ᎤᎧᏛᎢ ᏅᏓᏁᏟᏴᏒᎾ, ᎤᎧᏛᎢ ᏅᏓᏁᏟᏴᏒᎾ ᎤᎧᏛ, ᏅᏓᏁᏟᏴᏒ, ᏅᏓᏁᏟᏴᏒᎾ
😶	ᎠᎰᎵ, ᎡᏠᏪ, ᎡᏠᏪᎢ, ᎤᎧᏛ, ᎤᎧᏛᎢ ᏄᏠᏯᏍᏛᎾ ᎠᏲᎵ
🙄	ᎤᎧᏛ, ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎦᎦᏐᏆᎴᎦ ᏗᎦᏙᎵ, ᏓᎵᏐᏈᎴ, ᏗᎦᏘ
😏	ᎠᏤᏣᏍᏗ, ᎤᎧᏛ, ᎤᏰᏗᏍᎩ ᎤᎧᏛ
😣	ᎤᎧᏛ, ᎤᎵᏏᏅᏗ, ᏥᎾᏛᏁᎰᎢ ᎤᎧᏛ
😥	ᎡᏍᎦ, ᎡᏍᎦ ᎤᏰᎸᏅᎢ ᎠᏎᏃ ᎤᎵᎮᎵᏨᎢ ᎤᎧᏛ, ᎤᎧᏛ, ᎤᏯᏪᏐᏢ, ᏗᏁᏟᏙᏗ
😮	ᎠᎰᎵ, ᎠᏍᏚᎢᏓ, ᎤᎧᏛ, ᎤᎧᏛ ᎤᏠᏯᏍᏗ ᎤᏔᏠᎬᎢ, ᎤᏲ ᎠᏰᎸᎾ
🤐	ᎠᎧᏁᏍᏗ, ᎠᎰᎵ, ᎤᎧᏛ, ᎥᎧᏁᏍᏗ-ᎠᎰᎵᎤᎧᏓ ᎤᎧᏛ
😯	ᎠᏥᏎᎦᏍᏛᏅ, ᎠᏥᏰᎶᎢᏍᏔᏅ, ᎡᎶᏪ ᎤᎧᏛ, ᎡᎶᏪ ᏯᎬᏁᎸᎢ, ᎤᎧᏛ
😪	ᎤᎧᏛ, ᎦᏟ, ᎦᏢᏍᎩ ᎤᎧᏛ
😫	ᎤᎧᏛ, ᏚᏯᏪᎦ, ᏚᏯᏪᎦ ᎤᎧᏛ
😴	ᎤᎧᏛ, ᎦᏟ, ᎦᏟᎯ ᎤᎧᏛ, ᏃᏃᏃ
😌	ᎤᎧᏛ, ᎤᏯᏪᏐᏢ, ᎤᏯᏪᏐᏢ ᎤᎧᏛ
😛	ᎤᎧᏛ, ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ, ᎦᏅᎪ
😜	ᎠᎦᏔᎾᏫᏍᎦ, ᎠᎦᏘ, ᎤᎧᏛ, ᎦᏅᎪ, ᎦᏪᏢᏅᏗ, ᏚᎦᏔᏍᏓ ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ
😝	ᎠᎦᏘ, ᎠᎩᏍᏗ, ᎤᎧᏛ, ᎤᏁᎩᏟᏗ, ᎦᏅᎪ, ᏍᏈᏘ ᎤᎧᏛ ᎾᎿ ᎦᏅᎪ
🤤	ᎤᎧᏛ, ᏗᎭᏬᎢᎭ, ᏗᎭᏬᎢᎭ ᎤᎧᏛ
😒	ᎤᎧᏛ, ᎾᎵᎮᎵᎬᎾ, ᏄᏰᏗᏍᎬᎾ, ᏄᏰᏗᏍᎬᎾ ᎤᎧᏛ
😓	ᎠᎵ, ᎤᎧᏛ, ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎤᏴᏟ ᎠᎵ, ᎤᏴᏝ
😔	ᎠᏓᏅᏖᎸᏍᎩ, ᎠᏓᏅᏖᎸᏍᎩ ᎤᎧᏛ, ᎤᎧᏛ, ᏓᏓᏑᎶ
😕	ᎤᎧᏛ, ᎤᏎᎩᏲᏤᎸᎢ, ᎤᏎᎩᏲᏤᎸᎢ ᎤᎧᏛ
🙃	ᎤᎧᏛ, ᏗᏁᏍᏈᏛᏅ-ᎡᎳᏗᏜ, ᏗᏁᏍᏈᏛᏅ-ᎡᎳᏗᏜ ᎤᎧᏛ
🤑	ᎠᎰᎵ, ᎠᏕᎳ, ᎠᏕᎳ-ᎠᎰᎵ ᎤᎧᏛ, ᎤᎧᏛ
😲	ᎠᏥᏎᎦᏍᏔᏅᎢ, ᎠᏥᏎᎦᏍᏔᏅᎢ ᎤᎧᏛ, ᎤᎧᏛ, ᎤᏍᏆᏂᎦᏘ ᎤᏰᎸᏅ, ᎧᎵᏬ
🙁	ᎤᎧᏛ, ᎤᏓᏁᎪᏳ, ᏍᏗᎩᏓ ᎤᏓᏁᎪᏳᏒ ᎤᎧᏛ
😖	ᎤᎧᏛ, ᎤᎭᎾᎸ, ᎤᎭᎾᎸ ᎤᎧᏛ
😞	ᎡᏍᎦ ᎤᏰᎸᏅᎢ, ᎡᏍᎦ ᎤᏰᎸᏅᎢ ᎤᎧᏛ, ᎤᎧᏛ
😟	ᎤᎧᏛ, ᎤᏪᎵᎯᏍᎩ, ᎤᏪᎵᎯᏍᎩ ᎤᎧᏛ
😤	ᎤᎧᏛ, ᎤᎧᏛᎢ ᎤᏠᏯᏍᏗ ᎾᏍᎩᎾ ᎧᏴᏐᎵ, ᎤᏓᎵᏁᎯᏛ, ᎤᏓᏠᏒ
😢	ᎠᏠᏱᎭ, ᎠᏠᏱᎭ ᎤᎧᏛ, ᎤᎧᏛ, ᎤᏩᏍᏉᎸ, ᎤᏲᎤᏰᎸᏅ
😭	ᎠᏠᏱᎭ, ᎠᏠᏱᏍᎩ, ᎤᎧᏛ, ᎤᏩᏍᏉᎸ, ᎤᏲᎭᏰᎸᏅ, ᏗᎭᎳᏓ ᎠᏠᏱᏍᎩ ᎤᎧᏛ
😦	ᎠᎰᎵ, ᎠᏍᏚᎢᏓ, ᎤᎧᏛ, ᎤᏓᏁᎪᏳ, ᎤᏓᏁᎪᏳᎲᎢ ᎤᎧᏛ ᎤᏔᏠᎩ
😧	ᎠᎩᏟᏲᎬᎢ, ᎠᎩᏟᏲᎬᎢ ᎤᎧᏛ, ᎤᎧᏛ
😨	ᎠᏍᎦᎢᎭ, ᎤᎧᏛ, ᎤᎾᏰᏌᏘ, ᎤᎾᏰᏌᏘ ᎤᎧᏛ, ᎤᏍᎦᎡᎯ
😩	ᎤᎧᏛ, ᏗᎦᏍᏗᏰᏍᏒ, ᏗᎦᏍᏗᏰᏍᏒ ᎤᎧᏓ, ᏧᏩᏪᎩ
🤯	ᎠᏔᏍᎩᏍᎩ ᎠᎦᏍᏓᏛ, ᎤᏍᎦᏍᏓᏁᎸᎢ
😬	ᎤᎧᏛ, ᎤᏓᏁᎪᏳ, ᎤᏓᏁᎪᏳᎲᎢ ᎤᎧᏛ
😰	ᎠᎵ, ᎠᏅᏍᏔᏅᎢ, ᎤᎧᏛ, ᎤᎷᎶ ᎤᎧᏛ ᎠᎵ, ᎤᏴᏜ, ᏌᎪᏂᎨ
😱	ᎠᏍᎦᎢᎭ, ᎤᎧᏛ, ᎤᎧᏛᎢ ᎨᎷᎲᏍᎦ ᎾᏍᎩ ᎦᎾᏰᎯᏍᏗ, ᎤᏍᎦᎡᎯ, ᎤᏪᎷᎦ
🥵	ᎠᎵ ᏓᏓᏑᎶ, ᎤᏗᎴᎬ ᎤᎸᏓᎸᏅ, ᎤᏗᎴᎲᏍᎩ, ᎤᏗᏞᎦ, ᎤᏗᏞᎦ ᎤᎧᏛ, ᎩᎦᎨ-ᎤᎧᏛᎢ
