🦵🏻	ben, ben: lys teint, halte, humpe, lys teint, sparke
🦵🏼	ben, ben: medium til lys teint, halte, humpe, medium til lys teint, sparke
🦵🏽	ben, ben: medium teint, halte, humpe, medium teint, sparke
🦵🏾	ben, ben: medium til mørk teint, halte, humpe, medium til mørk teint, sparke
🦵🏿	ben, ben: mørk teint, halte, humpe, mørk teint, sparke
🦶🏻	fod, fod: lys teint, lys teint, sparke, trampe
🦶🏼	fod, fod: medium til lys teint, medium til lys teint, sparke, trampe
🦶🏽	fod, fod: medium teint, medium teint, sparke, trampe
🦶🏾	fod, fod: medium til mørk teint, medium til mørk teint, sparke, trampe
🦶🏿	fod, fod: mørk teint, mørk teint, sparke, trampe
🦸🏻	god, helt, heltinde, lys teint, superhelt, superhelt: lys teint, superkraft
🦸🏼	god, helt, heltinde, medium til lys teint, superhelt, superhelt: medium til lys teint, superkraft
🦸🏽	god, helt, heltinde, medium teint, superhelt, superhelt: medium teint, superkraft
🦸🏾	god, helt, heltinde, medium til mørk teint, superhelt, superhelt: medium til mørk teint, superkraft
🦸🏿	god, helt, heltinde, mørk teint, superhelt, superhelt: mørk teint, superkraft
🦸🏻‍♀	god, helt, heltinde, kvinde, kvindelig superhelt, kvindelig superhelt: lys teint, lys teint, superkraft
🦸🏼‍♀	god, helt, heltinde, kvinde, kvindelig superhelt, kvindelig superhelt: medium til lys teint, medium til lys teint, superkraft
🦸🏽‍♀	god, helt, heltinde, kvinde, kvindelig superhelt, kvindelig superhelt: medium teint, medium teint, superkraft
🦸🏾‍♀	god, helt, heltinde, kvinde, kvindelig superhelt, kvindelig superhelt: medium til mørk teint, medium til mørk teint, superkraft
🦸🏿‍♀	god, helt, heltinde, kvinde, kvindelig superhelt, kvindelig superhelt: mørk teint, mørk teint, superkraft
🦸🏻‍♂	god, helt, lys teint, mand, mandlig superhelt, mandlig superhelt: lys teint, superkraft
🦸🏼‍♂	god, helt, mand, mandlig superhelt, mandlig superhelt: medium til lys teint, medium til lys teint, superkraft
🦸🏽‍♂	god, helt, mand, mandlig superhelt, mandlig superhelt: medium teint, medium teint, superkraft
🦸🏾‍♂	god, helt, mand, mandlig superhelt, mandlig superhelt: medium til mørk teint, medium til mørk teint, superkraft
🦸🏿‍♂	god, helt, mand, mandlig superhelt, mandlig superhelt: mørk teint, mørk teint, superkraft
🦹🏻	kriminel, lys teint, ond, skurk, superkraft, superskurk, superskurk: lys teint
🦹🏼	kriminel, medium til lys teint, ond, skurk, superkraft, superskurk, superskurk: medium til lys teint
🦹🏽	kriminel, medium teint, ond, skurk, superkraft, superskurk, superskurk: medium teint
🦹🏾	kriminel, medium til mørk teint, ond, skurk, superkraft, superskurk, superskurk: medium til mørk teint
🦹🏿	kriminel, mørk teint, ond, skurk, superkraft, superskurk, superskurk: mørk teint
🦹🏻‍♀	kriminel, kvinde, kvindelig superskurk, kvindelig superskurk: lys teint, lys teint, ond, skurk, superkraft
🦹🏼‍♀	kriminel, kvinde, kvindelig superskurk, kvindelig superskurk: medium til lys teint, medium til lys teint, ond, skurk, superkraft
🦹🏽‍♀	kriminel, kvinde, kvindelig superskurk, kvindelig superskurk: medium teint, medium teint, ond, skurk, superkraft
🦹🏾‍♀	kriminel, kvinde, kvindelig superskurk, kvindelig superskurk: medium til mørk teint, medium til mørk teint, ond, skurk, superkraft
🦹🏿‍♀	kriminel, kvinde, kvindelig superskurk, kvindelig superskurk: mørk teint, mørk teint, ond, skurk, superkraft
🦹🏻‍♂	kriminel, lys teint, mand, mandlig superskurk, mandlig superskurk: lys teint, ond, skurk, superkraft
🦹🏼‍♂	kriminel, mand, mandlig superskurk, mandlig superskurk: medium til lys teint, medium til lys teint, ond, skurk, superkraft
🦹🏽‍♂	kriminel, mand, mandlig superskurk, mandlig superskurk: medium teint, medium teint, ond, skurk, superkraft
🦹🏾‍♂	kriminel, mand, mandlig superskurk, mandlig superskurk: medium til mørk teint, medium til mørk teint, ond, skurk, superkraft
🦹🏿‍♂	kriminel, mand, mandlig superskurk, mandlig superskurk: mørk teint, mørk teint, ond, skurk, superkraft
👶🏻	baby, baby: lys teint, barn, lys teint, menneske
👶🏼	baby, baby: medium til lys teint, barn, medium til lys teint, menneske
👶🏽	baby, baby: medium teint, barn, medium teint, menneske
👶🏾	baby, baby: medium til mørk teint, barn, medium til mørk teint, menneske
👶🏿	baby, baby: mørk teint, barn, menneske, mørk teint
🧒🏻	barn, barn: lys teint, lys teint, ungt menneske
🧒🏼	barn, barn: medium til lys teint, medium til lys teint, ungt menneske
🧒🏽	barn, barn: medium teint, medium teint, ungt menneske
🧒🏾	barn, barn: medium til mørk teint, medium til mørk teint, ungt menneske
🧒🏿	barn, barn: mørk teint, mørk teint, ungt menneske
👦🏻	dreng, dreng: lys teint, lys teint, menneske, person
👦🏼	dreng, dreng: medium til lys teint, medium til lys teint, menneske, person
👦🏽	dreng, dreng: medium teint, medium teint, menneske, person
👦🏾	dreng, dreng: medium til mørk teint, medium til mørk teint, menneske, person
👦🏿	dreng, dreng: mørk teint, menneske, mørk teint, person
👧🏻	lys teint, menneske, person, pige, pige: lys teint
👧🏼	medium til lys teint, menneske, person, pige, pige: medium til lys teint
👧🏽	medium teint, menneske, person, pige, pige: medium teint
👧🏾	medium til mørk teint, menneske, person, pige, pige: medium til mørk teint
👧🏿	menneske, mørk teint, person, pige, pige: mørk teint
🧑🏻	lys teint, person, voksen, voksen: lys teint
🧑🏼	medium til lys teint, person, voksen, voksen: medium til lys teint
🧑🏽	medium teint, person, voksen, voksen: medium teint
🧑🏾	medium til mørk teint, person, voksen, voksen: medium til mørk teint
🧑🏿	mørk teint, person, voksen, voksen: mørk teint
👨🏻	lys teint, mand, mand: lys teint, menneske, person
👨🏼	mand, mand: medium til lys teint, medium til lys teint, menneske, person
👨🏽	mand, mand: medium teint, medium teint, menneske, person
👨🏾	mand, mand: medium til mørk teint, medium til mørk teint, menneske, person
👨🏿	mand, mand: mørk teint, menneske, mørk teint, person
👨‍🦰	mand, mand: rødt hår, menneske, person, rødt hår
👨🏻‍🦰	lys teint, mand, mand: lys teint og rødt hår, menneske, person, rødt hår
👨🏼‍🦰	mand, mand: medium til lys teint og rødt hår, medium til lys teint, menneske, person, rødt hår
👨🏽‍🦰	mand, mand: medium teint og rødt hår, medium teint, menneske, person, rødt hår
👨🏾‍🦰	mand, mand: medium til mørk teint og rødt hår, medium til mørk teint, menneske, person, rødt hår
👨🏿‍🦰	mand, mand: mørk teint og rødt hår, menneske, mørk teint, person, rødt hår
👨‍🦱	krøllet hår, mand, mand: krøllet hår, menneske, person
👨🏻‍🦱	krøllet hår, lys teint, mand, mand: lys teint og krøllet hår, menneske, person
👨🏼‍🦱	krøllet hår, mand, mand: medium til lys teint og krøllet hår, medium til lys teint, menneske, person
👨🏽‍🦱	krøllet hår, mand, mand: medium teint og krøllet hår, medium teint, menneske, person
👨🏾‍🦱	krøllet hår, mand, mand: medium til mørk teint og krøllet hår, medium til mørk teint, menneske, person
👨🏿‍🦱	krøllet hår, mand, mand: mørk teint og krøllet hår, menneske, mørk teint, person
👨‍🦲	mand, mand: skaldet, menneske, person, skaldet
👨🏻‍🦲	lys teint, mand, mand: lys teint og skaldet, menneske, person, skaldet
👨🏼‍🦲	mand, mand: medium til lys teint og skaldet, medium til lys teint, menneske, person, skaldet
👨🏽‍🦲	mand, mand: medium teint og skaldet, medium teint, menneske, person, skaldet
👨🏾‍🦲	mand, mand: medium til mørk teint og skaldet, medium til mørk teint, menneske, person, skaldet
👨🏿‍🦲	mand, mand: mørk teint og skaldet, menneske, mørk teint, person, skaldet
👨‍🦳	hvidt hår, mand, mand: hvidt hår, menneske, person
👨🏻‍🦳	hvidt hår, lys teint, mand, mand: lys teint og hvidt hår, menneske, person
👨🏼‍🦳	hvidt hår, mand, mand: medium til lys teint og hvidt hår, medium til lys teint, menneske, person
👨🏽‍🦳	hvidt hår, mand, mand: medium teint og hvidt hår, medium teint, menneske, person
👨🏾‍🦳	hvidt hår, mand, mand: medium til mørk teint og hvidt hår, medium til mørk teint, menneske, person
👨🏿‍🦳	hvidt hår, mand, mand: mørk teint og hvidt hår, menneske, mørk teint, person
👩🏻	kvinde, kvinde: lys teint, lys teint, menneske, person
👩🏼	kvinde, kvinde: medium til lys teint, medium til lys teint, menneske, person
👩🏽	kvinde, kvinde: medium teint, medium teint, menneske, person
👩🏾	kvinde, kvinde: medium til mørk teint, medium til mørk teint, menneske, person
👩🏿	kvinde, kvinde: mørk teint, menneske, mørk teint, person
👩‍🦰	kvinde, kvinde: rødt hår, menneske, person, rødt hår
👩🏻‍🦰	kvinde, kvinde: lys teint og rødt hår, lys teint, menneske, person, rødt hår
👩🏼‍🦰	kvinde, kvinde: medium til lys teint og rødt hår, medium til lys teint, menneske, person, rødt hår
👩🏽‍🦰	kvinde, kvinde: medium teint og rødt hår, medium teint, menneske, person, rødt hår
👩🏾‍🦰	kvinde, kvinde: medium til mørk teint og rødt hår, medium til mørk teint, menneske, person, rødt hår
👩🏿‍🦰	kvinde, kvinde: mørk teint og rødt hår, menneske, mørk teint, person, rødt hår
👩‍🦱	krøllet hår, kvinde, kvinde: krøllet hår, menneske, person
👩🏻‍🦱	krøllet hår, kvinde, kvinde: lys teint og krøllet hår, lys teint, menneske, person
👩🏼‍🦱	krøllet hår, kvinde, kvinde: medium til lys teint og krøllet hår, medium til lys teint, menneske, person
👩🏽‍🦱	krøllet hår, kvinde, kvinde: medium teint og krøllet hår, medium teint, menneske, person
👩🏾‍🦱	krøllet hår, kvinde, kvinde: medium til mørk teint og krøllet hår, medium til mørk teint, menneske, person
👩🏿‍🦱	krøllet hår, kvinde, kvinde: mørk teint og krøllet hår, menneske, mørk teint, person
👩‍🦲	kvinde, kvinde: skaldet, menneske, person, skaldet
👩🏻‍🦲	kvinde, kvinde: lys teint og skaldet, lys teint, menneske, person, skaldet
👩🏼‍🦲	kvinde, kvinde: medium til lys teint og skaldet, medium til lys teint, menneske, person, skaldet
👩🏽‍🦲	kvinde, kvinde: medium teint og skaldet, medium teint, menneske, person, skaldet
👩🏾‍🦲	kvinde, kvinde: medium til mørk teint og skaldet, medium til mørk teint, menneske, person, skaldet
👩🏿‍🦲	kvinde, kvinde: mørk teint og skaldet, menneske, mørk teint, person, skaldet
👩‍🦳	hvidt hår, kvinde, kvinde: hvidt hår, menneske, person
👩🏻‍🦳	hvidt hår, kvinde, kvinde: lys teint og hvidt hår, lys teint, menneske, person
👩🏼‍🦳	hvidt hår, kvinde, kvinde: medium til lys teint og hvidt hår, medium til lys teint, menneske, person
👩🏽‍🦳	hvidt hår, kvinde, kvinde: medium teint og hvidt hår, medium teint, menneske, person
👩🏾‍🦳	hvidt hår, kvinde, kvinde: medium til mørk teint og hvidt hår, medium til mørk teint, menneske, person
👩🏿‍🦳	hvidt hår, kvinde, kvinde: mørk teint og hvidt hår, menneske, mørk teint, person
🧓🏻	gammel person, gammel person: lys teint, lys teint, voksen, ældre menneske
🧓🏼	gammel person, gammel person: medium til lys teint, medium til lys teint, voksen, ældre menneske
🧓🏽	gammel person, gammel person: medium teint, medium teint, voksen, ældre menneske
🧓🏾	gammel person, gammel person: medium til mørk teint, medium til mørk teint, voksen, ældre menneske
🧓🏿	gammel person, gammel person: mørk teint, mørk teint, voksen, ældre menneske
👴🏻	gammel mand, gammel mand: lys teint, lys teint, mand, menneske
👴🏼	gammel mand, gammel mand: medium til lys teint, mand, medium til lys teint, menneske
👴🏽	gammel mand, gammel mand: medium teint, mand, medium teint, menneske
👴🏾	gammel mand, gammel mand: medium til mørk teint, mand, medium til mørk teint, menneske
👴🏿	gammel mand, gammel mand: mørk teint, mand, menneske, mørk teint
👵🏻	gammel kvinde, gammel kvinde: lys teint, kvinde, lys teint, menneske
👵🏼	gammel kvinde, gammel kvinde: medium til lys teint, kvinde, medium til lys teint, menneske
👵🏽	gammel kvinde, gammel kvinde: medium teint, kvinde, medium teint, menneske
👵🏾	gammel kvinde, gammel kvinde: medium til mørk teint, kvinde, medium til mørk teint, menneske
👵🏿	gammel kvinde, gammel kvinde: mørk teint, kvinde, menneske, mørk teint
👨🏻‍⚕	kittel, lys teint, læge, mand, mandlig sundhedsperson, mandlig sundhedsperson: lys teint, sygeplejerske
👨🏼‍⚕	kittel, læge, mand, mandlig sundhedsperson, mandlig sundhedsperson: medium til lys teint, medium til lys teint, sygeplejerske
👨🏽‍⚕	kittel, læge, mand, mandlig sundhedsperson, mandlig sundhedsperson: medium teint, medium teint, sygeplejerske
👨🏾‍⚕	kittel, læge, mand, mandlig sundhedsperson, mandlig sundhedsperson: medium til mørk teint, medium til mørk teint, sygeplejerske
👨🏿‍⚕	kittel, læge, mand, mandlig sundhedsperson, mandlig sundhedsperson: mørk teint, mørk teint, sygeplejerske
👩🏻‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: lys teint, lys teint, læge, sygeplejerske
👩🏼‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: medium til lys teint, læge, medium til lys teint, sygeplejerske
👩🏽‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: medium teint, læge, medium teint, sygeplejerske
👩🏾‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: medium til mørk teint, læge, medium til mørk teint, sygeplejerske
👩🏿‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: mørk teint, læge, mørk teint, sygeplejerske
👨🏻‍🎓	dimittend, eksamenshat, lys teint, mand, mandlig studerende, mandlig studerende: lys teint, studerende
👨🏼‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: medium til lys teint, medium til lys teint, studerende
👨🏽‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: medium teint, medium teint, studerende
👨🏾‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: medium til mørk teint, medium til mørk teint, studerende
👨🏿‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: mørk teint, mørk teint, studerende
👩🏻‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: lys teint, lys teint, studerende
👩🏼‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: medium til lys teint, medium til lys teint, studerende
👩🏽‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: medium teint, medium teint, studerende
