🦶🏻	Fuss, Fuss: helle Hautfarbe, helle Hautfarbe
🦶🏼	Fuss, Fuss: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🦶🏽	Fuss, Fuss: mittlere Hautfarbe, mittlere Hautfarbe
🦶🏾	Fuss, Fuss: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🦶🏿	Fuss, Fuss: dunkle Hautfarbe, dunkle Hautfarbe
👨‍🦳	Mann, Mann: weisses Haar, weisses Haar
👨🏻‍🦳	Mann, Mann: helle Hautfarbe, weisses Haar, helle Hautfarbe, weisses Haar
👨🏼‍🦳	Mann, Mann: mittelhelle Hautfarbe, weisses Haar, mittelhelle Hautfarbe, weisses Haar
👨🏽‍🦳	Mann, Mann: mittlere Hautfarbe, weisses Haar, mittlere Hautfarbe, weisses Haar
👨🏾‍🦳	Mann, Mann: mitteldunkle Hautfarbe, weisses Haar, mitteldunkle Hautfarbe, weisses Haar
👨🏿‍🦳	Mann, Mann: dunkle Hautfarbe, weisses Haar, dunkle Hautfarbe, weisses Haar
👩‍🦳	Frau, Frau: weisses Haar, weisses Haar
👩🏻‍🦳	Frau, Frau: helle Hautfarbe, weisses Haar, helle Hautfarbe, weisses Haar
👩🏼‍🦳	Frau, Frau: mittelhelle Hautfarbe, weisses Haar, mittelhelle Hautfarbe, weisses Haar
👩🏽‍🦳	Frau, Frau: mittlere Hautfarbe, weisses Haar, mittlere Hautfarbe, weisses Haar
👩🏾‍🦳	Frau, Frau: mitteldunkle Hautfarbe, weisses Haar, mitteldunkle Hautfarbe, weisses Haar
👩🏿‍🦳	Frau, Frau: dunkle Hautfarbe, weisses Haar, dunkle Hautfarbe, weisses Haar
🚶🏻	Fussgänger(in), Fussgänger(in): helle Hautfarbe, gehen, gehend, helle Hautfarbe, wandern
🚶🏼	Fussgänger(in), Fussgänger(in): mittelhelle Hautfarbe, gehen, gehend, mittelhelle Hautfarbe, wandern
🚶🏽	Fussgänger(in), Fussgänger(in): mittlere Hautfarbe, gehen, gehend, mittlere Hautfarbe, wandern
🚶🏾	Fussgänger(in), Fussgänger(in): mitteldunkle Hautfarbe, gehen, gehend, mitteldunkle Hautfarbe, wandern
🚶🏿	Fussgänger(in), Fussgänger(in): dunkle Hautfarbe, dunkle Hautfarbe, gehen, gehend, wandern
🚶🏻‍♂	Fussgänger, Fussgänger: helle Hautfarbe, Mann, Spaziergang, gehen, helle Hautfarbe
🚶🏼‍♂	Fussgänger, Fussgänger: mittelhelle Hautfarbe, Mann, Spaziergang, gehen, mittelhelle Hautfarbe
🚶🏽‍♂	Fussgänger, Fussgänger: mittlere Hautfarbe, Mann, Spaziergang, gehen, mittlere Hautfarbe
🚶🏾‍♂	Fussgänger, Fussgänger: mitteldunkle Hautfarbe, Mann, Spaziergang, gehen, mitteldunkle Hautfarbe
🚶🏿‍♂	Fussgänger, Fussgänger: dunkle Hautfarbe, Mann, Spaziergang, dunkle Hautfarbe, gehen
🚶🏻‍♀	Frau, Fussgängerin, Fussgängerin: helle Hautfarbe, Spaziergang, gehen, helle Hautfarbe
🚶🏼‍♀	Frau, Fussgängerin, Fussgängerin: mittelhelle Hautfarbe, Spaziergang, gehen, mittelhelle Hautfarbe
🚶🏽‍♀	Frau, Fussgängerin, Fussgängerin: mittlere Hautfarbe, Spaziergang, gehen, mittlere Hautfarbe
🚶🏾‍♀	Frau, Fussgängerin, Fussgängerin: mitteldunkle Hautfarbe, Spaziergang, gehen, mitteldunkle Hautfarbe
🚶🏿‍♀	Frau, Fussgängerin, Fussgängerin: dunkle Hautfarbe, Spaziergang, dunkle Hautfarbe, gehen
🖖🏻	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: helle Hautfarbe, helle Hautfarbe, vulkanisch
🖖🏼	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mittelhelle Hautfarbe, mittelhelle Hautfarbe, vulkanisch
🖖🏽	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mittlere Hautfarbe, mittlere Hautfarbe, vulkanisch
🖖🏾	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, vulkanisch
🖖🏿	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: dunkle Hautfarbe, dunkle Hautfarbe, vulkanisch
🤘🏻	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: helle Hautfarbe, helle Hautfarbe
🤘🏼	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🤘🏽	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: mittlere Hautfarbe, mittlere Hautfarbe
🤘🏾	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🤘🏿	Finger, Hand, Hörner, Rock, Teufel, Teufelsgruss, Teufelsgruss: dunkle Hautfarbe, dunkle Hautfarbe
🇧🇳	Flagge: Brunei
🇧🇼	Flagge: Botswana
🇧🇾	Flagge: Weissrussland
🇨🇻	Flagge: Kapverden
🇬🇧	Flagge: Grossbritannien
🇸🇧	Flagge: Salomon-Inseln
🇹🇱	Flagge: Osttimor
🇿🇼	Flagge: Zimbabwe
