_	Unterstrich
”	schliessendes doppeltes Anführungszeichen
)	Klammer, Parenthese, runde Klammer, schliessende Klammer, schliessende runde Klammer
]	eckige Klammer, eckige Klammer rechts, schliessende eckige Klammer
}	geschweifte Klammer, geschweifte Klammer rechts, geschwungene Klammer, geschwungene Klammer rechts, schliessende geschweifte Klammer, schliessende geschwungene Klammer
〉	Pfeilspitze rechts, Winkelklammer, schliessende Winkelklammer, schliessende spitze Klammer, spitze Klammer, spitze Klammer rechts
》	Klammer, doppelte spitze Klammer, schliessende doppelte spitze Klammer
」	Eckklammer, Klammer, schliessende Eckklammer, schliessende rechtwinklige Klammer
『	Klammer, weisse Eckklammer, öffnende weisse Eckklammer
』	Klammer, schliessende rechtwinklige Klammer hohl, schliessende weisse Eckklammer, weisse Eckklammer
】	Klammer, konkave Klammer, schliessende schwarze konkave Klammer, schwarze konkave Klammer
〕	rechte stumpfe Klammer, schliessende Klammer mit stumpfen Winkeln, schliessende stumpfe Klammer, stumpfe Klammer
〗	Klammer, hohle konkave Klammer, konkave Klammer, schliessende hohle konkave Klammer, schliessende linsenförmige Klammer hohl
§	Paragraph
@	Adresszeichen, Affenschaukel, Affenschwanz, At, At-Zeichen, Klammeraffe
`	Accent grave, Akzent, Betonung, Gravis
´	Accent aigu, Akut, Akzent, Betonung
⇦	weisser Pfeil nach links
⇧	weisser Pfeil nach oben
⇨	weisser Pfeil nach rechts
⇩	weisser Pfeil nach unten
⇪	weisser Pfeil nach oben von Strich weglaufend
=	gleich
>	Grösser-als-Zeichen, grösser als
≯	nicht grösser als
|	Längsstrich, Pipe, Pipe-Symbol, Pipe-Zeichen, senkrechter Strich, vertikaler Strich
≈	Näherung, Ungefähr-Zeichen, fast gleich wie, ungefähr gleich
≥	Vergleichszeichen, gleich, grösser als, grösser als oder gleich, ist gleich
≧	grösser als über gleich
≫	viel grösser als
≳	grösser als oder äquivalent
⋙	sehr viel grösser als
□	weisses Quadrat
▢	weisses Quadrat mit abgerundeten Ecken
▣	weisses Quadrat mit kleinem schwarzem Quadrat
▭	weisses Rechteck
△	weisses nach oben weisendes Dreieck
▵	weisses nach oben weisendes kleines Dreieck
▷	weisses nach rechts weisendes Dreieck
▹	weisses nach rechts weisendes kleines Dreieck
▻	weisser nach rechts weisender Zeiger
▽	weisses nach unten weisendes Dreieck
▿	weisses nach unten weisendes kleines Dreieck
◁	weisses nach links weisendes Dreieck
◃	weisses nach links weisendes kleines Dreieck
◅	weisser nach links weisender Zeiger
◇	weisses Karo
◈	weisses Karo mit kleinem schwarzem Karo
◉	weisser Kreis mit kleinem schwarzem Kreis
◕	schwarzer Kreis mit weissem Viertel oben links
◙	schwarzes Quadrat mit weissem Kreis
◦	weisses Aufzählungszeichen
◯	Kreis, Ring, grosser hohler Kreis
◳	weisses Quadrat mit Viertel oben rechts
◷	weisser Kreis mit Viertel oben rechts
◿	weisses Dreieck unten rechts
♪	Achtel, Achtelsnote, Musik, Note
⪚	gleich über grösser als
😃	Gesicht, grinsendes Gesicht mit grossen Augen, lol, lustig
😅	Gesicht, Lachender Smiley mit kaltem Schweiss, Schweiss, lustig, schwitzen
🫠	auflösen, schmelzen, schmelzendes Gesicht, verflüssigen, verschwinden
🤪	irres Gesicht
🫡	Aye aye, Gesicht, Truppen, grüssendes Gesicht, jawohl, ok, salutieren
🤐	Gesicht, Mund, Reissverschluss, Smiley mit Reissverschlussmund
😶‍🌫	Kopf in den Wolken
😮‍💨	ausatmendes Gesicht
🥵	Fieber, Hitzschlag, erhitzt, heiss, schwitzen, schwitzendes Gesicht
😵‍💫	Gesicht mit Spiralaugen
🥸	Brille, Gesicht, Gesicht mit Maske, Maske, Nase, incognito
😳	Erröteter Smiley mit grossen Augen, Gesicht, rote Wangen, überrascht
😰	Gesicht, Smiley mit offenem Mund und kaltem Schweiss, kalter Schweiss, offener Mund
😥	Gesicht, Schweiss, enttäuscht, erleichtert, trauriges aber erleichtertes Gesicht
😓	Gesicht, Smiley mit kaltem Schweiss, geschlossene Augen
👽️	Alien, Ausserirdischer, Ausserirdisches Wesen, Gesicht, UFO
❤‍🔥	brennendes Herz
❤‍🩹	Herz mit Pflaster
🤍	Herz, weiss, weisses Herz
💥	Comic, Kollision, Zusammenstoss
💦	Comic, Schweiss, Schweisstropfen
🖖	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, vulkanisch
🖖🏻	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: helle Hautfarbe, helle Hautfarbe, vulkanisch
🖖🏼	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mittelhelle Hautfarbe, mittelhelle Hautfarbe, vulkanisch
🖖🏽	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mittlere Hautfarbe, mittlere Hautfarbe, vulkanisch
🖖🏾	Finger, Hand, Spock, Vulkanier(in), Vulkanischer Gruss, Vulkanischer Gruss: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, vulkanisch
