_	dolna smužka, pódsmužka, smužka
-	minus, smužka, smužka-minus
‐	smužka, zwězujuca smužka, zwězujuca smužka Iwězawka
–	krotka smužka, smužka
—	dłujka smužka, smužka
―	linija, smužka, wódorowna, wódorowna smužka
・	Japańska, katakama, katakama-mjazydypk, mjazy dypk
,	interpunciske znamuško, koma
،	arabski koma, interpunkciske znamuško, koma
、	ideografiski koma, iterpunkciske znamuško, koma
;	interpunkciske znamuško, semikolon
؛	arabski semikolon, interpunkciske znamuško, semikolon
:	dwójodypk, interpunkciske znamuško
!	interpunkciske znamuško, wukśik, wuwołak
¡	interpunkciske znamuško, na głowje stojaś, wobrośony wuwołak, wuwołak, znak
?	interpunkciske znamuško, pšašak, pšašanje
¿	interpunkciske znamuško, na głowje stojaś, pšašak, pšašanje, wobrośony pšašak, znak
؟	arabski pšašak, interpunkciske znamuško, pšašak
.	dolny dypk, dypk
…	dypk, tśi dypki, tśi dypki Idypki
。	kólasko
·	dypk, srjejźny dypk
'	apostrof, narownańske znamuško, narownańske znamuško za apostrof
‘	apostrof, apostrof nalěwo, kokulka, nalěwo, tastatura
’	apostrof, apostrof napšawo, kokulka, napšawo, tastatura
‚	apostrof, apostrof dołojce napšawo, dołojce napšawo
“	nalěwo, pazorki, pazorki nalěwo, powědana rěc
”	napšawo, pazorki, pazorki napšawo, powědana rěc
„	pazorki dołojce napšawo
«	dwójna rožkata spinka, francojske pazorki, francojske pazorki nalěwo, rožkata, spinka
»	dwójna rožkata spinka, francojske pazorki, francojske pazorki napšawo, rožkata, spinka
)	kulowata, spinka, zacynjona, zacynjona kulowata spinka
[	rožkata spinka, spinka, wótcynjona, wótcynjona rožkata spinka
]	spinka, zacynjona, zacynjona rožkata spinka
{	kokulata, spinka, wótcynjona, wótcynjona kulowata spinka
}	kokulata, spinka, zacynjona, zacynjona kokulata spinka
〈	nalěwo, rožkata spinka, rožkata spinka nalěwo, spinka
〉	napšawo, rožkata spinka, rožkata spinka napšawo, spinka
《	dwójna rožkata spinka nalěwo, nalěwo, rožkata spinka, spinka
》	dwójna rožkata spinka napšawo, napšawo, rožkata spinka, spinka
「	nalěwo, pókulowata spinka, pókulowata spinka nalěwo, spinka, wukulowaśiś
」	napšawo, pókulowata spinka napšawo, spinka, wukulowaśiś
『	nalěwo, prozna pókulowata spinka, prozna pókulowata spinka nalěwo, prozna spinka, pókulowata spinka, spinka
』	napšawo, prozna pókulowata spinka napšawo, pókulowata spinka, spinka, wukulowaśiś
【	carna, lentikularna wótcynjona carna lentikularna spinka, spinka, wótcynjona, wótcynjona carna lentikularna spinka
】	carna, lentikularna, spinka, zacynjona, zacynjona carna lentikularna spinka
〔	spinka, wótcynjona špicna spinka, špicna
〕	spinka, zacynjona špicna spinka, špicna
〖	linsa, prozna, spinka, wótcynjona, wótcynjona prozna lentikularna spinka
〗	lentikularna, prozna, spinka, zacynjona, zacynjona prozna lentikularna spinka
§	kazń, paragraf, pšawnistwo, wótstawk, źěł
¶	wótrězk, wótrězki, wótrězkowa znamka
@	tastatura, znamuško, znamuško et
*️	gwězdka, tastatura
/	nakósna smužka, nakósna smužka nalěwo, nakósna smužka napšawo, nalěwo, smuzka
\	nakósna smužka, nakósna smužka nalěwo, nalěwo, smužka
&	&, et, tastatura, znamuško, znamuško ampersand, znamužko &
#️	dwójna kśicka, tastatura
%	procent, procenty, tastatura, znamuško "procent"
‰	promil, promile, tastatura, znamuško "promil"
†	kśica, obelisk, znamje, znamje kśice, znamje swěteje kśice
‡	dwójna kśica, obelisk, znamje, znamje dwójneje kśice
•	dypk, kulka
‧	dypk, złožki, złožki źělecy dypk, źěliś
′	apostrof, kokulka Itastatura
″	pazorki, tastatura
‴	tastatura, tšojny apostrof, tšojny apotrof
※	Chinska, Japańska, Korea, komejirushi, pokazaś na, wóznamjeniś
`	akcent, akcentuěrowane, interpunkciske znamuško, smužka, smužka nalěwo
´	akcent, akcentuěrowane, interpunkciske znamuško, smužka, smužka napšawo
^	interpunkciske znamuško, wobrośona kokulka
¨	dypka wušej pismika, interpunkciske znamuško, pśezuk
°	promil, stopjeń, stopjeń alkohola, temperatura
℗	copyright, muzika, nagrawanje, symbol za awtorske pšawa muzikaliskich nagrawanjow
←	nalěwo, nalěwo pokazujuca šypa, pokazowaś, šypa
→	napšawo, napšawo pokazujuca šypa, pokazowaś
↑	górjej, górjej pokazujuca šypa, pokazowaś, šypa
↓	dołoj, dołoj pokazujuca šypa, pokazaowaś, šypa
⇅	dołoj, górjej, górjej a dołoj pokazujucej šypje, pokazowaś
⇆	nalěwo, nalěwo pokazujuca šypa wušej napšawo pokazujuceje šypy, napšawo
∆	delta, delta symbol, pśirost, tśirožk
∇	nabla, symbol nabla, tśirožk
∈	element, element młogosći, młogosć, pśisłušnosć, wopśimjejo
+	aděrowaś, plus, znamje plus
±	plus a minus, znamje plus a minus
÷	diwiděrowaś, diwizija, symbol za diwiziju, źělenje pśez, źěliś pśez
×	multiplicěrowaś, multiplikacija, rozmnoženje, symbol za multiplikaciju
<	matematika, mjeńše ako
=	rowno
≠	njerowna se, znamje njerownosći
>	matematika, wětše ako
¬	matematika, negacija
|	matematika I, padorowna smuga, smuga
~	tilda
−	minus, substrahěrowaś, znamje minus
⁻	minus, minusowe znamuško, wušej stajone minusowe znamuško, wušej stajone znamuško
√	kwadratny kórjeń, kórjeń, matematika
∞	njeskóńcnosć, njeskóńcny, symbol njeskóńcnosći
∩	młogosć, se pśekšywaś, zgromadna młogosć
∪	gromadu měś, młogosć, młogosć zgromadnych elementow
≈	pśibližnje, pśisamem, tak někak
≡	identiski, identiski i identiske, jo identiski z, rowna se, tśi smužki
≤	jadnak wjelike, mjeńše ako, mjeńše ako abo jadnak wjelike, rownosć
≥	jadnak wjelike, rownosć, wětše ako, wětše ako abo jadnak wjelike
⊂	jo źěl, ma w sebje, wopśimjejo, źělna młogosć
▲	górjej, tśirožk, wupołnjony, wupołnjony górjej pokazujucy tśirožk, šypa
▼	cerwjeny tśírožk ze špicom dołoj, dołoj, tśirožk, wupołnjony, wupołnjony dołoj pokazujucy tśirožk
◊	geometrija, rombus
○	krejz, prozny krejz, rink
●	krejz, wupołnjony krejz
◯	krejz, rink, wjeliki prozny krejz
♪	nota, wósymka, wósymkowa nota
♭	b, muzika, noty, pśedznamuško, pśedznamuško b, znižyś
♯	muzika, noty, pówušyś, pśedznamuško kśicka
😀	luštne, se zubjece woblico, woblico, wótcynjona guba
😃	luštne, se zubjece woblico z wjelikima wócyma, smjejkotaś se, woblico
😄	luštne, se zubjece woblico ze se smjejucyma wócyma, se zubjece woblico ze smjejucyma wócyna, woblico, wótcynjona guba
😁	luštne, woblico, woblico z glucnym smjaśim a se smjejucyma wócyma, woblico z glucnym smjejkotanim a se smjejucyma wócyma, zuby
😆	se zubjece woblico z pśizacynjomoma wócyma, se zubjece woblico z pśizacynjonoma wócyma, woblico, wótcynjona guba
😅	luštne, se zubjece woblico ze znojowymi chrapkami, woblico, znoj, znojś se
🤣	se smjaśa dla na špundowanju walaś, smjaś se, woblico
😂	smjaś se, woblico, woblico ze łdzami wjasela, łdzy
