🧒🏻	child, gender-neutral, light skin tone, unspecified gender, young
🧒🏼	child, gender-neutral, medium-light skin tone, unspecified gender, young
🧒🏽	child, gender-neutral, medium skin tone, unspecified gender, young
🧒🏾	child, gender-neutral, medium-dark skin tone, unspecified gender, young
🧒🏿	child, dark skin tone, gender-neutral, unspecified gender, young
👦🏻	boy, light skin tone, young, young person
👦🏼	boy, medium-light skin tone, young, young person
👦🏽	boy, medium skin tone, young, young person
👦🏾	boy, medium-dark skin tone, young, young person
👦🏿	boy, dark skin tone, young, young person
👧🏻	Virgo, girl, light skin tone, young person, zodiac
👧🏼	Virgo, girl, medium-light skin tone, young person, zodiac
👧🏽	Virgo, girl, medium skin tone, young person, zodiac
👧🏾	Virgo, girl, medium-dark skin tone, young person, zodiac
👧🏿	Virgo, dark skin tone, girl, young person, zodiac
👨🏻‍🌾	farmer, gardener, light skin tone, man, rancher
👨🏼‍🌾	farmer, gardener, man, medium-light skin tone, rancher
👨🏽‍🌾	farmer, gardener, man, medium skin tone, rancher
👨🏾‍🌾	farmer, gardener, man, medium-dark skin tone, rancher
👨🏿‍🌾	dark skin tone, farmer, gardener, man, rancher
👩🏻‍🌾	farmer, gardener, light skin tone, rancher, woman
👩🏼‍🌾	farmer, gardener, medium-light skin tone, rancher, woman
👩🏽‍🌾	farmer, gardener, medium skin tone, rancher, woman
👩🏾‍🌾	farmer, gardener, medium-dark skin tone, rancher, woman
👩🏿‍🌾	dark skin tone, farmer, gardener, rancher, woman
👨🏻‍🔧	electrician, light skin tone, man, mechanic, plumber, tradesperson
👨🏼‍🔧	electrician, man, mechanic, medium-light skin tone, plumber, tradesperson
👨🏽‍🔧	electrician, man, mechanic, medium skin tone, plumber, tradesperson
👨🏾‍🔧	electrician, man, mechanic, medium-dark skin tone, plumber, tradesperson
👨🏿‍🔧	dark skin tone, electrician, man, mechanic, plumber, tradesperson
👩🏻‍🔧	electrician, light skin tone, mechanic, plumber, tradesperson, woman
👩🏼‍🔧	electrician, mechanic, medium-light skin tone, plumber, tradesperson, woman
👩🏽‍🔧	electrician, mechanic, medium skin tone, plumber, tradesperson, woman
👩🏾‍🔧	electrician, mechanic, medium-dark skin tone, plumber, tradesperson, woman
👩🏿‍🔧	dark skin tone, electrician, mechanic, plumber, tradesperson, woman
👨🏻‍💼	business man, light skin tone, manager, office worker, white collar
👨🏼‍💼	business man, manager, medium-light skin tone, office worker, white collar
👨🏽‍💼	business man, manager, medium skin tone, office worker, white collar
👨🏾‍💼	business man, manager, medium-dark skin tone, office worker, white collar
👨🏿‍💼	business man, dark skin tone, manager, office worker, white collar
👩🏻‍💼	business woman, light skin tone, manager, office worker, white collar
👩🏼‍💼	business woman, manager, medium-light skin tone, office worker, white collar
👩🏽‍💼	business woman, manager, medium skin tone, office worker, white collar
👩🏾‍💼	business woman, manager, medium-dark skin tone, office worker, white collar
👩🏿‍💼	business woman, dark skin tone, manager, office worker, white collar
👨🏻‍🎤	entertainer, light skin tone, man, performer, rock singer, star
👨🏼‍🎤	entertainer, man, medium-light skin tone, performer, rock singer, star
👨🏽‍🎤	entertainer, man, medium skin tone, performer, rock singer, star
👨🏾‍🎤	entertainer, man, medium-dark skin tone, performer, rock singer, star
👨🏿‍🎤	dark skin tone, entertainer, man, performer, rock singer, star
👩🏻‍🎤	entertainer, light skin tone, performer, rock singer, star, woman
👩🏼‍🎤	entertainer, medium-light skin tone, performer, rock singer, star, woman
