_	dash, line, low dash, underdash, underline, underscore
.	full stop
。	full stop, ideographic, ideographic full stop, period
'	apostrophe, quote, single quote, straight apostrophe, typewriter apostrophe
〈	angle bracket, bracket, chevron, diamond brackets, left angle bracket, open angle bracket, pointy bracket, tuple
〉	angle bracket, bracket, chevron, close angle bracket, diamond brackets, pointy bracket, right angle bracket, tuple
《	bracket, double angle bracket, left double angle bracket, open double angle bracket
》	bracket, close double angle bracket, double angle bracket, right double angle bracket
「	bracket, corner bracket, left corner bracket, open corner bracket
」	bracket, close corner bracket, corner bracket, right corner bracket
『	bracket, hollow corner bracket, left hollow corner bracket, open hollow corner bracket
』	bracket, close hollow corner bracket, hollow corner bracket, right hollow corner bracket
【	bracket, left black lenticular bracket, lens bracket, lenticular bracket, open black lenticular bracket
】	bracket, close black lenticular bracket, lens bracket, lenticular bracket, right black lenticular bracket
〖	bracket, hollow lens bracket, hollow lenticular bracket, left hollow lenticular bracket, open hollow lenticular bracket
〗	bracket, close hollow lenticular bracket, hollow lens bracket, hollow lenticular bracket, right hollow lenticular bracket
@	ampersat, arobase, arroba, at mark, at sign, commercial at, strudel
%	per cent
‰	per mil, per mill, per mille, permil, permille
†	dagger, dagger sign, dagger symbol, obelisk, obelus
‡	dagger, double, double dagger sign, double dagger symbol, obelisk, obelus
^	accent, caret, chevron, circumflex, hat, power, wedge
↚	leftwards arrow with stroke
↛	rightwards arrow with stroke
↞	leftwards two-headed arrow
↟	upwards two-headed arrow
↠	rightwards two-headed arrow
↡	downwards two-headed arrow
↢	arrow, arrow with tail, left, leftwards arrow with tail
↣	rightwards arrow with tail
↨	up-down arrow with base
↫	leftwards arrow with loop
↬	rightwards arrow with loop
↭	left-right wave arrow
↰	upwards arrow with leftwards tip
↱	upwards arrow with rightwards tip
↲	downwards arrow with leftwards tip
↳	downwards arrow with rightwards tip
↴	rightwards arrow with corner downwards
↵	downwards arrow with corner leftwards
↶	anticlockwise top-semicircle arrow
↷	clockwise top-semicircle arrow
↸	north-west arrow to long bar
↹	leftwards over rightwards arrow bars
↺	anticlockwise open-circle arrow
↻	clockwise open-circle arrow
↼	leftwards harpoon with upwards barb
↽	leftwards harpoon with downwards barb
↾	upwards harpoon with rightwards barb
↿	upwards harpoon with leftwards barb
⇀	rightwards harpoon with upwards barb
⇁	rightwards harpoon with downwards barb
⇂	downwards harpoon with rightwards barb
⇃	downwards harpoon with leftwards barb
⇍	leftwards double arrow with stroke
⇏	rightwards double arrow with stroke
⇔	left-right double arrow
⇎	left-right double arrow with stroke
⇖	north-west double arrow
⇗	north-east double arrow
⇘	south-east double arrow
⇙	south-west double arrow
⇞	upwards arrow with double stroke
⇟	downwards arrow with double stroke
⇤	leftwards arrow bar, leftwards arrow to bar
⇥	rightwards arrow bar, rightwards arrow to bar
⇵	downwards and upwards arrows
▲	arrow, black up-pointing triangle, filled up-pointing triangle, triangle, up
▼	arrow, black down-pointing triangle, down, filled down-pointing triangle, triangle
◐	circle with left half filled
◑	circle with right half filled
◒	circle with lower half filled
◓	circle with upper half filled
◙	black square containing hollow circle, filled square containing hollow circle, inverse hollow circle
♪	eighth, music, note, quaver
😋	delicious, face, face savoring food, face savouring food, savouring, smile, yum
🤭	embarrassed, face with hand over mouth, oops, whoops
😶‍🌫	absent-minded, face in clouds, face in the fog, head in clouds
😷	cold, doctor, face with medical mask, ill, mask, medicine, poorly, sick
🫤	disappointed, face with diagonal mouth, meh, sceptical, unsure
🙌	celebration, gesture, hand, hooray, raising hands, woo hoo, yay
