🦵🏻	extremidad, patada, piel tipo 1–2, pierna, pierna: piel tipo 1–2
🦵🏼	extremidad, patada, piel tipo 3, pierna, pierna: piel tipo 3
🦵🏽	extremidad, patada, piel tipo 4, pierna, pierna: piel tipo 4
🦵🏾	extremidad, patada, piel tipo 5, pierna, pierna: piel tipo 5
🦵🏿	extremidad, patada, piel tipo 6, pierna, pierna: piel tipo 6
🦶🏻	patada, pie, pie: piel tipo 1–2, piel tipo 1–2, pisotón
🦶🏼	patada, pie, pie: piel tipo 3, piel tipo 3, pisotón
🦶🏽	patada, pie, pie: piel tipo 4, piel tipo 4, pisotón
🦶🏾	patada, pie, pie: piel tipo 5, piel tipo 5, pisotón
🦶🏿	patada, pie, pie: piel tipo 6, piel tipo 6, pisotón
🦸🏻	bueno, heroína, héroe, piel tipo 1–2, superhéroe, superhéroe: piel tipo 1–2, superpoder
🦸🏼	bueno, heroína, héroe, piel tipo 3, superhéroe, superhéroe: piel tipo 3, superpoder
🦸🏽	bueno, heroína, héroe, piel tipo 4, superhéroe, superhéroe: piel tipo 4, superpoder
🦸🏾	bueno, heroína, héroe, piel tipo 5, superhéroe, superhéroe: piel tipo 5, superpoder
🦸🏿	bueno, heroína, héroe, piel tipo 6, superhéroe, superhéroe: piel tipo 6, superpoder
🦸🏻‍♀	heroína, héroe, mujer, mujer superhéroe: piel tipo 1–2, piel tipo 1–2, superhéroe, superpoder
🦸🏼‍♀	heroína, héroe, mujer, mujer superhéroe: piel tipo 3, piel tipo 3, superhéroe, superpoder
🦸🏽‍♀	heroína, héroe, mujer, mujer superhéroe: piel tipo 4, piel tipo 4, superhéroe, superpoder
🦸🏾‍♀	heroína, héroe, mujer, mujer superhéroe: piel tipo 5, piel tipo 5, superhéroe, superpoder
🦸🏿‍♀	heroína, héroe, mujer, mujer superhéroe: piel tipo 6, piel tipo 6, superhéroe, superpoder
🦸🏻‍♂	bueno, hombre, hombre superhéroe: piel tipo 1–2, héroe, piel tipo 1–2, superhéroe, superpoder
🦸🏼‍♂	bueno, hombre, hombre superhéroe: piel tipo 3, héroe, piel tipo 3, superhéroe, superpoder
🦸🏽‍♂	bueno, hombre, hombre superhéroe: piel tipo 4, héroe, piel tipo 4, superhéroe, superpoder
🦸🏾‍♂	bueno, hombre, hombre superhéroe: piel tipo 5, héroe, piel tipo 5, superhéroe, superpoder
🦸🏿‍♂	bueno, hombre, hombre superhéroe: piel tipo 6, héroe, piel tipo 6, superhéroe, superpoder
🦹🏻	criminal, malo, malvado, piel tipo 1–2, superpoder, supervillano, supervillano: piel tipo 1–2, villano
🦹🏼	criminal, malo, malvado, piel tipo 3, superpoder, supervillano, supervillano: piel tipo 3, villano
🦹🏽	criminal, malo, malvado, piel tipo 4, superpoder, supervillano, supervillano: piel tipo 4, villano
🦹🏾	criminal, malo, malvado, piel tipo 5, superpoder, supervillano, supervillano: piel tipo 5, villano
🦹🏿	criminal, malo, malvado, piel tipo 6, superpoder, supervillano, supervillano: piel tipo 6, villano
🦹🏻‍♀	criminal, malvada, mujer, mujer supervillana, mujer supervillana: piel tipo 1–2, piel tipo 1–2, superpoder, villana
