_	baja, bajo, guion, raya, subraya
-	guion, guion-menos, menos, raya
‐	guion, raya
―	barra, barra horizontal, línea, raya
・	interpunto, katakana, medio, punto, punto centrado, puntos
.	punto, punto final, punto y aparte, punto y seguido
…	elipsis, omisión, puntos
'	apóstrofo, apóstrofo de ancho fijo, comillas, comillas simples
‘	apóstrofo, apóstrofo izquierdo, comilla, comilla simple
’	apóstrofo, apóstrofo derecho, comilla, comilla simple
‚	apóstrofo bajo, apóstrofo derecho bajo, cita, cita baja
“	cita, comilla, comilla doble izquierda, doble
”	cita, comilla, comilla doble derecha, doble
„	cita baja, comilla, comilla doble derecha baja, doble
«	angular, comilla, comilla angular de apertura, comilla de apertura, izquierda
»	angular, comilla, comilla angular de cierre, comilla de cierre, derecha
)	corchete, paréntesis, paréntesis de cierre, redondo
[	corchete de apertura
]	corchete de cierre
{	llave de apertura
}	llave de cierre
〈	angular de apertura
〉	angular de cierre
《	doble angular de apertura
》	doble angular de cierre
「	comilla esquinada de apertura
」	comilla esquinada de cierre
『	corchea esquinada de apertura
』	corchea esquinada de cierre
【	corchete lenticular de apertura negro
】	corchete lenticular de cierre negro
〔	corchete caparazón tortuga de apertura
〕	corchete caparazón tortuga de cierre
〖	corchete lenticular de apertura blanco
〗	corchete lenticular de cierre blanco
‧	guion, punto, punto de separación, raya
‸	inserción
↓	abajo, flecha, flecha apuntando hacia abajo
↴	Flecha hacia la derecha con la esquina hacia abajo
↵	Flecha hacia abajo con la esquina hacia la izquierda
↶	Flecha de semicírculo superior en sentido antihorario
↷	Flecha de semicírculo superior a la derecha
↸	Barra larga de flecha hacia el noroeste
↹	Barra de flecha hacia la izquierda sobre barra de flecha hacia la derecha
↺	Flecha de círculo abierto en sentido antihorario
↻	Flecha de círculo abierto en sentido horario
↼	Arpón a la izquierda con púa hacia arriba
↽	Arpón a la izquierda con púa hacia abajo
↾	Arpón hacia arriba con púa hacia la derecha
↿	Arpón hacia arriba con púa hacia la izquierda
⇀	Arpón a la derecha con púa hacia arriba
⇁	Arpón a la derecha con púa hacia abajo
⇂	Arpón hacia abajo con púa hacia la derecha
⇃	Arpón hacia abajo con púa hacia la izquierda
⇄	Flecha hacia la derecha sobre flecha hacia la izquierda
⇇	Flechas pareadas a la izquierda, par de flechas hacia la izquierda
⇈	Flechas pareadas hacia arriba
⇉	Flechas pareadas hacia la derecha
⇊	Flechas pareadas hacia abajo
⇋	Arpón hacia la izquierda sobre arpón hacia la derecha
⇌	Arpón hacia la derecha sobre arpón hacia la izquierda
⇐	Doble flecha hacia la izquierda
⇍	Doble flecha hacia la izquierda con trazo
⇑	Flecha doble hacia arriba
⇒	Doble flecha hacia la derecha
⇏	Doble flecha hacia la derecha con trazo
⇓	Doble flecha hacia abajo
⇔	Doble flecha bidireccional
⇎	Doble flecha bidireccional con trazo
⇖	Doble flecha en dirección noroeste
⇗	Doble flecha en dirección noreste
⇘	Doble flecha en dirección sureste
⇙	Doble flecha en dirección suroeste
⇚	Flecha triple hacia la izquierda
⇛	Flecha triple hacia la derecha
⇜	Flecha garabateada hacia la izquierda
⇝	Flecha garabateada hacia la derecha
⇞	Flecha hacia arriba con doble trazo
⇟	Flecha hacia abajo con doble trazo
⇠	Flecha punteada hacia la izquierda
⇡	Flecha punteada hacia arriba
⇢	Flecha punteada hacia la derecha
⇣	Flecha punteada hacia abajo
⇤	Flecha hacia la izquierda hacia la barra
⇥	Flecha hacia la derecha hacia la barra
⇦	Flecha blanca hacia la izquierda
⇧	Flecha blanca hacia arriba
⇨	Flecha blanca hacia la derecha
⇩	Flecha blanca hacia abajo
⇪	Flecha blanca hacia arriba de la barra
⇵	Flecha blanca hacia abajo de la barra
∀	Para todos
∂	Diferencial parcial
∃	Existe
∅	Conjunto vacío
∉	No es un elemento de
∋	Contiene como miembro
∎	Fin de la prueba
