‾	línea superpuesta, sobreraya, vinculum
_	guion, guion bajo, línea, línea baja, subrayado
-	guion, guion-menos, menos
–	guión, guión corto
—	guión, guión largo
・	katakana, punto medio, punto medio japonés, puntos
!	exclamación, punto de admiración, signo de exclamación, signo exclamación, sorpresa
¡	exclamación, invertida, punto de admiración, signo de exclamación, signo de exclamación de apertura, signo de exclamación invertida, signo exclamación invertida, sorpresa
?	pregunta, signo de interrogación, signo interrogación
¿	invertida, pregunta, signo de interrogación de apertura, signo de interrogación invertida, signo interrogación invertida
؟	pregunta, signo de interrogación, signo de interrogación árabe, árabe
‽	exclarrogativo, interabang, interrobang
·	interpunto, medio, punto
'	apóstrofo, comilla, comilla recta, comilla simple
‘	apóstrofo, comilla, comilla izquierda, comilla simple
’	apóstrofo, comilla, comilla derecha, comilla simple
‚	apóstrofo, comilla, comilla baja, comilla derecha baja
“	comilla doble izquierda, comillas, comillas de apertura, comillas dobles, comillas dobles izquierdas
”	comilla, comilla doble, comilla doble derecha, comilla doble dereha, comillas, comillas de cierre
„	comilla baja, comilla doble, comilla doble baja derecha
«	comillas de apertura
»	comillas de cierre
)	paréntesis, paréntesis de cierre, paréntesis redondo
[	corchete, corchete de apertura, paréntesis, paréntesis cuadrado
]	corchete, corchete de cierre, paréntesis, paréntesis cuadrado
{	abrir llaves, llave de apertura, paréntesis, paréntesis curveado
}	cerrar llaves, llave de cierre, paréntesis, paréntesis curveado
〈	cheurón, comilla angular, comilla angular de apertura, paréntesis, paréntesis puntiagudo, tuple
〉	cheurón, comilla angular, comilla angular de cierre, paréntesis, paréntesis puntiagudo, tuple
《	comilla, comilla angular doble, comilla angular doble de apertura
》	comilla, comilla angular doble, comilla angular doble de cierre
「	corchete, corchete esquinado, corchete esquinado de apertura
」	corchete, corchete esquinado, corchete esquinado de cierre
『	corchete, corchete esquinado de apertura, corchete esquinado de apertura hueco, corchete esquinado hueco
』	corchete, corchete esquinado de cierre, corchete esquinado de cierre hueco, corchete esquinado hueco
【	corchete, corchete lenticular, corchete lenticular de apertura negro, corchete lenticular de apetrura negro
】	corchete, corchete lenticular, corchete lenticular de cierre negro
〔	corchete, corchete caparazón de tortuga, corchete de apertura caparazón de tortuga, corchete de caparazón
〕	corchete, corchete caparazón de tortuga, corchete de caparazón, corchete de cierre caparazón de tortuga
