🏻	1–2. mota, azalaren tonua
🏼	3. mota, azalaren tonua
🏽	azalaren tonua, bitarteko azal-tonua
🏾	5. mota, azalaren tonua
🏿	6. mota, azalaren tonua
😀	aurpegi, barre egiten ari den aurpegia, irribarre
😁	aurpegi, barre, begi, begiez barre egiten ari den aurpegia, irribarre
😂	aurpegi, barre, malko, poz, pozez negar egiten ari den aurpegia
🤣	barrez, barrez leherka, leherka, lehertu
😃	aho, aurpegi, ireki, irribarre, irribarre egiten ari den aurpegia, ahoa irekita
😄	aho, aurpegi, begi, begiez irribarre egiten ari den aurpegia, ahoa irekita, ireki, irribarre
😅	aurpegi, hotz, ireki, irribarre, irribarre egiten ari den aurpegia, izerdi hotzarekin eta ahora irekita, izerdi
😆	aho, asebeteta, aurpegi, barre, ireki, irribarre, irribarre egiten ari den aurpegia, begiak itxita
😉	aurpegi, begiaz keinu egiten ari den aurpegia, keinu
😊	aurpegi, begi, begiez irribarre egiten ari den aurpegia, gorritu, irribarre
😋	aurpegi, dastatu, gozo, irribarre, janari gozoa dastatzen ari den aurpegia, mmm
😎	argitasun, aurpegi, begi, cool, eguzkitako betaurreko, irribarre egiten ari den aurpegia, eguzkitako betaurrekoekin
😍	aurpegi, begi, bihotz, irribarre, irribarre egiten ari den aurpegia, bihotz-itxurako begiekin, maitasun
😘	aurpegi, bihotz, musu, musu bat bidaltzen ari den aurpegia
🥰	irribarre egiten ari den aurpegia, 3 bihotzekin, maiteminduta, oso gustuko, txoratze
😗	aurpegi, musu, musuka ari den aurpegia
😙	aurpegi, begi, irribarre, musu, musuka eta begiez irribarre egiten ari den aurpegia
😚	aurpegi, begi, itxi, musu, musuka ari den aurpegia, begiak itxita
🙂	apur bat irribarre egiten ari den aurpegia, aurpegi, irribarre
🤗	aurpegi, besarkada, besarkada ematen ari den aurpegia, besarkatu
🤩	aurpegi, begiak, irribarretsu, izar
🤔	aurpegi, pentsatzen, pentsatzen ari den aurpegia
🤨	bekaina jasota duen aurpegia, eszeptiko, mesfidatu
😑	aurpegi, espresiorik gabe, espresiorik gabeko aurpegia
😶	aho, ahorik gabeko aurpegia, aurpegi, isilik, isiltasun
🙄	aurpegi, begiak, begiak bueltaka dituen aurpegia, biraka, bueltaka
😏	aurpegi, handiki, handitasun-aurpegia
😣	aurpegi, aurpegi nekaezina, nekaezin, pertseberantzia
😥	aurpegi, desengainatuta, desengainatuta baina lasaiago, eskerrak, lasai
😮	aho, ahoa irekita duen aurpegia, aurpegi, ireki, poza
🤐	aho, aurpegi, kremailera, kremaileradun ahoa duen aurpegia
😯	aurpegi, harridura, harridura-aurpegia, harrituta, zur eta lur
😪	aurpegi, lo, logura, logura-aurpegia
😫	aurpegi, nekatu, nekatu-aurpegia
😴	aurpegi, lo, lo dagoen aurpegia, zzz
😌	aurpegi, lasaitasun, lasaitasun-aurpegia
😛	aurpegi, mingain, mingaina kanpoan duen aurpegia
😜	aurpegi, begi, keinu, mingain, mingaina kanpoan duen eta begiaz keinu egiten ari den aurpegia, txantxa
😝	aurpegi, begi, mingain, mingaina kanpoan duen eta begiak itxita dituen aurpegia, txar, zapore
🤤	aurpegi, aurpegia lerdea dariola, lerde
😒	aspertu-aurpegia, aspertuta, aurpegi, triste
😓	aurpegi, hotz, izerdi, izerdi hotza duen aurpegia
😔	aurpegi, aurpegi pentsakorra, goibel, pentsakor
😕	aurpegi, nahasketa-aurpegia, nahastuta
🙃	aurpegi, buruz behera, buruz behera dagoen aurpegia
🤑	aho, aurpegi, diru, diru-itxurako mingaina duen aurpegia
😲	aurpegi, guztiz, harridura, harritu-aurpegia, sorpresa
🙁	aurpegi, aurpegi apur bat kopetiluna, kopetilun
😖	aurpegi, hutsegite, hutsegite-aurpegia
😞	aurpegi, etsipen, etsipen-aurpegia
😟	aurpegi, aurpegi kezkatua, kezkatu
😤	aurpegi, irabazi, sudurretik kea darion aurpegia, txapeldun
😢	aurpegi, malko, negar, negarrez ari den aurpegia, triste
😭	aurpegi, malko, negar, negar eta negar ari den aurpegia, triste, zotinka
😦	aho, aurpegi, ireki, kopeta ilunduta eta ahoa irekita duen aurpegia, kopetilun
😧	aurpegi, estutasun, estutasun-aurpegia
😨	aurpegi, beldur, ikara, ikara-aurpegia, ikaratu
😩	aurpegi, nazkatu, neke, neke-aurpegia
🤯	lehertzear den burua, txundituta
😬	aurpegi, imintzio, imintzio-aurpegia
😰	aho, ahoa irekita eta izerdi hotza duen aurpegia, aurpegi, grinatsu, hotz, irekita, izerdi
😱	aurpegi, beldur, beldurrez oihuka ari den aurpegia, beldurti, beldurtu, izutu
🥵	bero, bero-bero dagoen aurpegia, bero-kolpe, gorritu, izerditan, sukartsu
🥶	aurpegi izoztu, hotz, izoztu, oso hotz, urdindu
😳	aurpegi, aurpegi gorritua, gorritu, nahastu
🤪	begi, ero-aurpegia, handi, txiki
😵	aurpegi, zorabiatu, zorabio-aurpegia
😡	amorru, aurpegi, aurpegi muturtua, ero, gorri, haserre, muturtu
😠	aurpegi, ero, haserre, haserre-aurpegia
🤬	ahoan ikurrak dituen aurpegia, izerditan
😷	aurpegi, gaixo, hotzeri, maskara, mediku-maskara daraman aurpegia, medikuntza, sendagile
🤒	aurpegi, gaixo, termometro, termometroa duen aurpegia
🤕	aurpegi, benda, buruan benda daraman aurpegia, oinaze, zauri
🤢	aurpegi, aurpegi zorabiatua, goitika, zorabiatu
🤮	gaixo, goitika, goitika ari den aurpegi
🤧	aurpegi, aurpegia mukiak kentzen, kendu, muki
😇	aingeru, argi-koroa, aurpegi, fantasia, inuzente, ipuin, irribarre, irribarre egiten ari den aurpegia argi-koroarekin
🤠	aurpegi, behizain, behizain txanodunaren aurpegia, txano, unai
🥳	adar, festa, kapelu, ospakizun, parrandan dabilen aurpegia
🥴	ahoa okertuta, alai, begiak okertuta, mozkortuta, tentel-aurpegia, zorabiatuta
🥺	aurpegi erregutzailea, begirada erregutzaile, erregutze, gupida
🤥	aurpegi, aurpegi gezurtia, gezur, pinotxo
🤫	isilarazi, isilik, isiltasuna eskatzen ari den aurpegia, ixo
🤭	ene, eskuaz ahoa estaltzen ari den aurpegia
🧐	aspergarria, monokulo bat duen aurpegia
🤓	arraro, arraro-aurpegia, aurpegi, berezi
😈	adarrak, aurpegi, fantasia, ipuin, irribarre, irribarre egiten ari den aurpegi adarduna
👿	aurpegi, deabru, deabrua, fantasia, ipuin
🤡	aurpegi, pailazo, pailazo-aurpegia
👹	aurpegi, fantasia, ipuin, izaki, japoniera, munstro, ogroa
👺	aurpegi, fantasia, ipuin, iratxoa, izaki, japoniera, munstro
💀	aurpegi, buru-hezurra, gorputz, heriotz, hil, ipuin, munstro
👻	aurpegi, fantasia, ipuin, izaki, mamua, munstro
👾	aurpegi, espazio, estralurtar, fantasia, ipuin, izaki, munstro, munstro estralurtarra, ohe
🤖	aurpegi, munstro, robot, robot-aurpegia
💩	aurpegi, gorotz, kaka, kaka-mokordoa, komiki, monstruo
😺	aho, ahoa irekita duen eta irribarre egiten ari den katu-aurpegia, aurpegi, ireki, irribarre, katu
😸	aurpegi, barre, begi, begiez barre egiten ari den katu-aurpegia, katu
😹	aurpegi, katu, malko, poz, pozez negar ari den katu-aurpegia
😻	aurpegi, begi, bihotz, bihotz-itxurako begiak dituen eta irribarre egiten ari den katu-aurpegia, irribarre, katu, maitasun
😼	aurpegi, ironiko, irribarre, irribarre maltzurra duen katu-aurpegia, katu, maltzur
😽	aurpegi, begi, begiak itxita dituen eta musuka ari den katu-aurpegia, katu, musu
🙀	aurpegi, harritu, katu, leher eginda, leher eginda dagoen katu-aurpegia, nekatu
😿	aurpegi, katu, malko, negar, negarrez ari den katu-aurpegia, triste
😾	aurpegi, katu, katu-aurpegi muturtua, muturtu
🙈	aurpegi, debekatu, ez, gauza txarrik ikusi nahi ez duen tximua, ikusi, keinu, txar, tximu
🙉	aurpegi, debekatu, entzun, ez, gauza txarrik entzun nahi ez duen tximua, keinu, txar, tximu
🙊	aurpegi, debekatu, esan, ez, gauza txarrik esan nahi ez duen tximua, keinu, txar, tximu
👶	haurtxo, haurtxoa
🧒	gazte, genero neutroko, haur
👦	gizon, mutil, mutila
👧	emakume, neska
🧑	genero neutroko, heldu
👱	ilehori, pertsona ilehoria
👨	gizon, gizona, gizonezko
👱‍♂	gizon, gizon ilehoria, gizonezko, ilehori
🧔	bizar, pertsona bizarduna
👩	emakume, emakumea, emakumezko
👱‍♀	emakume, emakume ilehoria, emakumezko, ilehori
🧓	adineko, agure, genero neutroko
👴	agure, aitona, gizon, gizonezko, zahar
👵	agure, amona, emakume, emakumezko, zahar
👨‍⚕	erizaina, gizon, gizon sendagilea, gizonezko, osasun, sendagile, terapeuta
👩‍⚕	emakume, emakume sendagilea, emakumezko, erizain, osasun, sendagile, terapeuta
👨‍🎓	gizon, gizonezko, graduatu, ikasle, mutil ikaslea
👩‍🎓	emakume, emakumezko, graduatu, ikasle, neska ikaslea
👨‍🏫	gizon, gizon irakaslea, gizonezko, irakasle, maisu
👩‍🏫	andereño, emakume, emakume irakaslea, emakumezko, irakasle
👨‍⚖	balantza, gizon, gizon epailea, gizonezko, justizia
👩‍⚖	balantzak, emakume, emakume epailea, emakumezko, epaiketa
👨‍🌾	baserritar, gizon, gizon nekazaria, gizonezko, lorezain, nekazari
👩‍🌾	baserritar, emakume, emakume nekazaria, emakumezko, lorezain, nekazari
👨‍🍳	chef, gizon, gizon sukaldaria, gizonezko, sukaldari
👩‍🍳	chef, emakume, emakume sukaldaria, emakumezko, sukaldari
👨‍🔧	elektrikari, gizon, gizon mekanikaria, gizonezko, iturgin, mekarikari, saltzaile
👩‍🔧	elektrikari, emakume, emakume mekanikaria, emakumezko, iturgin, saltzaile
👨‍🏭	fabrika, fabrikako gizon langilea, gizon, gizonezko, industria, langile, mihiztatu
👩‍🏭	emakume, emakumezko, fabrika, fabrikako emakume langilea, industria, langile, mihiztatu
👨‍💼	alkandora, arkitekto, bulego, enpresa, gizon, gizon bulegaria, gizonezko, kudeatzaile
👩‍💼	alkandora, arkitekto, bulego, emakume, emakume bulegaria, emakumezko, enpresa, kudeatzaile
👨‍🔬	biologo, fisikari, gizon, gizon zientzialaria, gizonezko, ingeniari, kimikari, matematikari, zientzialari
👩‍🔬	biologo, emakume, emakume zientzialaria, emakumezko, fisikari, ingeniari, kimikari, matematikari, zientzialari
👨‍💻	asmatzaile, garatzaile, gizon, gizon teknologialaria, gizonezko, kodetzaile, software, teknologia
👩‍💻	asmatzaile, emakume, emakume teknologialaria, emakumezko, garatzaile, kodetzaile, software, teknologia
👨‍🎤	abeslari, aisia, aktore, gizon, gizon abeslaria, gizonezko, izar, rock
👩‍🎤	abeslari, aisia, aktore, emakume, emakume abeslaria, emakumezko, izar, rock
👨‍🎨	artista, gizon, gizon artista, gizonezko, paleta
👩‍🎨	artista, emakume, emakume artista, emakumezko, paleta
👨‍✈	gizon, gizon pilotua, gizonezko, hegazkin, pilotu
👩‍✈	emakume, emakume pilotua, emakumezko, hegazkin, pilotu
👨‍🚀	astronauta, espazioa, gizon, gizon astronauta, gizonezko, suziri
👩‍🚀	astronauta, emakume, emakume astronauta, emakumezko, espazioa, suziri
👨‍🚒	gizon, gizon suhiltzailea, gizonezko, suhiltzaile, suhiltzaile-kamioi
👩‍🚒	emakume, emakume suhiltzailea, emakumezko, suhiltzaile, suhiltzaile-kamioi
👮	aginte, polizia
👮‍♂	aginte, gizon, gizon polizia, gizonezko, polizia
👮‍♀	aginte, emakume, emakume polizia, emakumezko, polizia
🕵‍♂	detektibe, espia, gizon, gizon detektibea, gizonezko
🕵‍♀	detektibe, emakume, emakume detektibea, emakumezko, espia
💂	zaindari, zaindaria
💂‍♂	gizon, gizon zaindaria, gizonezko, zaindari
💂‍♀	emakume, emakume zaindaria, emakumezko, zaindari
👷	eraikuntza, eskulangilea, kasko, langile
👷‍♂	eraikuntza, gizon, gizon eskulangilea, gizonezko, langile
👷‍♀	emakume, emakume eskulangilea, emakumezko, eraikuntza, langile
🤴	printze, printzea
👸	fantasia, ipuin, printzesa
👳	turbante, turbantea duen petsona
👳‍♂	gizon, gizonezko, turbante, turbantea duen gizona
👳‍♀	emakume, emakumezko, turbante, turbantea duen emakumea
👲	gizon, gua pi mao, txano, txano txinatarra daraman gizona
🧕	buruan zapi bat daraman emakumea, hijab, mantilla, tichel, zapi
🤵	esmokin, gizon, gizona esmokinean, senargai
👰	belo, beloa daraman emaztegaia, emaztegai, ezkontza
🤰	emakume, emakumea haurdun, haurdun
🤱	bular, bularra ematea, bularreko haur, haurtxo
👼	aingeru, aingeru-itxura duen haurtxoa, aurpegi, fantasia, haurtxo, ipuin
🎅	aita, aita noel, fantasia, gabonak, ospakizun
🤶	ama, gabonak, gabonetako ama
🦸	heroi, on, superbotere, superheroi
🦸‍♀	emakume, emakumezko superheroi, heroi, on, superbotere
🦸‍♂	gizon, gizonezko superheroi, heroi, on, superbotere
🦹	bilau, gaizto, kriminal, superbilau, superbotere
🦹‍♀	bilau, emakume, emakumezko superbilau, gaizto, kriminal, superbotere
🦹‍♂	bilau, gaizto, gizon, gizonezko superbilau, kriminal, superbotere
🧙	azti, mago, sorgin
🧙‍♀	emakume mago, sorgin
🧙‍♂	belagile, gizon mago
🧚	Oberon, Puck, Titania, maitagarri
🧚‍♀	(emakume) maitagarri, Titania
🧚‍♂	(gizon) maitagarri, Oberon, Puck
🧛	Drakula, banpiro, hildako bizidun
🧛‍♀	emakume banpiro, hildako bizidun
🧛‍♂	Drakula, gizon banpiro, hildako bizidun
🧜	itsas izaki, lamina, sirena
🧜‍♀	lamina, sirena
🧜‍♂	Triton, gizon-itxurako itsas izaki
🧝	elfo, magiko
🧝‍♀	emakume elfo, magiko
🧝‍♂	gizon elfo, magiko
🧞	djinn, iratxo
🧞‍♀	djinn, emakume iratxo
🧞‍♂	djinn, gizon iratxo
🧟	hildako bizidun, hildako ibiltari, zonbi
🧟‍♀	emakume zonbi, hildako bizidun, hildako ibiltari
🧟‍♂	gizon zonbi, hildako bizidun, hildako ibiltari
🙍	keinu, kopeta, kopeta zimurtzen ari den pertsona, zimurtu
🙍‍♂	gizon, gizonezko, keinu, kopeta, kopeta zimurtzen ari den gizona, zimurtu
🙍‍♀	emakume, emakumezko, keinu, kopeta, kopeta zimurtzen ari den emakumea, zimurtu
🙎	keinu, muturtu, pertsona muturtua
🙎‍♂	gizon, gizon muturtua, gizonezko, keinu, muturtu
🙎‍♀	emakume, emakume muturtua, emakumezko, keinu, muturtu
🙅	ados ez dagoela adierazten ari den pertsona, debekatuta, esku, ez, galarazita, keinu
🙅‍♂	ados ez dagoela adierazten ari den gizona, debekatuta, esku, ez, ez konforme, galarazita, gizon, gizonezko, keinu
🙅‍♀	ados ez dagoela adierazten ari den emakumea, debekatuta, emakume, emakumezko, esku, ez, ez konforme, galarazita, keinu
🙆	ados, ados dagoela adierazten ari den pertsona, esku, keinu
🙆‍♂	ados, ados dagoela adierazten ari den gizona, esku, gizon, gizonezko, keinu
🙆‍♀	ados, ados dagoela adierazten ari den emakumea, emakume, emakumezko, esku, keinu
💁	eskean dabilen pertsona, esku, eskupeko, informazio, kokin, laguntza
💁‍♂	eskean dabilen gizona, eskupeko, gizon, gizonezko, kokin
💁‍♀	emakume, emakumezko, eskean dabilen emakumea, esku, eskupeko, kokin
🙋	altxatuta, esku, eskua altxatzen ari den pertsona, keinu, pozik
🙋‍♂	eskua altxatuta, eskua altxatzen ari den gizona, gizon, gizonezko, keinu
🙋‍♀	emakume, emakumezko, eskua altxatuta, eskua altxatzen ari den emakumea, keinu
🙇	barkamen, barkatu, burua makurtzen ari den pertsona, keinu, makurtu
🙇‍♂	barkamen, barkatu, burua makurtzen ari den gizona, gizon, gizonezko, keinu, makurtu, mesede
🙇‍♀	barkamen, barkatu, burua makurtzen ari den emakumea, emakume, emakumezko, keinu, makurtu, mesede
🤦	aurpegi, esku-azpi, esku-azpia aurpegian, sinesgaiztasun, sumindura
🤦‍♂	esku-azpi, esku-azpia aurpegian duen gizona, gizon, gizonezko, sinesgaitasun, sumindura
🤦‍♀	emakume, emakumezko, esku-azpi, esku-azpia aurpegian duen emakumea, sinesgaitasun, sumindura
🤷	altxatu, axolagabekeria, ezjakintasun, sorbalda, sorbaldak altxatu, zalantza
🤷‍♂	altxatu, axolagabekeria, ezjakintasuna, gizon, gizonezko, sorbaldak altxatzen ari den gizona, zalantza
🤷‍♀	altxatu, axolagabekeria, emakumea, ezjakintasuna, sorbaldak altxatzen ari den emakumea, zalantza
💆	aurpegi, masaje, masajea egiten ari dioten pertsona, zentro
💆‍♂	aurpegi, aurpegian masajea egiten ari dioten pertsona, gizon, gizonezko, masaje, masajea jasotzen ari den pertsona
💆‍♀	aurpegi, aurpegian masajea egiten ari dioten emakumea, emakume, emakumezko, masaje, masajea jasotzen ari den emakumea
💇	edertasun, ile-apaintzaile, ilea mozten ari dioten pertsona, moztu, zentro
💇‍♂	gizon, gizonezko, ilea mozten ari dioten gizona, moztu
💇‍♀	emakume, emakumezko, ilea mozten ari dioten emakumea, moztu
🚶	ibili, oinez, oinez ari den pertsona
🚶‍♂	gizon, gizonezko, ibili, oinez, oinez ari den gizona
🚶‍♀	emakume, emakumezko, ibili, oinez, oinez ari den emakumea
🏃	korrika, korrika ari den pertsona, maratoi
🏃‍♂	gizon, korrika, korrika ari den gizona, lasterketa, maratoi
🏃‍♀	emakume, korrika, korrika ari den emakumea, lasterketa, maratoi
💃	dantza, dantzan ari den emakumea, emakume
🕺	dantza, gizon, gizona dantzan
👯	belarri, dantzari, neska, parrandan ari den jendea, untxi
