🦵🏻	alaraaja, jalka, jalka: vaalea iho, potku, vaalea iho
🦵🏼	alaraaja, jalka, jalka: keskivaalea iho, keskivaalea iho, potku
🦵🏽	alaraaja, jalka, jalka: tummanvaalea iho, potku, tummanvaalea iho
🦵🏾	alaraaja, jalka, jalka: keskitumma iho, keskitumma iho, potku
🦵🏿	alaraaja, jalka, jalka: tumma iho, potku, tumma iho
🦶🏻	jalkaterä, jalkaterä: vaalea iho, potku, tallata, vaalea iho
🦶🏼	jalkaterä, jalkaterä: keskivaalea iho, keskivaalea iho, potku, tallata
🦶🏽	jalkaterä, jalkaterä: tummanvaalea iho, potku, tallata, tummanvaalea iho
🦶🏾	jalkaterä, jalkaterä: keskitumma iho, keskitumma iho, potku, tallata
🦶🏿	jalkaterä, jalkaterä: tumma iho, potku, tallata, tumma iho
🦸🏻	sankaritar, supersankari, supersankari: vaalea iho, vaalea iho
🦸🏼	keskivaalea iho, sankaritar, supersankari, supersankari: keskivaalea iho
🦸🏽	sankaritar, supersankari, supersankari: tummanvaalea iho, tummanvaalea iho
🦸🏾	keskitumma iho, sankaritar, supersankari, supersankari: keskitumma iho
🦸🏿	sankaritar, supersankari, supersankari: tumma iho, tumma iho
🦸🏻‍♀	hyvis, naissupersankari, naissupersankari: vaalea iho, vaalea iho
🦸🏼‍♀	hyvis, keskivaalea iho, naissupersankari, naissupersankari: keskivaalea iho
🦸🏽‍♀	hyvis, naissupersankari, naissupersankari: tummanvaalea iho, tummanvaalea iho
🦸🏾‍♀	hyvis, keskitumma iho, naissupersankari, naissupersankari: keskitumma iho
🦸🏿‍♀	hyvis, naissupersankari, naissupersankari: tumma iho, tumma iho
🦸🏻‍♂	miessupersankari, miessupersankari: vaalea iho, sankari, vaalea iho
🦸🏼‍♂	keskivaalea iho, miessupersankari, miessupersankari: keskivaalea iho, sankari
🦸🏽‍♂	miessupersankari, miessupersankari: tummanvaalea iho, sankari, tummanvaalea iho
🦸🏾‍♂	keskitumma iho, miessupersankari, miessupersankari: keskitumma iho, sankari
🦸🏿‍♂	miessupersankari, miessupersankari: tumma iho, sankari, tumma iho
🦹🏻	kelmi, konna, paha, rikollinen, roisto, roisto: vaalea iho, supervoimat, vaalea iho
🦹🏼	kelmi, keskivaalea iho, konna, paha, rikollinen, roisto, roisto: keskivaalea iho, supervoimat
🦹🏽	kelmi, konna, paha, rikollinen, roisto, roisto: tummanvaalea iho, supervoimat, tummanvaalea iho
🦹🏾	kelmi, keskitumma iho, konna, paha, rikollinen, roisto, roisto: keskitumma iho, supervoimat
🦹🏿	kelmi, konna, paha, rikollinen, roisto, roisto: tumma iho, supervoimat, tumma iho
🦹🏻‍♀	kelmi, konna, naiskonna, naiskonna: vaalea iho, paha, rikollinen, roisto, supervoimat, vaalea iho
🦹🏼‍♀	kelmi, keskivaalea iho, konna, naiskonna, naiskonna: keskivaalea iho, paha, rikollinen, roisto, supervoimat
🦹🏽‍♀	kelmi, konna, naiskonna, naiskonna: tummanvaalea iho, paha, rikollinen, roisto, supervoimat, tummanvaalea iho
🦹🏾‍♀	kelmi, keskitumma iho, konna, naiskonna, naiskonna: keskitumma iho, paha, rikollinen, roisto, supervoimat
🦹🏿‍♀	kelmi, konna, naiskonna, naiskonna: tumma iho, paha, rikollinen, roisto, supervoimat, tumma iho
🦹🏻‍♂	kelmi, mieskonna, mieskonna: vaalea iho, vaalea iho
🦹🏼‍♂	kelmi, keskivaalea iho, mieskonna, mieskonna: keskivaalea iho
🦹🏽‍♂	kelmi, mieskonna, mieskonna: tummanvaalea iho, tummanvaalea iho
🦹🏾‍♂	kelmi, keskitumma iho, mieskonna, mieskonna: keskitumma iho
🦹🏿‍♂	kelmi, mieskonna, mieskonna: tumma iho, tumma iho
👶🏻	lapsi, nuori, vaalea iho, vauva, vauva: vaalea iho
👶🏼	keskivaalea iho, lapsi, nuori, vauva, vauva: keskivaalea iho
