👶🏻	barn, ljósur húðarlitur, pinkubarn, pinkubarn: ljósur húðarlitur
👶🏼	barn, miðalljósur húðarlitur, pinkubarn, pinkubarn: miðalljósur húðarlitur
👶🏽	barn, miðal húðarlitur, pinkubarn, pinkubarn: miðal húðarlitur
👶🏾	barn, miðalmyrkur húðarlitur, pinkubarn, pinkubarn: miðalmyrkur húðarlitur
👶🏿	barn, myrkur húðarlitur, pinkubarn, pinkubarn: myrkur húðarlitur
🧒🏻	barn, barn: ljósur húðarlitur, ljósur húðarlitur, óviti
🧒🏼	barn, barn: miðalljósur húðarlitur, miðalljósur húðarlitur, óviti
🧒🏽	barn, barn: miðal húðarlitur, miðal húðarlitur, óviti
🧒🏾	barn, barn: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, óviti
🧒🏿	barn, barn: myrkur húðarlitur, myrkur húðarlitur, óviti
👦🏻	drongur, drongur: ljósur húðarlitur, ljósur húðarlitur, piltur, smádrongur
👦🏼	drongur, drongur: miðalljósur húðarlitur, miðalljósur húðarlitur, piltur, smádrongur
👦🏽	drongur, drongur: miðal húðarlitur, miðal húðarlitur, piltur, smádrongur
👦🏾	drongur, drongur: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, piltur, smádrongur
👦🏿	drongur, drongur: myrkur húðarlitur, myrkur húðarlitur, piltur, smádrongur
👧🏻	genta, genta: ljósur húðarlitur, ljósur húðarlitur, smágenta
👧🏼	genta, genta: miðalljósur húðarlitur, miðalljósur húðarlitur, smágenta
👧🏽	genta, genta: miðal húðarlitur, miðal húðarlitur, smágenta
👧🏾	genta, genta: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, smágenta
👧🏿	genta, genta: myrkur húðarlitur, myrkur húðarlitur, smágenta
🧑🏻	ljósur húðarlitur, tilkomin, vaksin, vaksin: ljósur húðarlitur
🧑🏼	miðalljósur húðarlitur, tilkomin, vaksin, vaksin: miðalljósur húðarlitur
🧑🏽	miðal húðarlitur, tilkomin, vaksin, vaksin: miðal húðarlitur
🧑🏾	miðalmyrkur húðarlitur, tilkomin, vaksin, vaksin: miðalmyrkur húðarlitur
🧑🏿	myrkur húðarlitur, tilkomin, vaksin, vaksin: myrkur húðarlitur
👨🏻	ljósur húðarlitur, mannfólk, maður, maður: ljósur húðarlitur
👨🏼	mannfólk, maður, maður: miðalljósur húðarlitur, miðalljósur húðarlitur
👨🏽	mannfólk, maður, maður: miðal húðarlitur, miðal húðarlitur
👨🏾	mannfólk, maður, maður: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur
👨🏿	mannfólk, maður, maður: myrkur húðarlitur, myrkur húðarlitur
👩🏻	kona, kona: ljósur húðarlitur, konufólk, kvinna, ljósur húðarlitur
👩🏼	kona, kona: miðalljósur húðarlitur, konufólk, kvinna, miðalljósur húðarlitur
👩🏽	kona, kona: miðal húðarlitur, konufólk, kvinna, miðal húðarlitur
👩🏾	kona, kona: miðalmyrkur húðarlitur, konufólk, kvinna, miðalmyrkur húðarlitur
👩🏿	kona, kona: myrkur húðarlitur, konufólk, kvinna, myrkur húðarlitur
🧓🏻	eldri, ljósur húðarlitur, tilkomin, tilkomin: ljósur húðarlitur
🧓🏼	eldri, miðalljósur húðarlitur, tilkomin, tilkomin: miðalljósur húðarlitur
🧓🏽	eldri, miðal húðarlitur, tilkomin, tilkomin: miðal húðarlitur
🧓🏾	eldri, miðalmyrkur húðarlitur, tilkomin, tilkomin: miðalmyrkur húðarlitur
🧓🏿	eldri, myrkur húðarlitur, tilkomin, tilkomin: myrkur húðarlitur
👴🏻	eldri, gamal, gamal maður: ljósur húðarlitur, ljósur húðarlitur, mannfólk, maður
👴🏼	eldri, gamal, gamal maður: miðalljósur húðarlitur, mannfólk, maður, miðalljósur húðarlitur
👴🏽	eldri, gamal, gamal maður: miðal húðarlitur, mannfólk, maður, miðal húðarlitur
👴🏾	eldri, gamal, gamal maður: miðalmyrkur húðarlitur, mannfólk, maður, miðalmyrkur húðarlitur
👴🏿	eldri, gamal, gamal maður: myrkur húðarlitur, mannfólk, maður, myrkur húðarlitur
👵🏻	eldri, gomul, gomul kona: ljósur húðarlitur, kona, konufólk, kvinna, ljósur húðarlitur
👵🏼	eldri, gomul, gomul kona: miðalljósur húðarlitur, kona, konufólk, kvinna, miðalljósur húðarlitur
👵🏽	eldri, gomul, gomul kona: miðal húðarlitur, kona, konufólk, kvinna, miðal húðarlitur
👵🏾	eldri, gomul, gomul kona: miðalmyrkur húðarlitur, kona, konufólk, kvinna, miðalmyrkur húðarlitur
👵🏿	eldri, gomul, gomul kona: myrkur húðarlitur, kona, konufólk, kvinna, myrkur húðarlitur
👨🏻‍⚕	heilsurøkt, ljósur húðarlitur, lækni, mannligur lækni, mannligur lækni: ljósur húðarlitur, maður, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👨🏼‍⚕	heilsurøkt, lækni, mannligur lækni, mannligur lækni: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👨🏽‍⚕	heilsurøkt, lækni, mannligur lækni, mannligur lækni: miðal húðarlitur, maður, miðal húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👨🏾‍⚕	heilsurøkt, lækni, mannligur lækni, mannligur lækni: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👨🏿‍⚕	heilsurøkt, lækni, mannligur lækni, mannligur lækni: myrkur húðarlitur, maður, myrkur húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👩🏻‍⚕	heilsurøkt, kona, kvinna, kvinnuligur lækni, kvinnuligur lækni: ljósur húðarlitur, ljósur húðarlitur, lækni, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👩🏼‍⚕	heilsurøkt, kona, kvinna, kvinnuligur lækni, kvinnuligur lækni: miðalljósur húðarlitur, lækni, miðalljósur húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👩🏽‍⚕	heilsurøkt, kona, kvinna, kvinnuligur lækni, kvinnuligur lækni: miðal húðarlitur, lækni, miðal húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👩🏾‍⚕	heilsurøkt, kona, kvinna, kvinnuligur lækni, kvinnuligur lækni: miðalmyrkur húðarlitur, lækni, miðalmyrkur húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👩🏿‍⚕	heilsurøkt, kona, kvinna, kvinnuligur lækni, kvinnuligur lækni: myrkur húðarlitur, lækni, myrkur húðarlitur, sjúkrarøktarfrøðingur, sjúkrasystir, terapevtur
👨🏻‍🎓	ljósur húðarlitur, mannligur studentur, mannligur studentur: ljósur húðarlitur, maður, studentur, útbúgvin
👨🏼‍🎓	mannligur studentur, mannligur studentur: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, studentur, útbúgvin
👨🏽‍🎓	mannligur studentur, mannligur studentur: miðal húðarlitur, maður, miðal húðarlitur, studentur, útbúgvin
👨🏾‍🎓	mannligur studentur, mannligur studentur: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, studentur, útbúgvin
👨🏿‍🎓	mannligur studentur, mannligur studentur: myrkur húðarlitur, maður, myrkur húðarlitur, studentur, útbúgvin
👩🏻‍🎓	kona, kvinna, kvinnuligur studentur, kvinnuligur studentur: ljósur húðarlitur, ljósur húðarlitur, studentur, útbúgvin
👩🏼‍🎓	kona, kvinna, kvinnuligur studentur, kvinnuligur studentur: miðalljósur húðarlitur, miðalljósur húðarlitur, studentur, útbúgvin
👩🏽‍🎓	kona, kvinna, kvinnuligur studentur, kvinnuligur studentur: miðal húðarlitur, miðal húðarlitur, studentur, útbúgvin
👩🏾‍🎓	kona, kvinna, kvinnuligur studentur, kvinnuligur studentur: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, studentur, útbúgvin
👩🏿‍🎓	kona, kvinna, kvinnuligur studentur, kvinnuligur studentur: myrkur húðarlitur, myrkur húðarlitur, studentur, útbúgvin
👨🏻‍🏫	ljósur húðarlitur, lærari, mannligur lærari, mannligur lærari: ljósur húðarlitur, maður, professari, vegleiðari
👨🏼‍🏫	lærari, mannligur lærari, mannligur lærari: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, professari, vegleiðari
👨🏽‍🏫	lærari, mannligur lærari, mannligur lærari: miðal húðarlitur, maður, miðal húðarlitur, professari, vegleiðari
👨🏾‍🏫	lærari, mannligur lærari, mannligur lærari: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, professari, vegleiðari
👨🏿‍🏫	lærari, mannligur lærari, mannligur lærari: myrkur húðarlitur, maður, myrkur húðarlitur, professari, vegleiðari
👩🏻‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: ljósur húðarlitur, ljósur húðarlitur, lærari, lærarinna, professari, vegleiðari
👩🏼‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: miðalljósur húðarlitur, lærari, lærarinna, miðalljósur húðarlitur, professari, vegleiðari
👩🏽‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: miðal húðarlitur, lærari, lærarinna, miðal húðarlitur, professari, vegleiðari
👩🏾‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: miðalmyrkur húðarlitur, lærari, lærarinna, miðalmyrkur húðarlitur, professari, vegleiðari
👩🏿‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: myrkur húðarlitur, lærari, lærarinna, myrkur húðarlitur, professari, vegleiðari
👨🏻‍⚖	dómari, ljósur húðarlitur, mannligur dómari, mannligur dómari: ljósur húðarlitur, maður, rættvísi
👨🏼‍⚖	dómari, mannligur dómari, mannligur dómari: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, rættvísi
👨🏽‍⚖	dómari, mannligur dómari, mannligur dómari: miðal húðarlitur, maður, miðal húðarlitur, rættvísi
👨🏾‍⚖	dómari, mannligur dómari, mannligur dómari: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, rættvísi
👨🏿‍⚖	dómari, mannligur dómari, mannligur dómari: myrkur húðarlitur, maður, myrkur húðarlitur, rættvísi
👩🏻‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: ljósur húðarlitur, ljósur húðarlitur, rættvísi
👩🏼‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: miðalljósur húðarlitur, miðalljósur húðarlitur, rættvísi
👩🏽‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: miðal húðarlitur, miðal húðarlitur, rættvísi
👩🏾‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, rættvísi
👩🏿‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: myrkur húðarlitur, myrkur húðarlitur, rættvísi
👨🏻‍🌾	bóndi, ljósur húðarlitur, mannligur bóndi, mannligur bóndi: ljósur húðarlitur, maður
👨🏼‍🌾	bóndi, mannligur bóndi, mannligur bóndi: miðalljósur húðarlitur, maður, miðalljósur húðarlitur
👨🏽‍🌾	bóndi, mannligur bóndi, mannligur bóndi: miðal húðarlitur, maður, miðal húðarlitur
👨🏾‍🌾	bóndi, mannligur bóndi, mannligur bóndi: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur
👨🏿‍🌾	bóndi, mannligur bóndi, mannligur bóndi: myrkur húðarlitur, maður, myrkur húðarlitur
👩🏻‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: ljósur húðarlitur, ljósur húðarlitur
👩🏼‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: miðalljósur húðarlitur, miðalljósur húðarlitur
👩🏽‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: miðal húðarlitur, miðal húðarlitur
👩🏾‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur
👩🏿‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: myrkur húðarlitur, myrkur húðarlitur
👨🏻‍🍳	kokkur, ljósur húðarlitur, mannligur kokkur, mannligur kokkur: ljósur húðarlitur, maður
👨🏼‍🍳	kokkur, mannligur kokkur, mannligur kokkur: miðalljósur húðarlitur, maður, miðalljósur húðarlitur
👨🏽‍🍳	kokkur, mannligur kokkur, mannligur kokkur: miðal húðarlitur, maður, miðal húðarlitur
👨🏾‍🍳	kokkur, mannligur kokkur, mannligur kokkur: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur
👨🏿‍🍳	kokkur, mannligur kokkur, mannligur kokkur: myrkur húðarlitur, maður, myrkur húðarlitur
