🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
🦵🏼	cic, cos, cos: ton cnis meánach-gheal, géag, ton cnis meánach-gheal
🦵🏽	cic, cos, cos: ton cnis meánach, géag, ton cnis meánach
🦵🏾	cic, cos, cos: ton cnis meánach-dhorcha, géag, ton cnis meánach-dhorcha
🦵🏿	cic, cos, cos: ton cnis dorcha, géag, ton cnis dorcha
🦶🏻	cic, gread, ton cnis geal, troigh, troigh: ton cnis geal
🦶🏼	cic, gread, ton cnis meánach-gheal, troigh, troigh: ton cnis meánach-gheal
🦶🏽	cic, gread, ton cnis meánach, troigh, troigh: ton cnis meánach
🦶🏾	cic, gread, ton cnis meánach-dhorcha, troigh, troigh: ton cnis meánach-dhorcha
🦶🏿	cic, gread, ton cnis dorcha, troigh, troigh: ton cnis dorcha
🦸🏻	banlaoch, laoch, maith, sárchumhacht, sárlaoch, sárlaoch: ton cnis geal, ton cnis geal
🦸🏼	banlaoch, laoch, maith, sárchumhacht, sárlaoch, sárlaoch: ton cnis meánach-gheal, ton cnis meánach-gheal
🦸🏽	banlaoch, laoch, maith, sárchumhacht, sárlaoch, sárlaoch: ton cnis meánach, ton cnis meánach
🦸🏾	banlaoch, laoch, maith, sárchumhacht, sárlaoch, sárlaoch: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🦸🏿	banlaoch, laoch, maith, sárchumhacht, sárlaoch, sárlaoch: ton cnis dorcha, ton cnis dorcha
🦸🏻‍♀	ban-sárlaoch, ban-sárlaoch: ton cnis geal, banloach, bean, laoch, maith, sárchumhacht, ton cnis geal
🦸🏼‍♀	ban-sárlaoch, ban-sárlaoch: ton cnis meánach-gheal, banloach, bean, laoch, maith, sárchumhacht, ton cnis meánach-gheal
🦸🏽‍♀	ban-sárlaoch, ban-sárlaoch: ton cnis meánach, banloach, bean, laoch, maith, sárchumhacht, ton cnis meánach
🦸🏾‍♀	ban-sárlaoch, ban-sárlaoch: ton cnis meánach-dhorcha, banloach, bean, laoch, maith, sárchumhacht, ton cnis meánach-dhorcha
🦸🏿‍♀	ban-sárlaoch, ban-sárlaoch: ton cnis dorcha, banloach, bean, laoch, maith, sárchumhacht, ton cnis dorcha
🦸🏻‍♂	fear, fear-sárlaoch, fear-sárlaoch: ton cnis geal, laoch, maith, sárchumhacht, ton cnis geal
🦸🏼‍♂	fear, fear-sárlaoch, fear-sárlaoch: ton cnis meánach-gheal, laoch, maith, sárchumhacht, ton cnis meánach-gheal
🦸🏽‍♂	fear, fear-sárlaoch, fear-sárlaoch: ton cnis meánach, laoch, maith, sárchumhacht, ton cnis meánach
🦸🏾‍♂	fear, fear-sárlaoch, fear-sárlaoch: ton cnis meánach-dhorcha, laoch, maith, sárchumhacht, ton cnis meánach-dhorcha
