‾	kan layi
_	layi, layi ƙarami, layi ƙarƙashi, ɗigo, ɗigo ƙarami, ɗigo ƙasa
-	karan-ɗori, karan-ɗori-ɗebewa, ɗebewa, ɗigo
‐	karan-ɗori, ɗigo
–	layi, layi tsaka-tsaki, tsaka-tsaki
—	dogo, dogon layi, layu
―	layi, sanda, sandar kwance, ɗigo
・	katakana, tsakiya, ɗigo-ɗigo, ɗigon tsakiya na katakana
,	waƙafi
،	larabci, waƙafi, waƙafin larabci
、	tsaye, waƙafi, waƙafin tsaye
;	waƙafi mai ruwa, waƙafi-mai-ruwa
؛	larabci, waƙafi mai ruwa na larabci, waƙafi-mai-ruwa
:	ruwa biyu
!	alamar motsin rai, motsin rai, wurin motsin rai, ƙara
¡	alamar motsin rai, alamar motsin rai ɗigo sama, motsin rai, wurin motsin rai, ƙara, ɗigo sama
?	alamar tambaya, tambaya
¿	alamar tambaya, alamar tambaya ɗigo sama, tambaya, ɗigo sama
؟	alamar tambaya, alamar tambaya ta larabci, larabci, tambaya
‽	introbang
.	alamar aya, aya, ɗigo
…	cirewa, zarce, ɗigo-ɗigo
。	aya, rubutun alamu
·	tsakiya, ɗigo, ɗigon tsakiya
'	alamar ambato, alamar ambato ta keken-rubutu, ambato, ambato ɗaya
‘	alamar ambato, alamar ambato ta hagu, alamar ambato ɗaya, alamar buɗe ambato ta hagu, ambato, ambato ɗaya
’	alamar ambato, alamar ambato ta dama, alamar ambato ɗaya, alamar rufe ambato ta dama, ambato, ambato ɗaya
‚	alamar ambato, alamar ambato dama kaɗan, alamar rufe ambato kaɗan, ambato, ambato kaɗa
“	alamar ambato guda biyu, alamar ambato ta hagu, alamar buɗe ambato hagu, ambato, ambato ɗaya
”	alamar ambato guda biyu, alamar ambato ta dama, alamar rufe ambato dama, ambato, ambato ɗaya
„	alamar ambato guda biyu, alamar ambato ta dama kaɗan, alamar rufe ambato, ambato, ambato kaɗan, ambato ɗaya
«	ambato, baka-biyu, carets, chevron, guillemet na hagu, hagu, kusurwa
»	ambato, baka-biyu, carets, chevron, dama, guillemet na dama, kusurwa
)	baka biyu, baka mai daʼira, baka-biyu, bakar rufewa, paren, parens
[	baka sikwaya, baka-biyu, bakar buɗewa sikwaya, crotchet
]	baka sikwaya, baka-biyu, bakar rufewa sikwaya, crotchet
{	baka mai lanƙwas, baka mai lanƙwasa, baka-biyu, bakar buɗewa mai lanƙwasa, brace, gullwing
}	aka mai lanƙwas, baka mai lanƙwasa, baka-biyu, bakar rufewa mai lanƙwasa, brace, gullwing
〈	baka-biyu, bakar daimon, bakar kusurwa, bakar kusurwa ta buɗewa, bakar nunawa, chevron, tuple
〉	baka-biyu, bakar daimon, bakar kusurwa, bakar kusurwa ta rufewa, bakar nunawa, chevron, tuple
《	baka-biyu, bakar kusurwa biyu, bakar kusurwa biyu ta buɗewa
》	baka-biyu, bakar kusurwa biyu, bakar kusurwa biyu ta rufewa
「	baka-biyu, bakar kusurwa ƙasa, bakar kusurwa ƙasa ta buɗewa
」	baka-biyu, bakar kusurwa ƙasa, bakar kusurwa ƙasa ta rufewa
『	baka-biyu, buɗaɗɗiyar bakar kusurwa, buɗaɗɗiyar bakar kusurwa ta buɗewa
』	baka-biyu, buɗaɗɗiyar bakar kusurwa, buɗaɗɗiyar bakar kusurwa ta rufewa, buɗaɗɗiyar bakar rufewa ta kusurwa
【	baka-biyu, baƙar bakar ruwan tabarau, baƙar bakar ruwan tabarau ta buɗewa
】	baka-biyu, baƙar bakar ruwan tabarau, baƙar bakar ruwan tabarau ta rufewa
〔	baka-biyu, bakar kunkuru, bakar kunkuru ta buɗewa, bakar kwanso
〕	baka-biyu, bakar kunkuru, bakar kunkuru ta rufewa, bakar kwanso
〖	baka-biyu, buɗaɗɗiyar bakar ruwan tabarau, buɗaɗɗiyar bakar ruwan tabarau ta buɗewa
〗	baka-biyu, buɗaɗɗiyar bakar ruwan tabarau, buɗaɗɗiyar bakar ruwan tabarau ta rufewa
§	kashi, sakin layi, sashe, sashi, silkin
¶	alamar sakin layi, alinea, fasali, pilcrow, sakin layi
@	a alamar a, alamar a, arobase, arroba, ciki, kasuwanci a
*️	tauraro, wildcard
/	bugu, karan-tsaye, tsaye, virgule, whack
\	baya-baya, karan-tsaye ja da baya, whack
&	alamar da kuma, da kuma, et
#️	alamar hash, hash, hashtag, lamba, lb, pound
%	kashi, kashi-kashi
‰	a mil, kowane mil
†	alamar wuƙar gindi, obelisk, obelus, wuƙar gindi
‡	alamar wuƙar gindi biyu, biyu, obelisk, obelus, wuƙar gindi
•	ɗigo
‧	karan-ɗori, wuri, wurin karan-ɗori, ɗigo
′	waƙafin sama
″	waƙafin sama, waƙafin sama biyu
‴	waƙafin sama, waƙafin sama uku
‸	kula
※	alamar ishara
⁂	alada
`	alamar lafazin grave, grave, kari, lafazi
´	acute, alamar lafazin acute, kari, lafazi
^	alamar lafazi mai juyawa, alamar xor, dunƙule, hula, iko, kulawa, lafazi, mai juyawa, manuni, sarrafawa, shayan
¨	diaeresis, tréma, umlaut, umlautdiaeresis, ɗigon wasali
°	digiri, hujja, saʼa
℗	haƙƙin mallaka, haƙƙin mallakar naɗar sauti, naɗa, sauti
←	hagu, kibiya, kibiya mai nuna hagu
→	dama, kibiya, kibiya mai nuna dama
↑	kibiya, kibiya mai nuna sama, sama
↓	kibiya, kibiya mai nuna ƙasa, ƙasa
⇅	kibiya, kibiyoyi masu nuna sama da ƙasa, sama, ƙasa
⇆	hagu, kibiya, nuna hagu a kan kibiyoyi masu nuna dama
∆	alwatika, ƙari
∇	alamar nabla, alwatika, nabla
∈	kashi, kashi na, saita, ya ƙunshi, zama memban
+	alamar da, ƙara, ƙari
±	da-ɗebe
÷	alamar rabo, obelus, raba, rarrabuwa
×	alamar yawaita, ninka, sau, yawaita
<	alama, alamar buɗewa, ƙasa da, ƙasa-da
=	daidai
≠	ba daidai ba, rashin daidaito
>	alama, alamar rufewa, mafi girma fiye da
¬	ba, rashi
|	alamar sheffer stroke, bugun jini, bututu, kifin pike, layi, layin tsaye, sanda, sandar tsaye, stsy
~	karkatar
−	alamar ɗebe, rage, ɗebe
⁻	debewar rubutun sama, rubutun sama, ɗebe
√	murabbaʼi, radix, saiwa, sikwayarut, surd, tsattsaura
∞	alamar rashin iyaka, alamar rashin iyakagn, rashin iyaka
∩	alamar mahaɗa, mahaɗa, saita
∪	saita, tari, ƙungiya
≈	kimani, kusan daidai, kusanci
≡	daidai, daidai yake da, iri ɗaya, sau uku
≤	daidai, rashin daidaito, ya yi daidai, ƙasa da ko kuma daidai, ƙasa-da
≥	daidai, mafi girma, mafi girma ko daidai, rashin daidaito, ya yi daidai
⊂	rukuni, rukuni na, saita
▲	alwatika, cika, cika alwatika mai nunawa sama, kibiya, sama
▼	alwatika, cika, cika alwatika mai nunawa ƙasa, kibiya, ƙasa
◊	alawa, alewa, daiman, rhombus
○	daʼira, daʼira buɗaɗɗiya, zobe
●	daʼira, daʼira cike
