،	arabic, arabic comma, comma
؛	arabic, arabic semicolon, semicolon
؟	arabic, arabic question mark, question, question mark
‘	apostrophe, left apostrophe, quote, single quote, smart quote
’	apostrophe, quote, right apostrophe, single quote, smart quote
“	double quote, left quotation mark, quotation, quote, smart quotation
”	double quote, quotation, quote, right quotation mark, smart quotation
)	bracket, close parenthesis, paren, parens, parenthesis, round bracket
[	bracket, crotchet, open square bracket, square bracket
]	bracket, close square bracket, crotchet, square bracket
{	brace, bracket, curly brace, curly bracket, gullwing, open curly bracket
}	brace, bracket, close curly bracket, curly brace, curly bracket, gullwing
〈	angle bracket, bracket, chevron, diamond brackets, open angle bracket, pointy bracket, tuple
〉	angle bracket, bracket, chevron, close angle bracket, diamond brackets, pointy bracket, tuple
《	bracket, double angle bracket, open double angle bracket
》	bracket, close double angle bracket, double angle bracket
「	bracket, corner bracket, open corner bracket
」	bracket, close corner bracket, corner bracket
『	bracket, hollow corner bracket, open hollow corner bracket
』	bracket, close hollow corner bracket, hollow corner bracket
【	bracket, lens bracket, lenticular bracket, open black lens bracket
】	bracket, close black lens bracket, lens bracket, lenticular bracket
〔	bracket, open tortoise shell bracket, shell bracket, tortoise shell bracket
〕	bracket, close tortoise shell bracket, shell bracket, tortoise shell bracket
〖	bracket, hollow lens bracket, hollow lenticular bracket, open hollow lens bracket
〗	bracket, close hollow lens bracket, hollow lens bracket, hollow lenticular bracket
&	ampersand, aur, et
↨	base ke saath up down arrow
↹	arrow, bar, leftwards, leftwards over rightwards arrow bars, rightwards
∀	given, koi bhi, sabhi, sabhi ke liye, universal
∂	differential, partial differential
∃	Vahan maujood hota hai, there exists
∅	empty set, mathematics, set operator
∈	element, iska element, ismein shaamil hai, membership, set
∉	element, koi element nahi
∋	element, member ke taur par rakhta hai
∎	end proof, halmos, q.e.d., qed, tombstone
∑	mathematics, n-ary summation, summation
<	isse kam, open tag, tag
≮	baraabar na hona, isse kam nahi, mathematics
=	baraabar
≠	Baraabar nahi, baraabar na hona, baraabar nahi
>	close tag, isse bada, tag
≯	baraabar na hona, isse bada nahi, mathematics
|	bar, line, pike, pipe, sheffer stroke, stick, stroke, vbar, vertical bar, vertical line
∓	minus-or-plus, plus-minus
∝	proportional, proportionality
∣	divides, divisor
∥	parallel
∮	contour integral
∴	isliye, logic
∵	kyonki, logic
≃	asymptote, asymptotically equal, mathematics
≅	approximately equal, baraabri, congruence, isomorphism, mathematics
≌	equality, mathematics, sabhi baraabar
≒	approximately equal the image, approximately image ke baraabar
≣	equality, mathematics, strictly equivalent
≤	baraabar, baraabar hai, baraabri na hona, isse chhota, isse chhota yaa baraabar, less-than or equal
≥	baraabar, baraabar hai, baraabri na hona, isse bada, isse bada yaa baraabar
≦	baraabar hone par isse kam, baraabri na hona, mathematics
≧	baraabar hone par isse zyaada, baraabri na hona, mathematics
≪	baraabri na hona, ke comparision mein kaafi kam, mathematics
≫	inequality, ke comparision mein kaafi zyaada, mathematics
≬	iske beech
≳	greater-than equivalent, inequality, mathematics
≺	mathematics, pahle aata hai, set operator
≻	baad mein aata hai, mathematics, set operator
⊁	baad mein nahi aata, mathematics, set operator
⊂	iska subset, set, subset
⊃	mathematics, set operator, superset
⊆	subset baraabar
⊇	baraabri hona, mathematics, superset baraabar
⊕	circled plus, plus
⊖	circled minus, erosion, symmetric difference
⊗	circled times, product, tensor
⊙	XNOR, circled dot operator, operator
⊛	asterisk, circled asterisk operator, operator
⊞	addition-like, mathematics, squared plus
⊮	does not force
⊰	mathematics, precedes under relation, set operator
⊱	mathematics, set operator, succeeds under relation
⋭	group theory, mathematics, normal subgroup equal ke taur par shaamil nahi karta
⊶	original
⋰	ellipsis, mathematics, up right diagonal ellipsis
⋱	down right diagonal ellipsis, ellipsis, mathematics
■	filled square
□	hollow square
▢	hollow square with rounded corners
▣	hollow square containing filled square
▤	horizontal fill wala square
▥	vertical fill wala square
▦	square orthogonal crosshatch fill
▧	square upper left lower right fill
▨	square upper right lower left fill
▩	square diagonal crosshatch fill
▬	filled rectangle
▭	hollow rectangle
▮	filled vertical rectangle
▰	filled parallelogram
▲	arrow, filled, filled up-pointing triangle, triangle, up
△	hollow up-pointing triangle
▴	filled up-pointing small triangle
▵	hollow up-pointing small triangle
▷	hollow right-pointing triangle
▸	filled right-pointing small triangle
▹	hollow right-pointing small triangle
►	filled right-pointing pointer
▻	hollow right-pointing pointer
▼	arrow, down, filled, filled down-pointing triangle, triangle
▽	hollow down-pointing triangle
▾	filled down-pointing small triangle
▿	hollow down-pointing small triangle
◁	hollow left-pointing triangle
◂	filled left-pointing small triangle
◃	hollow left-pointing small triangle
◄	filled left-pointing pointer
◅	hollow left-pointing pointer
◆	filled diamond
◇	hollow diamond
◈	filled diamond wala hollow diamond, hollow diamond containing filled diamond
◉	circled dot, concentric cicles filled, filled circle wala hollow circle, fisheye, ward
○	circle, hollow circle, ring
◍	vertical fill wala circle
●	circle, filled circle
◐	left se half filled circle
◑	right se half filled circle
◒	neeche se half filled circle
◓	oopar se half filled circle
◔	Circle kaa filled upper right quadrant
◕	circle all but upper left quadrant filled
◙	hollow circle wala filled square, inverse hollow circle
◜	upper left quadrant circular arc
◝	upper right quadrant circular arc
◞	lower right quadrant circular arc
◟	lower left quadrant circular arc
◢	filled lower right triangle
◣	filled lower left triangle
◤	filled upper left triangle
◥	filled upper right triangle
◯	circle, large hollow circle, ring
