_	delnja smužka, podsmužka, smužka
-	minus, smužka, smužka-minus
‐	smužka, wjazaca smužka, wjazawka
–	krótka smužka, smužka
—	dołha smužka, smužka
―	linija, smužka, wodoruna, wodoruna smužka
・	Japanska, katakana, katakana-mjezydypk, mjezydypk
,	interpunkciske znamješko, koma
،	arabski koma, interpunkciske znamješko, koma
、	ideografiski koma, interpunkciske znamješko, koma
;	interpunkciske znamješko, semikolon
؛	arabski semikolon, interpunkciske znamješko, semikolon
:	dwojodypk, interpunkciske znamješko
!	interpunkciske znamješko, wukřik, wuwołak
¡	interpunkciske znamješko, na hłowje stać, wobroćeny wuwołak, wuwołak, znak
?	interpunkciske znamješko, prašak, prašenje
¿	interpunkciske znamješko, na hłowje stać, prašak, prašenje, wobroćeny prašak, znak
؟	arabski prašak, interpunkciske znamješko, prašak
.	delni dypk, dypk
…	dypk, dypki, tři dypki
。	kružik
·	dypk, srjedźny, srjedźny dypk
'	apostrof, narunanske znamješko, narunanske znamješko za apostrof
‘	apostrof, apostrof nalěwo, kwačka, nalěwo, tastatura
’	apostrof, apostrof naprawo, kwačka, naprawo, tastatura
‚	apostrof, apostrof deleka naprawo, deleka naprawo
“	nalěwo, pazorki, pazorki nalěwo, rěčana rěč
”	naprawo, pazorki, pazorki naprawo, rěčana rěč
„	deleka naprawo, pazorki, pazorki deleka naprawo
«	dwójna kutowa spinka, francoske pazorki, francoske pazorki dolěwa, kutowa, spinka
»	dwójna kutowa spinka, francoske pazorki, francoske pazorki doprawa, kutowa, spinka
)	kulojta, spinka, začinjena, začinjena kulojta spinka
[	róžkata spinka, spinka, wočinjena, wočinjena róžkata spinka
]	spinka, začinjena, začinjena róžkata spinka
{	kwaklojta, spinka, wočinjena, wočinjena kwaklojta spinka
}	kwaklojta, spinka, začinjena, začinjena kwaklojta spinka
〈	dolěwa, kutowa spinka, kutowa spinka dolěwa, spinka
〉	doprawa, kutowa spinka, kutowa spinka doprawa, spinka
《	dolěwa, dwójna kutowa spinka dolěwa, kutowa spinka, spinka
》	doprawa, dwójna kutowa spinka doprawa, kutowa spinka, spinka
「	nakružić, nakružna spinka, nakružna spinka nalěwo, nalěwo, spinka
」	naprawo, spinka, wotkružić, wotkružna spinka, wotkružna spinka naprawo
『	nakružna spinka, nalěwo, prózdna nakružna spinka nalěwo, prózdna spinka, spinka
』	naprawo, prózdna, prózdna wotkružna spinka naprawo, spinka, wotkružić, wotkružna spinka
【	spinka, wočinjena, wočinjena čorna čóčkojta spinka, čorna, čóčkojta
】	spinka, začinjena, začinjena čorna čóčkojta spinka, čorna, čóčkojta
〔	kónčkojta, spinka, wočinjena kónčkojta spinka
〕	kónčkojta, spinka, začinjena kónčkojta spinka
〖	prózdna, spinka, wočinjena, wočinjena prózdna čóčkojta spinka, čóčka
〗	prózdna, spinka, začinjena, začinjena prózdna čóčkojta spinka, čóčkojta
§	dźěl, paragraf, prawnistwo, wotrězk, zakoń
¶	wotrězk, wotrězki, wotrězkowa značka, značka
@	tastatura, znamješko, znamješko @, znamješko et
*️	hwěžka, tastatura
/	doprawa, nakósna smužka, nakósna smužka doprawa, nakósna smužka doprawo, smužka, tastatura
\	dolěwa, nakósna smužka, nakósna smužka dolěwa, smužka, tastatura
&	&, et, tastatura, znamješko, znamješko ampersand
#️	dwójny křižik, tastatura
%	procent, procenty, tastatura, znamješko "procent"
‰	promil, promile, tastatura, znamješko "promil"
†	křiž, obelisk, znamjo křiža, znamjo swjateho křiža
‡	dwójny křiž, křiž, obelisk, znamjo dwójneho křiža
•	dypk, kulka
‧	dypk, dźělić, złóžki, złóžki dźělacy dypk, złóžki dźěłacy dypk
′	apostrof, kwačka, tastatura
″	pazorki, tastatura
‴	tastatura, trójny apostrof
※	China, Japanska, Korea, komejirushi, skedźbnić na, woznamjenjeć
`	akcent, akcentowane, interpunkciske znamješko, smužka, smužka nalěwo
´	akcent, akcentowane, interpunkciske znamješko, smužka, smužka naprawo
^	interpunkciske znamješko, wobroćena hóčka
¨	dypkaj nad pimikom, dypkaj nad pismikom, interpunkciske znamješko, přezwuk
°	alkohol, promil, stopjenk, stopjeń, temperatura
℗	awtorske prawa, copyright, hudźba, nahrawanja, symbol za awtorske prawa hudźbnych nahrawanjow
←	dolěwa, dolěwa pokazowacy kłok, kłok, pokazować
→	doprawa, doprawa pokazowacy kłok, kłok, pokazować
↑	horje, horje pokazowacy kłok, kłok, pokazować
↓	dele, dele pokazowacy kłok, kłok, pokazować
⇅	dele, horje, horje a dele pokazowacej kłokaj, pokazować
⇆	dolěwa, dolěwa pokazowacy kłok nad doprawa pokazowacym kłokom, doprawa
∆	delta, přirost, symbol delta, třiróžk
∇	nabla, symbol nabla, třiróžk
∈	element, element mnóstwa, mnóstwo, přisłušnosć, wobsahuje
+	aděrować, plus, znamjo plus
±	plus a minus, znamjo plus a minus
÷	diwiděrować, diwizija, dźělenje přez, dźělić přez, symbol za diwiziju
×	króćličenje, multiplikacija, multiplikować, namnoženje, namnožić, symbol za multiplikaciju
<	matematika, mjeńše hač
=	runja
≠	njeje runja, znak njerunosće
>	matematika, wjetše hač
¬	matematika, negacija
|	matematika, padoruna smuha, smuha
~	tilda
−	minus, subtrahěrować, znamjo minus
⁻	minus, minus jako powyšene znamješko, minusowe znamješko, powyšene znamješko
√	korjeń, kwadratny korjeń, matematika
∞	bjezkónčnosć, bjezkónčny, njeskónčnosć, njeskónčny, symbol bjezkónčnosće
∩	mnóstwo, mnóstwo překrywanja, překrywać so, zhromadne měć
∪	mnóstwo, mnóstwo zhromadnych elementow, zhromadne měć
≈	nimale, přibližnje, tak někak
≡	identiske, identiski, je identiske z, runja so, trójna smuha, tři smuhi
≤	jenak wulke, mjeńše hač, mjeńše hač abo jenak wulke, runosć
≥	jenak wulke, runosć, wjetše hač, wjetše hač abo jenak wulke
⊂	dźělne mnóstwo, je dźěl, ma w sebi, wobsahuje
▲	geometrija, horje, kłok, třiróžk, wupjelnjeny, wupjelnjeny třiróžk, kiž pokazuje horje
▼	dele, geometrija, kłok, třiróžk, wupjelnjeny, wupjelnjeny třiróžk, kiž pokazuje dele
◊	geometrija, rombus
○	kruh, prózdny, prózdny kruh, rynka
●	kruh, wupjelnjeny kruh
◯	kruh, rynka, wulki prózdny kruh
♪	hudźba, nota, wosminka, wosminkowa nota
♭	b, hudźba, noty, předznamješko, předznamješko b, znižić
♯	hudźba, křižik, noty, powyšić, předznamješko, předznamješko křižik
😀	wobličo, wobličo ze šibałym posměwkom, wočinjena huba, žortne
😃	so smějkotać, wobličo, wobličo ze šibałym posměwkom a wulkimaj wočomaj, wočinjena huba, žortne
😄	wobličo, wobličo ze šibałym posměwkom a so smějacymaj wočomaj, wočinjena huba, žortne
😁	wobličo, wobličo ze zbožownym posměwkom a so smějacymaj wočomaj, zuby, žortne
😆	wobličo, wobličo ze šibałym posměwkom a zašćipnjenymaj wočomaj, wočinjena huba, zašćipnjenej woči
😅	pót, so poćić, wobličo, wobličo ze šibałym posměwkom a kapku pota, žortne
🤣	so smjeć, so ze směchom na špundowanju waleć, wobličo
😂	so smjeć, sylzy, wobličo, wobličo ze sylzami radosće
🙂	posměwk, so posměwkować, so posměwkujo, so tróšku posměwkowace wobličo, wobličo
🙃	na hłowje stać, wobličo, znak stejace wobličo
🫠	běžity, rozběžace wobličo, rozběžeć, so rozpušćić, so zhubić
😉	mikotać, wobličo, wobličo, kiž ći přimiknje
😊	so začerwjenić, wjeselo, wobličo z posměwkom a so smějacymaj wočomaj, čerwjenej ličce
😇	posměwk, swjatosćin, wobličo, wobličo z posměwkom a swjatosćinom
🥰	na někoho zahoriće hladać, wobličo z posměwkom a wutrobičkami, zahladany, zalubowany
😍	wobličo, wobličo ze šibałym posměwkom a wutrobičkojtymaj wočomaj, zalubowany
🤩	hwěžki, přemóženy, wobličo, woči, šibały posměwk
😘	hubka, wobličo, wobličo, kiž sćele hubku
😗	hubka, hubkowace wobličo, wobličo
☺️	posměwk, wjesoły, wobličo z posměwkom, z posměwkom
😚	košace wobličo ze zawrjenymaj wočomaj, wobličo, čerwjenej ličce
😙	hubka, hubkowace wobličo ze so smějacymaj wočomaj, so smějacej woči, wobličo
🥲	dźakowny, hnuty, hordy, so smějace wobličo ze sylzu, sylza, wolóženy, z posměwkom
