🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
🦵🏼	հարվածել, միջին բաց գույնի մաշկ, ոտք, ոտք՝ միջին բաց գույնի մաշկ, վերջույթ
🦵🏽	հարվածել, միջին գույնի մաշկ, ոտք, ոտք՝ միջին գույնի մաշկ, վերջույթ
🦵🏾	հարվածել, միջին մուգ գույնի մաշկ, ոտք, ոտք՝ միջին մուգ գույնի մաշկ, վերջույթ
🦵🏿	հարվածել, մուգ գույնի մաշկ, ոտք, ոտք՝ մուգ գույնի մաշկ, վերջույթ
🦶🏻	բաց գույնի մաշկ, հարվածել, ոտնաթաթ, ոտնաթաթ՝ բաց գույնի մաշկ, տրորել
🦶🏼	հարվածել, միջին բաց գույնի մաշկ, ոտնաթաթ, ոտնաթաթ՝ միջին բաց գույնի մաշկ, տրորել
🦶🏽	հարվածել, միջին գույնի մաշկ, ոտնաթաթ, ոտնաթաթ՝ միջին գույնի մաշկ, տրորել
🦶🏾	հարվածել, միջին մուգ գույնի մաշկ, ոտնաթաթ, ոտնաթաթ՝ միջին մուգ գույնի մաշկ, տրորել
🦶🏿	հարվածել, մուգ գույնի մաշկ, ոտնաթաթ, ոտնաթաթ՝ մուգ գույնի մաշկ, տրորել
🦸🏻	բաց գույնի մաշկ, գերուժ, լավ, հերոս, հերոսուհի, սուպերհերոս, սուպերհերոս՝ բաց գույնի մաշկ
🦸🏼	գերուժ, լավ, հերոս, հերոսուհի, միջին բաց գույնի մաշկ, սուպերհերոս, սուպերհերոս՝ միջին բաց գույնի մաշկ
🦸🏽	գերուժ, լավ, հերոս, հերոսուհի, միջին գույնի մաշկ, սուպերհերոս, սուպերհերոս՝ միջին գույնի մաշկ
🦸🏾	գերուժ, լավ, հերոս, հերոսուհի, միջին մուգ գույնի մաշկ, սուպերհերոս, սուպերհերոս՝ միջին մուգ գույնի մաշկ
🦸🏿	գերուժ, լավ, հերոս, հերոսուհի, մուգ գույնի մաշկ, սուպերհերոս, սուպերհերոս՝ մուգ գույնի մաշկ
🦸🏻‍♀	բաց գույնի մաշկ, գերուժ, լավ, կին սուպերհերոս, կին սուպերհերոս՝ բաց գույնի մաշկ, հերոս, հերոսուհի
🦸🏼‍♀	գերուժ, լավ, կին սուպերհերոս, կին սուպերհերոս՝ միջին բաց գույնի մաշկ, հերոս, հերոսուհի, միջին բաց գույնի մաշկ
🦸🏽‍♀	գերուժ, լավ, կին սուպերհերոս, կին սուպերհերոս՝ միջին գույնի մաշկ, հերոս, հերոսուհի, միջին գույնի մաշկ
🦸🏾‍♀	գերուժ, լավ, կին սուպերհերոս, կին սուպերհերոս՝ միջին մուգ գույնի մաշկ, հերոս, հերոսուհի, միջին մուգ գույնի մաշկ
🦸🏿‍♀	գերուժ, լավ, կին սուպերհերոս, կին սուպերհերոս՝ մուգ գույնի մաշկ, հերոս, հերոսուհի, մուգ գույնի մաշկ
🦸🏻‍♂	բաց գույնի մաշկ, գերուժ, լավ, հերոս, տղամարդ, տղամարդ սուպերհերոս, տղամարդ սուպերհերոս՝ բաց գույնի մաշկ
🦸🏼‍♂	գերուժ, լավ, հերոս, միջին բաց գույնի մաշկ, տղամարդ, տղամարդ սուպերհերոս, տղամարդ սուպերհերոս՝ միջին բաց գույնի մաշկ
🦸🏽‍♂	գերուժ, լավ, հերոս, միջին գույնի մաշկ, տղամարդ, տղամարդ սուպերհերոս, տղամարդ սուպերհերոս՝ միջին գույնի մաշկ
🦸🏾‍♂	գերուժ, լավ, հերոս, միջին մուգ գույնի մաշկ, տղամարդ, տղամարդ սուպերհերոս, տղամարդ սուպերհերոս՝ միջին մուգ գույնի մաշկ
🦸🏿‍♂	գերուժ, լավ, հերոս, մուգ գույնի մաշկ, տղամարդ, տղամարդ սուպերհերոս, տղամարդ սուպերհերոս՝ մուգ գույնի մաշկ
🦹🏻	բաց գույնի մաշկ, գերուժ, հանցագործ, չարագործ, չարիք, սուպերչարագործ, սուպերչարագործ՝ բաց գույնի մաշկ
🦹🏼	գերուժ, հանցագործ, միջին բաց գույնի մաշկ, չարագործ, չարիք, սուպերչարագործ, սուպերչարագործ՝ միջին բաց գույնի մաշկ
🦹🏽	գերուժ, հանցագործ, միջին գույնի մաշկ, չարագործ, չարիք, սուպերչարագործ, սուպերչարագործ՝ միջին գույնի մաշկ
