🏻	tono de pelle, tono de pelle clar, typo 1–2
🏼	tono de pelle, tono de pelle medio clar, typo 3
🏽	tono de pelle, tono de pelle medie, typo 4
🏾	tono de pelle, tono de pelle medio obscur, tono de pelle medio-obscur, typo 5
🏿	tono de pelle, tono de pelle obscur, typo 6
😀	facie, surridente, surriso, visage, visage con grande surriso
😁	facie, radiante, surridente, surriso, visage, visage radiante con oculos surridente
😂	facie, gaudio, joia, lacrimas, visage, visage plorante de riso
🤣	facie, ridente, riso, rolante se per terra de rider, rolar, visage
😃	aperte, bucca, facie, grande surriso con grande oculos, surriso, visage
😄	aperte, facie, grande surriso con oculos surridente, oculos, surridente, visage
😅	aperte, facie, frigide, grande surriso con gutta de sudor, sudor, visage
😆	facie, grande surriso con oculos clause, satisfacite, satisfaction, surridente, visage
😉	batter, facie, palpebras, visage, visage que batte le palpebras
😊	facie, rubescer, rubor, surridente, surriso con oculos surridente, visage
😋	alimento, deliciose, facie, mangiar, visage, visage que sapora un bon repasto
😎	berillos, facie, sol, surriso, surriso con oculares de sol, visage
😍	corde, facie, oculo, surridente, surriso con oculos in forma de corde, visage
🦰	capillos rosse, rossa, rossastre, rubee, rubie, rubre
🦱	afro, buclate, buclettas, capillos, capillos crispe, crispe
🦳	blanc, capillos, capillos blanc, gris, vetere, vetule
🦲	calve, chemotherapia, glabre, rasate, sin capillos
🏧	automatic, banca, billetes, cassa, distributor, signo de cassa automatic
🚮	immunditias, jectar, receptaculo, recipiente, signo de receptaculo de immunditias
🚰	aqua, aqua potabile, biber, bibibile, potabile
♿	accesso, rolante, rotas, sede, sedia, symbolo de sedia rolante
🚹	cabinetto, homine, lavatorio, lavatorio pro homines, toilette, wc
🚺	cabinetto, femina, lavatorio, lavatorio pro feminas, toilette, wc
🚻	cabinetto, lavatorio, toilette, toilettes, wc
🚼	baby, bebe, cambiar, fascia, neonato, symbolo de bebe
🚾	aqua, cabinetto, lavatorio, toilette, water-closet, wc
🛂	controlo, controlo de passaportos, passaporto
🛃	doana
🛄	bagage, collecta, collecta de bagage, reception, retiro
🛅	bagage, consigna, deposito, deposito de bagage
⚠	advertimento, attention, aviso
🚸	infante, passage, pedones, traffico, transversata, transversata de infantes
⛔	direction unic, entrata prohibite, senso unic, traffico, unidirectional
🚫	entrata, no, non, prohibite, sin
🚳	bicycletta, bicyclettas prohibite, bicyclo, no, prohibite, sin
🚭	fumar, fumo, no, non, non fumar, prohibite
🚯	immunditias, jectar, lassar cader, non abandonar immunditias, prohibite
🚱	aqua, aqua non potabile, non bibibile, non potabile
🚷	accesso, interdicite, pedon, pedones, prohibite, prohibite al pedones
📵	interdicite, mobile, portabile, prohibite, telephono, telephonos mobile prohibite
🏁	bandiera, bandiera a quadros, currer, cursa, quadrettos, quadros
🚩	bandiera triangular, palo
🎌	bandieras cruciate, celebration, cruce, cruciate, japonese
🏴	agitante, bandiera nigre, flottante, undulante
🏳	agitante, bandiera blanc, flottante, undulante
🏳‍🌈	arco del celo, bandiera iride, bandiera iris, iride, iris
🏴‍☠	bandiera de pirata, cranio, ossos, piliage, pirata, tresor
