🦵🏻	fótleggur, fótleggur: húðtegund 1–2, húðtegund 1–2, sparka, útlimur
🦵🏼	fótleggur, fótleggur: húðtegund 3, húðtegund 3, sparka, útlimur
🦵🏽	fótleggur, fótleggur: húðtegund 4, húðtegund 4, sparka, útlimur
🦵🏾	fótleggur, fótleggur: húðtegund 5, húðtegund 5, sparka, útlimur
🦵🏿	fótleggur, fótleggur: húðtegund 6, húðtegund 6, sparka, útlimur
🦶🏻	fótur, fótur: húðtegund 1–2, húðtegund 1–2, sparka, stappa, þramma
🦶🏼	fótur, fótur: húðtegund 3, húðtegund 3, sparka, stappa, þramma
🦶🏽	fótur, fótur: húðtegund 4, húðtegund 4, sparka, stappa, þramma
🦶🏾	fótur, fótur: húðtegund 5, húðtegund 5, sparka, stappa, þramma
🦶🏿	fótur, fótur: húðtegund 6, húðtegund 6, sparka, stappa, þramma
🦸🏻	góð, hetja, húðtegund 1–2, kvenhetja, ofurhetja, ofurhetja: húðtegund 1–2, ofurkraftur
🦸🏼	góð, hetja, húðtegund 3, kvenhetja, ofurhetja, ofurhetja: húðtegund 3, ofurkraftur
🦸🏽	góð, hetja, húðtegund 4, kvenhetja, ofurhetja, ofurhetja: húðtegund 4, ofurkraftur
🦸🏾	góð, hetja, húðtegund 5, kvenhetja, ofurhetja, ofurhetja: húðtegund 5, ofurkraftur
🦸🏿	góð, hetja, húðtegund 6, kvenhetja, ofurhetja, ofurhetja: húðtegund 6, ofurkraftur
🦸🏻‍♀	góð, hetja, húðtegund 1–2, kona, kvenhetja, ofurkona, ofurkona: húðtegund 1–2, ofurkraftur
🦸🏼‍♀	góð, hetja, húðtegund 3, kona, kvenhetja, ofurkona, ofurkona: húðtegund 3, ofurkraftur
🦸🏽‍♀	góð, hetja, húðtegund 4, kona, kvenhetja, ofurkona, ofurkona: húðtegund 4, ofurkraftur
🦸🏾‍♀	góð, hetja, húðtegund 5, kona, kvenhetja, ofurkona, ofurkona: húðtegund 5, ofurkraftur
🦸🏿‍♀	góð, hetja, húðtegund 6, kona, kvenhetja, ofurkona, ofurkona: húðtegund 6, ofurkraftur
🦸🏻‍♂	góður, hetja, húðtegund 1–2, maður, ofurkraftur, ofurmaður, ofurmaður: húðtegund 1–2
🦸🏼‍♂	góður, hetja, húðtegund 3, maður, ofurkraftur, ofurmaður, ofurmaður: húðtegund 3
🦸🏽‍♂	góður, hetja, húðtegund 4, maður, ofurkraftur, ofurmaður, ofurmaður: húðtegund 4
🦸🏾‍♂	góður, hetja, húðtegund 5, maður, ofurkraftur, ofurmaður, ofurmaður: húðtegund 5
🦸🏿‍♂	góður, hetja, húðtegund 6, maður, ofurkraftur, ofurmaður, ofurmaður: húðtegund 6
🦹🏻	glæpamaður, húðtegund 1–2, illmenni, illur, ofurkraftur, skúrkur, skúrkur: húðtegund 1–2
🦹🏼	glæpamaður, húðtegund 3, illmenni, illur, ofurkraftur, skúrkur, skúrkur: húðtegund 3
🦹🏽	glæpamaður, húðtegund 4, illmenni, illur, ofurkraftur, skúrkur, skúrkur: húðtegund 4
🦹🏾	glæpamaður, húðtegund 5, illmenni, illur, ofurkraftur, skúrkur, skúrkur: húðtegund 5
🦹🏿	glæpamaður, húðtegund 6, illmenni, illur, ofurkraftur, skúrkur, skúrkur: húðtegund 6
🦹🏻‍♀	glæpamaður, húðtegund 1–2, ill, illkvendi, illkvendi: húðtegund 1–2, kona, ofurkraftur
🦹🏼‍♀	glæpamaður, húðtegund 3, ill, illkvendi, illkvendi: húðtegund 3, kona, ofurkraftur
🦹🏽‍♀	glæpamaður, húðtegund 4, ill, illkvendi, illkvendi: húðtegund 4, kona, ofurkraftur
🦹🏾‍♀	glæpamaður, húðtegund 5, ill, illkvendi, illkvendi: húðtegund 5, kona, ofurkraftur
🦹🏿‍♀	glæpamaður, húðtegund 6, ill, illkvendi, illkvendi: húðtegund 6, kona, ofurkraftur
🦹🏻‍♂	glæpamaður, húðtegund 1–2, illmenni, illmenni: húðtegund 1–2, illur, ofurkraftur, skúrkur
🦹🏼‍♂	glæpamaður, húðtegund 3, illmenni, illmenni: húðtegund 3, illur, ofurkraftur, skúrkur
🦹🏽‍♂	glæpamaður, húðtegund 4, illmenni, illmenni: húðtegund 4, illur, ofurkraftur, skúrkur
🦹🏾‍♂	glæpamaður, húðtegund 5, illmenni, illmenni: húðtegund 5, illur, ofurkraftur, skúrkur
🦹🏿‍♂	glæpamaður, húðtegund 6, illmenni, illmenni: húðtegund 6, illur, ofurkraftur, skúrkur
👶🏻	fólk, húðtegund 1–2, ungbarn, ungbarn: húðtegund 1–2
👶🏼	fólk, húðtegund 3, ungbarn, ungbarn: húðtegund 3
👶🏽	fólk, húðtegund 4, ungbarn, ungbarn: húðtegund 4
👶🏾	fólk, húðtegund 5, ungbarn, ungbarn: húðtegund 5
👶🏿	fólk, húðtegund 6, ungbarn, ungbarn: húðtegund 6
🧒🏻	barn, barn: húðtegund 1–2, húðtegund 1–2, kynhlutlaust, ungt
🧒🏼	barn, barn: húðtegund 3, húðtegund 3, kynhlutlaust, ungt
🧒🏽	barn, barn: húðtegund 4, húðtegund 4, kynhlutlaust, ungt
🧒🏾	barn, barn: húðtegund 5, húðtegund 5, kynhlutlaust, ungt
🧒🏿	barn, barn: húðtegund 6, húðtegund 6, kynhlutlaust, ungt
👦🏻	drengur, drengur: húðtegund 1–2, fólk, húðtegund 1–2, strákur
👦🏼	drengur, drengur: húðtegund 3, fólk, húðtegund 3, strákur
👦🏽	drengur, drengur: húðtegund 4, fólk, húðtegund 4, strákur
👦🏾	drengur, drengur: húðtegund 5, fólk, húðtegund 5, strákur
👦🏿	drengur, drengur: húðtegund 6, fólk, húðtegund 6, strákur
👧🏻	húðtegund 1–2, meyja, stelpa, stjörnumerki, stúlka, stúlka: húðtegund 1–2
👧🏼	húðtegund 3, meyja, stelpa, stjörnumerki, stúlka, stúlka: húðtegund 3
👧🏽	húðtegund 4, meyja, stelpa, stjörnumerki, stúlka, stúlka: húðtegund 4
👧🏾	húðtegund 5, meyja, stelpa, stjörnumerki, stúlka, stúlka: húðtegund 5
👧🏿	húðtegund 6, meyja, stelpa, stjörnumerki, stúlka, stúlka: húðtegund 6
🧑🏻	fullorðinn, húðtegund 1–2, kynhlutlaust, manneskja, manneskja: húðtegund 1–2
🧑🏼	fullorðinn, húðtegund 3, kynhlutlaust, manneskja, manneskja: húðtegund 3
🧑🏽	fullorðinn, húðtegund 4, kynhlutlaust, manneskja, manneskja: húðtegund 4
🧑🏾	fullorðinn, húðtegund 5, kynhlutlaust, manneskja, manneskja: húðtegund 5
🧑🏿	fullorðinn, húðtegund 6, kynhlutlaust, manneskja, manneskja: húðtegund 6
👨🏻	fólk, húðtegund 1–2, karl, karl: húðtegund 1–2, maður
👨🏼	fólk, húðtegund 3, karl, karl: húðtegund 3, maður
👨🏽	fólk, húðtegund 4, karl, karl: húðtegund 4, maður
👨🏾	fólk, húðtegund 5, karl, karl: húðtegund 5, maður
👨🏿	fólk, húðtegund 6, karl, karl: húðtegund 6, maður
👨‍🦰	fólk, karl, karl: rautt hár, maður, rautt hár
👨🏻‍🦰	fólk, húðtegund 1–2, karl, karl: húðtegund 1–2 og rautt hár, maður, rautt hár
👨🏼‍🦰	fólk, húðtegund 3, karl, karl: húðtegund 3 og rautt hár, maður, rautt hár
👨🏽‍🦰	fólk, húðtegund 4, karl, karl: húðtegund 4 og rautt hár, maður, rautt hár
👨🏾‍🦰	fólk, húðtegund 5, karl, karl: húðtegund 5 og rautt hár, maður, rautt hár
👨🏿‍🦰	fólk, húðtegund 6, karl, karl: húðtegund 6 og rautt hár, maður, rautt hár
👨‍🦱	fólk, karl, karl: krullur, krullur, maður
👨🏻‍🦱	fólk, húðtegund 1–2, karl, karl: húðtegund 1–2 og krullur, krullur, maður
👨🏼‍🦱	fólk, húðtegund 3, karl, karl: húðtegund 3 og krullur, krullur, maður
👨🏽‍🦱	fólk, húðtegund 4, karl, karl: húðtegund 4 og krullur, krullur, maður
👨🏾‍🦱	fólk, húðtegund 5, karl, karl: húðtegund 5 og krullur, krullur, maður
👨🏿‍🦱	fólk, húðtegund 6, karl, karl: húðtegund 6 og krullur, krullur, maður
