🏻	tagwlimt taceɛlalt
🏼	tagwlimt taceɛlalt talemmast
🏽	taglimt talemmast
🏾	tagwlimt tubrikt talemmast
🏿	tagwlimt tubrikt
😀	acmumeḥ meqqren
😁	acmumeḥ n tuɣmas meṛṛa
😂	taḍsa ar imeṭṭawen
🤣	axbibed di tmurt si tedsa
😃	acmumeh n lfarh
😄	acmumeh amesrar
😅	acmumeh n reffu
😆	udem acmumaḥ akked yimi yeldin d wallen imedlen
😉	udem yemmalen aɣmaz n ti
😊	udem innecṛaḥen s wallen icmumḥen
😋	ham-ham
😎	acmumeḥ s nwader n yiṭij
😍	udem yecmumhen d wallen igan am wul
😘	tasudent d wul
😗	tamact
😙	tasudent meqren
😚	tasudent allen medlent
🙂	acmumeh afessas
🤗	udem yefkan ahennec
🤔	udem ikecmen di ttexmim
🤨	afus irefden iḍudan bejqen
😑	udem war asunfal
😶	ulac imi
🙄	baɛar s wallen
😏	acmumeh n tiherci
😣	udem akayay
😥	uk
😮	vennej
🤐	udem d yimi ixaden
😯	udem war taɣect
😪	udem yeṭṭsen
😫	udem yeɛyan
😴	udem anudam
😌	udem yenirsen
😛	Udem s yiles
😜	Udem yessufɣen iles
🤤	asluddu
😒	udem ameklu
😷	udem s tgelmust
🤒	udem s utirmumitr
👶	ṣebyan
🧒	agrud
👦	aqruṛ
👧	Taqruṛt
🧑	amengaḍ
👨	argaz
👩	tameṭṭut
🧓	amengaḍ meqqren
👴	amɣaṛ
🦰	acekkuḥ azeggaɣ
🎩	tarazalt
📿	teṣbiḥ
💄	zzin aγec
💍	taxatemt
💎	adgun aswa
🐵	taqeṛṛuct n ivki
🐒	ivki
🦍	aguril
🐶	taqeṛṛuct n waydi
🐩	akennic
🐺	aguleh
🦊	avaṛaɣ
🐱	taqerruct n wemcic
🐜	taweṭṭuft
🐝	tizizwit
🐞	takumda
🦗	ajṛad
🦂	tiɣiṛdemt
💐	tafuseț
🌸	ajeğğig n taknisya
💮	ajeğğig amellal
🌹	tawerdett
🥀	ajeğğig akiwan
🌺	tivinṣeṛt
🌻	mager iṭṭij
🌼	amgud
🌷	taxlult
🌱	imɣi aleqqaq
🌲	tumert
🌳	aseklu bu yifer
🌴	tazdayt
🌵	Tasiɣawt
🌾	taceṛṛaft n ṛṛuz
🌿	ifer
🍀	ikeffis bu kuẓ n wafriwen
🍁	ifer n kikev
🍂	ifer alvivec (ifer ucelvu)
🍃	tamjiwect n ifriwen
🍇	tiẓurin
🍈	afeqqus
🍉	delleɛ
🍊	tamandaritt
🍋	tilimett
🍌	tabanant
🍍	tananast
🥭	tamungatt
🍎	adeffu azeggaɣ
🍏	adeffu azegzaw
🍐	ifires
🍑	taxuxett
🍒	taknisya
🍓	tariwalt
🥝	takiwitt
🍅	taṭumaṭict
🥥	iɣsan n koko
🥑	tavukatt
🍆	tapatengalt
🥔	tabaṭaṭatt
🥕	taẓrudgatt
🌽	ageṭṭuc
🥒	ilekkel
🥬	Tidelt n iferrawen izegzawen
🍄	taṛeɣlett
🥜	takawkawt
🥄	tajɣelt
🔪	tafruyt n usaččet
🏺	abuqal
🌍	amtiweg turuft tafriqt
🌏	amtiweg asya ustralya
🗾	takarḍa n Japun
🧭	tabusult
🌋	aburkan
🗻	Taqacuct Fuji
🧱	Tayajuṛt
🏡	axxam s tmazirt
🏢	aṣuk n tnariyin
🏣	tanazent tajapunit
🏤	tanarit n tnazent
🏥	Asegnaf
🏦	tabanka
🏨	asensu
🏩	asensu n tayri
🏪	talzuzt
🏫	aɣerbaz
🏬	taḥanut meqqren
🏯	tiɣremt tajapunit
🏰	tiɣremt
💒	tissulya
🗼	Tiɣremt n Tokyo
🗽	lemqam n tlelli
🕌	tamezgida n inselmen
🕍	tamezgida n udayen
🕋	lkaɛva
🌁	agu
🌃	iḍ s itran
🚈	amitru afess
🚓	Takerrust n temsulta
🚕	Ataksi
🚗	Takerrust
🛹	Avilu
🚨	Taftilt n tkerrust n tmsulta
💺	tasɣimt
🚁	talikuptirt
🚀	tallunt
🛸	taɣawsa tarussint yettafgen
🔥	times
🎃	taxsayt
🎆	asfugel
🎇	ifṭiwej
✨	itran
🎈	asfugel
🎀	asfugel
🎫	atiki
🏅	ciɛa n waddal
🥇	ciɛa n dhev
🥈	ciɛa n lfeṭṭa
🥉	ciɛa n bṛunz
🔮	takurt n ukrisṭal
🎴	takarḍa, urar
🔇	asusam
🔉	imesli
🔊	imesli
📣	amigafun
🎵	tazmilt taẓawant
🎶	tizmilin tiẓawanin
🎷	asaksufun
🎸	snitra
📱	tiliɣri tazirazt
🔋	aẓru
💽	aḍebsi n uselkim
🎥	takamirat
📔	imedlis s tduli icebḥen
📕	adlis imedlen
📖	adlis yeldin
📗	adlis azegzaw
📘	adlis amidadi
📙	adlis ačinawi
📓	imedlis
📒	ambellez
📃	asebter yettwasekwren
📜	adrurem
📄	asebter
📰	aɣmis
📑	tacreṭ, tacreṭ n usebter
🔖	tacreṭ n usebter
💲	adulaṛ, idrimen, tadrimt
📧	imayl
📨	izen ukcim
📩	izen yettwazen
📁	akaram n ufaylu
📂	ldi akaram n ufaylu
📆	awitay
🔨	afecku
🔗	aseɣwen
💉	tisegnit
💊	amejjay, amuḍin, tujjya
🚪	tabburt
🛒	taqecwalt n tiɣin
🚬	ageṛṛu
🏧	tamacint n tedrimt tawurmant
🚮	tignit n iḍumman
🚰	aman deg ufus
🚻	azamul n teslalayt
🚾	taslalayt
🔃	ineccaben tanila n isegnan n temrilt
🔄	taqeffalt n ineccaben n tnila yettin n isegnan n temrilt
🔙	Aneccab n tuɣalin
🔚	Aneccab n tagara
🔛	urmid
🔜	Aneccab Qrib
🔝	aneccab n ufalla
⛎	Aẓudyak
🔀	Aneccab anmidag
🔁	aneccab imdewweṛ
▶	taqeffalt n tɣuri
🎦	sinima
🏁	anay s texxamin
🚩	anay azeggaɣ
🎌	anayen ijapuniyen
🏴	anay aberkan
🏳‍🌈	anay n teslit n unẓar
↔️	aneccab azelmaḍ ayeffus
↕️	aneccab asawen akesser
↖️	aneccab asawen azelmaḍ
↗️	aneccab d asawen uẓẓil
↘️	aneccab d akesser uẓẓil
↙️	aneccab akesser ayeffus
↩️	aneccab ayeffus yettin s azelmaḍ
↪️	aneccab azelmaḍ yettin s ayeffus
⌚️	tamrilt
⌛️	tamrilt n ijdan
⌨️	anasiw
⏏️	taqeffalt n senzelli
⏱️	amesnakud
⏲️	Asakway
⏳️	tamrilt n ijdan yettmirin
☀️	iṭij
☁️	asigna
☘️	ikeffis
☹️	udem amiglaz
☺️	udem n ucmumeḥ
♈️	Ikerri
♉️	Aramul
♊️	Akniwen
♋️	Afurray
♌️	Izem
♍️	Taḥbayrit
♎️	Tacihant
♏️	Tiɣirdemt
♐️	Amnaccab
♑️	Aqelwac
♒️	Azfuf
♓️	Islem
♿️	azamul n unekcum n uneɛyabu
⚙️	afecku
⚰️	tamettant
⚽️	ččir n dabax n uḍar
⛅️	asigna, iṭij
⛑️	akaskiḍ amidag amellal
⛩️	lemqam shrine
⛪️	tamezgida n imasiḥiyen
⛰️	adrar
⛲️	tala
⛺️	aqiḍun
✈️	asafag
✉️	tajellabt
✏️	imru
✒️	imru n tricet aberkan
➡️	aneccab ayeffus
⤴️	aneccab ayeffus yettin d asawen
⤵️	aneccab ayeffus yettin d akesser
⬅️	aneccab azelmaḍ
⬆️	aneccab d asawen
⬇️	aneccab akesser
🀄️	azeggaɣ, mahjong, urar
🌎️	amtiweg timrikin
🌡️	atirmumitr
🌤️	asigna, iṭij
🌫️	asigna
🌶️	ifelfel azggaɣ
🎓️	agerdas
🎖️	ciɛa taserdasant
🏆️	arraz
🏔️	adrar n udfel
