👶🏻	tagwlimt taceɛlalt, ṣebyan, ṣebyan: tagwlimt taceɛlalt
👶🏼	tagwlimt taceɛlalt talemmast, ṣebyan, ṣebyan: tagwlimt taceɛlalt talemmast
👶🏽	taglimt talemmast, ṣebyan, ṣebyan: taglimt talemmast
👶🏾	tagwlimt tubrikt talemmast, ṣebyan, ṣebyan: tagwlimt tubrikt talemmast
👶🏿	tagwlimt tubrikt, ṣebyan, ṣebyan: tagwlimt tubrikt
🧒🏻	agrud, agrud: tagwlimt taceɛlalt, tagwlimt taceɛlalt
🧒🏼	agrud, agrud: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🧒🏽	agrud, agrud: taglimt talemmast, taglimt talemmast
🧒🏾	agrud, agrud: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
🧒🏿	agrud, agrud: tagwlimt tubrikt, tagwlimt tubrikt
👦🏻	aqruṛ, aqruṛ: tagwlimt taceɛlalt, tagwlimt taceɛlalt
👦🏼	aqruṛ, aqruṛ: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👦🏽	aqruṛ, aqruṛ: taglimt talemmast, taglimt talemmast
👦🏾	aqruṛ, aqruṛ: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
👦🏿	aqruṛ, aqruṛ: tagwlimt tubrikt, tagwlimt tubrikt
👧🏻	Taqruṛt, Taqruṛt: tagwlimt taceɛlalt, tagwlimt taceɛlalt
👧🏼	Taqruṛt, Taqruṛt: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👧🏽	Taqruṛt, Taqruṛt: taglimt talemmast, taglimt talemmast
👧🏾	Taqruṛt, Taqruṛt: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
👧🏿	Taqruṛt, Taqruṛt: tagwlimt tubrikt, tagwlimt tubrikt
🧑🏻	amengaḍ, amengaḍ: tagwlimt taceɛlalt, tagwlimt taceɛlalt
🧑🏼	amengaḍ, amengaḍ: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🧑🏽	amengaḍ, amengaḍ: taglimt talemmast, taglimt talemmast
🧑🏾	amengaḍ, amengaḍ: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
🧑🏿	amengaḍ, amengaḍ: tagwlimt tubrikt, tagwlimt tubrikt
👨🏻	argaz, argaz: tagwlimt taceɛlalt, tagwlimt taceɛlalt
👨🏼	argaz, argaz: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👨🏽	argaz, argaz: taglimt talemmast, taglimt talemmast
👨🏾	argaz, argaz: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
👨🏿	argaz, argaz: tagwlimt tubrikt, tagwlimt tubrikt
👨‍🦰	acekkuḥ azeggaɣ, argaz, argaz: acekkuḥ azeggaɣ
👨🏻‍🦰	acekkuḥ azeggaɣ, argaz, argaz: tagwlimt taceɛlalt, acekkuḥ azeggaɣ, tagwlimt taceɛlalt
👨🏼‍🦰	acekkuḥ azeggaɣ, argaz, argaz: tagwlimt taceɛlalt talemmast, acekkuḥ azeggaɣ, tagwlimt taceɛlalt talemmast
👨🏽‍🦰	acekkuḥ azeggaɣ, argaz, argaz: taglimt talemmast, acekkuḥ azeggaɣ, taglimt talemmast
👨🏾‍🦰	acekkuḥ azeggaɣ, argaz, argaz: tagwlimt tubrikt talemmast, acekkuḥ azeggaɣ, tagwlimt tubrikt talemmast
👨🏿‍🦰	acekkuḥ azeggaɣ, argaz, argaz: tagwlimt tubrikt, acekkuḥ azeggaɣ, tagwlimt tubrikt
👩🏻	tagwlimt taceɛlalt, tameṭṭut, tameṭṭut: tagwlimt taceɛlalt
👩🏼	tagwlimt taceɛlalt talemmast, tameṭṭut, tameṭṭut: tagwlimt taceɛlalt talemmast
👩🏽	taglimt talemmast, tameṭṭut, tameṭṭut: taglimt talemmast
👩🏾	tagwlimt tubrikt talemmast, tameṭṭut, tameṭṭut: tagwlimt tubrikt talemmast
👩🏿	tagwlimt tubrikt, tameṭṭut, tameṭṭut: tagwlimt tubrikt
👩‍🦰	acekkuḥ azeggaɣ, tameṭṭut, tameṭṭut: acekkuḥ azeggaɣ
👩🏻‍🦰	acekkuḥ azeggaɣ, tagwlimt taceɛlalt, tameṭṭut, tameṭṭut: tagwlimt taceɛlalt, acekkuḥ azeggaɣ
👩🏼‍🦰	acekkuḥ azeggaɣ, tagwlimt taceɛlalt talemmast, tameṭṭut, tameṭṭut: tagwlimt taceɛlalt talemmast, acekkuḥ azeggaɣ
👩🏽‍🦰	acekkuḥ azeggaɣ, taglimt talemmast, tameṭṭut, tameṭṭut: taglimt talemmast, acekkuḥ azeggaɣ
👩🏾‍🦰	acekkuḥ azeggaɣ, tagwlimt tubrikt talemmast, tameṭṭut, tameṭṭut: tagwlimt tubrikt talemmast, acekkuḥ azeggaɣ
👩🏿‍🦰	acekkuḥ azeggaɣ, tagwlimt tubrikt, tameṭṭut, tameṭṭut: tagwlimt tubrikt, acekkuḥ azeggaɣ
🧓🏻	amengaḍ meqqren, amengaḍ meqqren: tagwlimt taceɛlalt, tagwlimt taceɛlalt
🧓🏼	amengaḍ meqqren, amengaḍ meqqren: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🧓🏽	amengaḍ meqqren, amengaḍ meqqren: taglimt talemmast, taglimt talemmast
🧓🏾	amengaḍ meqqren, amengaḍ meqqren: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
🧓🏿	amengaḍ meqqren, amengaḍ meqqren: tagwlimt tubrikt, tagwlimt tubrikt
👴🏻	amɣaṛ, amɣaṛ: tagwlimt taceɛlalt, tagwlimt taceɛlalt
👴🏼	amɣaṛ, amɣaṛ: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👴🏽	amɣaṛ, amɣaṛ: taglimt talemmast, taglimt talemmast
👴🏾	amɣaṛ, amɣaṛ: tagwlimt tubrikt talemmast, tagwlimt tubrikt talemmast
👴🏿	amɣaṛ, amɣaṛ: tagwlimt tubrikt, tagwlimt tubrikt
#⃣	keycap, keycap: #
*⃣	keycap, keycap: *
🔟	keycap, keycap: 10
🇦🇨	anay, anay: Tigzirt n Aṣunsyun
