,	ticcert
،	ticcert taɛrabt
·	taneqqiḍt talemmast
§	taseddart
°	tafesna
←	aneccab s azelmaḍ
→	aneccab s ayeffus
↓	aneccab d akesser
⇅	aneccab d asawen d uneccab d akessar
⇆	aneccab azelmaḍ nnig n uneccab ayeffus
∇	nabla
∈	aferdis n
+	azamul n tmerna
=	yegda
¬	tibawt
∩	amyegzem
∪	tadukkli
●	tawinest yeččuren
😀	acmumeḥ meqqren
😃	udem n ucmumeḥ s wallen yeldin
😄	acmumaḥ amesrar
😁	acmumeḥ n tuɣmas meṛṛa
😆	udem icmumḥen s yimi yeldin d wallen imedlen
😅	udem icmumḥen s leḥya
🤣	axbibeḍ deg lqaɛa seg teḍsa
😂	taḍsa almi i d-ɣlin imeṭṭawen
🙂	acmumeḥ afessas
🙃	udem yettin d akessar
🫠	udem yefsin
😉	udem yemmalen aɣmaz n tiṭ
😊	udem innecṛaḥen s wallen icmumḥen
🥰	udem yecmumḥen s wulawen
😍	udem yecmumḥen s wallen am wulawen
🤩	udem yecmumḥen s wallen am yitran
😘	tasudent d wul
😗	tasudent
☺️	udem n ucmumeḥ
😚	tasudent allen medlent
😙	tasudent meqren
🥲	udem yecmumḥen s yimeṭṭawen
😋	udem yessibninen učči
😛	Udem s yiles
😜	Udem yessufɣen iles
🤪	udem yesseḍsayen
🤗	udem yefkan ahennec
🤭	udem s ufus ɣef yimi
🫢	udem s wallen yeldin d ufus ɣef yimi
🤫	udem asusam
🤔	udem ikecmen di ttexmim
🤐	udem d yimi ixaden
🤨	afus irefden iḍudan bejqen
😐️	war awal
😑	udem war asunfal
😶	ulac imi
😏	acmumeh n tiherci
😒	udem ameklu
🙄	baɛar s wallen
🤥	udem yeskiddiben
😌	udem yenirsen
😪	udem yeṭṭsen
🤤	asluddu
😴	udem anudam
😷	udem s tgelmust
🤒	udem s utirmumitr
🤕	udem icudden deg uqerruy
🤮	udem yettarran
🤧	udem yettaḍasen
🥵	udem yerɣan
🥶	udem asemmaḍ
😎	acmumeḥ s nwader n yiṭij
😕	udem iεewqen
😟	udem yuggaden
☹️	udem amiglaz
😮	udem s yimi yeldin
😯	udem war taɣect
😥	uk
😢	udem yettrun
😣	udem akayay
😫	udem yeɛyan
🥱	udem yettfan
😠	udem yerfan
😈	udem yeḍsan s wacciwen
👿	udem yerfan s wacciwen
🤡	udem yesseḍsayen
👹	waɣzen
👻	afunṭum
💞	ul itezzin
💕	sin wulawen
💟	acebbeḥ n wul
❣️	ul ibehten
💔	ul yerẓen
❤️	ul azeggaɣ
🧡	ul ačini
💛	ul awreɣ
💚	ul azegzaw
💙	ul anili
💜	ul ademdam
🤎	ul aqehwi
🖤	ul aberkan
🤍	ul amellal
🕳️	amruj
💬	tanaka n wawal
🗨️	tanaka n wawal tazelmaḍt
🗯️	tanaka n reffu tayeffust
💭	tanaka n tikta
💤	zzz
👋	afus yettwehhin
👋🏻	afus yettwehhin, afus yettwehhin: taglimt taceɛlalt, taglimt taceɛlalt
👋🏼	afus yettwehhin, afus yettwehhin: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👋🏽	afus yettwehhin, afus yettwehhin: taglimt talemmast, taglimt talemmast
👋🏾	afus yettwehhin, afus yettwehhin: taglimt tubrikt talemmast, taglimt tubrikt talemmast
👋🏿	afus yettwehhin, afus yettwehhin: taglimt tubrikt, taglimt tubrikt
🤚	talwaḥt n ufus irefden
🤚🏻	taglimt taceɛlalt, talwaḥt n ufus irefden, talwaḥt n ufus irefden: taglimt taceɛlalt
🤚🏼	tagwlimt taceɛlalt talemmast, talwaḥt n ufus irefden, talwaḥt n ufus irefden: tagwlimt taceɛlalt talemmast
🤚🏽	taglimt talemmast, talwaḥt n ufus irefden, talwaḥt n ufus irefden: taglimt talemmast
🤚🏾	taglimt tubrikt talemmast, talwaḥt n ufus irefden, talwaḥt n ufus irefden: taglimt tubrikt talemmast
🤚🏿	taglimt tubrikt, talwaḥt n ufus irefden, talwaḥt n ufus irefden: taglimt tubrikt
🖐️	afus s yiḍudan yeldin
🖐🏻	afus s yiḍudan yeldin, afus s yiḍudan yeldin: taglimt taceɛlalt, taglimt taceɛlalt
🖐🏼	afus s yiḍudan yeldin, afus s yiḍudan yeldin: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🖐🏽	afus s yiḍudan yeldin, afus s yiḍudan yeldin: taglimt talemmast, taglimt talemmast
🖐🏾	afus s yiḍudan yeldin, afus s yiḍudan yeldin: taglimt tubrikt talemmast, taglimt tubrikt talemmast
🖐🏿	afus s yiḍudan yeldin, afus s yiḍudan yeldin: taglimt tubrikt, taglimt tubrikt
✋	afus irefden
✋🏻	afus irefden, afus irefden: taglimt taceɛlalt, taglimt taceɛlalt
✋🏼	afus irefden, afus irefden: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
✋🏽	afus irefden, afus irefden: taglimt talemmast, taglimt talemmast
✋🏾	afus irefden, afus irefden: taglimt tubrikt talemmast, taglimt tubrikt talemmast
✋🏿	afus irefden, afus irefden: taglimt tubrikt, taglimt tubrikt
🖖	aburkan n tezmert
🖖🏻	aburkan n tezmert, aburkan n tezmert: taglimt taceɛlalt, taglimt taceɛlalt
🖖🏼	aburkan n tezmert, aburkan n tezmert: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🖖🏽	aburkan n tezmert, aburkan n tezmert: taglimt talemmast, taglimt talemmast
🖖🏾	aburkan n tezmert, aburkan n tezmert: taglimt tubrikt talemmast, taglimt tubrikt talemmast
🖖🏿	aburkan n tezmert, aburkan n tezmert: taglimt tubrikt, taglimt tubrikt
🫱	afus ayeffus
🫱🏻	afus ayeffus, afus ayeffus: taglimt taceɛlalt, taglimt taceɛlalt
🫱🏼	afus ayeffus, afus ayeffus: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🫱🏽	afus ayeffus, afus ayeffus: taglimt talemmast, taglimt talemmast
🫱🏾	afus ayeffus, afus ayeffus: taglimt tubrikt talemmast, taglimt tubrikt talemmast
🫱🏿	afus ayeffus, afus ayeffus: taglimt tubrikt, taglimt tubrikt
🫱🏻‍🫲🏼	amsalem, amsalem: taglimt taceɛlalt, tagwlimt taceɛlalt talemmast, taglimt taceɛlalt, tagwlimt taceɛlalt talemmast
🫱🏻‍🫲🏽	amsalem, amsalem: taglimt taceɛlalt, taglimt talemmast, taglimt taceɛlalt, taglimt talemmast
🫱🏻‍🫲🏾	amsalem, amsalem: taglimt taceɛlalt, taglimt tubrikt talemmast, taglimt taceɛlalt, taglimt tubrikt talemmast
🫱🏻‍🫲🏿	amsalem, amsalem: taglimt taceɛlalt, taglimt tubrikt, taglimt taceɛlalt, taglimt tubrikt
🫱🏼‍🫲🏻	amsalem, amsalem: tagwlimt taceɛlalt talemmast, taglimt taceɛlalt, taglimt taceɛlalt, tagwlimt taceɛlalt talemmast
🫱🏼‍🫲🏽	amsalem, amsalem: tagwlimt taceɛlalt talemmast, taglimt talemmast, taglimt talemmast, tagwlimt taceɛlalt talemmast
🫱🏼‍🫲🏾	amsalem, amsalem: tagwlimt taceɛlalt talemmast, taglimt tubrikt talemmast, taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast
🫱🏼‍🫲🏿	amsalem, amsalem: tagwlimt taceɛlalt talemmast, taglimt tubrikt, taglimt tubrikt, tagwlimt taceɛlalt talemmast
🫱🏽‍🫲🏻	amsalem, amsalem: taglimt talemmast, taglimt taceɛlalt, taglimt taceɛlalt, taglimt talemmast
🫱🏽‍🫲🏼	amsalem, amsalem: taglimt talemmast, tagwlimt taceɛlalt talemmast, taglimt talemmast, tagwlimt taceɛlalt talemmast
🫱🏽‍🫲🏾	amsalem, amsalem: taglimt talemmast, taglimt tubrikt talemmast, taglimt talemmast, taglimt tubrikt talemmast
🫱🏽‍🫲🏿	amsalem, amsalem: taglimt talemmast, taglimt tubrikt, taglimt talemmast, taglimt tubrikt
🫱🏾‍🫲🏻	amsalem, amsalem: taglimt tubrikt talemmast, taglimt taceɛlalt, taglimt taceɛlalt, taglimt tubrikt talemmast
🫱🏾‍🫲🏼	amsalem, amsalem: taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast, taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast
🫱🏾‍🫲🏽	amsalem, amsalem: taglimt tubrikt talemmast, taglimt talemmast, taglimt talemmast, taglimt tubrikt talemmast
🫱🏾‍🫲🏿	amsalem, amsalem: taglimt tubrikt talemmast, taglimt tubrikt, taglimt tubrikt, taglimt tubrikt talemmast
🫱🏿‍🫲🏻	amsalem, amsalem: taglimt tubrikt, taglimt taceɛlalt, taglimt taceɛlalt, taglimt tubrikt
🫱🏿‍🫲🏼	amsalem, amsalem: taglimt tubrikt, tagwlimt taceɛlalt talemmast, taglimt tubrikt, tagwlimt taceɛlalt talemmast
🫱🏿‍🫲🏽	amsalem, amsalem: taglimt tubrikt, taglimt talemmast, taglimt talemmast, taglimt tubrikt
🫱🏿‍🫲🏾	amsalem, amsalem: taglimt tubrikt, taglimt tubrikt talemmast, taglimt tubrikt, taglimt tubrikt talemmast
🫲	afus azelmaḍ
🫲🏻	afus azelmaḍ, afus azelmaḍ: taglimt taceɛlalt, taglimt taceɛlalt
🫲🏼	afus azelmaḍ, afus azelmaḍ: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🫲🏽	afus azelmaḍ, afus azelmaḍ: taglimt talemmast, taglimt talemmast
🫲🏾	afus azelmaḍ, afus azelmaḍ: taglimt tubrikt talemmast, taglimt tubrikt talemmast
🫲🏿	afus azelmaḍ, afus azelmaḍ: taglimt tubrikt, taglimt tubrikt
🫳	tidikelt d akesser
🫳🏻	taglimt taceɛlalt, tidikelt d akesser, tidikelt d akesser: taglimt taceɛlalt
🫳🏼	tagwlimt taceɛlalt talemmast, tidikelt d akesser, tidikelt d akesser: tagwlimt taceɛlalt talemmast
🫳🏽	taglimt talemmast, tidikelt d akesser, tidikelt d akesser: taglimt talemmast
🫳🏾	taglimt tubrikt talemmast, tidikelt d akesser, tidikelt d akesser: taglimt tubrikt talemmast
🫳🏿	taglimt tubrikt, tidikelt d akesser, tidikelt d akesser: taglimt tubrikt
🫴	tidikelt d asawen
🫴🏻	taglimt taceɛlalt, tidikelt d asawen, tidikelt d asawen: taglimt taceɛlalt
🫴🏼	tagwlimt taceɛlalt talemmast, tidikelt d asawen, tidikelt d asawen: tagwlimt taceɛlalt talemmast
🫴🏽	taglimt talemmast, tidikelt d asawen, tidikelt d asawen: taglimt talemmast
🫴🏾	taglimt tubrikt talemmast, tidikelt d asawen, tidikelt d asawen: taglimt tubrikt talemmast
🫴🏿	taglimt tubrikt, tidikelt d asawen, tidikelt d asawen: taglimt tubrikt
👌	afus n IH
👌🏻	afus n IH, afus n IH: taglimt taceɛlalt, taglimt taceɛlalt
👌🏼	afus n IH, afus n IH: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👌🏽	afus n IH, afus n IH: taglimt talemmast, taglimt talemmast
👌🏾	afus n IH, afus n IH: taglimt tubrikt talemmast, taglimt tubrikt talemmast
👌🏿	afus n IH, afus n IH: taglimt tubrikt, taglimt tubrikt
🤌	Iduḍan yemlalen
🤌🏻	Iduḍan yemlalen, Iduḍan yemlalen: taglimt taceɛlalt, taglimt taceɛlalt
🤌🏼	Iduḍan yemlalen, Iduḍan yemlalen: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
🤌🏽	Iduḍan yemlalen, Iduḍan yemlalen: taglimt talemmast, taglimt talemmast
