😀	glad, grinende ansigt, smilende ansigt, smiley
😃	glad, smilende ansigt med åben mund, smiler, smiley
😄	glad, smil, smilende ansigt med åben mund og smilende øjne, smiley, smileøjne
😁	ansigt der griner, glad, grinende ansigt med smilende øjne, smiley
😆	glad, lukkede øjne, smil, smil med lukkede øjne, smilende ansigt med åben mund og lukkede øjne
😅	smil med koldsved, smilende ansigt med åben mund og koldsved
🤣	ansigt, grine, griner, gulv, latter, ler, ruller, ruller rundt på gulvet af grin, vrider sig
😂	ansigt med glædestårer, glad, glæde, tårer
🙂	ansigt, let smilende ansigt, smil
🙃	ansigt, omvendt, omvendt ansigt
😉	ansigt, ansigt der blinker, blink, blinkende ansigt
😊	smil med smileøjne, smilende ansigt og øjne, smileøjne
😇	ansigt, glorie, smil, smilende ansigt med glorie
😍	hjerter, hjerteøjne, kærlighed, smilende ansigt med hjertøjne
😘	ansigt, kyssende ansigt, sender kys
😗	ansigt, kys, kysseansigt, kysser
☺️	smil, smilende ansigt
😚	ansigt, kys, kysseansigt med lukkede øjne, lukkede øjne
😙	ansigt, kysseansigt med smilende øjne, smilende øjne
😋	ansigt, god mad, nydende ansigt, smil
😛	ansigt, ansigt med tungen ude
😜	ansigt, ansigt med tungen ude og blinkende øje, blink, driller
😝	ansigt, ansigt med tungen ude og sammenknebne øjne, rækker tunge
🤑	ansigt, ansigt med dollartegn, mund, penge
🤗	ansigt, knus, knuser, kram, kramme, krammende ansigt
🤔	ansigt, tanker, tænkende, tænkende ansigt
🤐	ansigt, ansigt med lynlåsmund, lynlås, mund
😐️	ingen kommentar, neutralt ansigt, pokeransigt
😑	ingen kommentar, pokeransigt, udtryksløst ansigt
😶	ansigt, ansigt uden mund, mund, stille, tavs
😏	ansigt, ansigt med smørret grin, smørret
😒	ansigt, ikke glad, uimponeret ansigt
🙄	ansigt, ansigt med rullende øjne, rullende, øjne
😬	ansigt, lave grimasse, sammenbidt ansigt
🤥	ansigt, lang næse, lyver, løgn, løgneransigt, pinocchio
😌	ansigt, lettelse, lettet ansigt
😔	ansigt, eftertænksom, eftertænksomt ansigt, nedslået
😪	ansigt, dyb søvn, træt
🤤	ansigt, savl, savlende ansigt, savler
😴	ansigt, sove, sovende ansigt, søvn
😷	ansigt, ansigt med maske, doktor, forkølelse, maske, medicin, syg
🤒	ansigt, ansigt med termometer, syg, termometer
🤕	ansigt, ansigt med bandage, bandage, skade, smerte
🤢	ansigt, ansigt med kvalme, bræk, kaster op, kvalme, kvalmeansigt, opkast, syg, sygdom
🤧	forkølet, lommetørklæde, nys, nysende ansigt, nyser, prosit, pudser næse, syg, sygdom
😵	ansigt, svimmel, svimmelt ansigt, ør
🤠	ansigt, cowboyhat, cowboyhat ansigt, cowgirl, hat
😎	ansigt, sej, smil med solbriller, smilende ansigt med solbriller, solbriller
🤓	ansigt, nørd, nørdansigt
😕	ansigt, forvirret ansigt
😟	ansigt, bekymret, bekymret ansigt, bekymring
🙁	ansigt, lidt trist ansigt, trist
☹️	ansigt, trist, trist ansigt
😮	ansigt, ansigt med åben mund
😯	stille ansigt, tavst ansigt
😲	chokeret, overrasket ansigt
😳	røde kinder, rødmende ansigt
😦	ansigt, måbende ansigt med åben mund, rynkede bryn, åben mund
😧	ansigt, forpint ansigt, lider, smerte
😨	bange ansigt, frygt
😰	ansigt med åben mund og koldsved, blå i ansigtet, koldsved, åben mund
😥	skuffet men lettet, skuffet men lettet ansigt
😢	ansigt, grædende ansigt, ked af det, tårer
😭	grådkvalt ansigt, græder, tårer
😱	angst, skrigende ansigt
😖	ansigt, forbandet, forbistret ansigt
😣	stædigt ansigt, udholdenhed
😞	ansigt, skuffet ansigt
😓	ansigt, ansigt med koldsved
😩	udkørt, udmattet, udmattet ansigt
😫	ansigt, træt ansigt
😤	fnysende ansigt, jeg vandt
😡	rød, surt ansigt, vred, vredt ansigt
😠	ansigt, vredt ansigt
😈	ansigt, horn, smil, smilende ansigt med horn
👿	lilla djævel, lille djævel
💀	dødningehoved, kranium
☠️	ansigt, død, korslagte knogler, kranie, kranie og korslagte knogler, kranium, krop, monster
💩	bunke bæ, bæ
🤡	ansigt, klovn, klovneansigt
👹	japansk uhyre, monster, trold
👺	japansk ånd, ånd
👻	ansigt, eventyr, fantasi, gespenst, monster, spøgelse, væsen
👽️	rumvæsen
👾	alien, alien-monster, ansigt, eventyr, fantasi, rummet, rumvæsen, ufo
🤖	ansigt, monster, robotansigt
😺	glad kat, kat smiler
😸	kat, kat griner
😹	kat, kat med glædestårer
😻	glad kat med hjerter, kat smiler
😼	ironisk kat, kat med ironisk smil
😽	kat, kyssende kat med lukkede øjne, kysser
🙀	overrasket kat, træt kat
😿	grædende kat, kat græder
😾	sur kat, surmulende kat
🙈	ikke se, tre vise aber
🙉	ikke høre, tre vise aber
🙊	ikke tale, tre vise aber
💌	brev med hjerte, kærlighedsbrev
💘	følelser, hjerte, hjerte med pil, kærlighed, pil
💝	bånd, følelser, hjerte, hjerte med bånd
💖	følelser, gnister, hjerte med stjerner, kærlighed
💗	følelser, hjerte, kærlighed, nervøs, voksende hjerte
💓	bankende hjerte, hjerte, kærlighed, romantik
💞	følelser, hjerter, roterende hjerter
💕	kærlighed, romantik, to hjerter
💟	hjerte, hjertedekoration
❣️	hjerte, hjerte som udråbstegn, tegnsætning, udråbstegn
💔	knust hjerte, ulykkelig kærlighed
