🏻	odos atspalvis, šviesios odos
🏼	odos atspalvis, vidutinio gymio
🏽	odos atspalvis, rusvos odos
🏾	odos atspalvis, tamsios odos
🏿	itin tamsios odos, odos atspalvis
😀	išsišiepti, išsišiepęs veidas, veidas
😁	akys, išsišiepti, išsišiepęs veidas su besišypsančiomis akimis, veidas, šypsena
😂	ašara, džiaugsmas, juokas, veidas, veidas su džiaugsmo ašaromis
🤣	juokas, raitausi iš juoko, raitytis
😃	besišypsantis išsižiojęs veidas, burna, praverta, veidas, šypsena
😄	akys, besišypsantis išsižiojęs veidas besišypsančiomis akimis, burna, praverta, veidas, šypsena
😅	besišypsantis išsižiojęs veidas, išpiltas šalto prakaito, prakaitas, praverta, veidas, šaltas, šypsena
😆	besišypsantis išsižiojęs veidas su smarkiai užmerktomis akimis, burna, juokas, pasitenkinęs, praverta, veidas, šypsena
😉	mirksintis veidas, mirktelėjimas, veidas
😊	akys, besišypsantis veidas su besišypsančiomis akimis, nurausti, veidas, šypsena
😋	besimėgaujantis, niam, skaniu maistu besimėgaujantis veidas, skanu, veidas, šypsena
😎	akiniai nuo saulės, besišypsantis veidas su akiniais nuo saulės, saulė, veidas, šaunus, šviesus
😍	akys, besišypsantis veidas su širdelės formos akimis, meilė, veidas, širdelės, šypsena
😘	bučinys, bučinį siunčiantis veidas, veidas, širdelė
🥰	besišypsantis veidas su trimis širdelėmis, dievinti, garbinimo objektas, įsimylėjęs
😗	bučinys, bučiuojantis veidas, veidas
😙	akys, bučinys, bučiuojantis su besišypsančiomis akimis, veidas, šypsena
😚	akys, bučinys, bučiuojantis su užmerktomis akimis, užmerktos, veidas
🙂	veidas, šiek tiek besišypsantis veidas, šypsena
🤗	apkabinantis veidas, apkabinimas, apkabinti, veidas
🤩	akys, veidas, šypsotis, žvaigždė, žvaigždžių liga
🤔	mąstantis veidas, mąstymas, veidas
🤨	nepasitikintis, skeptiškas, veidas su pakeltais antakiais
😑	be išraiškos, neišraiškingas, veidas, veidas be jokios išraiškos
😶	burna, tylus, veidas, veidas be burnos
🙄	akys, vartyti, veidas, veidas, vartantis akis
