🦵🏻	1 ir 2 odos tipai, galūnė, koja, koja: 1 ir 2 odos tipai, spyris
🦵🏼	3 odos tipas, galūnė, koja, koja: 3 odos tipas, spyris
🦵🏽	4 odos tipas, galūnė, koja, koja: 4 odos tipas, spyris
🦵🏾	5 odos tipas, galūnė, koja, koja: 5 odos tipas, spyris
🦵🏿	6 odos tipas, galūnė, koja, koja: 6 odos tipas, spyris
🦶🏻	1 ir 2 odos tipai, pėda, pėda: 1 ir 2 odos tipai, spyris, trepsėti
🦶🏼	3 odos tipas, pėda, pėda: 3 odos tipas, spyris, trepsėti
🦶🏽	4 odos tipas, pėda, pėda: 4 odos tipas, spyris, trepsėti
🦶🏾	5 odos tipas, pėda, pėda: 5 odos tipas, spyris, trepsėti
🦶🏿	6 odos tipas, pėda, pėda: 6 odos tipas, spyris, trepsėti
🦸🏻	1 ir 2 odos tipai, geras, herojus, herojė, supergalia, superherojus, superherojus: 1 ir 2 odos tipai
🦸🏼	3 odos tipas, geras, herojus, herojė, supergalia, superherojus, superherojus: 3 odos tipas
🦸🏽	4 odos tipas, geras, herojus, herojė, supergalia, superherojus, superherojus: 4 odos tipas
🦸🏾	5 odos tipas, geras, herojus, herojė, supergalia, superherojus, superherojus: 5 odos tipas
🦸🏿	6 odos tipas, geras, herojus, herojė, supergalia, superherojus, superherojus: 6 odos tipas
🦸🏻‍♀	1 ir 2 odos tipai, geras, herojus, herojė, moteris, moteris superherojė, moteris superherojė: 1 ir 2 odos tipai, supergalia
🦸🏼‍♀	3 odos tipas, geras, herojus, herojė, moteris, moteris superherojė, moteris superherojė: 3 odos tipas, supergalia
🦸🏽‍♀	4 odos tipas, geras, herojus, herojė, moteris, moteris superherojė, moteris superherojė: 4 odos tipas, supergalia
🦸🏾‍♀	5 odos tipas, geras, herojus, herojė, moteris, moteris superherojė, moteris superherojė: 5 odos tipas, supergalia
🦸🏿‍♀	6 odos tipas, geras, herojus, herojė, moteris, moteris superherojė, moteris superherojė: 6 odos tipas, supergalia
🦸🏻‍♂	1 ir 2 odos tipai, geras, herojus, supergalia, vyras, vyras superherojus, vyras superherojus: 1 ir 2 odos tipai
🦸🏼‍♂	3 odos tipas, geras, herojus, supergalia, vyras, vyras superherojus, vyras superherojus: 3 odos tipas
🦸🏽‍♂	4 odos tipas, geras, herojus, supergalia, vyras, vyras superherojus, vyras superherojus: 4 odos tipas
🦸🏾‍♂	5 odos tipas, geras, herojus, supergalia, vyras, vyras superherojus, vyras superherojus: 5 odos tipas
🦸🏿‍♂	6 odos tipas, geras, herojus, supergalia, vyras, vyras superherojus, vyras superherojus: 6 odos tipas
🦹🏻	1 ir 2 odos tipai, blogas, nusikaltėlis, piktadarys, supergalia, superpiktadarys, superpiktadarys: 1 ir 2 odos tipai
🦹🏼	3 odos tipas, blogas, nusikaltėlis, piktadarys, supergalia, superpiktadarys, superpiktadarys: 3 odos tipas
🦹🏽	4 odos tipas, blogas, nusikaltėlis, piktadarys, supergalia, superpiktadarys, superpiktadarys: 4 odos tipas
🦹🏾	5 odos tipas, blogas, nusikaltėlis, piktadarys, supergalia, superpiktadarys, superpiktadarys: 5 odos tipas
🦹🏿	6 odos tipas, blogas, nusikaltėlis, piktadarys, supergalia, superpiktadarys, superpiktadarys: 6 odos tipas
🦹🏻‍♀	1 ir 2 odos tipai, bloga, moteris, moteris piktadarė: 1 ir 2 odos tipai, nusikaltėlė, piktadarė, supergalia
