‾	tapae
‽	interrobang
‸	kātete
⁂	hakiraki
😀	kanohi, kanohi pakiri, pakiri
😃	kanohi, kanohi menemene waha tuwhera, menemene, tuwhera, waha
😄	kanohi, kanohi menemene waha tuwhera me ngā karu menemene, karu, menemene, tuwhera, waha
😁	kanohi, kanohi pakiri karu menemene, karu, menemene, pakiri
😆	kanohi, kanohi menemene waha tuwhera me ngā karu kopi, kata, menemene, ngata, tuwhera, waha
😅	kanohi, kanohi menemene waha tuwhera me te werawera mātao, menemene, mātao, tuwhera, werawera
🤣	kanohi, katakata, papa, takaoriori, takaoriori ana i te papa me te katakata
😂	harikoa, kanohi, kanohi roimata harikoa, kata, roimata
🙂	kanohi, kanohi menemene iti, menemene
🙃	huripoki, kanohi, kanohi huripoki
😉	kanohi, kanohi kimokimo, kimo
😊	kanohi, kanohi menemene karu menemene, karu, menemene, mumura
😇	anahera, hēkore, kanohi, kanohi menemene whai āwheo, kōrero pakiwaitara, menemene, moemoeā, āwheo
😍	aroha, kanohi, kanohi menemene karu-manawa, karu, menemene
🤩	kanohi, karu, pakiri, tino mīharotia, whetū
😘	kanohi, kanohi pupuhi kihi, kihi
😗	kanohi, kanohi kihikihi, kihi
☺️	kanohi, kanohi menemene, menemene, pārohe, whakahuahua
😚	kanohi, kanohi kihikihi karu kopi, karu, kihi, kopi
😙	kanohi, kanohi kihikihi karu menemene, karu, kihi, menemene
😋	kanohi, kanohi tāwara kai reka, menemene, reka, tāwara, um, ā
😛	arero, kanohi, kanohi whātero
😜	arero, hangarau, kanohi, kanohi whātero karu kimokimo, karu, kimo
🤪	iti, kanohi pōrangi, karu, rahi
😝	arero, kanohi, kanohi whātero karu kopi, karu, tāwara, weriweri
🤑	kanohi, kanohi waha-moni, moni, waha
🤗	awhi, awhiawhi, kanohi, kanohi awhiawhi
🤭	aue, kanohi ringa runga waha
🤫	hū, kanohi whakahū, turituri
🤔	kanohi, kanohi whakaaroaro, whakaaroaro
🤐	kanohi, kanohi waha-kōtui, kōtui, waha
🤨	kaitaunu, kanohi tukemata rewa, matakana
😐️	kanohi, kanohi kūpapa, kūpapa, whakaririka
😑	kanohi, kanohi whakaririka, kore ngangahau, whakaririka
😶	hū, kanohi, kanohi kore waha, ngū, waha
😏	kanohi, kanohi tāpahi, tāpahi
😒	kanohi, kanohi katakore, katakore, pōuri
🙄	kanohi, kanohi karu takahuri, karu, takahuri
😬	kanohi, kanohi whāita, whāita
🤥	kanohi, kanohi teka, pinōkio, teka
😌	kanohi, kanohi whakaoraora, whakaoraora
😔	kanohi, kanohi whakaaro, pāpōuri, whakaaroaro
😪	kanohi, kanohi hiamoe, moe
🤤	hāware, kanohi, kanohi hāware
😴	kanohi, kanohi moe, moe, zzz
😷	kanohi, kanohi mau ārai rongoā, mate, mātao, rata, rongoā, ārai
🤒	inemahana, kanohi, kanohi whai inemahana, mate, māuiui
🤕	kanohi, kanohi mau takai-upoko, mamae, takai, whara
🤢	kanekane, kanohi, kanohi kanekane, ruaki
🤮	kanohi ruaki, mate, ruaki
🤧	kanohi, kanohi matihe, matihe, ngā manaaki
😵	kanohi, kanohi takaanini, takaanini
🤯	māhunga pahū, oho
🤠	kanohi, kanohi pōtae kaupoi, kauhine, kaupoi, pōtae
😎	kanapa, kanohi, kanohi menemene mau mōhitirā, karu, menemene, mōhiti, mōhitirā, rawe, rā
🤓	kanohi, kanohi nere, kīki, nere
🧐	kanohi mau mōhititahi, māuiui
😕	kanohi, kanohi pōraru, pōraru
😟	kanohi, kanohi āwangawanga, āwangawanga
🙁	kanohi, kanohi āhua poururu, poururu
☹️	kanohi, kanohi poururu, poururu
😮	aroha, kanohi, kanohi waha tuwhera, tuwhera, waha
😯	hanea, kanohi, kanohi hanea, mae, ohorere
😲	kanohi, kanohi ohorere, katoa, oho, ohorere
😳	kanohi, kanohi werawera, pōro, werawera
😦	kanohi, kanohi poururu waha tuwhera, poururu, tuwhera, waha
😧	aurere, kanohi, kanohi aurere
😨	kanohi, kanohi mataku, mataku, wehi, wewehi
😰	kanohi, kanohi waha tuwhera me te werawera mātao, kikorangi, mātao, tuwhera, waha, werawera, whāwhai
😥	kanohi, kanohi pāpouri engari whakaoraora, pāpōuri, whakaoraora, whiu
😢	kanohi, kanohi tatangi, pōuri, roimata, tangi
😭	hotu, kanohi, kanohi tangi reonui, pōuri, roimata, tangi
😱	kanohi, kanohi ūmere i te wehi, mataku, ngangau, wehi, wewehi, ūmere
😖	kanohi, kanohi whakahēhē, whakahēhē
😣	kanohi, kanohi pāuaua, pāuaua
😞	kanohi, kanohi pāpōuri, pāpōuri
😓	kanohi, kanohi werawera mātao, mātao, werawera
😩	kanohi, kanohi ruha, ngenge, ruha
😫	kanohi, kanohi ngenge, ngenge
😤	kanohi, kanohi ihu korohū, toa, wini
😡	kanohi, kanohi tupere, nguha, pōrangi, riri, tupere, whero
😠	kanohi, kanohi riri, pōrangi, riri
🤬	kanga ana, kanohi tohu runga waha
😈	kanohi, kanohi menemene whai pihi, kōrero pakiwaitara, menemene, moemoeā, pihi
👿	kanohi, kanohi riri whai pihi, kōrero pakiwaitara, moemoeā, patupaiarehe, rēwera, tēmoni
💀	angaanga, kanohi, kōrero pakiwaitara, mate, taniwha
☠️	angaanga, angaanga me ngā kōiwi-whiri, kanohi, kōiwi-whiri, mate, taniwha
💩	kanohi, putunga tiko, tae, taniwha, tiko, tūtae, whakakata
🤡	hangareka, kanohi, kanohi hangareka
👹	kanohi, kaurehe, kīrehe, kōrero pakiwaitara, moemoeā, taniwha
👺	kanohi, kīrehe, kōrero pakiwaitara, moemoeā, taipō, taniwha
👻	kanohi, kēhua, kīrehe, kōrero pakiwaitara, moemoeā, taniwha
👽️	kanohi, kīrehe, kīrehe aokē, kōrero pakiwaitara, manene aokē, moemoeā, taniwha, ufo
👾	kanohi, kīrehe, kōrero pakiwaitara, manene aokē, moemoeā, ngārara aokē, taniwha, ufo
🤖	kanohi, kanohi karetao, karetao, taniwha
😺	kanohi, kanohi ngeru menemene waha tuwhera, menemene, ngeru, tuwhera, waha
😸	kanohi, kanohi ngeru pakiri karu menemene, karu, menemene, ngeru, pakiri
😹	harikoa, kanohi, kanohi ngeru me ngā roimata harikoa, ngeru, roimata
😻	aroha, kanohi, kanohi ngeru menemene karu-manawa, karu, menemene, ngeru
😼	kanohi, kanohi ngeru menemene pūkawa, menemene, ngeru, pūkawa, takahiri
😽	kanohi, kanohi ngeru kihikihi karu kopi, karu, kihi, ngeru
🙀	kanohi, kanohi ngeru ruha, ngeru, oho, ohorere, ruha
😿	kanohi, kanohi ngeru tatangi, ngeru, pōuri, roimata, tangi
😾	kanohi, kanohi ngeru tupere, ngeru, tupere
🙈	kanohi, kino, kite, kāo, kāore, makimaki, makimaki kore-kite-kino, tohu ā-ringa, whakakore, whakakāhore
🙉	kanohi, kino, kāo, kāore, makimaki, makimaki kore-rongo-kino, rongo, tohu ā-ringa, whakakore, whakakāhore
🙊	kanohi, kino, kāo, kāore, kōrero, makimaki, makimaki kore-kōrero-kino, tohu ā-ringa, whakakore, whakakāhore
💌	aroha, manawa, mēra, reta, reta aroha
💘	kupiti, manawa me te pere, pere
💝	manawa mau rīpene, rīpene, tohu aroha
💖	hiamo, manawa tīaho, tīaho
💗	hiamo, kapakapa, manawa tipu haere, taiatea, tipu ana
💓	kapakapa, manawa patupatu, patu manawa, patupatu
💞	ngā manawa takahurihuri, takahurihuri
💕	aroha, rua manawa
💟	manawa, rākeitanga manawa
❣️	tohu, tohu reo, tohuhā, tohuhā manawa pā
💔	manawa whati, pakaru, whati
❤️	manawa, manawa whero
🧡	karaka, manawa karaka
💛	kōwhai, manawa kōwhai
💚	kākariki, manawa kākāriki
💙	kikorangi, manawa kikorangi
💜	manawa poroporo, poroporo
🖤	kino, manawa pango, nanakia, pango
💋	kihi, ngutu, tohu kihi
💯	100, kotahi rau, kī, piro, rau piro
💢	pukuriri, pōrangi, tohu riri, whakakata
💥	pahū, tutukitanga, whakakata
💫	whakaamai, whakakata, whetū
💦	ngā kōpata werawera, paratī, werawera, whakakata
💨	oma ana, rere, rere atu ana, whakakata
🕳️	puare
💬	kōrero, mirumiru, pūangi, pūangi kōrero, whakakata
👁‍🗨	kaiwhakaatu, karu, karu rō mirumiru kōrero, mirumiru kōrero
🗨️	kōrero, mirumiru kōrero mauī
🗯️	mirumiru, mirumiru riri matau, pōrangi, pūangi, riri
💭	mirumiru, pūangi, pūangi whakaaro, whakaaro, whakakata
💤	moe, whakakata, zzz
👋	pōhiri, pōhirihiri, ringa, ringa pōhirihiri
👋🏻	kiri āhua māmā, pōhiri, pōhirihiri, ringa, ringa pōhirihiri: kiri āhua māmā
👋🏼	kiri āhua māmā-waenga, pōhiri, pōhirihiri, ringa, ringa pōhirihiri: kiri āhua māmā-waenga
👋🏽	kiri āhua waenga, pōhiri, pōhirihiri, ringa, ringa pōhirihiri: kiri āhua waenga
👋🏾	kiri āhua waenga-parauri, pōhiri, pōhirihiri, ringa, ringa pōhirihiri: kiri āhua waenga-parauri
