🦵🏻	клоца, нога, нога: тип на кожа 1–2, тип на кожа 1–2
🦵🏼	клоца, нога, нога: тип на кожа 3, тип на кожа 3
🦵🏽	клоца, нога, нога: тип на кожа 4, тип на кожа 4
🦵🏾	клоца, нога, нога: тип на кожа 5, тип на кожа 5
🦵🏿	клоца, нога, нога: тип на кожа 6, тип на кожа 6
🦶🏻	газење, клоцање, стапало, стапало: тип на кожа 1–2, тип на кожа 1–2
🦶🏼	газење, клоцање, стапало, стапало: тип на кожа 3, тип на кожа 3
🦶🏽	газење, клоцање, стапало, стапало: тип на кожа 4, тип на кожа 4
🦶🏾	газење, клоцање, стапало, стапало: тип на кожа 5, тип на кожа 5
🦶🏿	газење, клоцање, стапало, стапало: тип на кожа 6, тип на кожа 6
🦸🏻	добро, суперсила, суперхерој, суперхерој: тип на кожа 1–2, тип на кожа 1–2, хероина, херој
🦸🏼	добро, суперсила, суперхерој, суперхерој: тип на кожа 3, тип на кожа 3, хероина, херој
🦸🏽	добро, суперсила, суперхерој, суперхерој: тип на кожа 4, тип на кожа 4, хероина, херој
🦸🏾	добро, суперсила, суперхерој, суперхерој: тип на кожа 5, тип на кожа 5, хероина, херој
🦸🏿	добро, суперсила, суперхерој, суперхерој: тип на кожа 6, тип на кожа 6, хероина, херој
🦸🏻‍♀	добро, жена, жена-суперхерој, жена-суперхерој: тип на кожа 1–2, суперсила, тип на кожа 1–2, хероина, херој
🦸🏼‍♀	добро, жена, жена-суперхерој, жена-суперхерој: тип на кожа 3, суперсила, тип на кожа 3, хероина, херој
🦸🏽‍♀	добро, жена, жена-суперхерој, жена-суперхерој: тип на кожа 4, суперсила, тип на кожа 4, хероина, херој
🦸🏾‍♀	добро, жена, жена-суперхерој, жена-суперхерој: тип на кожа 5, суперсила, тип на кожа 5, хероина, херој
🦸🏿‍♀	добро, жена, жена-суперхерој, жена-суперхерој: тип на кожа 6, суперсила, тип на кожа 6, хероина, херој
🦸🏻‍♂	добро, маж, маж суперхерој, маж суперхерој: тип на кожа 1–2, суперсила, тип на кожа 1–2, херој
🦸🏼‍♂	добро, маж, маж суперхерој, маж суперхерој: тип на кожа 3, суперсила, тип на кожа 3, херој
🦸🏽‍♂	добро, маж, маж суперхерој, маж суперхерој: тип на кожа 4, суперсила, тип на кожа 4, херој
🦸🏾‍♂	добро, маж, маж суперхерој, маж суперхерој: тип на кожа 5, суперсила, тип на кожа 5, херој
🦸🏿‍♂	добро, маж, маж суперхерој, маж суперхерој: тип на кожа 6, суперсила, тип на кожа 6, херој
🦹🏻	зло, криминалец, негативец, супер-негативец, супер-негативец: тип на кожа 1–2, суперсила, тип на кожа 1–2
🦹🏼	зло, криминалец, негативец, супер-негативец, супер-негативец: тип на кожа 3, суперсила, тип на кожа 3
🦹🏽	зло, криминалец, негативец, супер-негативец, супер-негативец: тип на кожа 4, суперсила, тип на кожа 4
🦹🏾	зло, криминалец, негативец, супер-негативец, супер-негативец: тип на кожа 5, суперсила, тип на кожа 5
🦹🏿	зло, криминалец, негативец, супер-негативец, супер-негативец: тип на кожа 6, суперсила, тип на кожа 6
🦹🏻‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 1–2, зло, криминалец, негативец, суперсила, тип на кожа 1–2
🦹🏼‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 3, зло, криминалец, негативец, суперсила, тип на кожа 3
🦹🏽‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 4, зло, криминалец, негативец, суперсила, тип на кожа 4
🦹🏾‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 5, зло, криминалец, негативец, суперсила, тип на кожа 5
🦹🏿‍♀	жена, жена супернегативец, жена супернегативец: тип на кожа 6, зло, криминалец, негативец, суперсила, тип на кожа 6
🦹🏻‍♂	зло, криминалец, маж, маж супернегативец, маж супернегативец: тип на кожа 1–2, негативец, суперсила, тип на кожа 1–2
🦹🏼‍♂	зло, криминалец, маж, маж супернегативец, маж супернегативец: тип на кожа 3, негативец, суперсила, тип на кожа 3
🦹🏽‍♂	зло, криминалец, маж, маж супернегативец, маж супернегативец: тип на кожа 4, негативец, суперсила, тип на кожа 4
🦹🏾‍♂	зло, криминалец, маж, маж супернегативец, маж супернегативец: тип на кожа 5, негативец, суперсила, тип на кожа 5
🦹🏿‍♂	зло, криминалец, маж, маж супернегативец, маж супернегативец: тип на кожа 6, негативец, суперсила, тип на кожа 6
👶🏻	бебе, бебе: тип на кожа 1–2, мало, тип на кожа 1–2
👶🏼	бебе, бебе: тип на кожа 3, мало, тип на кожа 3
👶🏽	бебе, бебе: тип на кожа 4, мало, тип на кожа 4
👶🏾	бебе, бебе: тип на кожа 5, мало, тип на кожа 5
👶🏿	бебе, бебе: тип на кожа 6, мало, тип на кожа 6
🧒🏻	дете, дете: тип на кожа 1–2, младо, пол-неутрален, тип на кожа 1–2
🧒🏼	дете, дете: тип на кожа 3, младо, пол-неутрален, тип на кожа 3
🧒🏽	дете, дете: тип на кожа 4, младо, пол-неутрален, тип на кожа 4
🧒🏾	дете, дете: тип на кожа 5, младо, пол-неутрален, тип на кожа 5
🧒🏿	дете, дете: тип на кожа 6, младо, пол-неутрален, тип на кожа 6
👦🏻	машко, момче, момче: тип на кожа 1–2, тип на кожа 1–2
👦🏼	машко, момче, момче: тип на кожа 3, тип на кожа 3
👦🏽	машко, момче, момче: тип на кожа 4, тип на кожа 4
👦🏾	машко, момче, момче: тип на кожа 5, тип на кожа 5
👦🏿	машко, момче, момче: тип на кожа 6, тип на кожа 6
👧🏻	девојка, девојче, девојче: тип на кожа 1–2, женско, мома, тип на кожа 1–2
👧🏼	девојка, девојче, девојче: тип на кожа 3, женско, мома, тип на кожа 3
👧🏽	девојка, девојче, девојче: тип на кожа 4, женско, мома, тип на кожа 4
👧🏾	девојка, девојче, девојче: тип на кожа 5, женско, мома, тип на кожа 5
👧🏿	девојка, девојче, девојче: тип на кожа 6, женско, мома, тип на кожа 6
🧑🏻	возрасно лице, возрасно лице: тип на кожа 1–2, пол-неутрален, тип на кожа 1–2
🧑🏼	возрасно лице, возрасно лице: тип на кожа 3, пол-неутрален, тип на кожа 3
🧑🏽	возрасно лице, возрасно лице: тип на кожа 4, пол-неутрален, тип на кожа 4
🧑🏾	возрасно лице, возрасно лице: тип на кожа 5, пол-неутрален, тип на кожа 5
🧑🏿	возрасно лице, возрасно лице: тип на кожа 6, пол-неутрален, тип на кожа 6
👨🏻	маж, маж: тип на кожа 1–2, машко, тип на кожа 1–2
👨🏼	маж, маж: тип на кожа 3, машко, тип на кожа 3
👨🏽	маж, маж: тип на кожа 4, машко, тип на кожа 4
👨🏾	маж, маж: тип на кожа 5, машко, тип на кожа 5
👨🏿	маж, маж: тип на кожа 6, машко, тип на кожа 6
👨‍🦰	маж, маж: црвена коса, машко, црвена коса
👨🏻‍🦰	маж, маж: тип на кожа 1–2 и црвена коса, машко, тип на кожа 1–2, црвена коса
👨🏼‍🦰	маж, маж: тип на кожа 3 и црвена коса, машко, тип на кожа 3, црвена коса
👨🏽‍🦰	маж, маж: тип на кожа 4 и црвена коса, машко, тип на кожа 4, црвена коса
👨🏾‍🦰	маж, маж: тип на кожа 5 и црвена коса, машко, тип на кожа 5, црвена коса
👨🏿‍🦰	маж, маж: тип на кожа 6 и црвена коса, машко, тип на кожа 6, црвена коса
👨‍🦱	кадрава коса, маж, маж: кадрава коса, машко
👨🏻‍🦱	кадрава коса, маж, маж: тип на кожа 1–2 и кадрава коса, машко, тип на кожа 1–2
👨🏼‍🦱	кадрава коса, маж, маж: тип на кожа 3 и кадрава коса, машко, тип на кожа 3
👨🏽‍🦱	кадрава коса, маж, маж: тип на кожа 4 и кадрава коса, машко, тип на кожа 4
👨🏾‍🦱	кадрава коса, маж, маж: тип на кожа 5 и кадрава коса, машко, тип на кожа 5
👨🏿‍🦱	кадрава коса, маж, маж: тип на кожа 6 и кадрава коса, машко, тип на кожа 6
👨‍🦲	маж, маж: ќелав, машко, ќелав
👨🏻‍🦲	маж, маж: тип на кожа 1–2 и ќелав, машко, тип на кожа 1–2, ќелав
👨🏼‍🦲	маж, маж: тип на кожа 3 и ќелав, машко, тип на кожа 3, ќелав
👨🏽‍🦲	маж, маж: тип на кожа 4 и ќелав, машко, тип на кожа 4, ќелав
👨🏾‍🦲	маж, маж: тип на кожа 5 и ќелав, машко, тип на кожа 5, ќелав
👨🏿‍🦲	маж, маж: тип на кожа 6 и ќелав, машко, тип на кожа 6, ќелав
👨‍🦳	бела коса, маж, маж: бела коса, машко
👨🏻‍🦳	бела коса, маж, маж: тип на кожа 1–2 и бела коса, машко, тип на кожа 1–2
👨🏼‍🦳	бела коса, маж, маж: тип на кожа 3 и бела коса, машко, тип на кожа 3
👨🏽‍🦳	бела коса, маж, маж: тип на кожа 4 и бела коса, машко, тип на кожа 4
👨🏾‍🦳	бела коса, маж, маж: тип на кожа 5 и бела коса, машко, тип на кожа 5
👨🏿‍🦳	бела коса, маж, маж: тип на кожа 6 и бела коса, машко, тип на кожа 6
👩🏻	жена, жена: тип на кожа 1–2, женско, тип на кожа 1–2
👩🏼	жена, жена: тип на кожа 3, женско, тип на кожа 3
👩🏽	жена, жена: тип на кожа 4, женско, тип на кожа 4
👩🏾	жена, жена: тип на кожа 5, женско, тип на кожа 5
👩🏿	жена, жена: тип на кожа 6, женско, тип на кожа 6
👩‍🦰	жена, жена: црвена коса, женско, црвена коса
👩🏻‍🦰	жена, жена: тип на кожа 1–2 и црвена коса, женско, тип на кожа 1–2, црвена коса
👩🏼‍🦰	жена, жена: тип на кожа 3 и црвена коса, женско, тип на кожа 3, црвена коса
👩🏽‍🦰	жена, жена: тип на кожа 4 и црвена коса, женско, тип на кожа 4, црвена коса
👩🏾‍🦰	жена, жена: тип на кожа 5 и црвена коса, женско, тип на кожа 5, црвена коса
👩🏿‍🦰	жена, жена: тип на кожа 6 и црвена коса, женско, тип на кожа 6, црвена коса
👩‍🦱	жена, жена: кадрава коса, женско, кадрава коса
