🦵🏻	арьсны төрөл-1-2, мөч, хөл, хөл: арьсны төрөл-1-2, өшиглөх
🦵🏼	арьсны төрөл-3, мөч, хөл, хөл: арьсны төрөл-3, өшиглөх
🦵🏽	арьсны төрөл-4, мөч, хөл, хөл: арьсны төрөл-4, өшиглөх
🦵🏾	арьсны төрөл-5, мөч, хөл, хөл: арьсны төрөл-5, өшиглөх
🦵🏿	арьсны төрөл-6, мөч, хөл, хөл: арьсны төрөл-6, өшиглөх
🦶🏻	арьсны төрөл-1-2, тавхай, тавхай: арьсны төрөл-1-2, товших, өшиглөх
🦶🏼	арьсны төрөл-3, тавхай, тавхай: арьсны төрөл-3, товших, өшиглөх
🦶🏽	арьсны төрөл-4, тавхай, тавхай: арьсны төрөл-4, товших, өшиглөх
🦶🏾	арьсны төрөл-5, тавхай, тавхай: арьсны төрөл-5, товших, өшиглөх
🦶🏿	арьсны төрөл-6, тавхай, тавхай: арьсны төрөл-6, товших, өшиглөх
🦸🏻	арьсны төрөл-1-2, баатар, сайн, супер баатар, супер баатар: арьсны төрөл-1-2, супер хүч
🦸🏼	арьсны төрөл-3, баатар, сайн, супер баатар, супер баатар: арьсны төрөл-3, супер хүч
🦸🏽	арьсны төрөл-4, баатар, сайн, супер баатар, супер баатар: арьсны төрөл-4, супер хүч
🦸🏾	арьсны төрөл-5, баатар, сайн, супер баатар, супер баатар: арьсны төрөл-5, супер хүч
🦸🏿	арьсны төрөл-6, баатар, сайн, супер баатар, супер баатар: арьсны төрөл-6, супер хүч
🦸🏻‍♀	арьсны төрөл-1-2, баатар, сайн, супер хүч, эмэгтэй супер баатар, эмэгтэй супер баатар: арьсны төрөл-1-2
🦸🏼‍♀	арьсны төрөл-3, баатар, сайн, супер хүч, эмэгтэй супер баатар, эмэгтэй супер баатар: арьсны төрөл-3
🦸🏽‍♀	арьсны төрөл-4, баатар, сайн, супер хүч, эмэгтэй супер баатар, эмэгтэй супер баатар: арьсны төрөл-4
🦸🏾‍♀	арьсны төрөл-5, баатар, сайн, супер хүч, эмэгтэй супер баатар, эмэгтэй супер баатар: арьсны төрөл-5
🦸🏿‍♀	арьсны төрөл-6, баатар, сайн, супер хүч, эмэгтэй супер баатар, эмэгтэй супер баатар: арьсны төрөл-6
🦸🏻‍♂	арьсны төрөл-1-2, баатар, сайн, супер хүч, эрэгтэй, эрэгтэй супер баатар, эрэгтэй супер баатар: арьсны төрөл-1-2
🦸🏼‍♂	арьсны төрөл-3, баатар, сайн, супер хүч, эрэгтэй, эрэгтэй супер баатар, эрэгтэй супер баатар: арьсны төрөл-3
🦸🏽‍♂	арьсны төрөл-4, баатар, сайн, супер хүч, эрэгтэй, эрэгтэй супер баатар, эрэгтэй супер баатар: арьсны төрөл-4
🦸🏾‍♂	арьсны төрөл-5, баатар, сайн, супер хүч, эрэгтэй, эрэгтэй супер баатар, эрэгтэй супер баатар: арьсны төрөл-5
🦸🏿‍♂	арьсны төрөл-6, баатар, сайн, супер хүч, эрэгтэй, эрэгтэй супер баатар, эрэгтэй супер баатар: арьсны төрөл-6
🦹🏻	арьсны төрөл-1-2, гэмт хэрэг, ид шидийн хүчтэй эсрэг дүр, ид шидийн хүчтэй эсрэг дүр: арьсны төрөл-1-2, супер хүч, чөтгөр, эсрэг гол дүр
