‾	дээгүүр зураас, дээд талын зураас
_	доогуур зураас, доод зураас, зураас, шугам
-	богино зураас, богино зураас - хасах, зураас, хасах
‐	богино зураас, зураас
–	зай, эн, эн зай
—	зай, эм, эм зай
―	зураас, хөндлөн зураас, шугам
・	дундах цэг, катагана, катагана дундын цэг, цэг
,	таслал
،	араб, араб таслал, таслал
、	дүрс үсгийн, дүрс үсгийн таслал, таслал
;	цэгтэй таслал
؛	араб, араб цэгтэй таслал, цэгтэй таслал
:	давхар цэг
!	анхаарлын тэмдэг, анхааруулах, тасхийх чимээ
¡	анхаарлын тэмдэг, анхааруулах, анхааруулах цэг, тасхийх чимээ, урвуу харсан, урвуу харсан анхаарлын тэмдэг
?	асуулт, асуултын тэмдэг
¿	асуулт, асуултын тэмдэг, урвуу харсан, урвуу харсан асуултын тэмдэг
؟	араб, араб асуултын тэмдэг, асуулт, асуултын тэмдэг
‽	асуулт анхааруулгын тэмдэг
.	цэг
…	алгасах, цуваа цэг, цэгүүд
。	дүрс үсгийн, дүрс үсгийн цэг, цэг
·	голын цэг, дунд цэг, дундын цэг, цэг
'	апостроф, бичгийн машины апостроф, дан хашилт, хашилт
‘	апостроф, дан хашилт, зүүн апостроф, ухаалаг хашилт, хашилт
’	апостроф, баруун апостроф, дан хашилт, ухаалаг хашилт, хашилт
‚	апостроф, баруун доод апостроф, доод хашилт, хашилт
“	давхар хашилт, зүүн хашилтын тэмдэг, ухаалаг хашилт, хашилт
”	баруун хашилтын тэмдэг, давхар хашилт, ухаалаг хашилт, хашилт
„	баруун доод хашилтын тэмдэг, давхар хашилт, доод хашилт, ухаалаг хашилт, хашилт
«	баруун, зүүн өнцөгтэй хаалт, оруулгын тэмдэг, хаалт, чеврон, өнцөг
»	баруун, баруун өнцөгтэй хаалт, оруулгын тэмдэг, хаалт, чеврон, өнцөг
)	дүгрэг хаалт, дүгрэг хаалтыг хаах, хаалт, хашилт
[	дөрвөлжин хаалт, дөрвөлжин хаалт нээх, дөрөв дэх нот, хаалт
]	дөрвөлжин хаалт, дөрвөлжин хаалт хаах, дөрөв дэх нот, хаалт
