🏻	jenis 1–2, ton kulit, ton kulit cerah
🏼	jenis 3, ton kulit, ton kulit sederhana cerah
🏽	jenis 4, ton kulit, ton kulit sederhana
🏾	jenis 5, ton kulit, ton kulit sederhana gelap
🏿	jenis 6, ton kulit, ton kulit gelap
😀	muka, muka tersengih, sengih
😁	mata, muka, muka berseri-seri dengan mata tersenyum, sengih, senyum
😂	air mata, gembira, ketawa, muka, muka dengan air mata kegembiraan
🤣	ketawa, ketawa tergolek-golek, lantai, muka, tergolek-golek
😃	muka, muka tersengih dengan mata besar, mulut, senyum, terbuka
😄	mata, muka, muka tersengih dan mata tersenyum, mulut, senyum, terbuka
😅	muka, muka tersengih dan berpeluh, peluh, sejuk, senyum, terbuka
😆	ketawa, muka, muka tersengih mata tertutup rapat, mulut, puas hati, senyum, terbuka
😉	kenyit mata, muka, muka kenyit mata
😊	mata, merah, muka, muka tersenyum dengan mata tersenyum, senyum
😋	lazat, menikmati, muka, muka menikmati makanan lazat, senyum, um, yum
😎	bergaya, kaca mata hitam, muka, muka tersenyum berkaca mata hitam, suria, terang
😍	cinta, hati, mata, muka, muka tersenyum dengan mata berbentuk hati, senyum
😘	cium, hati, muka, muka melayangkan ciuman
🥰	dilamun cinta, jatuh hati, minati, muka tersenyum dengan 3 hati
😗	cium, muka, muka memberi ciuman
😙	cium, mata, muka, muka memberi ciuman dengan mata tersenyum, senyum
😚	cium, mata, muka, muka memberi ciuman dengan mata tertutup, tertutup
🙂	muka, muka tersenyum sedikit, senyum
🤗	memeluk, muka, muka memberi pelukan, peluk
🤩	bintang, mata, muka, terpesona, tersengih
🤔	berfikir, muka, muka sedang berfikir
🤨	muka dengan kening terangkat, pewaham, sangsi
😑	muka, muka selamba, selamba, tiada emosi, tiada perasaan
😶	muka, muka tanpa mulut, mulut, senyap, tenang
🙄	juling, mata, muka, muka dengan mata juling ke atas
😏	mata, muka tersenyum sinis, tersenyum sinis
😣	muka, muka tekun, tekun
😥	huh, kecewa, lega, muka, muka kecewa namun lega
😮	muka, muka bermulut ternganga, mulut, simpati, ternganga
🤐	muka, muka mulut berzip, mulut, zip
😯	aman, muka, muka terkejut, terkejut, terperanjat
😪	muka, muka mengantuk, tidur
😫	letih, muka, muka letih
😴	muka, muka tidur, tidur, zzz
😌	lega, muka, muka lega
😛	lidah, muka, muka menjelir lidah
😜	jenaka, kenyit, lidah, mata, muka, muka mengenyit, muka menjelir lidah dan mengenyit mata
😝	dahsyat, lidah, mata, muka, muka menjelir lidah dan mata tertutup rapat, rasa
🤤	meliur, muka, muka meliur
😒	muka, muka tidak puas hati, sedih, tidak puas hati
😓	muka, muka berpeluh sejuk, peluh, sejuk
😔	kecewa, muka, muka bertafakur, tafakur
😕	keliru, muka, muka keliru
🙃	muka, muka terbalik, terbalik
🤑	muka, muka dengan wang dalam mulut, mulut, wang
😲	hairan, muka, muka terperanjat, sama sekali, terkejut
🙁	berkerut, muka, muka berkerut sedikit
😖	bingung, muka, muka bingung
😞	kecewa, muka, muka kecewa
😟	muka, muka risau, risau
😤	kemenangan, menang, muka, muka bangga kemenangan
😢	air mata, menangis, muka, muka menangis, sedih
😭	air mata, menangis, muka, muka meraung, sedih
😦	berkerut, muka, muka berkerut dengan mulut ternganga, mulut, terbuka
😧	merana, muka, muka merana
😨	ketakutan, muka, muka ketakutan, seram, takut
😩	letih, muka, muka tak bermaya, penat, tak bermaya
🤯	kepala meletup, terkejut
😬	menyeringai, muka, muka menyeringai
😰	berpeluh, kebiruan, muka gementar dan berpeluh sejuk, muka runsing berpeluh, sejuk
😱	gentar, mengunyah, menjerit, muka menjerit ketakutan, takut
🥵	bermuka merah, berpeluh, muka sebak, panas, rasa demam, strok haba
🥶	bermuka biru, dingin, isikel, luka beku, membeku, muka dingin
😳	bingung, memerah, muka, muka malu
🤪	besar, kecil, mata, muka gila-gila
😵	muka, muka pening, pening
😡	berang, marah, merah, merajuk, muka, muka mencebik, naik angin
😠	berang, marah, muka, muka marah
🤬	menyumpah, muka dengan simbol pada mulut
😷	doktor, muka, muka memakai topeng perubatan, perubatan, sakit, sejuk, topeng
🤒	muka, muka dengan termometer, sakit, termometer, tidak sihat
🤕	cedera, kecederaan, muka, muka dengan kepala berbalut, pembalut
🤢	loya, mual, muka, muka mual, muntah
🤮	loya, muka muntah, muntah
🤧	bersin, muka, muka bersin
😇	fantasi, halo, malaikat, muka, muka tersenyum dengan halo, suci
🤠	koboi, muka, muka koboi, topi
🥳	hon, muka berparti, parti, perayaan, topi
🥴	mabuk, mabuk sedikit, mata tidak rata, muka kepeningan, mulut berombak, pening
🥺	kasihan, memujuk, muka merayu, sayu
🤥	bohong, muka, muka bohong, pinocchio
🤫	diam, muka suruh senyap, shhh
🤭	alamak, muka dengan tangan atas mulut
🧐	muka dengan cermin mata satu kanta, tersumbat
🤓	gek, muka, muka nerda, nerda
😈	cerita dongeng, fantasi, muka, muka senyum bertanduk, senyum, tanduk
👿	cerita dongeng, fantasi, muka, muka marah bertanduk, setan, syaitan
🤡	badut, muka, muka badut
👹	cerita dongeng, fantasi, gergasi, jepun, makhluk, muka, raksasa
👺	cerita dongeng, fantasi, goblin, jepun, makhluk, muka, raksasa
💀	badan, cerita dongeng, kematian, muka, raksasa, tengkorak
👻	cerita dongeng, fantasi, hantu, makhluk, muka, raksasa
👾	UFO, makhluk, makhluk asing, muka, raksasa angkasa lepas, ruang angkasa
🤖	muka, muka robot, raksasa, robot
💩	komik, muka, najis, raksasa, selonggok najis, selonggok tahi, tahi, tinja
😺	kucing, lebar, muka, muka kucing tersengih, mulut, senyum
😸	kucing, mata, muka, muka kucing tersengih dengan mata tersenyum, sengih, senyuman
😹	air mata, gembira, kucing, muka, muka kucing dengan air mata kegembiraan
😻	hati, kucing, mata, muka, muka kucing tersenyum dengan mata berbentuk hati, senyum, suka
😼	ironis, kucing, mencong, muka, muka kucing tersenyum sinis, senyuman
😽	ciuman, kucing, mata, muka, muka kucing memberi ciuman dengan mata tertutup
🙀	keletihan, kucing, muka, muka kucing keletihan, oh, terkejut
😿	air mata, kucing, menangis, muka, muka kucing menangis, sedih
😾	kucing, muka, muka kucing mulut muncung, mulut muncung
🙈	kejahatan, lihat, monyet, monyet tak mahu terlibat, monyet tutup mata, muka, terlarang
🙉	jahat, monyet, monyet tak mahu dengar kejahatan, monyet tutup telinga, muka
🙊	jahat, monyet, monyet tutup mulut, muka, terlarang, tidak bercakap yang jahat
👶	bayi
🧒	kanak-kanak, muda
👦	kanak-kanak lelaki, lelaki
👧	Virgo, budak perempuan, muda, zodiak
🧑	dewasa, gender-neutral
👱	orang berambut perang, rambut perang
👨	lelaki
👱‍♂	lelaki, lelaki berambut perang muda, rambut perang muda
🧔	janggut, orang berjanggut
👩	perempuan, wanita
👱‍♀	perempuan, perempuan berambut perang muda, rambut perang muda, wanita
🧓	dewasa lebih tua, gender-neutral, tua
👴	lelaki, lelaki tua, tua
👵	tua, wanita, wanita tua
👨‍⚕	ahli terapi, doktor, jururawat, lelaki, pekerja kesihatan lelaki, penjagaan kesihatan
👩‍⚕	ahli terapi, doktor, jururawat, pekerja kesihatan wanita, penjagaan kesihatan, perempuan
👨‍🎓	graduan, lelaki, pelajar, pelajar lelaki
👩‍🎓	graduan, pelajar, pelajar wanita, perempuan, wanita
👨‍🏫	guru, guru lelaki, lelaki, pengajar, profesor
👩‍🏫	guru, guru wanita, pengajar, profesor, wanita
👨‍⚖	hakim, hakim lelaki, lelaki, neraca
👩‍⚖	hakim, hakim wanita, neraca, perempuan, wanita
👨‍🌾	lelaki, pekebun, peladang ternak, petani, petani lelaki
👩‍🌾	pekebun, peladang ternak, perempuan, petani, petani wanita, wanita
👨‍🍳	cef, lelaki, tukang masak, tukang masak lelaki
👩‍🍳	cef, perempuan, tukang masak, tukang masak wanita, wanita
👨‍🔧	juruelektrik, lelaki, mekanik, mekanik lelaki, tukang, tukang paip
👩‍🔧	juruelektrik, mekanik, mekanik wanita, perempuan, tukang, tukang paip, wanita
👨‍🏭	industri, kilang, lelaki, pekerja, pekerja kilang lelaki, pemasangan
👩‍🏭	industri, kilang, pekerja, pekerja kilang wanita, pemasangan, perempuan, wanita
👨‍💼	arkitek, kolar putih, lelaki, pejabat, pekerja pejabat lelaki, pengurus, perniagaan
👩‍💼	kolar putih, pekerja pejabat wanita, pengurus, urus niaga, wanita
👨‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki
👩‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita, wanita
👨‍💻	ahli teknologi, ahli teknologi lelaki, lelaki, pembangun, pencipta, pengekod, perisian
👩‍💻	ahli teknologi, ahli teknologi wanita, pembangun, pencipta, pengekod, wanita
👨‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki, rock
👩‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita, perempuan, rock, wanita
👨‍🎨	artis, lelaki, palet, pelukis lelaki
👩‍🎨	artis, palet, pelukis wanita, perempuan, wanita
👨‍✈	juruterbang, juruterbang lelaki, kapal terbang, lelaki
👩‍✈	juruterbang, juruterbang wanita, kapal terbang, perempuan, wanita
👨‍🚀	angkasawan, lelaki, roket
👩‍🚀	angkasawati, perempuan, roket, wanita
👨‍🚒	ahli bomba, ahli bomba lelaki, lelaki, trak bomba
👩‍🚒	ahli bomba, ahli bomba wanita, perempuan, trak bomba, wanita
👮	mata-mata, pegawai, pegawai polis, polis
👮‍♂	lelaki, pegawai polis lelaki, polis
👮‍♀	pegawai polis wanita, perempuan, polis, wanita
🕵‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, pengintip
🕵‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, pengintip, perempuan, wanita
💂	pengawal
💂‍♂	lelaki, pengawal, pengawal lelaki
💂‍♀	pengawal, pengawal wanita, perempuan, wanita
👷	pekerja, pekerja pembinaan, pembinaan, topi
👷‍♂	lelaki, pekerja, pekerja pembinaan lelaki, pembinaan
👷‍♀	pekerja, pekerja pembinaan wanita, pembinaan, perempuan, wanita
🤴	putera
👸	cerita dongeng, fantasi, puteri
👳	lelaki, orang berserban, serban
👳‍♂	lelaki, lelaki berserban, serban
👳‍♀	perempuan, serban, wanita, wanita berserban
👲	gua pi mao, lelaki, lelaki bertopi cina, topi
🧕	hijab, mantila, tichel, tudung, wanita bertudung
🤵	lelaki, lelaki bertuksedo, pengantin, tuksedo
👰	pengantin perempuan, pengantin perempuan memakai vel, perkahwinan, vel
🤰	hamil, mengandung, wanita, wanita hamil
🤱	bayi, menyusu, menyusu badan, payu dara
👼	bayi, cerita dongeng, fantasi, malaikat, muka, pari-pari bayi
🎅	bapa, cerita dongeng, fantasi, krismas, perayaan, santa, santa klaus
🤶	Pn. Claus, ibu, krismas, puan claus
🦸	adi wira, baik, sangat berkuasa, wira, wirawati
🦸‍♀	adi wira wanita, baik, sangat berkuasa, wanita, wira, wirawati
🦸‍♂	adi wira lelaki, baik, lelaki, sangat berkuasa, wira
🦹	jahat, ketua penjahat, penjahat, penjenayah, sangat berkuasa
🦹‍♀	jahat, ketua penjahat wanita, penjahat, penjenayah, sangat berkuasa, wanita
🦹‍♂	jahat, ketua penjahat lelaki, lelaki, penjahat, penjenayah, sangat berkuasa
🧙	ahli sihir, ahli silap mata, dukun sihir
🧙‍♀	ahli sihir wanita, dukun sihir wanita
🧙‍♂	ahli sihir lelaki, dukun sihir lelaki
🧚	Oberon, Puck, Titania, pari-pari
🧚‍♀	Titania, pari-pari wanita
🧚‍♂	Oberon, Puck, pari-pari lelaki
🧛	Dracula, mayat hidup, puntianak
🧛‍♀	mayat hidup, puntianak wanita
🧛‍♂	Dracula, mayat hidup, puntianak lelaki
🧜	duyung betina, duyung jantan, ikan duyung, manusia duyung
🧜‍♀	duyung jantan, ikan duyung
🧜‍♂	Triton, duyung jantan
🧝	ajaib, orang halus
🧝‍♀	ajaib, orang halus wanita
🧝‍♂	ajaib, orang halus lelaki
🧞	jin
🧞‍♀	jin, jin betina
🧞‍♂	jin, jin jantan
🧟	bangkai bernyawa, mayat hidup, zombi
🧟‍♀	bangkai bernyawa, mayat hidup, zombi wanita
🧟‍♂	bangkai bernyawa, mayat hidup, zombi lelaki
🙍	berkerut, isyarat, orang berkerut dahi
🙍‍♂	gerak isyarat, lelaki, lelaki berkerut dahi, mengerut dahi
🙍‍♀	gerak isyarat, mengerut dahi, perempuan, perempuan berkerut dahi, wanita
🙎	isyarat, mulut muncung, orang mencebik
🙎‍♂	gerak isyarat, lelaki, lelaki mencebik, memuncungkan mulut
🙎‍♀	gerak isyarat, memuncungkan mulut, perempuan, perempuan mencebik, wanita
🙅	bukan, gerak isyarat tidak, isyarat, larang, tangan, tegah, tidak
🙅‍♂	dilarang, gerak isyarat, lelaki, lelaki memberi isyarat tidak, lelaki memberi isyarat tidak ok, tidak
🙅‍♀	dilarang, gerak isyarat, perempuan, perempuan memberi isyarat TIDAK, perempuan memberi isyarat tidak ok, tangan
🙆	gerak isyarat okey, isyarat, okey, tangan
🙆‍♂	gerak isyarat, lelaki, lelaki memberi isyarat ok, ok, tangan
🙆‍♀	gerak isyarat, ok, perempuan, perempuan memberi isyarat ok, tangan, wanita
💁	bantu, berani, maklumat, pegawai kaunter pertanyaan, tangan
💁‍♂	lelaki, lelaki menadah tangan, menadah tangan
💁‍♀	menadah tangan, perempuan, perempuan menadah tangan, wanita
🙋	angkat, gembira, isyarat, orang gembira mengangkat tangan, tangan
🙋‍♂	gerak isyarat, lelaki, lelaki mengangkat tangan, mengangkat tangan
🙋‍♀	gerak isyarat, mengangkat tangan, perempuan, perempuan mengangkat tangan, wanita
🙇	isyarat, maaf, minta maaf, orang menunduk, tunduk
🙇‍♂	gerak isyarat, kemaafan, lelaki, lelaki menunduk, maaf, menunduk
🙇‍♀	gerak isyarat, kemaafan, maaf, menunduk, perempuan, perempuan menunduk, wanita
🤦	dahi, muka, tak percaya, tepuk, tepuk dahi
🤦‍♂	kejengkelan, lelaki, lelaki menepuk muka, tepuk muka, tidak percaya
🤦‍♀	kejengkelan, perempuan, perempuan menepuk muka, tepuk muka, tidak percaya, wanita
🤷	angkat bahu, sangsi, tak peduli, tidak tahu
🤷‍♂	angkat bahu, kejahilan, lelaki, lelaki mengangkat bahu, sangsi, tidak peduli
🤷‍♀	angkat bahu, kejahilan, perempuan, perempuan mengangkat bahu, sangsi, tidak peduli, wanita
💆	salun, urut, urut muka
💆‍♂	lelaki, lelaki diurut muka, muka, urut
💆‍♀	muka, perempuan, perempuan diurut mka, urut, wanita
💇	gunting rambut, kecantikan, salun, tukang gunting
💇‍♂	gunting rambut, lelaki, lelaki digunting rambut
💇‍♀	gunting rambut, perempuan, perempuan digunting rambut, wanita
