😀	jidħaq ħafna, wiċċ, wiċċ jidħak ħafna
😃	jitbissem, miftuħ, wiċċ, wiċċ jidħaq bil-ħalq miftuħ, ħalq
😄	għajn, jitbissem, miftuħ, wiċċ, wiċċ jidħaq b’ħalq miftuħ u għajnejn jitbissmu, ħalq
😁	għajn, jidħaq ħafna, jitbissem, wiċċ, wiċċ jidħak ħafna b’għajnejn jitbissmu
😆	jidħq, jitbissem, miftuħ, sodisfatti, wiċċ, wiċċ jidħaq b’ħalq miftuħ u għajnejn magħluqa, ħalq
😅	għaraq, jitbissem, kiesaħ, miftuħ, wiċċ, wiċċ jidħaq b’ħalq miftuħ u għaraq kiesaħ
🤣	art, irrumblar, jidħaq, jirrombla mal-art jidħaq, wiċċ
😂	daħq, demgħa, ferħ, wiċċ, wiċċ bi dmugħ ta’ ferħ
🙂	jitbissem, wiċċ, wiċċ jitbissem ftit
🙃	ta’ taħt fuq, wiċċ, wiċċ ta’ taħt fuq
😉	hemeż, wiċċ, wiċċ jehmeż
😊	għajn, jitbissem, jiħmar, wiċċ, wiċċ jitbissem b’għajnejn jitbissmu
😇	anġlu, fantasija, innoċenti, jitbissem, raġġiera, wiċċ, wiċċ jitbissem b’raġġiera, ħrafa
😍	għajn, imħabba, jitbissem, wiċċ, wiċċ jitbissem b’għajnejn bil-qlub
🤩	għajnejn, jitbissem, star, star-struck, wiċċ
😘	bewsa, wiċċ, wiċċ jitfa’ bewsa
😗	bewsa, wiċċ, wiċċ ibewwes
☺️	jitbissem, rilassat, spjegati, wiċċ, wiċċ jitbissem
😚	bewsa, għajn, magħluqin, wiċċ, wiċċ ibewwes b’għajnejn magħluqin
😙	bewsa, għajn, jitbissem, wiċċ, wiċċ ibewwes b’għajnejn jitbissmu
😋	delizzjuż, iduq, jitbissem, um, wiċċ, wiċċ iduq ikel delizzjuż, yum
😛	ilsien, wiċċ, wiċċ b’ilsien barra
😜	għajn, hemża, ilsien, wiċċ, wiċċ b’ilsien barra u għajn tehmeż, ċajta
🤪	għajnejn, kbar, wiċċ miġnun, żgħar
😝	għajnejn, ilsien, orribbli, togħma, wiċċ, wiċċ b’ilsien barra u għajnejn magħluqin
🤑	flus, wiċċ, wiċċ b’ħalq tal-flus, ħalq
🤗	jgħannaq, qed jgħannaq, wiċċ, wiċċ jgħannaq
🤭	whoops, wiċċ bl-idejn fuq il-ħalq
🤫	kwiet, skiet, wiċċ qed isikket
🤔	wiċċ, wiċċ ħosbien, ħosbien
🤐	wiċċ, wiċċ b’ħalq b’żipp, ħalq, żipp
🤨	nuqqas ta’ fiduċja, wiċċ b’ħuġbejn imtella’, xettiku
😐️	mingħajr emozzjoni, newtrali, wiċċ, wiċċ newtrali
😑	mingħajr espressjoni, m’għandux espressjoni, nieqes minn espressjoni, wiċċ, wiċċ mingħajr espressjoni
😶	kwieta, siekta, wiċċ, wiċċ mingħajr ħalq, ħalq
😏	jitkerraħ, wiċċ, wiċċ jitkerraħ
😒	mhux ferrieħi, mhux kuntent, wiċċ, wiċċ mhux ferrieħi
🙄	għajnejn, iduru, wiċċ, wiċċ b’għajnejn iduru
😬	jistmerraħ, wiċċ, wiċċ jistmerraħ
🤥	jigdeb, pinocchio, wiċċ, wiċċ jigdeb
😌	sollevat, wiċċ, wiċċ sollevat
😔	imħasseb, skoraġġut, wiċċ, wiċċ imħasseb
😪	rieqed, wiċċ, wiċċ bi ngħas
🤤	ibeżlaq, wiċċ, wiċċ ibeżlaq
😴	rieqed, wiċċ, wiċċ rieqed, żżż
😷	kiesaħ, maskra, mediċina, morda, tabib, wiċċ, wiċċ bil-maskra medika
🤒	marid, morda, termometru, wiċċ, wiċċ b’termometru
🤕	faxxa, muġugħ, wiċċ, wiċċ b’faxxa mar-ras, ħsara
🤢	jirremetti, vomtu, wiċċ, wiċċ jirremetti
🤮	mard, remettar, wiċċ qed jirremetti
🤧	gesundheit, għatsa, wiċċ, wiċċ jagħtas
😵	sturdut, wiċċ, wiċċ sturdut
🤯	maħsud, ras tisplodi
🤠	cowboy, cowgirl, kappell, wiċċ, wiċċ b’kappell tal-cowboys
😎	għajn, imdawwal, jitbissem, modern, nuċċali, nuċċali tax-xemx, nuċċalijiet, wiċċ, wiċċ jitbissem b’nuċċali tax-xemx, xemx
🤓	nerd, stramb, wiċċ, wiċċ nerd
🧐	bla arja, wiċċ bil-monokolu
😕	konfuż, wiċċ, wiċċ konfuż
😟	inkwetat, wiċċ, wiċċ inkwetat
🙁	imkemmex, wiċċ, wiċċ imkemmex ftit
☹️	imkemmex, wiċċ, wiċċ imkemmex
😮	miftuħ, simpatiku, wiċċ, wiċċ b’ħalq miftuħ, ħalq
