🦵🏻	bein, bein: hudtype 1–2, hudtype 1–2, lem, sparke
🦵🏼	bein, bein: hudtype 3, hudtype 3, lem, sparke
🦵🏽	bein, bein: hudtype 4, hudtype 4, lem, sparke
🦵🏾	bein, bein: hudtype 5, hudtype 5, lem, sparke
🦵🏿	bein, bein: hudtype 6, hudtype 6, lem, sparke
🦶🏻	fot, fot: hudtype 1–2, hudtype 1–2, sparke, tråkke
🦶🏼	fot, fot: hudtype 3, hudtype 3, sparke, tråkke
🦶🏽	fot, fot: hudtype 4, hudtype 4, sparke, tråkke
🦶🏾	fot, fot: hudtype 5, hudtype 5, sparke, tråkke
🦶🏿	fot, fot: hudtype 6, hudtype 6, sparke, tråkke
🦸🏻	god, helt, heltinne, hudtype 1–2, superhelt, superhelt: hudtype 1–2, superkrefter
🦸🏼	god, helt, heltinne, hudtype 3, superhelt, superhelt: hudtype 3, superkrefter
🦸🏽	god, helt, heltinne, hudtype 4, superhelt, superhelt: hudtype 4, superkrefter
🦸🏾	god, helt, heltinne, hudtype 5, superhelt, superhelt: hudtype 5, superkrefter
🦸🏿	god, helt, heltinne, hudtype 6, superhelt, superhelt: hudtype 6, superkrefter
🦸🏻‍♀	god, helt, heltinne, hudtype 1–2, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 1–2, superkrefter
🦸🏼‍♀	god, helt, heltinne, hudtype 3, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 3, superkrefter
🦸🏽‍♀	god, helt, heltinne, hudtype 4, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 4, superkrefter
🦸🏾‍♀	god, helt, heltinne, hudtype 5, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 5, superkrefter
🦸🏿‍♀	god, helt, heltinne, hudtype 6, kvinne, kvinnelig superhelt, kvinnelig superhelt: hudtype 6, superkrefter
🦸🏻‍♂	god, helt, hudtype 1–2, mann, mannlig superhelt, mannlig superhelt: hudtype 1–2, superkrefter
🦸🏼‍♂	god, helt, hudtype 3, mann, mannlig superhelt, mannlig superhelt: hudtype 3, superkrefter
🦸🏽‍♂	god, helt, hudtype 4, mann, mannlig superhelt, mannlig superhelt: hudtype 4, superkrefter
🦸🏾‍♂	god, helt, hudtype 5, mann, mannlig superhelt, mannlig superhelt: hudtype 5, superkrefter
🦸🏿‍♂	god, helt, hudtype 6, mann, mannlig superhelt, mannlig superhelt: hudtype 6, superkrefter
🦹🏻	hudtype 1–2, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 1–2
🦹🏼	hudtype 3, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 3
🦹🏽	hudtype 4, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 4
🦹🏾	hudtype 5, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 5
🦹🏿	hudtype 6, kriminell, ond, skurk, superkrefter, superskurk, superskurk: hudtype 6
🦹🏻‍♀	hudtype 1–2, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 1–2, ond, skurk, superkrefter
🦹🏼‍♀	hudtype 3, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 3, ond, skurk, superkrefter
🦹🏽‍♀	hudtype 4, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 4, ond, skurk, superkrefter
🦹🏾‍♀	hudtype 5, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 5, ond, skurk, superkrefter
🦹🏿‍♀	hudtype 6, kriminell, kvinne, kvinnelig superskurk, kvinnelig superskurk: hudtype 6, ond, skurk, superkrefter
🦹🏻‍♂	hudtype 1–2, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 1–2, ond, skurk, superkrefter
🦹🏼‍♂	hudtype 3, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 3, ond, skurk, superkrefter
🦹🏽‍♂	hudtype 4, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 4, ond, skurk, superkrefter
🦹🏾‍♂	hudtype 5, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 5, ond, skurk, superkrefter
🦹🏿‍♂	hudtype 6, kriminell, mann, mannlig superskurk, mannlig superskurk: hudtype 6, ond, skurk, superkrefter
👶🏻	baby, baby: hudtype 1–2, hudtype 1–2, menneske, ung
👶🏼	baby, baby: hudtype 3, hudtype 3, menneske, ung
👶🏽	baby, baby: hudtype 4, hudtype 4, menneske, ung
👶🏾	baby, baby: hudtype 5, hudtype 5, menneske, ung
👶🏿	baby, baby: hudtype 6, hudtype 6, menneske, ung
🧒🏻	barn, barn: hudtype 1–2, hudtype 1–2, kjønnsnøytral, menneske, ung
🧒🏼	barn, barn: hudtype 3, hudtype 3, kjønnsnøytral, menneske, ung
🧒🏽	barn, barn: hudtype 4, hudtype 4, kjønnsnøytral, menneske, ung
🧒🏾	barn, barn: hudtype 5, hudtype 5, kjønnsnøytral, menneske, ung
