🦵🏻	खुट्टा, खुट्टा: छालाको प्रकार-१-२, छालाको प्रकार-१-२, हातखुट्टा
🦵🏼	खुट्टा, खुट्टा: छालाको प्रकार-३, छालाको प्रकार-३, हातखुट्टा
🦵🏽	खुट्टा, खुट्टा: छालाको प्रकार-४, छालाको प्रकार-४, हातखुट्टा
🦵🏾	खुट्टा, खुट्टा: छालाको प्रकार-५, छालाको प्रकार-५, हातखुट्टा
🦵🏿	खुट्टा, खुट्टा: छालाको प्रकार-६, छालाको प्रकार-६, हातखुट्टा
🦶🏻	किक, छालाको प्रकार-१-२, पयर, पयर: छालाको प्रकार-१-२, स्टोम्प
🦶🏼	किक, छालाको प्रकार-३, पयर, पयर: छालाको प्रकार-३, स्टोम्प
🦶🏽	किक, छालाको प्रकार-४, पयर, पयर: छालाको प्रकार-४, स्टोम्प
🦶🏾	किक, छालाको प्रकार-५, पयर, पयर: छालाको प्रकार-५, स्टोम्प
🦶🏿	किक, छालाको प्रकार-६, पयर, पयर: छालाको प्रकार-६, स्टोम्प
🦸🏻	छालाको प्रकार-१-२, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-१-२, हिरो, हिरोइन
🦸🏼	छालाको प्रकार-३, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-३, हिरो, हिरोइन
🦸🏽	छालाको प्रकार-४, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-४, हिरो, हिरोइन
🦸🏾	छालाको प्रकार-५, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-५, हिरो, हिरोइन
🦸🏿	छालाको प्रकार-६, राम्रो, सुपरपावर, सुपरहिरो, सुपरहिरो: छालाको प्रकार-६, हिरो, हिरोइन
🦸🏻‍♀	छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-१-२, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏼‍♀	छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-३, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏽‍♀	छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-४, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏾‍♀	छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-५, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏿‍♀	छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे सुपरहिरो, छोरीमान्छे सुपरहिरो: छालाको प्रकार-६, राम्रो, सुपरपावर, हिरो, हिरोइन
🦸🏻‍♂	छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-१-२, राम्रो, सुपरपावर, हिरो
🦸🏼‍♂	छालाको प्रकार-३, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-३, राम्रो, सुपरपावर, हिरो
🦸🏽‍♂	छालाको प्रकार-४, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-४, राम्रो, सुपरपावर, हिरो
🦸🏾‍♂	छालाको प्रकार-५, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-५, राम्रो, सुपरपावर, हिरो
🦸🏿‍♂	छालाको प्रकार-६, छोरामान्छे, छोरामान्छे सुपरहिरो, छोरामान्छे सुपरहिरो: छालाको प्रकार-६, राम्रो, सुपरपावर, हिरो
🦹🏻	अपराधी, छालाको प्रकार-१-२, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-१-२
🦹🏼	अपराधी, छालाको प्रकार-३, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-३
🦹🏽	अपराधी, छालाको प्रकार-४, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-४
🦹🏾	अपराधी, छालाको प्रकार-५, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-५
🦹🏿	अपराधी, छालाको प्रकार-६, दुष्ट, भिलेन, सुपरपावर, सुपरभिलेन, सुपरभिलेन: छालाको प्रकार-६
🦹🏻‍♀	अपराधी, छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-१-२, दुष्ट, भिलेन, सुपरपावर
🦹🏼‍♀	अपराधी, छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-३, दुष्ट, भिलेन, सुपरपावर
🦹🏽‍♀	अपराधी, छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-४, दुष्ट, भिलेन, सुपरपावर
🦹🏾‍♀	अपराधी, छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-५, दुष्ट, भिलेन, सुपरपावर
🦹🏿‍♀	अपराधी, छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे सुपरभिलेन, छोरीमान्छे सुपरभिलेन: छालाको प्रकार-६, दुष्ट, भिलेन, सुपरपावर
🦹🏻‍♂	अपराधी, छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-१-२, दुष्ट, भिलेन, सुपरपावर
🦹🏼‍♂	अपराधी, छालाको प्रकार-३, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-३, दुष्ट, भिलेन, सुपरपावर
🦹🏽‍♂	अपराधी, छालाको प्रकार-४, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-४, दुष्ट, भिलेन, सुपरपावर
🦹🏾‍♂	अपराधी, छालाको प्रकार-५, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-५, दुष्ट, भिलेन, सुपरपावर
🦹🏿‍♂	अपराधी, छालाको प्रकार-६, छोरामान्छे, छोरामान्छे सुपरभिलेन, छोरामान्छे सुपरभिलेन: छालाको प्रकार-६, दुष्ट, भिलेन, सुपरपावर
👶🏻	छालाको प्रकार-१-२, बच्चा, शिशु, शिशु: छालाको प्रकार-१-२
👶🏼	छालाको प्रकार-३, बच्चा, शिशु, शिशु: छालाको प्रकार-३
👶🏽	छालाको प्रकार-४, बच्चा, शिशु, शिशु: छालाको प्रकार-४
👶🏾	छालाको प्रकार-५, बच्चा, शिशु, शिशु: छालाको प्रकार-५
👶🏿	छालाको प्रकार-६, बच्चा, शिशु, शिशु: छालाको प्रकार-६
🧒🏻	छालाको प्रकार-१-२, बच्चा, बच्चा: छालाको प्रकार-१-२, लैङ्गिक हिसाबले तटस्थ, शिशु
🧒🏼	छालाको प्रकार-३, बच्चा, बच्चा: छालाको प्रकार-३, लैङ्गिक हिसाबले तटस्थ, शिशु
🧒🏽	छालाको प्रकार-४, बच्चा, बच्चा: छालाको प्रकार-४, लैङ्गिक हिसाबले तटस्थ, शिशु
🧒🏾	छालाको प्रकार-५, बच्चा, बच्चा: छालाको प्रकार-५, लैङ्गिक हिसाबले तटस्थ, शिशु
🧒🏿	छालाको प्रकार-६, बच्चा, बच्चा: छालाको प्रकार-६, लैङ्गिक हिसाबले तटस्थ, शिशु
👦🏻	केटा, केटा: छालाको प्रकार-१-२, छालाको प्रकार-१-२, जवान
👦🏼	केटा, केटा: छालाको प्रकार-३, छालाको प्रकार-३, जवान
👦🏽	केटा, केटा: छालाको प्रकार-४, छालाको प्रकार-४, जवान
👦🏾	केटा, केटा: छालाको प्रकार-५, छालाको प्रकार-५, जवान
👦🏿	केटा, केटा: छालाको प्रकार-६, छालाको प्रकार-६, जवान
👧🏻	कन्या, कुमारी, केटी, केटी: छालाको प्रकार-१-२, छालाको प्रकार-१-२, राशि
👧🏼	कन्या, कुमारी, केटी, केटी: छालाको प्रकार-३, छालाको प्रकार-३, राशि
👧🏽	कन्या, कुमारी, केटी, केटी: छालाको प्रकार-४, छालाको प्रकार-४, राशि
👧🏾	कन्या, कुमारी, केटी, केटी: छालाको प्रकार-५, छालाको प्रकार-५, राशि
👧🏿	कन्या, कुमारी, केटी, केटी: छालाको प्रकार-६, छालाको प्रकार-६, राशि
🧑🏻	छालाको प्रकार-१-२, लैङ्गिक हिसाबले तटस्थ, वयस्क, वयस्क: छालाको प्रकार-१-२
🧑🏼	छालाको प्रकार-३, लैङ्गिक हिसाबले तटस्थ, वयस्क, वयस्क: छालाको प्रकार-३
🧑🏽	छालाको प्रकार-४, लैङ्गिक हिसाबले तटस्थ, वयस्क, वयस्क: छालाको प्रकार-४
🧑🏾	छालाको प्रकार-५, लैङ्गिक हिसाबले तटस्थ, वयस्क, वयस्क: छालाको प्रकार-५
🧑🏿	छालाको प्रकार-६, लैङ्गिक हिसाबले तटस्थ, वयस्क, वयस्क: छालाको प्रकार-६
👨🏻	छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे: छालाको प्रकार-१-२, पुरूष
👨🏼	छालाको प्रकार-३, छोरामान्छे, छोरामान्छे: छालाको प्रकार-३, पुरूष
👨🏽	छालाको प्रकार-४, छोरामान्छे, छोरामान्छे: छालाको प्रकार-४, पुरूष
👨🏾	छालाको प्रकार-५, छोरामान्छे, छोरामान्छे: छालाको प्रकार-५, पुरूष
👨🏿	छालाको प्रकार-६, छोरामान्छे, छोरामान्छे: छालाको प्रकार-६, पुरूष
👨‍🦰	छोरामान्छे, छोरामान्छे: रातो कपाल, पुरूष, रातो कपाल
👨🏻‍🦰	छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे: छालाको प्रकार-१-२ रातो कपाल, पुरूष, रातो कपाल
👨🏼‍🦰	छालाको प्रकार-३, छोरामान्छे, छोरामान्छे: छालाको प्रकार-३ रातो कपाल, पुरूष, रातो कपाल
👨🏽‍🦰	छालाको प्रकार-४, छोरामान्छे, छोरामान्छे: छालाको प्रकार-४ रातो कपाल, पुरूष, रातो कपाल
👨🏾‍🦰	छालाको प्रकार-५, छोरामान्छे, छोरामान्छे: छालाको प्रकार-५ रातो कपाल, पुरूष, रातो कपाल
👨🏿‍🦰	छालाको प्रकार-६, छोरामान्छे, छोरामान्छे: छालाको प्रकार-६ रातो कपाल, पुरूष, रातो कपाल
👨‍🦱	घुम्रेको कपाल, छोरामान्छे, छोरामान्छे: घुम्रेको कपाल, पुरूष
👨🏻‍🦱	घुम्रेको कपाल, छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे: छालाको प्रकार-१-२ घुम्रेको कपाल, पुरूष
👨🏼‍🦱	घुम्रेको कपाल, छालाको प्रकार-३, छोरामान्छे, छोरामान्छे: छालाको प्रकार-३ घुम्रेको कपाल, पुरूष
👨🏽‍🦱	घुम्रेको कपाल, छालाको प्रकार-४, छोरामान्छे, छोरामान्छे: छालाको प्रकार-४ घुम्रेको कपाल, पुरूष
👨🏾‍🦱	घुम्रेको कपाल, छालाको प्रकार-५, छोरामान्छे, छोरामान्छे: छालाको प्रकार-५ घुम्रेको कपाल, पुरूष
👨🏿‍🦱	घुम्रेको कपाल, छालाको प्रकार-६, छोरामान्छे, छोरामान्छे: छालाको प्रकार-६ घुम्रेको कपाल, पुरूष
👨‍🦲	छोरामान्छे, छोरामान्छे: तालु खुइले, तालु खुइले, पुरूष
👨🏻‍🦲	छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे: छालाको प्रकार-१-२ तालु खुइले, तालु खुइले, पुरूष
👨🏼‍🦲	छालाको प्रकार-३, छोरामान्छे, छोरामान्छे: छालाको प्रकार-३ तालु खुइले, तालु खुइले, पुरूष
👨🏽‍🦲	छालाको प्रकार-४, छोरामान्छे, छोरामान्छे: छालाको प्रकार-४ तालु खुइले, तालु खुइले, पुरूष
👨🏾‍🦲	छालाको प्रकार-५, छोरामान्छे, छोरामान्छे: छालाको प्रकार-५ तालु खुइले, तालु खुइले, पुरूष
👨🏿‍🦲	छालाको प्रकार-६, छोरामान्छे, छोरामान्छे: छालाको प्रकार-६ तालु खुइले, तालु खुइले, पुरूष
👨‍🦳	छोरामान्छे, छोरामान्छे: सेतो कपाल, पुरूष, सेतो कपाल
👨🏻‍🦳	छालाको प्रकार-१-२, छोरामान्छे, छोरामान्छे: छालाको प्रकार-१-२ सेतो कपाल, पुरूष, सेतो कपाल
👨🏼‍🦳	छालाको प्रकार-३, छोरामान्छे, छोरामान्छे: छालाको प्रकार-३ सेतो कपाल, पुरूष, सेतो कपाल
👨🏽‍🦳	छालाको प्रकार-४, छोरामान्छे, छोरामान्छे: छालाको प्रकार-४ सेतो कपाल, पुरूष, सेतो कपाल
👨🏾‍🦳	छालाको प्रकार-५, छोरामान्छे, छोरामान्छे: छालाको प्रकार-५ सेतो कपाल, पुरूष, सेतो कपाल
👨🏿‍🦳	छालाको प्रकार-६, छोरामान्छे, छोरामान्छे: छालाको प्रकार-६ सेतो कपाल, पुरूष, सेतो कपाल
👩🏻	छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-१-२, महिला
👩🏼	छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-३, महिला
👩🏽	छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-४, महिला
👩🏾	छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-५, महिला
👩🏿	छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-६, महिला
👩‍🦰	छोरीमान्छे, छोरीमान्छे: रातो कपाल, महिला, रातो कपाल
👩🏻‍🦰	छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-१-२ रातो कपाल, महिला, रातो कपाल
👩🏼‍🦰	छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-३ रातो कपाल, महिला, रातो कपाल
👩🏽‍🦰	छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-४ रातो कपाल, महिला, रातो कपाल
👩🏾‍🦰	छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-५ रातो कपाल, महिला, रातो कपाल
👩🏿‍🦰	छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-६ रातो कपाल, महिला, रातो कपाल
👩‍🦱	घुम्रेको कपाल, छोरीमान्छे, छोरीमान्छे: घुम्रेको कपाल, महिला
👩🏻‍🦱	घुम्रेको कपाल, छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-१-२ घुम्रेको कपाल, महिला
👩🏼‍🦱	घुम्रेको कपाल, छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-३ घुम्रेको कपाल, महिला
👩🏽‍🦱	घुम्रेको कपाल, छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-४ घुम्रेको कपाल, महिला
👩🏾‍🦱	घुम्रेको कपाल, छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-५ घुम्रेको कपाल, महिला
👩🏿‍🦱	घुम्रेको कपाल, छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-६ घुम्रेको कपाल, महिला
👩‍🦲	छोरीमान्छे, छोरीमान्छे: तालु खुइले, तालु खुइले, महिला
👩🏻‍🦲	छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-१-२ तालु खुइले, तालु खुइले, महिला
👩🏼‍🦲	छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-३ तालु खुइले, तालु खुइले, महिला
👩🏽‍🦲	छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-४ तालु खुइले, तालु खुइले, महिला
👩🏾‍🦲	छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-५ तालु खुइले, तालु खुइले, महिला
👩🏿‍🦲	छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-६ तालु खुइले, तालु खुइले, महिला
👩‍🦳	छोरीमान्छे, छोरीमान्छे: सेतो कपाल, महिला, सेतो कपाल
👩🏻‍🦳	छालाको प्रकार-१-२, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-१-२ सेतो कपाल, महिला, सेतो कपाल
👩🏼‍🦳	छालाको प्रकार-३, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-३ सेतो कपाल, महिला, सेतो कपाल
👩🏽‍🦳	छालाको प्रकार-४, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-४ सेतो कपाल, महिला, सेतो कपाल
👩🏾‍🦳	छालाको प्रकार-५, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-५ सेतो कपाल, महिला, सेतो कपाल
👩🏿‍🦳	छालाको प्रकार-६, छोरीमान्छे, छोरीमान्छे: छालाको प्रकार-६ सेतो कपाल, महिला, सेतो कपाल
🧓🏻	छालाको प्रकार-१-२, पाको वयस्क, पाको वयस्क: छालाको प्रकार-१-२, लैङ्गिक हिसाबले तटस्थ
🧓🏼	छालाको प्रकार-३, पाको वयस्क, पाको वयस्क: छालाको प्रकार-३, लैङ्गिक हिसाबले तटस्थ
🧓🏽	छालाको प्रकार-४, पाको वयस्क, पाको वयस्क: छालाको प्रकार-४, लैङ्गिक हिसाबले तटस्थ
🧓🏾	छालाको प्रकार-५, पाको वयस्क, पाको वयस्क: छालाको प्रकार-५, लैङ्गिक हिसाबले तटस्थ
🧓🏿	छालाको प्रकार-६, पाको वयस्क, पाको वयस्क: छालाको प्रकार-६, लैङ्गिक हिसाबले तटस्थ
👴🏻	छालाको प्रकार-१-२, छोरामान्छे, बूढो, बूढो छोरामान्छे: छालाको प्रकार-१-२
👴🏼	छालाको प्रकार-३, छोरामान्छे, बूढो, बूढो छोरामान्छे: छालाको प्रकार-३
👴🏽	छालाको प्रकार-४, छोरामान्छे, बूढो, बूढो छोरामान्छे: छालाको प्रकार-४
👴🏾	छालाको प्रकार-५, छोरामान्छे, बूढो, बूढो छोरामान्छे: छालाको प्रकार-५
👴🏿	छालाको प्रकार-६, छोरामान्छे, बूढो, बूढो छोरामान्छे: छालाको प्रकार-६
👵🏻	छालाको प्रकार-१-२, बूढी, बूढी आइमाई, बूढी आइमाई: छालाको प्रकार-१-२, महिला
👵🏼	छालाको प्रकार-३, बूढी, बूढी आइमाई, बूढी आइमाई: छालाको प्रकार-३, महिला
👵🏽	छालाको प्रकार-४, बूढी, बूढी आइमाई, बूढी आइमाई: छालाको प्रकार-४, महिला
👵🏾	छालाको प्रकार-५, बूढी, बूढी आइमाई, बूढी आइमाई: छालाको प्रकार-५, महिला
👵🏿	छालाको प्रकार-६, बूढी, बूढी आइमाई, बूढी आइमाई: छालाको प्रकार-६, महिला
👨🏻‍⚕	चिकित्सक, छालाको प्रकार-१-२, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-१-२, स्वास्थ्यको हेरविचार
👨🏼‍⚕	चिकित्सक, छालाको प्रकार-३, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-३, स्वास्थ्यको हेरविचार
👨🏽‍⚕	चिकित्सक, छालाको प्रकार-४, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-४, स्वास्थ्यको हेरविचार
👨🏾‍⚕	चिकित्सक, छालाको प्रकार-५, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-५, स्वास्थ्यको हेरविचार
👨🏿‍⚕	चिकित्सक, छालाको प्रकार-६, छोरामान्छे, थेरापिस्ट, नर्स, पुरूष, पुरूष स्वास्थ्यकर्मी, पुरूष स्वास्थ्यकर्मी: छालाको प्रकार-६, स्वास्थ्यको हेरविचार
