‾	overline, vinculum
-	bindestrek-minus-teikn
–	bindestrekar, en-dash, halvgefirt, tankestrek
—	bindestrekar, em-dash, gefirt, lang tankestrek
―	strek, vassrett strek, vassrett. strek
!	utropsteikn
¡	opp-ned utropsteikn, utropsteikn
?	spørsmål, spørsmålsteikn
¿	opp-ned spørsmålsteikn, spørsmål, spørsmålsteikn
؟	arabisk spørsmålsteikn, spørsmål, spørsmålsteikn
‽	interabang, interrobang
…	ellipse, tre prikkar, utelating
'	enkelt rett hermeteikn, sitatteikn
‘	enkelt krøllete venstre hermeteikn, sitatteikn, smart hermeteikn, start sitat
’	enkelt krøllete høgre hermeteikn, sitat slutt, sitatteikn, smart hermeteikn
‚	enkelt krøllete lågt venstre hermeteikn, sitatteikn, smart hermeteikn, start sitat
“	dobbelt krøllete venstre hermeteikn, sitatteikn, smart hermeteikn, start sitat
”	dobbelt krøllete høgre hermeteikn, sitat slutt, sitatteikn, smart hermeteikn
„	dobbelt krøllete lågt venstre hermeteikn, sitatteikn, smart hermeteikn, start sitat
«	hermeteikn, sitat start, sitatteikn, sjevron, venstre hermeteikn
»	hermeteikn, høgre hermeteikn, sitat slutt, sitatteikn, sjevron
)	bogeparentes, parentes, sluttparentes
[	firkantparentes, klammeparentes, parentes, starthakeparentes, startparentes, venstre hakeparentes
]	firkantparentes, høgre hakeparentes, klammeparentes, parentes, slutthakeparentes, sluttparentes
{	klammeparentes, krøllparentes, parentes, startparentes, startsløyfeparentes, venstre krøllparentes
}	høgre krøllparentes, klammeparentes, krøllparentes, parentes, sluttparentes, sluttsløyfeparentes
〈	parentes, spissparentes, startparentes, startvinkelparentes, vinkelparentes
〉	høgre vinkelparentes, parentes, sluttparentes, sluttvinkelparentes, spissparentes, vinkelparentes
《	dobbel startvinkelparentes, dobbelparentes, parentes, spissparentes, startparentes, venstre dobbel vinkelparentes, vinkelparentes
》	dobbel sluttvinkelparentes, dobbelparentes, høgre dobbel vinkelparentes, parentes, sluttparentes, spissparentes, vinkelparentes
「	hjørneparentes, parentes, starthjørneparentes, startparentes, venstre hjørneparentes
」	hjørneparentes, høgre hjørneparentes, parentes, slutthjørneparentes, sluttparentes
『	hjørneparentes, hol parentes, hol starthjørneparentes, parentes, startparentes, venstre hol hjørneparentes
』	hjørneparentes, hol parentes, hol slutthjørneparentes, høgre hol hjørneparentes, parentes, sluttparentes
【	fylt parentes, linseparentes, parentes, startparentes, svart parentes, svart startlinseparentes, venstre fylt linseparentes
】	fylt parentes, høgre fylt linseparentes, linseparentes, parentes, sluttparentes, svart parentes, svart sluttlinseparentes
〔	parentes, skjelpaddeskal, skjelpaddeskalparentes, startparentes, venstre skjelpaddeparentes, venstre skjelpaddeskalparentes
〕	parentes, skjelpaddeskal, skjelpaddeskalparentes, sluttparentes, sluttparentes skjelpaddeskalparentes
〖	hol parentes, hol startlinseparentes, linseparentes, parentes, startparentes, venstre hol linseparentes
〗	hol parentes, hol sluttlinseparentes, høgre hol linseparentes, linseparentes, parentes, sluttparentes
§	avsnittssteikn, del, paragraf, paragrafteikn, signum sectionis
¶	avsnittsteikn
@	alfakrøll, at-teikn, krøllalfa
*️	asterisk, jokerteikn, stjerne
&	ampersand, eit, eit-teikn, og, og-teikn
#️	emneknagg, firkant, hashtagg, nummerteikn, skigard
%	prosent, prosentteikn
‰	promille, promilleteikn
†	kross, krossteikn, latinsk kross
‡	dobbel kross, dobbelkrossteikn
•	prikk, punkt, punktliste, punktteikn
‧	bindestrek, interpunkt, prikk, punkt, stavingsmerke
′	primteikn
″	dobbelt primteikn
‴	trippelt primteikn
‸	innsetjingsteikn
⁂	asterisme, dinkus, stjerner
´	aksent, akutt, høgreaksent, tonem, trykk
¨	omlyd, trema, tødlar
°	alkoholinnhald, grader, gradeteikn, timar
↚	venstrepil med strek over
→	aust, høgre, høgrepil, pil høgre, pil mot høgre, retning
↛	høgrepil med strek over
↜	bølgeforma pil venstre
↝	bølgeforma pil høgre
↞	venstrepil med to spissar
↟	oppoverpil med to spissar
↠	høgrepil med to spissar
↡	nedoverpil med to spissar
