🦵🏻	ਅੰਗ, ਗੋਰਾ ਰੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਲੱਤ, ਲੱਤ: ਗੋਰਾ ਰੰਗ
🦵🏼	ਅੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਲੱਤ, ਲੱਤ: ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ
🦵🏽	ਅੰਗ, ਕਣਕਵੰਨਾ ਰੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਲੱਤ, ਲੱਤ: ਕਣਕਵੰਨਾ ਰੰਗ
🦵🏾	ਅੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਲੱਤ, ਲੱਤ: ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ
🦵🏿	ਅੰਗ, ਕਾਲਾ ਰੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਲੱਤ, ਲੱਤ: ਕਾਲਾ ਰੰਗ
🦶🏻	ਗੋਰਾ ਰੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਪੈਰ, ਪੈਰ ਘੜੀਸ ਕੇ ਤੁਰਨਾ, ਪੈਰ: ਗੋਰਾ ਰੰਗ
🦶🏼	ਠੁੱਡਾ ਮਾਰਨਾ, ਪੈਰ, ਪੈਰ ਘੜੀਸ ਕੇ ਤੁਰਨਾ, ਪੈਰ: ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ
🦶🏽	ਕਣਕਵੰਨਾ ਰੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਪੈਰ, ਪੈਰ ਘੜੀਸ ਕੇ ਤੁਰਨਾ, ਪੈਰ: ਕਣਕਵੰਨਾ ਰੰਗ
🦶🏾	ਠੁੱਡਾ ਮਾਰਨਾ, ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਪੈਰ, ਪੈਰ ਘੜੀਸ ਕੇ ਤੁਰਨਾ, ਪੈਰ: ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ
🦶🏿	ਕਾਲਾ ਰੰਗ, ਠੁੱਡਾ ਮਾਰਨਾ, ਪੈਰ, ਪੈਰ ਘੜੀਸ ਕੇ ਤੁਰਨਾ, ਪੈਰ: ਕਾਲਾ ਰੰਗ
🦸🏻	ਗੋਰਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰ-ਹੀਰੋ, ਸੁਪਰ-ਹੀਰੋ: ਗੋਰਾ ਰੰਗ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏼	ਵਧੀਆ, ਸੁਪਰ-ਹੀਰੋ, ਸੁਪਰ-ਹੀਰੋ: ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਸੁਪਰਪਾਵਰ, ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏽	ਕਣਕਵੰਨਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰ-ਹੀਰੋ, ਸੁਪਰ-ਹੀਰੋ: ਕਣਕਵੰਨਾ ਰੰਗ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏾	ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰ-ਹੀਰੋ, ਸੁਪਰ-ਹੀਰੋ: ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏿	ਕਾਲਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰ-ਹੀਰੋ, ਸੁਪਰ-ਹੀਰੋ: ਕਾਲਾ ਰੰਗ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏻‍♀	ਇਸਤਰੀ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ: ਗੋਰਾ ਰੰਗ, ਗੋਰਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏼‍♀	ਇਸਤਰੀ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ: ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏽‍♀	ਇਸਤਰੀ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ: ਕਣਕਵੰਨਾ ਰੰਗ, ਕਣਕਵੰਨਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏾‍♀	ਇਸਤਰੀ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ: ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏿‍♀	ਇਸਤਰੀ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ, ਇਸਤਰੀ ਸੁਪਰਹੀਰੋ: ਕਾਲਾ ਰੰਗ, ਕਾਲਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ, ਹੀਰੋਇਨ
🦸🏻‍♂	ਗੋਰਾ ਰੰਗ, ਪੁਰਸ਼, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ: ਗੋਰਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ
🦸🏼‍♂	ਪੁਰਸ਼, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ: ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਹੀਰੋ
🦸🏽‍♂	ਕਣਕਵੰਨਾ ਰੰਗ, ਪੁਰਸ਼, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ: ਕਣਕਵੰਨਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ
🦸🏾‍♂	ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਪੁਰਸ਼, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ: ਦਰਮਿਆਨਾ ਕਾਲਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ
🦸🏿‍♂	ਕਾਲਾ ਰੰਗ, ਪੁਰਸ਼, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ, ਪੁਰਸ਼ ਸੁਪਰਹੀਰੋ: ਕਾਲਾ ਰੰਗ, ਵਧੀਆ, ਸੁਪਰਪਾਵਰ, ਹੀਰੋ
🦹🏻	ਅਪਰਾਧੀ, ਖਲਨਾਇਕ, ਗੋਰਾ ਰੰਗ, ਦੁਸ਼ਟ, ਮਹਾਂ-ਖਲਨਾਇਕ, ਮਹਾਂ-ਖਲਨਾਇਕ: ਗੋਰਾ ਰੰਗ, ਸੁਪਰਪਾਵਰ
🦹🏼	ਅਪਰਾਧੀ, ਖਲਨਾਇਕ, ਦੁਸ਼ਟ, ਮਹਾਂ-ਖਲਨਾਇਕ, ਮਹਾਂ-ਖਲਨਾਇਕ: ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ, ਸੁਪਰਪਾਵਰ, ਹਲਕਾ ਕਣਕਵੰਨਾ ਰੰਗ
