🦵🏻	karnacja jasna, kopniak, kończyna, noga, noga: karnacja jasna
🦵🏼	karnacja średnio jasna, kopniak, kończyna, noga, noga: karnacja średnio jasna
🦵🏽	karnacja średnia, kopniak, kończyna, noga, noga: karnacja średnia
🦵🏾	karnacja średnio ciemna, kopniak, kończyna, noga, noga: karnacja średnio ciemna
🦵🏿	karnacja ciemna, kopniak, kończyna, noga, noga: karnacja ciemna
🦶🏻	karnacja jasna, kopniak, stopa, stopa: karnacja jasna, tupanie
🦶🏼	karnacja średnio jasna, kopniak, stopa, stopa: karnacja średnio jasna, tupanie
🦶🏽	karnacja średnia, kopniak, stopa, stopa: karnacja średnia, tupanie
🦶🏾	karnacja średnio ciemna, kopniak, stopa, stopa: karnacja średnio ciemna, tupanie
🦶🏿	karnacja ciemna, kopniak, stopa, stopa: karnacja ciemna, tupanie
🦸🏻	bohater, bohaterka, karnacja jasna, pozytywny, superbohater, superbohater: karnacja jasna, supermoc
🦸🏼	bohater, bohaterka, karnacja średnio jasna, pozytywny, superbohater, superbohater: karnacja średnio jasna, supermoc
🦸🏽	bohater, bohaterka, karnacja średnia, pozytywny, superbohater, superbohater: karnacja średnia, supermoc
🦸🏾	bohater, bohaterka, karnacja średnio ciemna, pozytywny, superbohater, superbohater: karnacja średnio ciemna, supermoc
🦸🏿	bohater, bohaterka, karnacja ciemna, pozytywny, superbohater, superbohater: karnacja ciemna, supermoc
🦸🏻‍♀	bohaterka, karnacja jasna, kobieta, kobieta superbohater, kobieta superbohater: karnacja jasna, pozytywna, supermoc
🦸🏼‍♀	bohaterka, karnacja średnio jasna, kobieta, kobieta superbohater, kobieta superbohater: karnacja średnio jasna, pozytywna, supermoc
🦸🏽‍♀	bohaterka, karnacja średnia, kobieta, kobieta superbohater, kobieta superbohater: karnacja średnia, pozytywna, supermoc
🦸🏾‍♀	bohaterka, karnacja średnio ciemna, kobieta, kobieta superbohater, kobieta superbohater: karnacja średnio ciemna, pozytywna, supermoc
🦸🏿‍♀	bohaterka, karnacja ciemna, kobieta, kobieta superbohater, kobieta superbohater: karnacja ciemna, pozytywna, supermoc
🦸🏻‍♂	bohater, karnacja jasna, mężczyzna, mężczyzna superbohater, mężczyzna superbohater: karnacja jasna, pozytywny, supermoc
🦸🏼‍♂	bohater, karnacja średnio jasna, mężczyzna, mężczyzna superbohater, mężczyzna superbohater: karnacja średnio jasna, pozytywny, supermoc
🦸🏽‍♂	bohater, karnacja średnia, mężczyzna, mężczyzna superbohater, mężczyzna superbohater: karnacja średnia, pozytywny, supermoc
🦸🏾‍♂	bohater, karnacja średnio ciemna, mężczyzna, mężczyzna superbohater, mężczyzna superbohater: karnacja średnio ciemna, pozytywny, supermoc
🦸🏿‍♂	bohater, karnacja ciemna, mężczyzna, mężczyzna superbohater, mężczyzna superbohater: karnacja ciemna, pozytywny, supermoc
🦹🏻	czarny bohater, karnacja jasna, przestępca, supermoc, superłotr, superłotr: karnacja jasna, złoczyńca
🦹🏼	czarny bohater, karnacja średnio jasna, przestępca, supermoc, superłotr, superłotr: karnacja średnio jasna, złoczyńca
🦹🏽	czarny bohater, karnacja średnia, przestępca, supermoc, superłotr, superłotr: karnacja średnia, złoczyńca
🦹🏾	czarny bohater, karnacja średnio ciemna, przestępca, supermoc, superłotr, superłotr: karnacja średnio ciemna, złoczyńca
🦹🏿	czarny bohater, karnacja ciemna, przestępca, supermoc, superłotr, superłotr: karnacja ciemna, złoczyńca
🦹🏻‍♀	czarny bohater, karnacja jasna, kobieta, kobieta superłotr, kobieta superłotr: karnacja jasna, przestępca, supermoc, złoczyńca
🦹🏼‍♀	czarny bohater, karnacja średnio jasna, kobieta, kobieta superłotr, kobieta superłotr: karnacja średnio jasna, przestępca, supermoc, złoczyńca
🦹🏽‍♀	czarny bohater, karnacja średnia, kobieta, kobieta superłotr, kobieta superłotr: karnacja średnia, przestępca, supermoc, złoczyńca
🦹🏾‍♀	czarny bohater, karnacja średnio ciemna, kobieta, kobieta superłotr, kobieta superłotr: karnacja średnio ciemna, przestępca, supermoc, złoczyńca
🦹🏿‍♀	czarny bohater, karnacja ciemna, kobieta, kobieta superłotr, kobieta superłotr: karnacja ciemna, przestępca, supermoc, złoczyńca
🦹🏻‍♂	czarny bohater, karnacja jasna, mężczyzna, mężczyzna superłotr, mężczyzna superłotr: karnacja jasna, przestępca, supermoc, złoczyńca
🦹🏼‍♂	czarny bohater, karnacja średnio jasna, mężczyzna, mężczyzna superłotr, mężczyzna superłotr: karnacja średnio jasna, przestępca, supermoc, złoczyńca
🦹🏽‍♂	czarny bohater, karnacja średnia, mężczyzna, mężczyzna superłotr, mężczyzna superłotr: karnacja średnia, przestępca, supermoc, złoczyńca
