🦵🏻	chute, membro, pele clara, perna, perna: pele clara
🦵🏼	chute, membro, pele morena clara, perna, perna: pele morena clara
🦵🏽	chute, membro, pele morena, perna, perna: pele morena
🦵🏾	chute, membro, pele morena escura, perna, perna: pele morena escura
🦵🏿	chute, membro, pele escura, perna, perna: pele escura
🦶🏻	chute, pele clara, pisão, pé, pé: pele clara
🦶🏼	chute, pele morena clara, pisão, pé, pé: pele morena clara
🦶🏽	chute, pele morena, pisão, pé, pé: pele morena
🦶🏾	chute, pele morena escura, pisão, pé, pé: pele morena escura
🦶🏿	chute, pele escura, pisão, pé, pé: pele escura
🦸🏻	boa, bom, heroína, herói, pele clara, super-herói, super-herói: pele clara, superpoder
🦸🏼	boa, bom, heroína, herói, pele morena clara, super-herói, super-herói: pele morena clara, superpoder
🦸🏽	boa, bom, heroína, herói, pele morena, super-herói, super-herói: pele morena, superpoder
🦸🏾	boa, bom, heroína, herói, pele morena escura, super-herói, super-herói: pele morena escura, superpoder
🦸🏿	boa, bom, heroína, herói, pele escura, super-herói, super-herói: pele escura, superpoder
🦸🏻‍♀	boa, heroína, herói, mulher, pele clara, super-heroína, super-heroína: pele clara, superpoder
🦸🏼‍♀	boa, heroína, herói, mulher, pele morena clara, super-heroína, super-heroína: pele morena clara, superpoder
🦸🏽‍♀	boa, heroína, herói, mulher, pele morena, super-heroína, super-heroína: pele morena, superpoder
🦸🏾‍♀	boa, heroína, herói, mulher, pele morena escura, super-heroína, super-heroína: pele morena escura, superpoder
🦸🏿‍♀	boa, heroína, herói, mulher, pele escura, super-heroína, super-heroína: pele escura, superpoder
🦸🏻‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele clara, pele clara, superpoder
🦸🏼‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele morena clara, pele morena clara, superpoder
🦸🏽‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele morena, pele morena, superpoder
🦸🏾‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele morena escura, pele morena escura, superpoder
🦸🏿‍♂	bom, herói, homem, homem super-herói, homem super-herói: pele escura, pele escura, superpoder
🦹🏻	criminoso, mal, pele clara, superpoder, supervilão, supervilão: pele clara, vilão
🦹🏼	criminoso, mal, pele morena clara, superpoder, supervilão, supervilão: pele morena clara, vilão
🦹🏽	criminoso, mal, pele morena, superpoder, supervilão, supervilão: pele morena, vilão
🦹🏾	criminoso, mal, pele morena escura, superpoder, supervilão, supervilão: pele morena escura, vilão
🦹🏿	criminoso, mal, pele escura, superpoder, supervilão, supervilão: pele escura, vilão
🦹🏻‍♀	criminosa, mulher, má, pele clara, superpoder, supervilã, supervilã: pele clara, vilã
🦹🏼‍♀	criminosa, mulher, má, pele morena clara, superpoder, supervilã, supervilã: pele morena clara, vilã
🦹🏽‍♀	criminosa, mulher, má, pele morena, superpoder, supervilã, supervilã: pele morena, vilã
🦹🏾‍♀	criminosa, mulher, má, pele morena escura, superpoder, supervilã, supervilã: pele morena escura, vilã
🦹🏿‍♀	criminosa, mulher, má, pele escura, superpoder, supervilã, supervilã: pele escura, vilã
🦹🏻‍♂	criminoso, homem, homem supervilão, homem supervilão: pele clara, mal, pele clara, superpoder, vilão
🦹🏼‍♂	criminoso, homem, homem supervilão, homem supervilão: pele morena clara, mal, pele morena clara, superpoder, vilão
🦹🏽‍♂	criminoso, homem, homem supervilão, homem supervilão: pele morena, mal, pele morena, superpoder, vilão
🦹🏾‍♂	criminoso, homem, homem supervilão, homem supervilão: pele morena escura, mal, pele morena escura, superpoder, vilão
🦹🏿‍♂	criminoso, homem, homem supervilão, homem supervilão: pele escura, mal, pele escura, superpoder, vilão
👶🏻	bebê, bebê: pele clara, pele clara, pessoas
👶🏼	bebê, bebê: pele morena clara, pele morena clara, pessoas
👶🏽	bebê, bebê: pele morena, pele morena, pessoas
👶🏾	bebê, bebê: pele morena escura, pele morena escura, pessoas
👶🏿	bebê, bebê: pele escura, pele escura, pessoas
🧒🏻	criança, criança: pele clara, pele clara
🧒🏼	criança, criança: pele morena clara, pele morena clara
🧒🏽	criança, criança: pele morena, pele morena
🧒🏾	criança, criança: pele morena escura, pele morena escura
🧒🏿	criança, criança: pele escura, pele escura
👦🏻	menino, menino: pele clara, pele clara, pessoas
👦🏼	menino, menino: pele morena clara, pele morena clara, pessoas
👦🏽	menino, menino: pele morena, pele morena, pessoas
👦🏾	menino, menino: pele morena escura, pele morena escura, pessoas
👦🏿	menino, menino: pele escura, pele escura, pessoas
👧🏻	menina, menina: pele clara, pele clara, pessoas
👧🏼	menina, menina: pele morena clara, pele morena clara, pessoas
👧🏽	menina, menina: pele morena, pele morena, pessoas
👧🏾	menina, menina: pele morena escura, pele morena escura, pessoas
👧🏿	menina, menina: pele escura, pele escura, pessoas
🧑🏻	adulto, adulto: pele clara, pele clara
🧑🏼	adulto, adulto: pele morena clara, pele morena clara
🧑🏽	adulto, adulto: pele morena, pele morena
🧑🏾	adulto, adulto: pele morena escura, pele morena escura
🧑🏿	adulto, adulto: pele escura, pele escura
👨🏻	homem, homem: pele clara, pele clara, pessoas
👨🏼	homem, homem: pele morena clara, pele morena clara, pessoas
👨🏽	homem, homem: pele morena, pele morena, pessoas
👨🏾	homem, homem: pele morena escura, pele morena escura, pessoas
👨🏿	homem, homem: pele escura, pele escura, pessoas
👨‍🦰	cabelo vermelho, homem, homem: cabelo vermelho, pessoas
👨🏻‍🦰	cabelo vermelho, homem, homem: pele clara e cabelo vermelho, pele clara, pessoas
👨🏼‍🦰	cabelo vermelho, homem, homem: pele morena clara e cabelo vermelho, pele morena clara, pessoas
👨🏽‍🦰	cabelo vermelho, homem, homem: pele morena e cabelo vermelho, pele morena, pessoas
👨🏾‍🦰	cabelo vermelho, homem, homem: pele morena escura e cabelo vermelho, pele morena escura, pessoas
👨🏿‍🦰	cabelo vermelho, homem, homem: pele escura e cabelo vermelho, pele escura, pessoas
👨‍🦱	cabelo cacheado, homem, homem: cabelo cacheado, pessoas
👨🏻‍🦱	cabelo cacheado, homem, homem: pele clara e cabelo cacheado, pele clara, pessoas
