🦵🏻	extremidade, perna: tipo de pele 1–2, pontapé, tipo de pele 1–2
🦵🏼	extremidade, perna: tipo de pele 3, pontapé, tipo de pele 3
🦵🏽	extremidade, perna: tipo de pele 4, pontapé, tipo de pele 4
🦵🏾	extremidade, perna: tipo de pele 5, pontapé, tipo de pele 5
🦵🏿	extremidade, perna: tipo de pele 6, pontapé, tipo de pele 6
🦶🏻	pisar, pontapé, pé: tipo de pele 1–2, tipo de pele 1–2
🦶🏼	pisar, pontapé, pé: tipo de pele 3, tipo de pele 3
🦶🏽	pisar, pontapé, pé: tipo de pele 4, tipo de pele 4
🦶🏾	pisar, pontapé, pé: tipo de pele 5, tipo de pele 5
🦶🏿	pisar, pontapé, pé: tipo de pele 6, tipo de pele 6
🦸🏻	bom, heroína, herói, super-herói: tipo de pele 1–2, superpoder, tipo de pele 1–2
🦸🏼	bom, heroína, herói, super-herói: tipo de pele 3, superpoder, tipo de pele 3
🦸🏽	bom, heroína, herói, super-herói: tipo de pele 4, superpoder, tipo de pele 4
🦸🏾	bom, heroína, herói, super-herói: tipo de pele 5, superpoder, tipo de pele 5
🦸🏿	bom, heroína, herói, super-herói: tipo de pele 6, superpoder, tipo de pele 6
🦸🏻‍♀	boa, heroína, herói, super-heroína: tipo de pele 1–2, superpoder, tipo de pele 1–2
🦸🏼‍♀	boa, heroína, herói, super-heroína: tipo de pele 3, superpoder, tipo de pele 3
🦸🏽‍♀	boa, heroína, herói, super-heroína: tipo de pele 4, superpoder, tipo de pele 4
🦸🏾‍♀	boa, heroína, herói, super-heroína: tipo de pele 5, superpoder, tipo de pele 5
🦸🏿‍♀	boa, heroína, herói, super-heroína: tipo de pele 6, superpoder, tipo de pele 6
🦸🏻‍♂	bom, herói, homem, homem super-herói: tipo de pele 1–2, superpoder, tipo de pele 1–2
🦸🏼‍♂	bom, herói, homem, homem super-herói: tipo de pele 3, superpoder, tipo de pele 3
🦸🏽‍♂	bom, herói, homem, homem super-herói: tipo de pele 4, superpoder, tipo de pele 4
🦸🏾‍♂	bom, herói, homem, homem super-herói: tipo de pele 5, superpoder, tipo de pele 5
🦸🏿‍♂	bom, herói, homem, homem super-herói: tipo de pele 6, superpoder, tipo de pele 6
🦹🏻	criminoso, mau, superpoder, supervilão: tipo de pele 1–2, tipo de pele 1–2, vilão
🦹🏼	criminoso, mau, superpoder, supervilão: tipo de pele 3, tipo de pele 3, vilão
🦹🏽	criminoso, mau, superpoder, supervilão: tipo de pele 4, tipo de pele 4, vilão
🦹🏾	criminoso, mau, superpoder, supervilão: tipo de pele 5, tipo de pele 5, vilão
🦹🏿	criminoso, mau, superpoder, supervilão: tipo de pele 6, tipo de pele 6, vilão
🦹🏻‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 1–2, má, superpoder, tipo de pele 1–2, vilã
🦹🏼‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 3, má, superpoder, tipo de pele 3, vilã
🦹🏽‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 4, má, superpoder, tipo de pele 4, vilã
🦹🏾‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 5, má, superpoder, tipo de pele 5, vilã
🦹🏿‍♀	criminosa, mulher, mulher supervilã, mulher supervilã: tipo de pele 6, má, superpoder, tipo de pele 6, vilã
🦹🏻‍♂	criminoso, homem, homem supervilão: tipo de pele 1–2, mau, superpoderoso, tipo de pele 1–2, vilão
🦹🏼‍♂	criminoso, homem, homem supervilão: tipo de pele 3, mau, superpoderoso, tipo de pele 3, vilão
🦹🏽‍♂	criminoso, homem, homem supervilão: tipo de pele 4, mau, superpoderoso, tipo de pele 4, vilão
🦹🏾‍♂	criminoso, homem, homem supervilão: tipo de pele 5, mau, superpoderoso, tipo de pele 5, vilão
