‾	siqisqa, takay, vinculum
_	rakichikuq, siqi, siqichay, uran rakichikuq, uran rakichikuqpi, uran siqi
-	qichuna, rakichikuq, siqi, siqi qichuna
‐	rakichikuq, siqi
–	qichuna, uchuy, uchuy qichuna
—	hatun, hatun qichuna, qichuna
―	kinrampa siqin, rakichikuq, siqi, warra
・	chawpi chiku, chikukuna, interpunct, katakana, katakana chawpi chiku
,	samachimpu
،	arabico, arabico samachimpu, samachimpu
、	ideografico, ideografico samachimpu, samachimpu
;	chiku samachimpu, chiku-samachimpu
؛	arabico, arabico chiku samachimpu, chiku samachimpu, chiku-samachimpu
:	chiku
!	bang, qapariq, qapariq cchimpu, qapariq chiku, qapariq yupiy
¡	bang, qapariq, qapariq chiku, qapariq chimpu, tikrasqa, tikrasqa qapariq chimpu
?	tapukuna yupiy, tapuna, tapuna yupiy
¿	tapuna, tapuna chimpu, tikrasqa, tikrasqa tapuna yupiy
؟	arabico, arabico tapuna yupiy, tapuna, tapuna chimpu
‽	interabang, interrobang nisqa
.	chiku, qurpa chiku, tukuq chiku
…	chikukuna, elipsis, sayachiy
。	chiku, ideografico, ideografico chiku, tukuq chiku
·	chawpi, chawpi chiku, chiku, interpunct
'	apostrofe, apostrofe maquina qillqaywan, huklla willakuy, yapa willakuy
‘	apostrofe, huklla yapa willakuy, lluqi apostrofe, umayuq yapa willakuy, yapa willakuy
’	apostrofe, huklla yapa willakuy, paña apostrofe, umayuq yapa willakuy, yapa willakuy
‚	apostrofe, pisi paña apostrofe, pisi yapa willakuy, uran paña apostrofe, yapa willakuy
“	iskay kumilla, kumilla, lluqi kumilla, lluqi kumilla unancha, umayuq kumilla, yapa willakuy
”	iskay yapa willakuy, kumilla, paña kumilla, umayuq kumilla, yapa willakuy
„	iskay yapa kumilla, kumilla, umayuq kumilla, uran kumilla, uran paña kumilla, yapa willakuy
«	allin tuqyaq, cheuron, kuchu, kurchitikuna, lluqi, lluqi francesa kumilla, yapa willakuy
»	allin tuqyaq, cheuron, kuchu, kurchitikuna, paña, paña francesa kumilla, yapa willakuy
)	muyusqa parentesis, parentesis, wichqay parentesis
[	kichay tawakuchusqa parentesis, korchiti, parentesis, tawakuchusqa kurchiti
]	kurchiti, parentesis, tawakuchusqa kurchiti, wichqay tawakuchusqa parentesis
{	gullwing nisqa, kichay kurchiti, kurchiti, llawi, wichqay kurchiti
}	gullqing nisqa, kurchiti, llawi, wichqay kurchiti
〈	cheuron, diamante hina kurchiti, kichay kuchuwan kurchiti, kuchuwan kurchiti, kurchiti, tupla
〉	cheuron, diamante kurchiti, kuchuwan kurchiti, kurchiti, tupla, wichqay kuchuwan kurchiti
《	iskay kichasqa kuchuwan kurchiti, iskaychasqa kuchuwan kurchiti, kichay iskaychasqa kuchuwan kurchiti, kurchiti
》	iskaychasqa kuchuwan kurchiti, kurchiti, wichqay iskaychasqa kuchuwan kurchiti
「	kichay kuchuman kurchiti, kuchuman kurchiti, kurchiti
」	kuchuman kurchiti, kurchiti, wichqay kuchuman kurchiti
『	kichay ukun kuchuman kurchiti, kurchiti, ukun kuchuman kurchiti
』	kurchiti, wichqay ukun kuchuwan kurchiti
【	kichay yana kurchiti, kurchiti, lenticular kurchiti
】	kurchiti, lenticular kurchiti, wichqay yana kurchiti
〔	kichay turtuga hina kurchiti, kurchiti, turtuga hina kurchiti
〕	kurchiti, turtuga hina kurchiti, wichqay turtuga hina kurchiti
〖	kichay ukunwan kurchiti, kurchiti, ukunwan kurchiti, ukunwan lenticular kurchiti
〗	kurchiti, ukunwan kurchiti, ukunwan lenticular kurchiti, wichqay ukunwan kurchiti
§	hatun qillqa raki, raki, ruwana, silcrow
¶	alinea, hatun qillqa raki, hatun qillqa raki chimpu, pilcrow, rubrica
@	ampersat, arobase, arroba, arroba chimpu, arroba qatu, arroba unancha, arroba yupiy
*️	asterisco, comodin, quyllur
/	raki chimpu, raki sananpa, siqa, solidus, warra
\	qipaman raki sananpa, raki chimpu, tikrasqa solidus
&	amperson, chaymanta, hinaspa
#️	hash, hash chimpu, hashtag, lb, libra, yupay
%	pachakchasqa, sapa pachak, sapa-pachak
‰	permil, permille, sapa milla, sapa waranqa
†	daga, daga chimpu, daga unancha, obelisco, obelus
‡	daqa, iskay, iskay daga unancha, obelisco, obelus
•	chiku, viñeta
‧	chiku, rakichikuq, rakisqa chiku, siqi
′	qapaq
″	iskay qapaq, qapaq
‴	kimsa qapaq, qappaq
‸	allin tuqyaq
※	willakuy chimpu
⁂	asterismo, dinkus, quyllurkuna
`	grave, grave kunka, kunka, tonu
´	agudu, agudu kunka, kunka, tonu
^	chuku, circunflejo, circunflejo raki, kallpa, kuchu, patachay, qimiq, raki unancha
¨	dieresis, tréma, umlaut
°	gradu, prueba, ura
℗	copyright, grawasqa, uyarina, uyarina copyright nisqawan grawasqa
←	lluqi, qawasqa lluqiman wachi, wachi
↚	lluqiman siqi wachi
→	paña qawasqa paña wachi, qawasqa paña wachi, wachi
↛	pañaman siqi wachi
↑	hanaq, qawasqa hanaqman wachi, wachi
↓	qawasqa uranman wachi, uran, wachi
↜	lluqiman wayrawayra wachi
↝	pañaman wayrawayra wachi
↞	lluqiman iskay umawan wachi
↟	hanaqman iskay umawan wachi
↠	pañaman iskay umawan wachi
↡	uranman iskay umawan wachi
↢	lluqiman wachi chupiyuq
↣	pañaman wachi chupiyuq
↤	lluqiman wachi warramanta
↥	hanaqman wachi warramanta
↦	pañaman wachi warramanta
↧	uranman wachi warramanta
↨	uranmanta hanaqman wachi siqiwan
↫	lluqiman wachi lazowan
↬	pañaman wachi lazowan
↭	lluqi paña wayrawayra wachi
↯	uranman zigzag hina wachi, zigzag nisqa
↰	hanaqman wachi ñawchiwan lluqiman
↱	hanaqman wachi ñawchiwan pañaman
↲	uranman wachi ñawchiwan lluqiman
↳	uranman wachi ñawchiwan pañaman
↴	pañaman wachi kuchuwan uranman
↵	uranman wachi kuchuwan lluqiman
↶	tikrasqa ura qatichkanku hanaqpi kuska muyusqa wachi
↷	ura qatichkanku hanaqpi kuska muyusqa wachi
↸	chincha kunti wachi hatun warrawan
↹	lluqiman wachi pañaman wachipi
↺	tikrasqa ura qatispa kichasqa muyuwan wachi
↻	ura qatispa kichasqa muyuwan wachi
↼	lluqiman arpon puya hina hanaqman, puya
↽	lluqiman arpon puya hina uranman
↾	hanaqman arpon puya hina pañaman, puya
↿	hanaqman arpon puya hina lluqiman, puya hina
⇀	pañaman arpon puya hina hanaqman, puya
⇁	pañaman arpon puya hina uranman, puya
⇂	puya, uranman arpon puya hina pañaman
⇃	puya, uranman arpon hina lluqiman, uranman arpon puya hina lluqiman
⇄	pañaman wachi lluqiman wachipi
⇅	hanaq, qawasqa hanaqman hinaspa qawasqa uranman wachikuna, qawasqa hanaqman-uranman wachikuna, uran, wachi
⇆	lluqi, paña, qawasqa lluqi qawasqa pañapi wachikuna, qawasqa lluqiman pañapi wachikuna, wachi
⇇	iskaychasqa lluqiman wachikuna
⇈	iskaychasqa hanaqman wachikuna
⇉	iskaychasqa pañaman wachikuna
⇊	iskaychasqa uranman wachikuna
⇋	lluqiman arpon pañaman arponpi
⇌	pañaman arpon lluqiman arponpi
⇐	lluqiman iskay wachi
⇍	lluqiman iskay wachi siqiwan
⇑	hanaqman iskay wachi
⇒	pañaman iskay wachi
⇏	pañaman iskay wachi siqiwan
⇓	uranman iskay wachi
⇔	lluqiman pañaman iskay wachi
⇎	lluqiman pañaman iskay wachi siqiwan
⇖	chinchaman kuntiman iskay wachi
⇗	chinchaman antiman iskay wachi
⇘	qullaman antiman iskay wachi
⇙	qullaman kuntiman iskay wachi
⇚	lluqiman kimsa wachi
⇛	pañaman kimsa wachi
⇜	lluqiman siqikunawan wachi
⇝	pañaman siqikunawan wachi
⇞	hanaqman wachi iskay siqikunawan
⇟	uranman wachi iskay siqikunawan
⇠	lluqi chikukunawan wachi, lluqiman chikukunawan wachi
⇡	hanaqman chikukunawan wachi
⇢	pañaman chikukunawan wachi
⇣	uranman chikukunawan wachi
⇤	lluqiman warrawan wachi
⇥	pañaman warrawan wachi
⇦	lluqiman ukunman wachi, lluqiman ukunwan wachi
⇧	hanaqman ukunman wachi
⇨	pañaman ukunman wachi
⇩	uranman ukunman wachi
⇪	hanaqman ukunman warramanta wachi
⇵	uranman wachi lluqipi uranman wachiwan
∀	llapa, llapapaq, lliw, qusqa, wakin
∂	diferencial, kuska diferencial
∃	kaymiña
∅	chusaq huñu, huñu llamkaq, matematicas
∆	kimsakuchu, yapay
∇	nabla, nabla kimsakuchu
∈	huñu, ima, ima kaymanta, intigranti, tiyan
∉	ima, mana huk imayuq
∋	ima, intigranti hina tiyan
∎	halmos, lapida, q.e.d., qed, tukuq mallina
∏	logico, mana tukukuq ruru, ruru
∑	mana tukukuq yapaynin, matematicas, yapaynin
+	yapana, yapana unancha, yapay
±	yapana qichuna, yapana-qichuna
÷	obelus, rakina, rakina unancha, rakiy
×	mirachina, mirachina unancha, mirachiy, pachakuna
<	pisi kayhina, pisi-kayhina, sutichaq, sutichaq kichay
≮	mana kikin, mana pisin, matematicas
=	kikin, kikinkuna
≠	ama kikinkaq, mana kikin, mana kikin kay
>	aswan hatun kayhina, aswan hatun-kayhina, qaylla sutichaq, sutichaq
≯	mana kikin, mana kuraqnin, matematicas
¬	ama, mana
|	kuqmu, qispi, sayampa siqin, sayampa warran, sheffer warra, siqi, warra
~	asintu
−	qichuna, qichuna unancha, qichuy
⁻	hatun qillqa, hatun qillqa qichuna, qichuna
∓	qichuna uta yapana, qichuna utaq yapana, qichuna-yapana
∕	rakina warra, siqi, virgula, warra
⁄	chiqta warra, siqi, virgula
∗	asterisku llamkaq, quyllur
∘	huñuynin, llamkaq, siwi llamkaq
∙	llamkaq, siqichana yupi llamkaq
√	iskaychasqa sapi, radical, sapi, surd, tawakuchu
∝	proporcional, proporcionalidad
∞	wiñaypaq, wiñaypaq wiñaynin unancha
∟	matematicas, paña kuchu
∠	agudu, kuchu
∣	rakina, rakiq
∥	paralilu
∧	ac, atque, logico kaywan, patma
∩	huñu, siqi tinkuy
∪	huñu, huñusqa, tinkuy
∫	lliw, yupachay
∬	iskay lliw, yupachay
∮	muyusqa lliw
∴	chantapas, logicu
∵	imarayku, logico
∶	chaychá
∷	proporcion, proporcionalidad
∼	llamkaq, tilde llamkaq
∽	tikrasqa tilde, tilde
∾	tikrasqa s sananpa
≃	asintota, kikin asintoticamente nisqa, matematicas
≅	congruencia, isomorfismo, kikinkaq, matematicas, yaqa kikin
≈	kikinña, qayllachispa, qayllachiy
≌	kikinkaq, llapa kikin, matematicas
≒	yaqa kikin rikchaynin hina
≖	kikinkaq, matematicas, siwi kikin chimpupi
≡	kikillantaq, kikin, kimsa, riqsichisqa
≣	chiqa kikin, kikinkaq, matematicas
≤	kikin, kikinkuna, mana kikinkaq, pisi kayhin utaq kikin, pisi kayhina utaq kikin, pisi-kayhina
≥	aswan hatun kayhina, aswan hatun kayhina utaq kikin, kikin, kikinkuna, mana kikinkaq
≦	kikinkaq, matematicas, pisin kikin chimpupi
