¬	negatzione
|	lìnia verticale
~	tilde
≥	prus mannu o uguale
😀	aberta, buca, buca risulana, cara, cara risulana, fatze, iscantzada, iscantzende, risu, risulanu
😃	aberta, buca, buca risulana, cara, cara cun ogros ispamparriados, cara cun ogros mannos, cara risulana cun ogros ispamparriados, fatze, iscantzada, iscantzende, ispamparriados, risu, risulanu
😄	aberta, buca, buca risulana, cara, cara cun ogros chi rident, cara cun ogros risulanos, cara risulana cun sos ogros chi rident, fatze, iscantzada, iscantzende, risu, risulanu
😺	aberta, buca, buca risulana, cara, gatu, gatu risulanu, iscantzada, iscantzende, pisitu, risu, risulanu
😸	aberta, buca, buca risulana, cara, gatu, gatu cun ogros chi rident, gatu cun ogros risulanos, gatu risulanu cun sos ogros chi rident, iscantzada, iscantzende, pisitu, risu, risulanu
😹	cara, cuntentesa, gatu, gatu cun làgrimas de cuntentesa, làgrimas, pisitu
😻	amore, cara, coro, gatu, gatu risulanu cun ogros a forma de coro, ogros, ogru, pisitu, risitu, risulanu
😼	befulanu, cara, gatu, gatu befulanu, irònicu, pisitu, risitu
😽	basu, cara, gatu, gatu chi mandat basos, ogros serrados, pisitu
🙀	assustadu, cara, gatu, gatu istasidu, ispantadu, ispramadu, istasidu, istracu, oh, pisitu
😿	cara, gatu, gatu chi pranghet, làgrimas, pisitu, pranghende, prànghere, tristu
😾	abbuddadu, ammurrionadu, cara, gatu, gatu a murru longu, inchighiristadu, murrilongu, murrione, murru longu, mutriosu, mutzighiladu, neghidadu
🙈	bidere, cara, mala, male, malu, manos in ogros, martinica, martinica chi non bidet su male, muninca, muninca chi non bidet su male, muninca covechende·si sos ogros, non bido, ogros, ogros covecados
🙉	cara, intendere, mala, male, malu, manos in sas origras, martinica, martinica chi no intendet su male, muninca, muninca chi no intendet su male, muninca covechende·si sas origras, no intendo, no iscurto, origras, origras covecadas
🙊	buca, cara, covechende·si sa buca, mala, male, malu, manos in buca, martinica, martinica chi non narat cosa mala, muninca, muninca a manos in buca, muninca chi non narat cosa mala, muninca covechende·si sa buca, non faeddo, non naro
💌	lìtera de amore
💕	amore, duos coros, istima
🧡	arantzu, coro, coro arantzu, emotzione
💛	coro, coro grogu, emotzione, grogu
💚	birde, coro, coro birde, emotzione
💙	asulu, biaitu, coro, coro asulu, emotzione
💜	coro, coro tanadu, emotzione, pùrpura, tanadu
🤎	baju, castàngiu, coro, coro castàngiu, emotzione
🖤	coro, coro nieddu, dolore, nieddu, tristura
🤍	arbu, biancu, coro, coro biancu, emotzione
💯	100, 100 puntos, puntos, puntègiu prenu
🦵	anca, carche, càrchida, mermu, punta de pee
🦵🏻	anca, anca: pedde crara, carche, càrchida, mermu, pedde crara, punta de pee
🦵🏼	anca, anca: pedde bastante crara, carche, càrchida, mermu, pedde bastante crara, punta de pee
🦵🏽	anca, anca: pedde de colore mèdiu, carche, càrchida, mermu, pedde de colore mèdiu, punta de pee
🦵🏾	anca, anca: pedde bastante iscura, carche, càrchida, mermu, pedde bastante iscura, punta de pee
🦵🏿	anca, anca: pedde iscura, carche, càrchida, mermu, pedde iscura, punta de pee
🦶	pee
🦶🏻	pedde crara, pee, pee: pedde crara
🦶🏼	pedde bastante crara, pee, pee: pedde bastante crara
🦶🏽	pedde de colore mèdiu, pee, pee: pedde de colore mèdiu
🦶🏾	pedde bastante iscura, pee, pee: pedde bastante iscura
🦶🏿	pedde iscura, pee, pee: pedde iscura
👂️	corpus, origra
👂🏻	corpus, origra, origra: pedde crara, pedde crara
👂🏼	corpus, origra, origra: pedde bastante crara, pedde bastante crara
👂🏽	corpus, origra, origra: pedde de colore mèdiu, pedde de colore mèdiu
👂🏾	corpus, origra, origra: pedde bastante iscura, pedde bastante iscura
👂🏿	corpus, origra, origra: pedde iscura, pedde iscura
👃	corpus, nasu
👃🏻	corpus, nasu, nasu: pedde crara, pedde crara
👃🏼	corpus, nasu, nasu: pedde bastante crara, pedde bastante crara
👃🏽	corpus, nasu, nasu: pedde de colore mèdiu, pedde de colore mèdiu
👃🏾	corpus, nasu, nasu: pedde bastante iscura, pedde bastante iscura
👃🏿	corpus, nasu, nasu: pedde iscura, pedde iscura
🧠	abbistu, cherbeddu, inteligente
🫁	purmones
🦷	dente, dentista
🦴	ischèletru, ossu
👀	cara, fatze, ogros, ogru
👁️	corpus, ogru
👅	corpus, limba
👄	buca, lavras
🫦	amorare, anneu, buca chi mòssigat is lavras, buca chi mòssigat sas lavras, diosare, indiosare, oriolada, orioladu, oriolu, pensamentosa, pensamentosu, pensamentu, timoria
👶	criu
👶🏻	criu, criu: pedde crara, pedde crara
👶🏼	criu, criu: pedde bastante crara, pedde bastante crara
👶🏽	criu, criu: pedde de colore mèdiu, pedde de colore mèdiu
👶🏾	criu, criu: pedde bastante iscura, pedde bastante iscura
👶🏿	criu, criu: pedde iscura, pedde iscura
🧒	giòvana, giòvanu, pisedda, piseddu, pitzinna, pitzinnedda, pitzinneddu, pitzinnu, pitzoca, pitzochedda, pitzocheddu, pitzocu
🧒🏻	giòvana, giòvanu, pedde crara, pisedda, piseddu, pitzinna, pitzinnedda, pitzinneddu, pitzinneddu: pedde crara, pitzinnu, pitzoca, pitzochedda, pitzocheddu, pitzocu
🧒🏼	giòvana, giòvanu, pedde bastante crara, pisedda, piseddu, pitzinna, pitzinnedda, pitzinneddu, pitzinneddu: pedde bastante crara, pitzinnu, pitzoca, pitzochedda, pitzocheddu, pitzocu
🧒🏽	giòvana, giòvanu, pedde de colore mèdiu, pisedda, piseddu, pitzinna, pitzinnedda, pitzinneddu, pitzinneddu: pedde de colore mèdiu, pitzinnu, pitzoca, pitzochedda, pitzocheddu, pitzocu
