🏻	koža, odtieň, pleť, svetlá, svetlý tón pleti, tón
🏼	koža, odtieň, pleť, stredne svetlá, stredne svetlý tón pleti, tón
🏽	koža, odtieň, pleť, stredná, stredný tón pleti, tón
🏾	koža, odtieň, pleť, stredne tmavá, stredne tmavý tón pleti, tón
🏿	koža, odtieň, pleť, tmavá, tmavý tón pleti, tón
😀	tvár, úškrn, úškľabok, škeriaca sa tvár
😁	natešená tvár s prižmúrenými očami, oko, tvár, úsmev, úškrn, úškľabok
😂	plač, plačem od smiechu, radosť, slza, smiech, tvár
🤣	smiech, tvár, váľam, váľam sa od smiechu
😃	otvorené, tvár, úsmev, ústa, škeriaca sa tvár s veľkými očami
😄	oko, otvorené, tvár, úsmev, ústa, škeriaca sa tvár s prižmúrenými očami
😅	horúco, otvorené, pot, tvár, úsmev, škeriaca sa tvár s potom
😆	otvorené, smiech, spokojné, tvár, úsmev, ústa, škeriaca sa tvár s privretými očami
😉	tvár, žmurkajúca tvár, žmurkanie, žmurknutie
😊	oko, smejúca sa tvár s prižmúrenými očami, tvár, zapýrenie, úsmev
😋	dobrota, jedlo, mňam, pochutnávajúca si tvár, tvár, úsmev
😎	okuliare, slnko, smejúca sa tvár s okuliarmi, super, tvár, úsmev
😍	láska, oko, smejúca sa tvár so srdiečkami, srdce, tvár, úsmev
😘	bozk, srdce, tvár, tvár posielajúca bozk
🥰	smejúca sa tvár s tromi srdiečkami, zamilovaná, zamilovaný, zaľúbená, zaľúbený, zbožňujem
😗	bozk, bozkávajúca tvár, tvár
😙	bozk, bozkávajúca tvár s prižmúrenými očami, oko, tvár, úsmev
😚	bozk, bozkávajúca tvár so zatvorenými očami, oko, tvár, zatvorené
☺	pohoda, smejúca sa tvár, tvár, úsmev
🙂	tvár, usmievajúca sa tvár, úsmev
🤗	objatie, objímajúca tvár, objímanie, tvár
🤩	oči, pobláznenie, pobláznená tvár, tvár, úškrn, úškľabok
🤔	premýšľajúca tvár, premýšľať, tvár
🤨	nedôvera, pochyba, skeptik, tvár so zdvihnutým obočím
😐	kamenná, neutrálna, neutrálna tvár, tvár
