🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
🦵🏼	gjymtyrë, këmbë, këmbë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, shkelm
🦵🏽	gjymtyrë, këmbë, këmbë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, shkelm
🦵🏾	gjymtyrë, këmbë, këmbë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, shkelm
🦵🏿	gjymtyrë, këmbë, këmbë: nuancë lëkure e errët, nuancë lëkure e errët, shkelm
🦶🏻	nuancë lëkure e çelët, shkelm, shkelmim, shputë, shputë: nuancë lëkure e çelët
🦶🏼	nuancë lëkure gjysmë e çelët, shkelm, shkelmim, shputë, shputë: nuancë lëkure gjysmë e çelët
🦶🏽	nuancë lëkure zeshkane, shkelm, shkelmim, shputë, shputë: nuancë lëkure zeshkane
🦶🏾	nuancë lëkure gjysmë e errët, shkelm, shkelmim, shputë, shputë: nuancë lëkure gjysmë e errët
🦶🏿	nuancë lëkure e errët, shkelm, shkelmim, shputë, shputë: nuancë lëkure e errët
🦸🏻	hero, heroinë, nuancë lëkure e çelët, superfuqi, superhero, superhero: nuancë lëkure e çelët, zemërmirë
🦸🏼	hero, heroinë, nuancë lëkure gjysmë e çelët, superfuqi, superhero, superhero: nuancë lëkure gjysmë e çelët, zemërmirë
🦸🏽	hero, heroinë, nuancë lëkure zeshkane, superfuqi, superhero, superhero: nuancë lëkure zeshkane, zemërmirë
🦸🏾	hero, heroinë, nuancë lëkure gjysmë e errët, superfuqi, superhero, superhero: nuancë lëkure gjysmë e errët, zemërmirë
🦸🏿	hero, heroinë, nuancë lëkure e errët, superfuqi, superhero, superhero: nuancë lëkure e errët, zemërmirë
🦸🏻‍♀	grua, hero, heroinë, nuancë lëkure e çelët, superfuqi, superheroinë, superheroinë: nuancë lëkure e çelët, zemërmirë
🦸🏼‍♀	grua, hero, heroinë, nuancë lëkure gjysmë e çelët, superfuqi, superheroinë, superheroinë: nuancë lëkure gjysmë e çelët, zemërmirë
🦸🏽‍♀	grua, hero, heroinë, nuancë lëkure zeshkane, superfuqi, superheroinë, superheroinë: nuancë lëkure zeshkane, zemërmirë
🦸🏾‍♀	grua, hero, heroinë, nuancë lëkure gjysmë e errët, superfuqi, superheroinë, superheroinë: nuancë lëkure gjysmë e errët, zemërmirë
🦸🏿‍♀	grua, hero, heroinë, nuancë lëkure e errët, superfuqi, superheroinë, superheroinë: nuancë lëkure e errët, zemërmirë
🦸🏻‍♂	burrë, burrë superhero, burrë superhero: nuancë lëkure e çelët, hero, heroinë, nuancë lëkure e çelët, superfuqi, zemërmirë
🦸🏼‍♂	burrë, burrë superhero, burrë superhero: nuancë lëkure gjysmë e çelët, hero, heroinë, nuancë lëkure gjysmë e çelët, superfuqi, zemërmirë
🦸🏽‍♂	burrë, burrë superhero, burrë superhero: nuancë lëkure zeshkane, hero, heroinë, nuancë lëkure zeshkane, superfuqi, zemërmirë
🦸🏾‍♂	burrë, burrë superhero, burrë superhero: nuancë lëkure gjysmë e errët, hero, heroinë, nuancë lëkure gjysmë e errët, superfuqi, zemërmirë
🦸🏿‍♂	burrë, burrë superhero, burrë superhero: nuancë lëkure e errët, hero, heroinë, nuancë lëkure e errët, superfuqi, zemërmirë
🦹🏻	i lig, kriminel, nuancë lëkure e çelët, superfuqi, superzuzar, superzuzar: nuancë lëkure e çelët, zemërkeq
🦹🏼	i lig, kriminel, nuancë lëkure gjysmë e çelët, superfuqi, superzuzar, superzuzar: nuancë lëkure gjysmë e çelët, zemërkeq
🦹🏽	i lig, kriminel, nuancë lëkure zeshkane, superfuqi, superzuzar, superzuzar: nuancë lëkure zeshkane, zemërkeq
🦹🏾	i lig, kriminel, nuancë lëkure gjysmë e errët, superfuqi, superzuzar, superzuzar: nuancë lëkure gjysmë e errët, zemërkeq
🦹🏿	i lig, kriminel, nuancë lëkure e errët, superfuqi, superzuzar, superzuzar: nuancë lëkure e errët, zemërkeq
🦹🏻‍♀	e ligë, kriminele, nuancë lëkure e çelët, superfuqi, superzuzare, superzuzare: nuancë lëkure e çelët, zuzare
🦹🏼‍♀	e ligë, kriminele, nuancë lëkure gjysmë e çelët, superfuqi, superzuzare, superzuzare: nuancë lëkure gjysmë e çelët, zuzare
🦹🏽‍♀	e ligë, kriminele, nuancë lëkure zeshkane, superfuqi, superzuzare, superzuzare: nuancë lëkure zeshkane, zuzare
🦹🏾‍♀	e ligë, kriminele, nuancë lëkure gjysmë e errët, superfuqi, superzuzare, superzuzare: nuancë lëkure gjysmë e errët, zuzare
🦹🏿‍♀	e ligë, kriminele, nuancë lëkure e errët, superfuqi, superzuzare, superzuzare: nuancë lëkure e errët, zuzare
🦹🏻‍♂	burrë superzuzar, burrë superzuzar: nuancë lëkure e çelët, i lig, kriminel, nuancë lëkure e çelët, superfuqi, zuzar
🦹🏼‍♂	burrë superzuzar, burrë superzuzar: nuancë lëkure gjysmë e çelët, i lig, kriminel, nuancë lëkure gjysmë e çelët, superfuqi, zuzar
🦹🏽‍♂	burrë superzuzar, burrë superzuzar: nuancë lëkure zeshkane, i lig, kriminel, nuancë lëkure zeshkane, superfuqi, zuzar
🦹🏾‍♂	burrë superzuzar, burrë superzuzar: nuancë lëkure gjysmë e errët, i lig, kriminel, nuancë lëkure gjysmë e errët, superfuqi, zuzar
🦹🏿‍♂	burrë superzuzar, burrë superzuzar: nuancë lëkure e errët, i lig, kriminel, nuancë lëkure e errët, superfuqi, zuzar
👶🏻	bebe, bebe: nuancë lëkure e çelët, foshnjë, nuancë lëkure e çelët
👶🏼	bebe, bebe: nuancë lëkure gjysmë e çelët, foshnjë, nuancë lëkure gjysmë e çelët
👶🏽	bebe, bebe: nuancë lëkure zeshkane, foshnjë, nuancë lëkure zeshkane
👶🏾	bebe, bebe: nuancë lëkure gjysmë e errët, foshnjë, nuancë lëkure gjysmë e errët
👶🏿	bebe, bebe: nuancë lëkure e errët, foshnjë, nuancë lëkure e errët
🧒🏻	fëmijë, fëmijë: nuancë lëkure e çelët, minoren, nuancë lëkure e çelët
🧒🏼	fëmijë, fëmijë: nuancë lëkure gjysmë e çelët, minoren, nuancë lëkure gjysmë e çelët
🧒🏽	fëmijë, fëmijë: nuancë lëkure zeshkane, minoren, nuancë lëkure zeshkane
🧒🏾	fëmijë, fëmijë: nuancë lëkure gjysmë e errët, minoren, nuancë lëkure gjysmë e errët
🧒🏿	fëmijë, fëmijë: nuancë lëkure e errët, minoren, nuancë lëkure e errët
👦🏻	djalë, djalë: nuancë lëkure e çelët, mashkull, nuancë lëkure e çelët
👦🏼	djalë, djalë: nuancë lëkure gjysmë e çelët, mashkull, nuancë lëkure gjysmë e çelët
👦🏽	djalë, djalë: nuancë lëkure zeshkane, mashkull, nuancë lëkure zeshkane
👦🏾	djalë, djalë: nuancë lëkure gjysmë e errët, mashkull, nuancë lëkure gjysmë e errët
👦🏿	djalë, djalë: nuancë lëkure e errët, mashkull, nuancë lëkure e errët
👧🏻	nuancë lëkure e çelët, vajzë, vajzë: nuancë lëkure e çelët, virgjëreshë, zodiak
👧🏼	nuancë lëkure gjysmë e çelët, vajzë, vajzë: nuancë lëkure gjysmë e çelët, virgjëreshë, zodiak
👧🏽	nuancë lëkure zeshkane, vajzë, vajzë: nuancë lëkure zeshkane, virgjëreshë, zodiak
👧🏾	nuancë lëkure gjysmë e errët, vajzë, vajzë: nuancë lëkure gjysmë e errët, virgjëreshë, zodiak
👧🏿	nuancë lëkure e errët, vajzë, vajzë: nuancë lëkure e errët, virgjëreshë, zodiak
🧑🏻	adoleshent, adoleshente, e rritur, fëmijë i rritur, fëmijë i rritur: nuancë lëkure e çelët, i rritur, nuancë lëkure e çelët
🧑🏼	adoleshent, adoleshente, e rritur, fëmijë i rritur, fëmijë i rritur: nuancë lëkure gjysmë e çelët, i rritur, nuancë lëkure gjysmë e çelët
🧑🏽	adoleshent, adoleshente, e rritur, fëmijë i rritur, fëmijë i rritur: nuancë lëkure zeshkane, i rritur, nuancë lëkure zeshkane
