🦵🏻	உதை, கால், கால்: வகை 1–2, மூட்டு, வகை 1–2
🦵🏼	உதை, கால், கால்: வகை 3, மூட்டு, வகை 3
🦵🏽	உதை, கால், கால்: வகை 4, மூட்டு, வகை 4
🦵🏾	உதை, கால், கால்: வகை 5, மூட்டு, வகை 5
🦵🏿	உதை, கால், கால்: வகை 6, மூட்டு, வகை 6
🦶🏻	உதை, பாதம், பாதம்: வகை 1–2, மிதி, வகை 1–2
🦶🏼	உதை, பாதம், பாதம்: வகை 3, மிதி, வகை 3
🦶🏽	உதை, பாதம், பாதம்: வகை 4, மிதி, வகை 4
🦶🏾	உதை, பாதம், பாதம்: வகை 5, மிதி, வகை 5
🦶🏿	உதை, பாதம், பாதம்: வகை 6, மிதி, வகை 6
🦸🏻	சூப்பர்பவர், சூப்பர்ஹீரோ, சூப்பர்ஹீரோ: வகை 1–2, நல்லவர், வகை 1–2, ஹீரோ, ஹீரோயின்
🦸🏼	சூப்பர்பவர், சூப்பர்ஹீரோ, சூப்பர்ஹீரோ: வகை 3, நல்லவர், வகை 3, ஹீரோ, ஹீரோயின்
🦸🏽	சூப்பர்பவர், சூப்பர்ஹீரோ, சூப்பர்ஹீரோ: வகை 4, நல்லவர், வகை 4, ஹீரோ, ஹீரோயின்
🦸🏾	சூப்பர்பவர், சூப்பர்ஹீரோ, சூப்பர்ஹீரோ: வகை 5, நல்லவர், வகை 5, ஹீரோ, ஹீரோயின்
🦸🏿	சூப்பர்பவர், சூப்பர்ஹீரோ, சூப்பர்ஹீரோ: வகை 6, நல்லவர், வகை 6, ஹீரோ, ஹீரோயின்
🦸🏻‍♀	சூப்பர்பவர், நல்லவர், பெண், பெண் சூப்பர் ஹீரோ, பெண் சூப்பர் ஹீரோ: வகை 1–2, வகை 1–2, ஹீரோ, ஹீரோயின்
🦸🏼‍♀	சூப்பர்பவர், நல்லவர், பெண், பெண் சூப்பர் ஹீரோ, பெண் சூப்பர் ஹீரோ: வகை 3, வகை 3, ஹீரோ, ஹீரோயின்
🦸🏽‍♀	சூப்பர்பவர், நல்லவர், பெண், பெண் சூப்பர் ஹீரோ, பெண் சூப்பர் ஹீரோ: வகை 4, வகை 4, ஹீரோ, ஹீரோயின்
🦸🏾‍♀	சூப்பர்பவர், நல்லவர், பெண், பெண் சூப்பர் ஹீரோ, பெண் சூப்பர் ஹீரோ: வகை 5, வகை 5, ஹீரோ, ஹீரோயின்
🦸🏿‍♀	சூப்பர்பவர், நல்லவர், பெண், பெண் சூப்பர் ஹீரோ, பெண் சூப்பர் ஹீரோ: வகை 6, வகை 6, ஹீரோ, ஹீரோயின்
🦸🏻‍♂	ஆண், ஆண் சூப்பர் ஹீரோ, ஆண் சூப்பர் ஹீரோ: வகை 1–2, சூப்பர்பவர், நல்லவர், வகை 1–2, ஹீரோ
🦸🏼‍♂	ஆண், ஆண் சூப்பர் ஹீரோ, ஆண் சூப்பர் ஹீரோ: வகை 3, சூப்பர்பவர், நல்லவர், வகை 3, ஹீரோ
🦸🏽‍♂	ஆண், ஆண் சூப்பர் ஹீரோ, ஆண் சூப்பர் ஹீரோ: வகை 4, சூப்பர்பவர், நல்லவர், வகை 4, ஹீரோ
🦸🏾‍♂	ஆண், ஆண் சூப்பர் ஹீரோ, ஆண் சூப்பர் ஹீரோ: வகை 5, சூப்பர்பவர், நல்லவர், வகை 5, ஹீரோ
🦸🏿‍♂	ஆண், ஆண் சூப்பர் ஹீரோ, ஆண் சூப்பர் ஹீரோ: வகை 6, சூப்பர்பவர், நல்லவர், வகை 6, ஹீரோ
🦹🏻	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லன், சூப்பர் வில்லன்: வகை 1–2, தீயவர், வகை 1–2, வில்லன்
🦹🏼	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லன், சூப்பர் வில்லன்: வகை 3, தீயவர், வகை 3, வில்லன்
🦹🏽	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லன், சூப்பர் வில்லன்: வகை 4, தீயவர், வகை 4, வில்லன்
🦹🏾	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லன், சூப்பர் வில்லன்: வகை 5, தீயவர், வகை 5, வில்லன்
🦹🏿	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லன், சூப்பர் வில்லன்: வகை 6, தீயவர், வகை 6, வில்லன்
🦹🏻‍♀	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லி, சூப்பர் வில்லி: வகை 1–2, தீயவர், வகை 1–2, வில்லன், வில்லி
🦹🏼‍♀	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லி, சூப்பர் வில்லி: வகை 3, தீயவர், வகை 3, வில்லன், வில்லி
🦹🏽‍♀	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லி, சூப்பர் வில்லி: வகை 4, தீயவர், வகை 4, வில்லன், வில்லி
🦹🏾‍♀	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லி, சூப்பர் வில்லி: வகை 5, தீயவர், வகை 5, வில்லன், வில்லி
🦹🏿‍♀	குற்றவாளி, சூப்பர் பவர், சூப்பர் வில்லி, சூப்பர் வில்லி: வகை 6, தீயவர், வகை 6, வில்லன், வில்லி
🦹🏻‍♂	ஆண், ஆண் சூப்பர் வில்லன், ஆண் சூப்பர் வில்லன்: வகை 1–2, குற்றவாளி, சூப்பர் பவர், தீயவர், வகை 1–2, வில்லன்
🦹🏼‍♂	ஆண், ஆண் சூப்பர் வில்லன், ஆண் சூப்பர் வில்லன்: வகை 3, குற்றவாளி, சூப்பர் பவர், தீயவர், வகை 3, வில்லன்
🦹🏽‍♂	ஆண், ஆண் சூப்பர் வில்லன், ஆண் சூப்பர் வில்லன்: வகை 4, குற்றவாளி, சூப்பர் பவர், தீயவர், வகை 4, வில்லன்
🦹🏾‍♂	ஆண், ஆண் சூப்பர் வில்லன், ஆண் சூப்பர் வில்லன்: வகை 5, குற்றவாளி, சூப்பர் பவர், தீயவர், வகை 5, வில்லன்
🦹🏿‍♂	ஆண், ஆண் சூப்பர் வில்லன், ஆண் சூப்பர் வில்லன்: வகை 6, குற்றவாளி, சூப்பர் பவர், தீயவர், வகை 6, வில்லன்
👶🏻	குட்டிப்பாப்பா, குட்டிப்பையன், குழந்தை, குழந்தை: வகை 1–2, பாப்பா, மக்கள், வகை 1–2
👶🏼	குட்டிப்பாப்பா, குட்டிப்பையன், குழந்தை, குழந்தை: வகை 3, பாப்பா, மக்கள், வகை 3
👶🏽	குட்டிப்பாப்பா, குட்டிப்பையன், குழந்தை, குழந்தை: வகை 4, பாப்பா, மக்கள், வகை 4
👶🏾	குட்டிப்பாப்பா, குட்டிப்பையன், குழந்தை, குழந்தை: வகை 5, பாப்பா, மக்கள், வகை 5
👶🏿	குட்டிப்பாப்பா, குட்டிப்பையன், குழந்தை, குழந்தை: வகை 6, பாப்பா, மக்கள், வகை 6
🧒🏻	குழந்தை, சிறு குழந்தை, சிறு குழந்தை: வகை 1–2, மழலை, வகை 1–2
🧒🏼	குழந்தை, சிறு குழந்தை, சிறு குழந்தை: வகை 3, மழலை, வகை 3
🧒🏽	குழந்தை, சிறு குழந்தை, சிறு குழந்தை: வகை 4, மழலை, வகை 4
🧒🏾	குழந்தை, சிறு குழந்தை, சிறு குழந்தை: வகை 5, மழலை, வகை 5
🧒🏿	குழந்தை, சிறு குழந்தை, சிறு குழந்தை: வகை 6, மழலை, வகை 6
👦🏻	ஆடவர், ஆண், சிறுவன், சிறுவன்: வகை 1–2, பையன், மக்கள், வகை 1–2
👦🏼	ஆடவர், ஆண், சிறுவன், சிறுவன்: வகை 3, பையன், மக்கள், வகை 3
👦🏽	ஆடவர், ஆண், சிறுவன், சிறுவன்: வகை 4, பையன், மக்கள், வகை 4
👦🏾	ஆடவர், ஆண், சிறுவன், சிறுவன்: வகை 5, பையன், மக்கள், வகை 5
👦🏿	ஆடவர், ஆண், சிறுவன், சிறுவன்: வகை 6, பையன், மக்கள், வகை 6
👧🏻	இளம் பெண், சிறுமி, சிறுமி: வகை 1–2, பெண், பொண்ணு, மக்கள், வகை 1–2
👧🏼	இளம் பெண், சிறுமி, சிறுமி: வகை 3, பெண், பொண்ணு, மக்கள், வகை 3
👧🏽	இளம் பெண், சிறுமி, சிறுமி: வகை 4, பெண், பொண்ணு, மக்கள், வகை 4
