🦵🏻	kili hinehina, vaʻe, vaʻe: kili hinehina
🦵🏼	kili kelokelo, vaʻe, vaʻe: kili kelokelo
🦵🏽	kili melomelo, vaʻe, vaʻe: kili melomelo
🦵🏾	kili melomelo-ʻuliʻuli, vaʻe, vaʻe: kili melomelo-ʻuliʻuli
🦵🏿	kili ʻuliʻuli, vaʻe, vaʻe: kili ʻuliʻuli
🦶🏻	kili hinehina, lauʻivaʻe, lauʻivaʻe: kili hinehina
🦶🏼	kili kelokelo, lauʻivaʻe, lauʻivaʻe: kili kelokelo
🦶🏽	kili melomelo, lauʻivaʻe, lauʻivaʻe: kili melomelo
🦶🏾	kili melomelo-ʻuliʻuli, lauʻivaʻe, lauʻivaʻe: kili melomelo-ʻuliʻuli
🦶🏿	kili ʻuliʻuli, lauʻivaʻe, lauʻivaʻe: kili ʻuliʻuli
🦸🏻	kili hinehina, toʻa, toʻa: kili hinehina
🦸🏼	kili kelokelo, toʻa, toʻa: kili kelokelo
🦸🏽	kili melomelo, toʻa, toʻa: kili melomelo
🦸🏾	kili melomelo-ʻuliʻuli, toʻa, toʻa: kili melomelo-ʻuliʻuli
🦸🏿	kili ʻuliʻuli, toʻa, toʻa: kili ʻuliʻuli
🦸🏻‍♀	fefine toʻa, fefine toʻa: kili hinehina, kili hinehina
🦸🏼‍♀	fefine toʻa, fefine toʻa: kili kelokelo, kili kelokelo
🦸🏽‍♀	fefine toʻa, fefine toʻa: kili melomelo, kili melomelo
🦸🏾‍♀	fefine toʻa, fefine toʻa: kili melomelo-ʻuliʻuli, kili melomelo-ʻuliʻuli
🦸🏿‍♀	fefine toʻa, fefine toʻa: kili ʻuliʻuli, kili ʻuliʻuli
🦸🏻‍♂	kili hinehina, tangata toʻa, tangata toʻa: kili hinehina
🦸🏼‍♂	kili kelokelo, tangata toʻa, tangata toʻa: kili kelokelo
🦸🏽‍♂	kili melomelo, tangata toʻa, tangata toʻa: kili melomelo
🦸🏾‍♂	kili melomelo-ʻuliʻuli, tangata toʻa, tangata toʻa: kili melomelo-ʻuliʻuli
🦸🏿‍♂	kili ʻuliʻuli, tangata toʻa, tangata toʻa: kili ʻuliʻuli
🦹🏻	kili hinehina, tokotaha kākā, tokotaha kākā: kili hinehina
🦹🏼	kili kelokelo, tokotaha kākā, tokotaha kākā: kili kelokelo
🦹🏽	kili melomelo, tokotaha kākā, tokotaha kākā: kili melomelo
🦹🏾	kili melomelo-ʻuliʻuli, tokotaha kākā, tokotaha kākā: kili melomelo-ʻuliʻuli
🦹🏿	kili ʻuliʻuli, tokotaha kākā, tokotaha kākā: kili ʻuliʻuli
🦹🏻‍♀	fefine kākā, fefine kākā: kili hinehina, kili hinehina
🦹🏼‍♀	fefine kākā, fefine kākā: kili kelokelo, kili kelokelo
🦹🏽‍♀	fefine kākā, fefine kākā: kili melomelo, kili melomelo
🦹🏾‍♀	fefine kākā, fefine kākā: kili melomelo-ʻuliʻuli, kili melomelo-ʻuliʻuli
🦹🏿‍♀	fefine kākā, fefine kākā: kili ʻuliʻuli, kili ʻuliʻuli
🦹🏻‍♂	kili hinehina, tangata kākā, tangata kākā: kili hinehina
🦹🏼‍♂	kili kelokelo, tangata kākā, tangata kākā: kili kelokelo
🦹🏽‍♂	kili melomelo, tangata kākā, tangata kākā: kili melomelo
🦹🏾‍♂	kili melomelo-ʻuliʻuli, tangata kākā, tangata kākā: kili melomelo-ʻuliʻuli
🦹🏿‍♂	kili ʻuliʻuli, tangata kākā, tangata kākā: kili ʻuliʻuli
👶🏻	kili hinehina, valevale, valevale: kili hinehina
👶🏼	kili kelokelo, valevale, valevale: kili kelokelo
👶🏽	kili melomelo, valevale, valevale: kili melomelo
👶🏾	kili melomelo-ʻuliʻuli, valevale, valevale: kili melomelo-ʻuliʻuli
👶🏿	kili ʻuliʻuli, valevale, valevale: kili ʻuliʻuli
🧒🏻	fānau, fānau: kili hinehina, kili hinehina
🧒🏼	fānau, fānau: kili kelokelo, kili kelokelo
🧒🏽	fānau, fānau: kili melomelo, kili melomelo
🧒🏾	fānau, fānau: kili melomelo-ʻuliʻuli, kili melomelo-ʻuliʻuli
🧒🏿	fānau, fānau: kili ʻuliʻuli, kili ʻuliʻuli
👦🏻	kili hinehina, tamasiʻi, tamasiʻi: kili hinehina
👦🏼	kili kelokelo, tamasiʻi, tamasiʻi: kili kelokelo
👦🏽	kili melomelo, tamasiʻi, tamasiʻi: kili melomelo
👦🏾	kili melomelo-ʻuliʻuli, tamasiʻi, tamasiʻi: kili melomelo-ʻuliʻuli
👦🏿	kili ʻuliʻuli, tamasiʻi, tamasiʻi: kili ʻuliʻuli
👧🏻	kili hinehina, taʻahine, taʻahine: kili hinehina
👧🏼	kili kelokelo, taʻahine, taʻahine: kili kelokelo
👧🏽	kili melomelo, taʻahine, taʻahine: kili melomelo
👧🏾	kili melomelo-ʻuliʻuli, taʻahine, taʻahine: kili melomelo-ʻuliʻuli
👧🏿	kili ʻuliʻuli, taʻahine, taʻahine: kili ʻuliʻuli
🧑🏻	kakai lalahi, kakai lalahi: kili hinehina, kili hinehina
🧑🏼	kakai lalahi, kakai lalahi: kili kelokelo, kili kelokelo
🧑🏽	kakai lalahi, kakai lalahi: kili melomelo, kili melomelo
🧑🏾	kakai lalahi, kakai lalahi: kili melomelo-ʻuliʻuli, kili melomelo-ʻuliʻuli
🧑🏿	kakai lalahi, kakai lalahi: kili ʻuliʻuli, kili ʻuliʻuli
👨🏻	kili hinehina, tangata, tangata: kili hinehina
👨🏼	kili kelokelo, tangata, tangata: kili kelokelo
👨🏽	kili melomelo, tangata, tangata: kili melomelo
👨🏾	kili melomelo-ʻuliʻuli, tangata, tangata: kili melomelo-ʻuliʻuli
👨🏿	kili ʻuliʻuli, tangata, tangata: kili ʻuliʻuli
👨‍🦰	tangata, tangata: ʻulu kulokula, ʻulu kulokula
👨🏻‍🦰	kili hinehina, tangata, tangata: kili hinehina mo e ʻulu kulokula, ʻulu kulokula
👨🏼‍🦰	kili kelokelo, tangata, tangata: kili kelokelo mo e ʻulu kulokula, ʻulu kulokula
👨🏽‍🦰	kili melomelo, tangata, tangata: kili melomelo mo e ʻulu kulokula, ʻulu kulokula
👨🏾‍🦰	kili melomelo-ʻuliʻuli, tangata, tangata: kili melomelo-ʻuliʻuli mo e ʻulu kulokula, ʻulu kulokula
👨🏿‍🦰	kili ʻuliʻuli, tangata, tangata: kili ʻuliʻuli mo e ʻulu kulokula, ʻulu kulokula
👨‍🦱	tangata, tangata: ʻulu mingimingi, ʻulu mingimingi
👨🏻‍🦱	kili hinehina, tangata, tangata: kili hinehina mo e ʻulu mingimingi, ʻulu mingimingi
👨🏼‍🦱	kili kelokelo, tangata, tangata: kili kelokelo mo e ʻulu mingimingi, ʻulu mingimingi
👨🏽‍🦱	kili melomelo, tangata, tangata: kili melomelo mo e ʻulu mingimingi, ʻulu mingimingi
👨🏾‍🦱	kili melomelo-ʻuliʻuli, tangata, tangata: kili melomelo-ʻuliʻuli mo e ʻulu mingimingi, ʻulu mingimingi
👨🏿‍🦱	kili ʻuliʻuli, tangata, tangata: kili ʻuliʻuli mo e ʻulu mingimingi, ʻulu mingimingi
👨‍🦲	tangata, tangata: ʻulu tula, ʻulu tula
👨🏻‍🦲	kili hinehina, tangata, tangata: kili hinehina mo e ʻulu tula, ʻulu tula
👨🏼‍🦲	kili kelokelo, tangata, tangata: kili kelokelo mo e ʻulu tula, ʻulu tula
👨🏽‍🦲	kili melomelo, tangata, tangata: kili melomelo mo e ʻulu tula, ʻulu tula
👨🏾‍🦲	kili melomelo-ʻuliʻuli, tangata, tangata: kili melomelo-ʻuliʻuli mo e ʻulu tula, ʻulu tula
👨🏿‍🦲	kili ʻuliʻuli, tangata, tangata: kili ʻuliʻuli mo e ʻulu tula, ʻulu tula
👨‍🦳	tangata, tangata: ʻulu hinā, ʻulu hinā
👨🏻‍🦳	kili hinehina, tangata, tangata: kili hinehina mo e ʻulu hinā, ʻulu hinā
👨🏼‍🦳	kili kelokelo, tangata, tangata: kili kelokelo mo e ʻulu hinā, ʻulu hinā
👨🏽‍🦳	kili melomelo, tangata, tangata: kili melomelo mo e ʻulu hinā, ʻulu hinā
👨🏾‍🦳	kili melomelo-ʻuliʻuli, tangata, tangata: kili melomelo-ʻuliʻuli mo e ʻulu hinā, ʻulu hinā
👨🏿‍🦳	kili ʻuliʻuli, tangata, tangata: kili ʻuliʻuli mo e ʻulu hinā, ʻulu hinā
👩🏻	fefine, fefine: kili hinehina, kili hinehina
👩🏼	fefine, fefine: kili kelokelo, kili kelokelo
👩🏽	fefine, fefine: kili melomelo, kili melomelo
👩🏾	fefine, fefine: kili melomelo-ʻuliʻuli, kili melomelo-ʻuliʻuli
👩🏿	fefine, fefine: kili ʻuliʻuli, kili ʻuliʻuli
👩‍🦰	fefine, fefine: ʻulu kulokula, ʻulu kulokula
👩🏻‍🦰	fefine, fefine: kili hinehina mo e ʻulu kulokula, kili hinehina, ʻulu kulokula
👩🏼‍🦰	fefine, fefine: kili kelokelo mo e ʻulu kulokula, kili kelokelo, ʻulu kulokula
👩🏽‍🦰	fefine, fefine: kili melomelo mo e ʻulu kulokula, kili melomelo, ʻulu kulokula
👩🏾‍🦰	fefine, fefine: kili melomelo-ʻuliʻuli mo e ʻulu kulokula, kili melomelo-ʻuliʻuli, ʻulu kulokula
👩🏿‍🦰	fefine, fefine: kili ʻuliʻuli mo e ʻulu kulokula, kili ʻuliʻuli, ʻulu kulokula
👩‍🦱	fefine, fefine: ʻulu mingimingi, ʻulu mingimingi
