🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
🦵🏼	جلد کی درمیانی -ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی درمیانی -ہلکی رنگت, ٹھوکر
🦵🏽	جلد کی درمیانی رنگت, عضو, ٹانگ, ٹانگ: جلد کی درمیانی رنگت, ٹھوکر
🦵🏾	جلد کی درمیانی سیاہ رنگت, عضو, ٹانگ, ٹانگ: جلد کی درمیانی سیاہ رنگت, ٹھوکر
🦵🏿	جلد کی سیاہ رنگت, عضو, ٹانگ, ٹانگ: جلد کی سیاہ رنگت, ٹھوکر
🦶🏻	جلد کی ہلکی رنگت, ٹھوکر, پاؤں, پاؤں مارنا, پاؤں: جلد کی ہلکی رنگت
🦶🏼	جلد کی درمیانی -ہلکی رنگت, ٹھوکر, پاؤں, پاؤں مارنا, پاؤں: جلد کی درمیانی -ہلکی رنگت
🦶🏽	جلد کی درمیانی رنگت, ٹھوکر, پاؤں, پاؤں مارنا, پاؤں: جلد کی درمیانی رنگت
🦶🏾	جلد کی درمیانی سیاہ رنگت, ٹھوکر, پاؤں, پاؤں مارنا, پاؤں: جلد کی درمیانی سیاہ رنگت
🦶🏿	جلد کی سیاہ رنگت, ٹھوکر, پاؤں, پاؤں مارنا, پاؤں: جلد کی سیاہ رنگت
🦸🏻	اچھا, جلد کی ہلکی رنگت, سپر پاور, سپر ہیرو, سپر ہیرو: جلد کی ہلکی رنگت, ہیرو, ہیروئن
🦸🏼	اچھا, جلد کی درمیانی -ہلکی رنگت, سپر پاور, سپر ہیرو, سپر ہیرو: جلد کی درمیانی -ہلکی رنگت, ہیرو, ہیروئن
🦸🏽	اچھا, جلد کی درمیانی رنگت, سپر پاور, سپر ہیرو, سپر ہیرو: جلد کی درمیانی رنگت, ہیرو, ہیروئن
🦸🏾	اچھا, جلد کی درمیانی سیاہ رنگت, سپر پاور, سپر ہیرو, سپر ہیرو: جلد کی درمیانی سیاہ رنگت, ہیرو, ہیروئن
