🦵🏻	1–2-teri turi, oyoq, oyoq: 1–2-teri turi, son, tepish
🦵🏼	3-teri turi, oyoq, oyoq: 3-teri turi, son, tepish
🦵🏽	4-teri turi, oyoq, oyoq: 4-teri turi, son, tepish
🦵🏾	5-teri turi, oyoq, oyoq: 5-teri turi, son, tepish
🦵🏿	6-teri turi, oyoq, oyoq: 6-teri turi, son, tepish
🦶🏻	1–2-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 1–2-teri turi
🦶🏼	3-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 3-teri turi
🦶🏽	4-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 4-teri turi
🦶🏾	5-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 5-teri turi
🦶🏿	6-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 6-teri turi
🦸🏻	1–2-teri turi, qahramon, superkuch, supermen, superqahramon, superqahramon: 1–2-teri turi, zo‘r
🦸🏼	3-teri turi, qahramon, superkuch, supermen, superqahramon, superqahramon: 3-teri turi, zo‘r
🦸🏽	4-teri turi, qahramon, superkuch, supermen, superqahramon, superqahramon: 4-teri turi, zo‘r
🦸🏾	5-teri turi, qahramon, superkuch, supermen, superqahramon, superqahramon: 5-teri turi, zo‘r
🦸🏿	6-teri turi, qahramon, superkuch, supermen, superqahramon, superqahramon: 6-teri turi, zo‘r
🦸🏻‍♀	1–2-teri turi, ayol, ayol superqahramon, ayol superqahramon: 1–2-teri turi, qahramon, superkuch, zo‘r
🦸🏼‍♀	3-teri turi, ayol, ayol superqahramon, ayol superqahramon: 3-teri turi, qahramon, superkuch, zo‘r
🦸🏽‍♀	4-teri turi, ayol, ayol superqahramon, ayol superqahramon: 4-teri turi, qahramon, superkuch, zo‘r
🦸🏾‍♀	5-teri turi, ayol, ayol superqahramon, ayol superqahramon: 5-teri turi, qahramon, superkuch, zo‘r
🦸🏿‍♀	6-teri turi, ayol, ayol superqahramon, ayol superqahramon: 6-teri turi, qahramon, superkuch, zo‘r
🦸🏻‍♂	1–2-teri turi, erkak qahramon, erkak qahramon: 1–2-teri turi, qahramon, superkuch, supermen, zo‘r
🦸🏼‍♂	3-teri turi, erkak qahramon, erkak qahramon: 3-teri turi, qahramon, superkuch, supermen, zo‘r
🦸🏽‍♂	4-teri turi, erkak qahramon, erkak qahramon: 4-teri turi, qahramon, superkuch, supermen, zo‘r
🦸🏾‍♂	5-teri turi, erkak qahramon, erkak qahramon: 5-teri turi, qahramon, superkuch, supermen, zo‘r
🦸🏿‍♂	6-teri turi, erkak qahramon, erkak qahramon: 6-teri turi, qahramon, superkuch, supermen, zo‘r
🦹🏻	1–2-teri turi, jinoyat, salbiy qahramon, salbiy superqahramon, salbiy superqahramon: 1–2-teri turi, superkuch, yovuz, yovuzlik
🦹🏼	3-teri turi, jinoyat, salbiy qahramon, salbiy superqahramon, salbiy superqahramon: 3-teri turi, superkuch, yovuz, yovuzlik
🦹🏽	4-teri turi, jinoyat, salbiy qahramon, salbiy superqahramon, salbiy superqahramon: 4-teri turi, superkuch, yovuz, yovuzlik
🦹🏾	5-teri turi, jinoyat, salbiy qahramon, salbiy superqahramon, salbiy superqahramon: 5-teri turi, superkuch, yovuz, yovuzlik
🦹🏿	6-teri turi, jinoyat, salbiy qahramon, salbiy superqahramon, salbiy superqahramon: 6-teri turi, superkuch, yovuz, yovuzlik
🦹🏻‍♀	1–2-teri turi, jinoyat, salbiy ayol superqahramon, salbiy ayol superqahramon: 1–2-teri turi, salbiy qahramon, superkuch, yovuz, yovuzlik
🦹🏼‍♀	3-teri turi, jinoyat, salbiy ayol superqahramon, salbiy ayol superqahramon: 3-teri turi, salbiy qahramon, superkuch, yovuz, yovuzlik
🦹🏽‍♀	4-teri turi, jinoyat, salbiy ayol superqahramon, salbiy ayol superqahramon: 4-teri turi, salbiy qahramon, superkuch, yovuz, yovuzlik
