🏻	loại 1–2, màu da, màu da sáng
🏼	loại 3, màu da, màu da sáng trung bình
🏽	loại 4, màu da, màu da trung bình
🏾	loại 5, màu da, màu da tối trung bình
🏿	loại 6, màu da, màu da tối
😀	mặt, mặt cười toét, toe toét
😁	cười, mắt, mặt, mặt cười toét mắt cười, toe toét
😂	cười, mặt, mặt cười với nước mắt vui sướng, nước mắt, vui sướng
🤣	cười, lăn, mặt, mặt cười lăn cười bò, sàn
😃	cười, miệng, mặt, mặt cười miệng há với mắt to, mặt cười tươi với hai mắt mở to, mở
😄	cười, miệng, mắt, mặt, mặt cười miệng há mắt cười, mở
😅	cười, lạnh, mặt, mặt cười miệng há mồ hôi, mồ hôi, mở
😆	cười, cười to, hài lòng, miệng, mặt, mặt cười miệng há mắt nhắm chặt
😉	mặt, mặt nháy mắt, nháy mắt
😊	cười, mắt, mặt, mặt mỉm cười với hai mắt híp lại, đỏ mặt
😋	cười, mặt, mặt thưởng thức món ngon, ngon, ngon tuyệt, thưởng thức
😎	kính, mặt, mặt cười đeo kính, mặt trời, phong cách, sáng
😍	cười, mắt, mặt, mặt cười mắt hình trái tim, yêu
😘	hôn, mặt, mặt đang hôn gió
🥰	mặt cười với 3 trái tim, phải lòng, yêu, yêu quý
😗	hôn, mặt, mặt hôn
😙	cười, hôn, mắt, mặt, mặt hôn mắt cười
😚	hôn, mắt, mặt, mặt hôn mắt nhắm, nhắm
🙂	cười, mặt, mặt cười mỉm
🤗	mặt, mặt ôm, ôm
🤩	cười toét, mắt, mặt, ngôi sao, ngưỡng mộ
🤔	mặt, mặt suy nghĩ, đang suy nghĩ
🤨	hoài nghi, mặt với lông mày rướn lên, ngờ vực
😑	không diễn cảm, mặt, mặt vô cảm, thản nhiên, vô cảm
😶	miệng, mặt, mặt không có miệng, yên lặng, ít nói
🙄	mắt, mặt, mặt có mắt đu đưa, đu đưa
😏	cười khẩy, mặt, mặt cười khẩy
😣	kiên nhẫn, mặt, mặt kiên nhẫn
😥	mặt, mặt thất vọng nhưng nhẹ nhõm, ngạc nhiên, nhẹ nhõm, thất vọng
😮	miệng, mặt, mặt có miệng há, mở, thông cảm
🤐	khóa kéo, miệng, mặt, mặt có miệng bị kéo khóa
😯	choáng váng, làm thinh, mặt, mặt làm thinh, ngạc nhiên
😪	buồn ngủ, mặt, mặt buồn ngủ
😫	mặt, mặt mệt mỏi, mệt mỏi
😴	mặt, mặt đang ngủ, ngủ, zzz
😌	mặt, mặt nhẹ nhõm, nhẹ nhõm
😛	lưỡi, mặt, mặt lè lưỡi
😜	lưỡi, mắt, mặt, mặt lè lưỡi nháy mắt, nháy mắt, nói đùa
😝	hương vị, kinh khủng, lưỡi, mắt, mặt, mặt thè lưỡi mắt nhắm chặt
🤤	chảy dãi, mặt, mặt chảy dãi
😒	buồn, không vui, mặt, mặt buồn
😓	lạnh, mặt, mặt chán nản với mồ hôi, mồ hôi
😔	mặt, mặt trầm ngâm, thất vọng, trầm ngâm
😕	bối rối, mặt, mặt bối rối
🙃	lộn ngược, mặt, mặt lộn ngược
🤑	miệng, mặt, mặt có tiền ở miệng, tiền
😲	hoàn toàn, kinh ngạc, mặt, mặt kinh ngạc, sốc
🙁	cau mày, mặt, mặt hơi cau mày
😖	mặt, mặt xấu hổ, xấu hổ
😞	mặt, mặt thất vọng, thất vọng
😟	lo lắng, mặt, mặt lo lắng
😤	chiến thắng, hân hoan, mặt, mặt có mũi đang phì hơi
😢	buồn, khóc, mặt, mặt khóc, nước mắt
😭	buồn, khóc, mặt, mặt khóc to, nước mắt, thổn thức
😦	miệng, mặt, mặt cau miệng há, mở, nhăn mặt
😧	mặt, mặt đau khổ, đau khổ
😨	kinh hãi, mặt, mặt sợ hãi, sợ, sợ hãi
😩	kiệt sức, mặt, mặt kiệt sức, mệt mỏi
🤯	bị sốc, đầu nổ tung
😬	mặt, mặt nhăn nhó, nhăn nhó
😰	lạnh, mặt, mặt lo lắng và toát mồ hôi, mặt lo lắng và toát mồ hôi mồ hôi, vội vã, xanh da trời
😱	kinh sợ, la hét, mặt, mặt la hét kinh hãi, sợ, sợ hãi
🥵	mặt nóng, nóng, sốc nhiệt, sốt, đỏ mặt, đổ mồ hôi
🥶	lạnh, lạnh cứng, mặt lạnh, mặt xanh, tê cóng, đóng băng
