‾	apɔju
‸	itɔju
😀	Ojú tó rɛ́rìn, fɛyín, ojú
😃	Ojú tó rɛ́rìn Pɛ̀lú Ɛnu Lílà sílɛ̀, ojú, rɛ́rìń músɛ́, shí, ɛnu
😄	ojú, ojú tó ń rɛ́rìń músɛ́ pɛ̀lú ɛnu lílà sílɛ̀ àti ɛyinjú tó ń rkrìń músɛ́, rɛ́rìń músɛ́, shí, ɛnu, ɛyinjú
😁	Ojú tó fɛyín pɛ̀lú Ɛyinjú tó rɛ́rìn músɛ́, fɛyín, ojú, rɛ́rìn músɛ́, ɛyinjú
😆	ojú, ojú tó ń rɛ́rìń músɛ́ pɛ̀lú ɛnu lílà sílɛ̀ àti òógùn tútù, rɛ́rìń músɛ́, ìtɛ́larùn, ɛnu, ɛ̀rín
😅	ojú, ojú tó ń rɛ́rìń pɛ̀lú ɛnu lílà sílɛ̀ àti òógùn, rɛ́rìń músɛ́, shí, òtútù, òógùn
🤣	Yíyí ní ilɛ̀nlɛ̀ tún rɛ́rìn, ilɛ̀, ojú, rɛ́rìń, yíyí
😂	Ojú pɛ̀lú ɛkún ayɔ̀, ojú, àyɔ̀, ɛkún, ɛ̀rín
🙂	Oju Ti O N Rɛrin Mushɛn, ojú, rɛ́rín músɛ́
🙃	Oju Ti O Rɔ walɛ, dojú kodò, ojú
😉	Ojú tó shɛ́jù, ojú, shɛ́jú
😊	Ojú tó rɛ́rìn Músɛ́ Pɛ̀lú Ɛyinjú tó rɛ́rìn Músɛ́, ojú, rɛ́rìń músɛ́, rɛ́rìń ìtìjù, ɛyinjú
😇	Oju Ɛrin Ati Bawo, aláìshɛ̀, báwo, ojú, rɛ́rìn músɛ́, àla fú ɔmɔdé, àlá, àńgɛ́lì
😍	Oju Ti O N Rɛrin Pɛlu awɔn oju Ɔkan, ojú, rɛ́rìn músɛ́, ìfɛ́, ɛyinjú
🤩	Pípa pè̩lú ìràwɔ̀, Rɛ́rìn-ín ìyàlé̩nu, ojú, ìràwɔ̀, ɛyinjú
😘	Oju Ti O N Fɛ Ifɛnuko, ojú, ìfɛnukonu
😗	Ojú tó Fɛnuko ɛnu, ojú, ìfɛnukonu
☺️	ojú, ojú tó ń rɛ́rìń músɛ́, rɛ́rìń músɛ́, ìgbafɛ́, ìlànà
😚	Oju Ti O N Fɛnuko Pɛlu Awɔn Oju didi, ojú, ti padé, ìfɛnukonu, ɛyinjú
😙	Ojú tó Fɛnuko ɛnu Pɛ̀lú Ɛyinjú tɔ rɛ́rìn Músɛ́, ojú, rɛ́rìń músɛ́, ìfɛnukonu, ɛyinjú
😋	Oju Ti O N jɛ Ounjɛ Aladidun, aládídùn, jíjɛ aládídùn, ojú, rɛ́rìń músɛ́, um, yum
😛	Oju Ti Ahɔn Ti O Yɔ Sita, ahɔ́n, ojú
😜	ahɔ́n, ojú, ojú pɛ̀lú ahɔ́n lílà sílɛ̀ àti ɛyinjú tí ń shɛ́jú, shɛ́jú, yɛ̀yɛ́, ɛyinjú
🤪	Nlá, Ojú ashiwèrè, kékeré, ojú
😝	ahɔ́n, burújù, ojú, ojú pɛ̀lú ahɔ́n lílà sílɛ̀ àti ɛyinjú tó padé, ìtɔ́wò, ɛyinjú
🤑	Oju Ɛnu owo, ojú, owó, ɛnu
🤗	fanimɔ́ra, oju Ti O fanimɔra, ojú
🤭	Ikó̩, Ojú tá fɔwɔ́ bo ɛnu
🤫	Ojú tó sùpò̩, dákɛ́, panu mɔ́
🤐	Oju Ɛni Ti A Tipa, ojú, tìpa, ɛnu
🤨	Oníyèméjì, Ìrun ojú ta gbé sókè, àìgbàgbɔ́
😐️	Ojú Ìbíìbí, ojú, àárín, àìpani lɛ́rìń
😑	Oju Ti Ko Fanimɔra, ojú, àìfanimɔ́ra, àìlè sɔ̀rɔ̀, àìlèsɔ̀rɔ̀
😶	Ojú tí kò ní Ɛnu, dáké, ojú, ɛnu
😏	Oju Ɛrin Abosi, ojú, rɛ́rín àbòsí
😒	Oju Aifanimɔra, ojú, àìdunú, àìfanimɔ́ra
🙄	Ojú Pɛ̀lú Ɛyinjú tó yín, ojú, tó yín, àwɔn ɛyinjú
🤥	Oju Irɔ, irɔ́, ojú, onímú gígùn
😔	Oju Ironu, jákulɛ̀, ojú, ìpòruru
🤤	adatɔ, oju adatɔ, ojú
😷	Oju Pɛlu Iboju Ishoogun, dókítà, ojú, otútù, àárɛ̀, ìbòjú, ògùn
🤒	oju pɛlu oshuwɔn igbona, ojú, àárɛ̀, ìlera, òshùwɔ̀n ìgbóná
🤕	Oju Pɛlu Ori ti a de Lɔja, egbò, farapa, ojú, ìdì
🤮	Èébì ajɛmɔ́jú, àìsàn, èébì
🤠	Oju Fila Adaran, adaran, fìlà, obìnrin ɛlɛ́shin, ojú
😎	Oju Ti O N Rɛrin Pɛlu Digi Oju, mɔ́lɛ̀, ojú, rɛ́rìń músɛ́, tutù, àwɔn gílásì, àwɔn gílásì òrùn, ìbojú, òrùn, ɛyinjú
🤓	Oju Ɔmɔwe Ti Ko Jafafa, ojú, ɔ̀mɔ̀wé, ɔ̀mɔ̀wé tí kò jáfáfá
🧐	Ojú tó súnkì, Sítɔ́fì
🙁	Oju Ifajuro Diɛ, fajúro, ojú
😮	Oju Pɛlu Ɛnu Lila, kɛ́dùn, ojú, shí, ɛnu
😯	Oju Idakɛjɛ, dákɛ́jɛ́, ojú, ìyàlɛ́nu
😲	ojú, ojú ìyalɛnu, pátápátá, ìpaláyà, ìyàlɛ́nu
😳	Oju Idunnu, ojú, yàlɛ́nu, ìdùnú
😦	Oju Ti o Faro Pɛlu Ɛnu lila silɛ, fajúro, ojú, shí, ɛnu
😨	Oju Ɛru, ojú, ìbɛ̀rù
😰	búlù, ojú, ojú pɛ̀lú ɛnu lílà sílɛ̀ àti òógùn tútù, shí, sáré, tútù, òógùn, ɛnu
😥	Oju Ijakulɛ Shugbɔn Itura, hmmm, ojú, ìjákulɛ̀, ìtura
😢	Oju Ɛkun, ojú, ìbànújɛ, ɛkún
😭	Oju Ti n Sunkun Gidi, ojú, sunkún, ìbànújɛ, ɛkún
😱	Oju Fifi Ɛru han an, bɛ̀rù, han, jɛ, ojú, ìbɛ̀rù
😞	ojú, ojú ìjakulɛ̀, ìjakulɛ
😓	Oju Pɛlu Ilaagun Tutu, ojú, òtútù, òógùn
😩	Oju Ti o Rɛ̀, ojú, rírɛ̀
😫	Oju Rirɛ, ojú, rírɛ̀
😤	Oju Pɛlu Ikun Nimu, ojú, yege, ìjagunmólú
🤬	bíbúra, Àmì ojú tó rékɔjá ɛnu
😈	Oju Ɛrin Pɛlu Awɔn Iho, ojú, rɛ́rìn músɛ́, àlá, ìtàn ɔmɔdé, ìwo
👿	Oju Ibinu Pɛlu Iho, imp, ojú, àlá, èshù, ìtàn ɔmɔdé, ɛshù
💀	Ipakɔ, abàmì, ikú, ojú, ìtán ɔmɔdé
☠️	ikú, ojú, àwɔn egun àgbélébù, ìpàkɔ́, ìpàkɔ́ àti àwɔn egun àgbélébù
💩	Okiti Igbɛ, abàmì, apanilɛ́rìń, ojú, ìgbɛ́, ògùn
🤡	apanilɛrin, ojú, ojú apanilɛrin
👹	Omiran Ajɛniyan, abàmì, ojú, àlá, ìtàn ɔmɔdé, ɛ̀dá
👺	abàmì, abàmì aràrá, ojú, àlá, ìtàn ɔmɔdé, ɛ̀dá
👻	abàmì, ojú, àlá, ìtàn ɔmɔdé, òkú, ɛ̀dá
👽️	ojú, ufo, àbàmì, àjòjì, àlá, ìtàn ɔmɔdé, ɛ̀dá
👾	ojú, ufo, Àjòjì Abami, àbàmì, àjòjì, àlá, ìtàn ɔmɔdé, ɛ̀dá
🤖	Oju Shigidi, abàmì, ojú, shìgìdì
😺	Oju Arɛrin Ologbo Pɛlu Ɛnu Yiya, ojú, olóngbò, rɛ́rìń músɛ́, shí, ɛnu
😸	Oju Ibinu Ologbo Pɛlu Awɔn Oju Arɛrin, fɛyín, ojú, olóngbò, rɛ́rìn músɛ́
