🦵🏻	淺膚色, 肢, 腳, 腳: 淺膚色, 踢
🦵🏼	中淺膚色, 肢, 腳, 腳: 中淺膚色, 踢
🦵🏽	中膚色, 肢, 腳, 腳: 中膚色, 踢
🦵🏾	中深膚色, 肢, 腳, 腳: 中深膚色, 踢
🦵🏿	深膚色, 肢, 腳, 腳: 深膚色, 踢
🦶🏻	淺膚色, 腳掌, 腳掌: 淺膚色, 踏, 踢
🦶🏼	中淺膚色, 腳掌, 腳掌: 中淺膚色, 踏, 踢
🦶🏽	中膚色, 腳掌, 腳掌: 中膚色, 踏, 踢
🦶🏾	中深膚色, 腳掌, 腳掌: 中深膚色, 踏, 踢
🦶🏿	深膚色, 腳掌, 腳掌: 深膚色, 踏, 踢
🦸🏻	好, 淺膚色, 英雄, 超人, 超人: 淺膚色, 超級
🦸🏼	中淺膚色, 好, 英雄, 超人, 超人: 中淺膚色, 超級
🦸🏽	中膚色, 好, 英雄, 超人, 超人: 中膚色, 超級
🦸🏾	中深膚色, 好, 英雄, 超人, 超人: 中深膚色, 超級
🦸🏿	好, 深膚色, 英雄, 超人, 超人: 深膚色, 超級
🦸🏻‍♀	女, 女超人, 女超人: 淺膚色, 好, 淺膚色, 英雄, 超級
🦸🏼‍♀	中淺膚色, 女, 女超人, 女超人: 中淺膚色, 好, 英雄, 超級
🦸🏽‍♀	中膚色, 女, 女超人, 女超人: 中膚色, 好, 英雄, 超級
🦸🏾‍♀	中深膚色, 女, 女超人, 女超人: 中深膚色, 好, 英雄, 超級
🦸🏿‍♀	女, 女超人, 女超人: 深膚色, 好, 深膚色, 英雄, 超級
🦸🏻‍♂	好, 淺膚色, 男, 男超人, 男超人: 淺膚色, 英雄, 超級
🦸🏼‍♂	中淺膚色, 好, 男, 男超人, 男超人: 中淺膚色, 英雄, 超級
🦸🏽‍♂	中膚色, 好, 男, 男超人, 男超人: 中膚色, 英雄, 超級
🦸🏾‍♂	中深膚色, 好, 男, 男超人, 男超人: 中深膚色, 英雄, 超級
🦸🏿‍♂	好, 深膚色, 男, 男超人, 男超人: 深膚色, 英雄, 超級
🦹🏻	壞人, 淺膚色, 犯罪, 超人, 超級壞人, 超級壞人: 淺膚色, 邪惡
🦹🏼	中淺膚色, 壞人, 犯罪, 超人, 超級壞人, 超級壞人: 中淺膚色, 邪惡
🦹🏽	中膚色, 壞人, 犯罪, 超人, 超級壞人, 超級壞人: 中膚色, 邪惡
🦹🏾	中深膚色, 壞人, 犯罪, 超人, 超級壞人, 超級壞人: 中深膚色, 邪惡
🦹🏿	壞人, 深膚色, 犯罪, 超人, 超級壞人, 超級壞人: 深膚色, 邪惡
🦹🏻‍♀	壞人, 淺膚色, 犯罪, 超人, 超級女壞人, 超級女壞人: 淺膚色, 邪惡｜女
🦹🏼‍♀	中淺膚色, 壞人, 犯罪, 超人, 超級女壞人, 超級女壞人: 中淺膚色, 邪惡｜女
🦹🏽‍♀	中膚色, 壞人, 犯罪, 超人, 超級女壞人, 超級女壞人: 中膚色, 邪惡｜女
🦹🏾‍♀	中深膚色, 壞人, 犯罪, 超人, 超級女壞人, 超級女壞人: 中深膚色, 邪惡｜女
🦹🏿‍♀	壞人, 深膚色, 犯罪, 超人, 超級女壞人, 超級女壞人: 深膚色, 邪惡｜女
🦹🏻‍♂	壞人, 淺膚色, 犯罪, 超人, 超級男壞人, 超級男壞人: 淺膚色, 邪惡｜男
🦹🏼‍♂	中淺膚色, 壞人, 犯罪, 超人, 超級男壞人, 超級男壞人: 中淺膚色, 邪惡｜男
🦹🏽‍♂	中膚色, 壞人, 犯罪, 超人, 超級男壞人, 超級男壞人: 中膚色, 邪惡｜男
🦹🏾‍♂	中深膚色, 壞人, 犯罪, 超人, 超級男壞人, 超級男壞人: 中深膚色, 邪惡｜男
🦹🏿‍♂	壞人, 深膚色, 犯罪, 超人, 超級男壞人, 超級男壞人: 深膚色, 邪惡｜男
👶🏻	嬰兒, 嬰兒: 淺膚色, 年青, 淺膚色
👶🏼	中淺膚色, 嬰兒, 嬰兒: 中淺膚色, 年青
👶🏽	中膚色, 嬰兒, 嬰兒: 中膚色, 年青
👶🏾	中深膚色, 嬰兒, 嬰兒: 中深膚色, 年青
👶🏿	嬰兒, 嬰兒: 深膚色, 年青, 深膚色
🧒🏻	中性, 小童, 小童: 淺膚色, 年青, 淺膚色
🧒🏼	中性, 中淺膚色, 小童, 小童: 中淺膚色, 年青
🧒🏽	中性, 中膚色, 小童, 小童: 中膚色, 年青
🧒🏾	中性, 中深膚色, 小童, 小童: 中深膚色, 年青
🧒🏿	中性, 小童, 小童: 深膚色, 年青, 深膚色
👦🏻	年青, 淺膚色, 男仔, 男仔: 淺膚色
👦🏼	中淺膚色, 年青, 男仔, 男仔: 中淺膚色
👦🏽	中膚色, 年青, 男仔, 男仔: 中膚色
👦🏾	中深膚色, 年青, 男仔, 男仔: 中深膚色
👦🏿	年青, 深膚色, 男仔, 男仔: 深膚色
👧🏻	女仔, 女仔: 淺膚色, 年青, 星座, 淺膚色, 處女
👧🏼	中淺膚色, 女仔, 女仔: 中淺膚色, 年青, 星座, 處女
👧🏽	中膚色, 女仔, 女仔: 中膚色, 年青, 星座, 處女
👧🏾	中深膚色, 女仔, 女仔: 中深膚色, 年青, 星座, 處女
👧🏿	女仔, 女仔: 深膚色, 年青, 星座, 深膚色, 處女
🧑🏻	中性, 成人, 成人: 淺膚色, 淺膚色
🧑🏼	中性, 中淺膚色, 成人, 成人: 中淺膚色
🧑🏽	中性, 中膚色, 成人, 成人: 中膚色
🧑🏾	中性, 中深膚色, 成人, 成人: 中深膚色
🧑🏿	中性, 成人, 成人: 深膚色, 深膚色
👨🏻	淺膚色, 男人, 男人: 淺膚色
👨🏼	中淺膚色, 男人, 男人: 中淺膚色
👨🏽	中膚色, 男人, 男人: 中膚色
👨🏾	中深膚色, 男人, 男人: 中深膚色
👨🏿	深膚色, 男人, 男人: 深膚色
👨‍🦰	男人, 男人: 紅色頭髮, 紅色頭髮
👨🏻‍🦰	淺膚色, 男人, 男人: 淺膚色 紅色頭髮, 紅色頭髮
👨🏼‍🦰	中淺膚色, 男人, 男人: 中淺膚色 紅色頭髮, 紅色頭髮
