🦵🏻	浅肤色, 肢, 腳, 腳: 浅肤色, 踢
🦵🏼	中浅肤色, 肢, 腳, 腳: 中浅肤色, 踢
🦵🏽	中肤色, 肢, 腳, 腳: 中肤色, 踢
🦵🏾	中深肤色, 肢, 腳, 腳: 中深肤色, 踢
🦵🏿	深肤色, 肢, 腳, 腳: 深肤色, 踢
🦶🏻	浅肤色, 腳掌, 腳掌: 浅肤色, 踏, 踢
🦶🏼	中浅肤色, 腳掌, 腳掌: 中浅肤色, 踏, 踢
🦶🏽	中肤色, 腳掌, 腳掌: 中肤色, 踏, 踢
🦶🏾	中深肤色, 腳掌, 腳掌: 中深肤色, 踏, 踢
🦶🏿	深肤色, 腳掌, 腳掌: 深肤色, 踏, 踢
🦸🏻	好, 浅肤色, 英雄, 超人, 超人: 浅肤色, 超級
🦸🏼	中浅肤色, 好, 英雄, 超人, 超人: 中浅肤色, 超級
🦸🏽	中肤色, 好, 英雄, 超人, 超人: 中肤色, 超級
🦸🏾	中深肤色, 好, 英雄, 超人, 超人: 中深肤色, 超級
🦸🏿	好, 深肤色, 英雄, 超人, 超人: 深肤色, 超級
🦸🏻‍♀	女, 女超人, 女超人: 浅肤色, 好, 浅肤色, 英雄, 超級
🦸🏼‍♀	中浅肤色, 女, 女超人, 女超人: 中浅肤色, 好, 英雄, 超級
🦸🏽‍♀	中肤色, 女, 女超人, 女超人: 中肤色, 好, 英雄, 超級
🦸🏾‍♀	中深肤色, 女, 女超人, 女超人: 中深肤色, 好, 英雄, 超級
🦸🏿‍♀	女, 女超人, 女超人: 深肤色, 好, 深肤色, 英雄, 超級
🦸🏻‍♂	好, 浅肤色, 男, 男超人, 男超人: 浅肤色, 英雄, 超級
🦸🏼‍♂	中浅肤色, 好, 男, 男超人, 男超人: 中浅肤色, 英雄, 超級
🦸🏽‍♂	中肤色, 好, 男, 男超人, 男超人: 中肤色, 英雄, 超級
🦸🏾‍♂	中深肤色, 好, 男, 男超人, 男超人: 中深肤色, 英雄, 超級
🦸🏿‍♂	好, 深肤色, 男, 男超人, 男超人: 深肤色, 英雄, 超級
🦹🏻	壞人, 浅肤色, 犯罪, 超人, 超級壞人, 超級壞人: 浅肤色, 邪惡
🦹🏼	中浅肤色, 壞人, 犯罪, 超人, 超級壞人, 超級壞人: 中浅肤色, 邪惡
🦹🏽	中肤色, 壞人, 犯罪, 超人, 超級壞人, 超級壞人: 中肤色, 邪惡
🦹🏾	中深肤色, 壞人, 犯罪, 超人, 超級壞人, 超級壞人: 中深肤色, 邪惡
🦹🏿	壞人, 深肤色, 犯罪, 超人, 超級壞人, 超級壞人: 深肤色, 邪惡
🦹🏻‍♀	壞人, 浅肤色, 犯罪, 超人, 超級女壞人, 超級女壞人: 浅肤色, 邪惡｜女
🦹🏼‍♀	中浅肤色, 壞人, 犯罪, 超人, 超級女壞人, 超級女壞人: 中浅肤色, 邪惡｜女
