🦵🏻	腿, 腿: 较浅肤色, 跛行, 踢, 较浅肤色
🦵🏼	中等-浅肤色, 腿, 腿: 中等-浅肤色, 跛行, 踢
🦵🏽	中等肤色, 腿, 腿: 中等肤色, 跛行, 踢
🦵🏾	中等-深肤色, 腿, 腿: 中等-深肤色, 跛行, 踢
🦵🏿	腿, 腿: 较深肤色, 跛行, 踢, 较深肤色
🦶🏻	脚, 脚: 较浅肤色, 踢, 踩, 较浅肤色
🦶🏼	中等-浅肤色, 脚, 脚: 中等-浅肤色, 踢, 踩
🦶🏽	中等肤色, 脚, 脚: 中等肤色, 踢, 踩
🦶🏾	中等-深肤色, 脚, 脚: 中等-深肤色, 踢, 踩
🦶🏿	脚, 脚: 较深肤色, 踢, 踩, 较深肤色
🦸🏻	女英雄, 好人, 英雄, 超级英雄, 超级英雄: 较浅肤色, 超能力, 较浅肤色
🦸🏼	中等-浅肤色, 女英雄, 好人, 英雄, 超级英雄, 超级英雄: 中等-浅肤色, 超能力
🦸🏽	中等肤色, 女英雄, 好人, 英雄, 超级英雄, 超级英雄: 中等肤色, 超能力
🦸🏾	中等-深肤色, 女英雄, 好人, 英雄, 超级英雄, 超级英雄: 中等-深肤色, 超能力
🦸🏿	女英雄, 好人, 英雄, 超级英雄, 超级英雄: 较深肤色, 超能力, 较深肤色
🦸🏻‍♀	女人, 女超级英雄, 女超级英雄: 较浅肤色, 好人, 英雄, 超能力, 较浅肤色
🦸🏼‍♀	中等-浅肤色, 女人, 女超级英雄, 女超级英雄: 中等-浅肤色, 好人, 英雄, 超能力
🦸🏽‍♀	中等肤色, 女人, 女超级英雄, 女超级英雄: 中等肤色, 好人, 英雄, 超能力
🦸🏾‍♀	中等-深肤色, 女人, 女超级英雄, 女超级英雄: 中等-深肤色, 好人, 英雄, 超能力
🦸🏿‍♀	女人, 女超级英雄, 女超级英雄: 较深肤色, 好人, 英雄, 超能力, 较深肤色
🦸🏻‍♂	好人, 男人, 男超级英雄, 男超级英雄: 较浅肤色, 英雄, 超能力, 较浅肤色
🦸🏼‍♂	中等-浅肤色, 好人, 男人, 男超级英雄, 男超级英雄: 中等-浅肤色, 英雄, 超能力
🦸🏽‍♂	中等肤色, 好人, 男人, 男超级英雄, 男超级英雄: 中等肤色, 英雄, 超能力
🦸🏾‍♂	中等-深肤色, 好人, 男人, 男超级英雄, 男超级英雄: 中等-深肤色, 英雄, 超能力
🦸🏿‍♂	好人, 男人, 男超级英雄, 男超级英雄: 较深肤色, 英雄, 超能力, 较深肤色
🦹🏻	坏蛋, 恶魔, 罪犯, 超级大坏蛋, 超级大坏蛋: 较浅肤色, 超能力, 较浅肤色
🦹🏼	中等-浅肤色, 坏蛋, 恶魔, 罪犯, 超级大坏蛋, 超级大坏蛋: 中等-浅肤色, 超能力
🦹🏽	中等肤色, 坏蛋, 恶魔, 罪犯, 超级大坏蛋, 超级大坏蛋: 中等肤色, 超能力
🦹🏾	中等-深肤色, 坏蛋, 恶魔, 罪犯, 超级大坏蛋, 超级大坏蛋: 中等-深肤色, 超能力
🦹🏿	坏蛋, 恶魔, 罪犯, 超级大坏蛋, 超级大坏蛋: 较深肤色, 超能力, 较深肤色
🦹🏻‍♀	坏蛋, 女人, 女超级大坏蛋, 女超级大坏蛋: 较浅肤色, 罪犯, 超能力, 较浅肤色
🦹🏼‍♀	中等-浅肤色, 坏蛋, 女人, 女超级大坏蛋, 女超级大坏蛋: 中等-浅肤色, 罪犯, 超能力
🦹🏽‍♀	中等肤色, 坏蛋, 女人, 女超级大坏蛋, 女超级大坏蛋: 中等肤色, 罪犯, 超能力
