🦵🏻	kick, limb, uhlobo-1-2, umlenze, umlenze: uhlobo-1-2
🦵🏼	kick, limb, uhlobo-3, umlenze, umlenze: uhlobo-3
🦵🏽	kick, limb, uhlobo-4, umlenze, umlenze: uhlobo-4
🦵🏾	kick, limb, uhlobo-5, umlenze, umlenze: uhlobo-5
🦵🏿	kick, limb, uhlobo-6, umlenze, umlenze: uhlobo-6
🦶🏻	kick, stomp, uhlobo-1-2, unyawo, unyawo: uhlobo-1-2
🦶🏼	kick, stomp, uhlobo-3, unyawo, unyawo: uhlobo-3
🦶🏽	kick, stomp, uhlobo-4, unyawo, unyawo: uhlobo-4
🦶🏾	kick, stomp, uhlobo-5, unyawo, unyawo: uhlobo-5
🦶🏿	kick, stomp, uhlobo-6, unyawo, unyawo: uhlobo-6
🦸🏻	good, hero, heroine, iqhawe, iqhawe: uhlobo-1-2, superpower, uhlobo-1-2
🦸🏼	good, hero, heroine, iqhawe, iqhawe: uhlobo-3, superpower, uhlobo-3
🦸🏽	good, hero, heroine, iqhawe, iqhawe: uhlobo-4, superpower, uhlobo-4
🦸🏾	good, hero, heroine, iqhawe, iqhawe: uhlobo-5, superpower, uhlobo-5
🦸🏿	good, hero, heroine, iqhawe, iqhawe: uhlobo-6, superpower, uhlobo-6
🦸🏻‍♀	good, hero, heroine, superpower, uhlobo-1-2, woman, woman superhero, woman superhero: uhlobo-1-2
🦸🏼‍♀	good, hero, heroine, superpower, uhlobo-3, woman, woman superhero, woman superhero: uhlobo-3
🦸🏽‍♀	good, hero, heroine, superpower, uhlobo-4, woman, woman superhero, woman superhero: uhlobo-4
🦸🏾‍♀	good, hero, heroine, superpower, uhlobo-5, woman, woman superhero, woman superhero: uhlobo-5
🦸🏿‍♀	good, hero, heroine, superpower, uhlobo-6, woman, woman superhero, woman superhero: uhlobo-6
🦸🏻‍♂	good, hero, man, man superhero, man superhero: uhlobo-1-2, superpower, uhlobo-1-2
🦸🏼‍♂	good, hero, man, man superhero, man superhero: uhlobo-3, superpower, uhlobo-3
🦸🏽‍♂	good, hero, man, man superhero, man superhero: uhlobo-4, superpower, uhlobo-4
🦸🏾‍♂	good, hero, man, man superhero, man superhero: uhlobo-5, superpower, uhlobo-5
🦸🏿‍♂	good, hero, man, man superhero, man superhero: uhlobo-6, superpower, uhlobo-6
🦹🏻	criminal, evil, superpower, supervillain, supervillain: uhlobo-1-2, uhlobo-1-2, villain
🦹🏼	criminal, evil, superpower, supervillain, supervillain: uhlobo-3, uhlobo-3, villain
🦹🏽	criminal, evil, superpower, supervillain, supervillain: uhlobo-4, uhlobo-4, villain
🦹🏾	criminal, evil, superpower, supervillain, supervillain: uhlobo-5, uhlobo-5, villain
🦹🏿	criminal, evil, superpower, supervillain, supervillain: uhlobo-6, uhlobo-6, villain
🦹🏻‍♀	criminal, evil, superpower, uhlobo-1-2, villain, woman, woman supervillain, woman supervillain: uhlobo-1-2
🦹🏼‍♀	criminal, evil, superpower, uhlobo-3, villain, woman, woman supervillain, woman supervillain: uhlobo-3
🦹🏽‍♀	criminal, evil, superpower, uhlobo-4, villain, woman, woman supervillain, woman supervillain: uhlobo-4
🦹🏾‍♀	criminal, evil, superpower, uhlobo-5, villain, woman, woman supervillain, woman supervillain: uhlobo-5
🦹🏿‍♀	criminal, evil, superpower, uhlobo-6, villain, woman, woman supervillain, woman supervillain: uhlobo-6
🦹🏻‍♂	criminal, evil, man, man supervillain, man supervillain: uhlobo-1-2, superpower, uhlobo-1-2, villain
🦹🏼‍♂	criminal, evil, man, man supervillain, man supervillain: uhlobo-3, superpower, uhlobo-3, villain
🦹🏽‍♂	criminal, evil, man, man supervillain, man supervillain: uhlobo-4, superpower, uhlobo-4, villain
🦹🏾‍♂	criminal, evil, man, man supervillain, man supervillain: uhlobo-5, superpower, uhlobo-5, villain
